comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2
170888,2011-03-11,Dr. Karen Dodds,Assistant Deputy Minister,1,Karen Dodds,Assistant Deputy Minister,Karen Dodds,Assistant Deputy Minister
154630,2010-08-18,"Dr. Karen Dodds, PhD",Assistant Deputy Minister,1,Karen Dodds,Assistant Deputy Minister,Karen Dodds,Assistant Deputy Minister
512888,2021-08-12,Dr.  Kelley Blanchette,Assistant Deputy Minister,1,Kelley Blanchette,Assistant Deputy Minister,Kelley Blanchette,Assistant Deputy Minister
530707,2022-05-03,Dr. Kelley  Blanchette ,"Assistant Deputy Minister, Lands and Economic Development",1,Kelley Blanchette,"Assistant Deputy Minister, Lands and Economic Development",Kelley Blanchette,Assistant Deputy Minister
538868,2022-07-15,Dr. Kelley  Blanchette ,"Assistant Deputy Minister, Lands and Economic Development",1,Kelley Blanchette,"Assistant Deputy Minister, Lands and Economic Development",Kelley Blanchette,Assistant Deputy Minister
542710,2022-10-05,Dr. Kelley  Blanchette ,Assistant Deputy Minister,1,Kelley Blanchette,Assistant Deputy Minister,Kelley Blanchette,Assistant Deputy Minister
548150,2022-11-21,Dr. Kelley  Blanchette ,Assistant Deputy Minister,1,Kelley Blanchette,Assistant Deputy Minister,Kelley Blanchette,Assistant Deputy Minister
513492,2021-08-19,Dr. Kelley Blanchette,Assistant Deputy Minister,1,Kelley Blanchette,Assistant Deputy Minister,Kelley Blanchette,Assistant Deputy Minister
183147,2011-08-03,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch,Member of Parliament,Kellie Leitch,Member of Parliament
195003,2011-10-24,Dr. Kellie Leitch,Parliamentary Secretary,1,Kellie Leitch,Parliamentary Secretary,Kellie Leitch,Member of Parliament
209048,2012-02-07,Dr. Kellie Leitch,Parliamentary Secretary,1,Kellie Leitch,Parliamentary Secretary,Kellie Leitch,Member of Parliament
212388,2012-02-16,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch,Member of Parliament,Kellie Leitch,Member of Parliament
223452,2012-04-03,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch,Member of Parliament,Kellie Leitch,Member of Parliament
265274,2013-02-26,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch,Member of Parliament,Kellie Leitch,Member of Parliament
367987,2016-02-02,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch,Member of Parliament,Kellie Leitch,Member of Parliament
375022,2016-04-14,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch,Member of Parliament,Kellie Leitch,Member of Parliament
386389,2016-10-24,Dr. Kelvin K. Ogilvie,Senator,1,Kelvin K. Ogilvie,Senator,Kelvin Ogilvie,Senator
