comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2
507537,2021-05-03,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
508184,2021-05-03,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
510305,2021-06-28,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
510931,2021-06-28,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
518458,2021-12-08,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
518955,2021-12-08,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
519051,2021-12-08,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
519882,2021-12-08,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
522106,2022-01-27,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
524750,2022-02-02,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
525215,2022-02-25,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
529972,2022-03-30,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster,Associate Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
533351,2022-05-25,Dr. Liz Foster,Assistant Deputy Minister,1,Liz Foster,Assistant Deputy Minister,Liz Foster,Assistant Deputy Minister
430550,2018-06-18,Dr. Lucye Galant,Acting Director,1,Lucye Galant,Acting Director,Lucye Galant,Acting Director
381198,2016-06-13,Hon. Larry Bagnell,Member of Parliament,1,Larry Bagnell,Member of Parliament,Larry Bagnell,Member of Parliament
391414,2016-11-03,Hon. Larry Bagnell,Member of Parliament,1,Larry Bagnell,Member of Parliament,Larry Bagnell,Member of Parliament
423156,2018-03-20,Hon. Larry Bagnell,Member of Parliament,1,Larry Bagnell,Member of Parliament,Larry Bagnell,Member of Parliament
393115,2017-01-23,Hon. Larry Gagnell,Member of Parliament,1,Larry Gagnell,Member of Parliament,Larry Gagnell,Member of Parliament
429294,2018-05-31,Hon. Larry Smith,Senator,1,Larry Smith,Senator,Larry Smith,Senator
407173,2017-08-29,Hon. Laurence MacAulay,Minister,1,Laurence Macaulay,Minister,Laurence Macaulay,Minister
422618,2018-03-16,Hon. Laurence MacAulay,Member of Parliament,1,Laurence Macaulay,Member of Parliament,Laurence Macaulay,Minister
245405,2012-10-30,Hon. Laurie Hawn,Member of Parliament,1,Laurie Hawn,Member of Parliament,Laurie Hawn,Member of Parliament
355553,2015-05-14,Hon. Laurie Hawn,Member of Parliament,1,Laurie Hawn,Member of Parliament,Laurie Hawn,Member of Parliament
357476,2015-06-26,Hon. Laurie Hawn,Member of Parliament,1,Laurie Hawn,Member of Parliament,Laurie Hawn,Member of Parliament
282769,2013-06-19,Hon. Lawrence Cannon,Ambassador of Canada to France,1,Lawrence Cannon,Ambassador of Canada to France,Lawrence Cannon,"Minister, Foreign Affairs"
343485,2014-11-25,Hon Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay,Member of Parliament,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
408432,2017-09-25,Hon Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
408441,2017-09-26,Hon Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
422164,2018-02-26,Hon Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
422667,2018-03-19,Hon Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
226858,2012-06-07,Hon. Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay,Member of Parliament,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
326729,2014-06-07,Hon. Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay,Member of Parliament,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
365101,2015-11-13,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
365129,2015-11-17,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
364949,2015-11-21,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
369638,2015-12-01,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
364948,2015-12-10,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
366598,2015-12-14,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
372501,2016-02-17,Hon. Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay,Member of Parliament,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
371328,2016-02-24,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food Canada",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food Canada",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
371497,2016-02-25,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
371468,2016-03-02,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
372352,2016-03-09,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
371491,2016-03-09,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
380817,2016-06-01,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
386873,2016-10-18,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
387456,2016-10-18,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
388734,2016-11-17,Hon. Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay,Member of Parliament,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
392461,2017-01-10,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
393616,2017-02-07,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
407645,2017-08-29,Hon. Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay,Member of Parliament,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
409092,2017-09-25,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
408500,2017-09-26,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
411771,2017-11-07,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
415367,2017-11-16,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
415420,2017-11-20,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
415421,2017-11-21,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
414406,2017-11-27,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
417582,2017-12-14,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
419943,2018-02-06,Hon. Lawrence MacAulay,"Minister, Agriculture",1,Lawrence Macaulay,"Minister, Agriculture",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
420580,2018-02-14,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
423124,2018-03-12,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
423383,2018-03-20,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food Canada",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food Canada",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
429558,2018-05-08,Hon. Lawrence MacAulay,"Minister, Agriculture",1,Lawrence Macaulay,"Minister, Agriculture",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
430229,2018-06-11,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
431428,2018-07-11,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food Canada",1,Lawrence Macaulay,"Minister, Agriculture and Agri-Food Canada",Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
434923,2018-09-04,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
434763,2018-09-12,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay,Minister,Lawrence Macaulay,"Minister, Agriculture and Agri-Food"
