comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
568816,2023-05-09,Aadil Ahmad,Implementation Coordinator,1,Aadil Ahmad
549310,2022-12-07,Aadil  Nathani,Policy Advisor,1,Aadil Nathani
555999,2023-01-24,Aadil  Nathani,Policy Advisor,1,Aadil Nathani
541954,2022-08-08,Aadil Nathani,Policy Advisor,1,Aadil Nathani
551950,2022-11-08,Aadil Nathani,Policy Advisor,1,Aadil Nathani
553975,2022-12-12,Aadil Nathani,Policy Advisor,1,Aadil Nathani
554002,2022-12-12,Aadil Nathani,Policy Advisor,1,Aadil Nathani
553330,2022-12-16,Aadil Nathani,Policy Advisor,1,Aadil Nathani
553976,2022-12-22,Aadil Nathani,Policy Advisor,1,Aadil Nathani
556148,2023-01-10,Aadil Nathani,Policy Advisor,1,Aadil Nathani
556452,2023-01-10,Aadil Nathani,Policy Advisor,1,Aadil Nathani
556977,2023-01-10,Aadil Nathani,Policy Advisor,1,Aadil Nathani
555811,2023-01-12,Aadil Nathani,Policy Advisor,1,Aadil Nathani
556973,2023-01-13,Aadil Nathani,Policy Advisor,1,Aadil Nathani
556181,2023-01-16,Aadil Nathani,Policy Advisor,1,Aadil Nathani
556172,2023-01-24,Aadil Nathani,Policy Advisor,1,Aadil Nathani
554790,2023-01-26,Aadil Nathani,Policy Advisor,1,Aadil Nathani
556193,2023-01-30,Aadil Nathani,Policy Advisor,1,Aadil Nathani
590417,2023-12-12,Aaina  Sood,Executive Assistant,1,Aaina Sood
604674,2024-04-02,Aaina Sood,Executive Assistant,1,Aaina Sood
621723,2024-11-07,Aaina Sood,Executive Assistant to the Chief of Staff,1,Aaina Sood
625392,2024-11-07,Aaina Sood,Executive Assistant to the Chief of Staff,1,Aaina Sood
624103,2024-11-26,Aaina Sood,Policy Advisor,1,Aaina Sood
627925,2024-11-26,Aaina Sood,Policy Advisor,1,Aaina Sood
147014,2010-04-01,Aain Brandon,Policy Advisor,1,Aain Brandon
419900,2018-01-26,Aamar Yaseen,"Parliamentary Secretary's Assistant | Regional Advisor, Western and Northern Canada",1,Aamar Yaseen
419198,2018-01-26,Aamar Yaseen,Policy Advisor,1,Aamar Yaseen
419800,2018-01-29,Aamar Yaseen,"Regional Advisor, Western and Northern Desk",1,Aamar Yaseen
420116,2018-01-31,Aamar Yaseen,"Regional Advisor, West and North",1,Aamar Yaseen
421205,2018-02-28,Aamar Yaseen,Parliamentary Secretary to the Minister of Health,1,Aamar Yaseen
424376,2018-03-27,Aamar Yaseen,"Regional Advisor, West and North and Assistant to the Parliamentary Secretary",1,Aamar Yaseen
428869,2018-05-02,Aamar Yaseen,Regional Advisor,1,Aamar Yaseen
434047,2018-08-20,Aamar Yaseen,"Regional Advisor, Western and Northern Canada and Parliamentary Secretary Assistant",1,Aamar Yaseen
433484,2018-08-20,Aamar Yaseen,"Regional Advisor, Western and Northern Canada | Parliamentary Secretary's Assistant",1,Aamar Yaseen
433487,2018-08-20,Aamar Yaseen,"Regional Advisor, Western and Northern Canada | Parliamentary Secretary's Assistant",1,Aamar Yaseen
433501,2018-08-20,Aamar Yaseen,"Regional Advisor, Western and Northern Canada | Parliamentary Secretary's Assistant",1,Aamar Yaseen
440984,2018-12-05,Aamar Yaseen,"Regional Advisor, Western and Northern Canada | Parliamentary Secretary's Assistant",1,Aamar Yaseen
447359,2019-02-22,Aamar Yaseen,"Regional Advisor, Western and Northern",1,Aamar Yaseen
627903,2024-12-16,Aaran MacPherson,"Assistant Deputy Minister, Science",1,Aaran Macpherson
430458,2018-06-18,Aaran McPherson,Assistant Deputy Minister,1,Aaran Mcpherson
280391,2013-07-08,Aaron Allison,Policy Intern,1,Aaron Allison
403090,2017-05-15,Aaron Annable,"Advisor, Energy",1,Aaron Annable
