comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
403724,2017-05-25,Cahtherine McKenna,Minister,1,Cahtherine Mckenna
171012,2011-03-06,Cailin Rodgers,Executive Assistant,1,Cailin Rodgers
233846,2012-07-19,Cailin Rodgers,Press Secretary,1,Cailin Rodgers
269626,2013-03-05,Cailin Rodgers,Press Secretary,1,Cailin Rodgers
290656,2013-08-13,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
305092,2013-08-19,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
313970,2013-10-28,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
318083,2013-12-09,Cailin Rodgers,"Director, Communications",1,Cailin Rodgers
321979,2014-03-10,Cailin Rodgers,"Director, Communications",1,Cailin Rodgers
329472,2014-06-05,Cailin Rodgers,Director of Communication,1,Cailin Rodgers
329677,2014-06-16,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
328809,2014-06-19,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
329680,2014-07-02,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
333387,2014-08-08,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
333389,2014-08-18,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
339241,2014-11-19,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
340403,2014-11-25,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
340015,2014-11-26,Cailin Rodgers,Staffer,1,Cailin Rodgers
340016,2014-11-27,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
340017,2014-11-28,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
340018,2014-12-01,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
339897,2014-12-01,Cailin Rodgers,Staffer,1,Cailin Rodgers
340409,2014-12-03,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
340410,2014-12-04,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
344118,2014-12-04,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
340411,2014-12-05,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
348222,2015-03-02,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
349719,2015-03-05,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
349720,2015-03-06,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
349721,2015-03-07,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
350940,2015-03-24,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
354070,2015-04-08,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
350942,2015-04-10,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
353233,2015-04-22,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
353234,2015-04-23,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
353236,2015-04-27,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
353237,2015-04-28,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
361242,2015-08-06,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
361244,2015-08-07,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
361245,2015-08-10,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
361246,2015-08-11,Cailin Rodgers,Director of Communications,1,Cailin Rodgers
170663,2011-03-06,Cailin Rogers,Executive Assistant,1,Cailin Rogers
325451,2014-04-24,Cailin Rogers,Director of Communications,1,Cailin Rogers
382482,2016-07-13,Cairo Gianluca,Chief of Staff,1,Cairo Gianluca
318793,2014-02-19,Cait Hurcomb,Policy Analyst,1,Cait Hurcomb
472360,2020-04-17,Caitlan Szymberski,Senior Policy Advisor,1,Caitlan Szymberski
428102,2018-05-28,Caitlin Caitlin Szymberski,Policy Advisor,1,Caitlin Caitlin Szymberski
466948,2020-02-05,Caitlin Cullan-Boudreau,"Policy Advisor, Central and Arctic",1,Caitlin Cullan-boudreau
532579,2022-05-18,Caitlin Goodmurphy,Policy Analyst,1,Caitlin Goodmurphy
369637,2016-01-15,Caitlin Gropp,Senator,1,Caitlin Gropp
379315,2016-05-31,Caitlin Gropp,"Director, Parliamentary Affairs",1,Caitlin Gropp
522969,2022-02-11,Caitlin Hurcomb,Manager | Senior Policy Advisor,1,Caitlin Hurcomb
85279,2008-10-02,Caitlin Imrie,Policy Advisor,1,Caitlin Imrie
397207,2017-03-03,Caitlin Jackson,Senior Communications Advisor,1,Caitlin Jackson
397208,2017-03-10,Caitlin Jackson,Senior Communications Advisor,1,Caitlin Jackson
396305,2017-03-13,Caitlin Jackson,Senior Communications Advisor,1,Caitlin Jackson
299232,2013-09-05,Caitlin MacGregor,Constituency Assistant,1,Caitlin Macgregor
317651,2014-02-20,Caitlin MacGregor,Constituency Assistant,1,Caitlin Macgregor
623964,2024-11-20,Caitlin Morisson,"Senior Intergovernmental Relations Officer, ISC Ontario Region",1,Caitlin Morisson
630315,2025-02-05,Caitlin  Morrison ,Senior Intergovernmental Relations Officer,1,Caitlin Morrison
628021,2024-12-13,Caitlin Morrison,Senior Intergovernmental Relations Officer,1,Caitlin Morrison
630401,2025-02-05,Caitlin  Morrisson,Senior Intergovernmental Relations Officer,1,Caitlin Morrisson
405157,2017-06-02,Caitlin Mounce,"Intern, Political Section",1,Caitlin Mounce
405216,2017-06-02,Caitlin Mounce,"Special Advisor to the Minister, International Trade",1,Caitlin Mounce
405680,2017-06-20,Caitlin Mounce,"Minister, International Trade",1,Caitlin Mounce
405306,2017-06-20,Caitlin Mounce,Policy Advisor,1,Caitlin Mounce
405565,2017-06-23,Caitlin Mounce,"Special Assistant, Policy",1,Caitlin Mounce
406579,2017-06-28,Caitlin Mounce,"Intern, Political Section",1,Caitlin Mounce
404823,2017-06-30,Caitlin Mounce,Policy Advisor,1,Caitlin Mounce
406863,2017-07-07,Caitlin Mounce,"Intern, Political Section",1,Caitlin Mounce
406866,2017-07-07,Caitlin Mounce,"Intern, Political Section",1,Caitlin Mounce
406580,2017-07-11,Caitlin Mounce,"Intern, Political Section",1,Caitlin Mounce
405861,2017-07-12,Caitlin Mounce,Policy Advisor,1,Caitlin Mounce
406051,2017-07-12,Caitlin Mounce,"Special Assistant, Policy",1,Caitlin Mounce
405920,2017-07-18,Caitlin Mounce,Policy Advisor,1,Caitlin Mounce
405946,2017-07-18,Caitlin Mounce,Policy Advisor,1,Caitlin Mounce
405924,2017-07-18,Caitlin Mounce,"Special Assistant, Policy",1,Caitlin Mounce
405941,2017-07-18,Caitlin Mounce,"Special Assistant, Policy",1,Caitlin Mounce
406254,2017-07-18,Caitlin Mounce,"Special Assistant, Policy, to the Minister of International Trade",1,Caitlin Mounce
406581,2017-07-26,Caitlin Mounce,"Intern, Political Section",1,Caitlin Mounce
406849,2017-07-27,Caitlin Mounce,"Special Assistant, Policy",1,Caitlin Mounce
408172,2017-08-03,Caitlin Mounce,"Special Assistant, Policy",1,Caitlin Mounce
407328,2017-08-04,Caitlin Mounce,"Special Assistant, Policy",1,Caitlin Mounce
408167,2017-08-08,Caitlin Mounce,"Special Assistant, Policy",1,Caitlin Mounce
407543,2017-08-11,Caitlin Mounce,Special Assistant,1,Caitlin Mounce
407505,2017-08-24,Caitlin Mounce,"Special Assistant, Policy",1,Caitlin Mounce
410059,2017-09-08,Caitlin Mounce,"Special Assistant, Policy",1,Caitlin Mounce
409432,2017-09-13,Caitlin Mounce,Special Assistant,1,Caitlin Mounce
408516,2017-09-15,Caitlin Mounce,"Special Assistant, Policy",1,Caitlin Mounce
410298,2017-09-18,Caitlin Mounce,Policy Advisor,1,Caitlin Mounce
410231,2017-09-18,Caitlin Mounce,Special Assistant,1,Caitlin Mounce
411683,2017-09-21,Caitlin Mounce,Policy Advisor,1,Caitlin Mounce
408711,2017-09-21,Caitlin Mounce,Policy Assistant,1,Caitlin Mounce
406050,2017-07-12,"Caitlin Mounce,","Special Assistant, Policy",1,Caitlin Mounce
452754,2019-04-09,Caitlin Mullan-Boudeau,"Policy Advisor, Central and Arctic",1,Caitlin Mullan-boudeau
402220,2017-05-10,Caitlin Mullan-Boudreau,Special Assistant,1,Caitlin Mullan-boudreau
403158,2017-05-10,Caitlin Mullan-Boudreau,Special Assistant,1,Caitlin Mullan-boudreau
402864,2017-05-30,Caitlin Mullan-Boudreau,Special Assistant,1,Caitlin Mullan-boudreau
407062,2017-08-03,Caitlin Mullan-Boudreau,Policy Advisor,1,Caitlin Mullan-boudreau
409441,2017-09-26,Caitlin Mullan-Boudreau,Policy Advisor,1,Caitlin Mullan-boudreau
419385,2018-02-01,Caitlin Mullan-Boudreau,Special Assistant,1,Caitlin Mullan-boudreau
420350,2018-02-02,Caitlin Mullan-Boudreau,Special Assistant,1,Caitlin Mullan-boudreau
422408,2018-02-02,Caitlin Mullan-Boudreau,Special Assistant,1,Caitlin Mullan-boudreau
421249,2018-02-22,Caitlin Mullan-Boudreau,"Special Assistant, Central and Arctic Desk | Policy Advisor",1,Caitlin Mullan-boudreau
423265,2018-03-15,Caitlin Mullan-Boudreau,"Special Assistant, Central and Arctic | Policy Advisor",1,Caitlin Mullan-boudreau
428674,2018-05-09,Caitlin Mullan-Boudreau,"Policy Advisor, Central and Arctic",1,Caitlin Mullan-boudreau
428652,2018-05-29,Caitlin Mullan-Boudreau,"Policy Advisor, Central and Arctic",1,Caitlin Mullan-boudreau
430935,2018-06-19,Caitlin Mullan-Boudreau,"Policy Advisor, Central and Arctic",1,Caitlin Mullan-boudreau
429909,2018-06-19,Caitlin Mullan-Boudreau,Special Assistant,1,Caitlin Mullan-boudreau
433000,2018-08-30,Caitlin Mullan-Boudreau,"Policy Advisor, Central and Arctic Desk",1,Caitlin Mullan-boudreau
439321,2018-10-02,Caitlin Mullan-Boudreau,Policy Advisor,1,Caitlin Mullan-boudreau
448647,2019-03-28,Caitlin Mullan-Boudreau,"Policy Advisor, Central and Arctic",1,Caitlin Mullan-boudreau
449454,2019-04-02,Caitlin Mullan-Boudreau,Special Assistant,1,Caitlin Mullan-boudreau
449463,2019-04-02,Caitlin Mullan-Boudreau,Special Assistant,1,Caitlin Mullan-boudreau
450016,2019-04-03,Caitlin Mullan-Boudreau,Special Assistant,1,Caitlin Mullan-boudreau
453445,2019-05-07,Caitlin Mullan-Boudreau,Policy Advisor,1,Caitlin Mullan-boudreau
460993,2019-06-04,Caitlin Mullan-Boudreau,"Policy Advisor, Central and Arctic",1,Caitlin Mullan-boudreau
454823,2019-06-11,Caitlin Mullan-Boudreau,"Policy Advisor, Central and Arctic",1,Caitlin Mullan-boudreau
458657,2019-07-03,Caitlin Mullan-Boudreau,"Policy Advisor, Central and Arctic",1,Caitlin Mullan-boudreau
458660,2019-07-08,Caitlin Mullan-Boudreau,"Policy Advisor, Central and Arctic",1,Caitlin Mullan-boudreau
458857,2019-07-15,Caitlin Mullan-Boudreau,"Policy Advisor, Central and Arctic",1,Caitlin Mullan-boudreau
469157,2020-03-27,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
472990,2020-04-04,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
477231,2020-04-07,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
474179,2020-05-04,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
471871,2020-05-05,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
474023,2020-05-07,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
490305,2020-11-17,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
511220,2021-07-13,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
523356,2022-02-09,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
523357,2022-02-09,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
523358,2022-02-09,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
536506,2022-03-04,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
529131,2022-03-19,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
530770,2022-04-06,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
544327,2022-09-07,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
544328,2022-09-09,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
542245,2022-09-22,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
542951,2022-10-06,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
544329,2022-10-12,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
543725,2022-10-13,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
544330,2022-10-14,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
547933,2022-11-15,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
548495,2022-11-18,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
560461,2023-02-09,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
566126,2023-04-26,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
570737,2023-05-30,Caitlin Mullan-Boudreau,Director of Operations,1,Caitlin Mullan-boudreau
453047,2019-04-10,Caitlin Mullan-Bourdeau,"Senior Advisor to the Minister, Fisheries, Oceans and the Coast Guard",1,Caitlin Mullan-bourdeau
472378,2020-05-07,Caitlin Mullan-Bourdeau,Director of Operations,1,Caitlin Mullan-bourdeau
456301,2019-04-25,Caitlin Mullan-Bourdreau,Special Assistant,1,Caitlin Mullan-bourdreau
418185,2017-12-05,Caitlin Syzmberski,Parliamentary Secretary Assistant,1,Caitlin Syzmberski
424605,2018-04-19,Caitlin Szmberski,Policy Advisor,1,Caitlin Szmberski
431584,2018-06-19,Caitlin Szymberberski,Policy Advisor,1,Caitlin Szymberberski
450773,2019-02-05,Caitlin szymberski,Policy Advisor,1,Caitlin Szymberski
489982,2020-12-01,"Caitlin 'Szymberski,",Policy Advisor,1,Caitlin 'szymberski
379042,2016-05-02,Caitlin Szymberski,Staffer to Member of Parliament,1,Caitlin Szymberski
398170,2017-03-31,Caitlin Szymberski,Parliamentary Secretary Assistant,1,Caitlin Szymberski
404089,2017-06-01,Caitlin Szymberski,Parliamentary Secretary Assistant,1,Caitlin Szymberski
410520,2017-10-06,Caitlin Szymberski,Parliamentary Secretary Assistant,1,Caitlin Szymberski
412805,2017-10-16,Caitlin Szymberski,Parliamentary Secretary Assistant,1,Caitlin Szymberski
412892,2017-10-17,Caitlin Szymberski,Parliamentary Secretary,1,Caitlin Szymberski
412897,2017-10-17,Caitlin Szymberski,Parliamentary Secretary,1,Caitlin Szymberski
412296,2017-10-17,Caitlin Szymberski,Parliamentary Secretary Assistant,1,Caitlin Szymberski
411594,2017-10-24,Caitlin Szymberski,Parliamentary Secretary,1,Caitlin Szymberski
415194,2017-11-01,Caitlin Szymberski,Parliamentary Secretary,1,Caitlin Szymberski
412824,2017-11-13,Caitlin Szymberski,Parliamentary Secretary Assistant,1,Caitlin Szymberski
415263,2017-11-24,Caitlin Szymberski,Parliamentary Secretary,1,Caitlin Szymberski
415476,2017-11-28,Caitlin Szymberski,Parliamentary Secretary Assistant,1,Caitlin Szymberski
418427,2017-12-05,Caitlin Szymberski,Parliamentary Secretary Assistant,1,Caitlin Szymberski
414873,2017-12-07,Caitlin Szymberski,Parliamentary Secretary Assistant,1,Caitlin Szymberski
422353,2018-03-13,Caitlin Szymberski,Parliamentary Secretary | Policy Advisor,1,Caitlin Szymberski
424368,2018-03-20,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
424621,2018-03-20,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
425052,2018-04-17,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
429233,2018-05-02,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
428197,2018-05-17,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
428943,2018-05-17,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
427948,2018-05-29,Caitlin Szymberski,"Policy Advisor, Minister of National Revenue",1,Caitlin Szymberski
430892,2018-06-01,Caitlin Szymberski,Policy Analyst,1,Caitlin Szymberski
429807,2018-06-19,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
432684,2018-08-16,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
434240,2018-09-27,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
435601,2018-09-27,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
437999,2018-10-22,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
438776,2018-10-22,Caitlin Szymberski,Policy Advisor to the Minister of National Revenue,1,Caitlin Szymberski
438893,2018-10-23,Caitlin Szymberski,Policy Advisor to Minister,1,Caitlin Szymberski
436802,2018-10-25,Caitlin Szymberski,Parliamentary Secretary,1,Caitlin Szymberski
444359,2019-01-18,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
445257,2019-01-18,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
455893,2019-05-03,Caitlin Szymberski,"Director of Operations | Minister, CRA",1,Caitlin Szymberski
451919,2019-05-03,Caitlin Szymberski,"Director, Operations",1,Caitlin Szymberski
454099,2019-05-03,Caitlin Szymberski,"Director, Operations",1,Caitlin Szymberski
457994,2019-07-25,Caitlin Szymberski,Director of Operations,1,Caitlin Szymberski
463902,2020-01-22,Caitlin Szymberski,Director of Policy,1,Caitlin Szymberski
463656,2020-02-04,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
463657,2020-02-06,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
464622,2020-02-06,Caitlin Szymberski,Senior Policy Advisor,1,Caitlin Szymberski
467345,2020-02-21,Caitlin Szymberski,Senior Policy Advisor,1,Caitlin Szymberski
466444,2020-03-09,Caitlin Szymberski,Senior Policy Advisor,1,Caitlin Szymberski
471828,2020-04-06,Caitlin Szymberski,Policy Advisor,1,Caitlin Szymberski
473411,2020-04-14,Caitlin Szymberski,Senior Policy Advisor,1,Caitlin Szymberski
473991,2020-05-15,Caitlin Szymberski,Senior Policy Advisor,1,Caitlin Szymberski
474311,2020-06-02,Caitlin Szymberski,Senior Policy Advisor,1,Caitlin Szymberski
