comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
555581,2023-01-11,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
555583,2023-01-18,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
555584,2023-01-25,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
559537,2023-02-15,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
559540,2023-02-22,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
561907,2023-03-01,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
561906,2023-03-29,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
564267,2023-04-05,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
564268,2023-04-17,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
572726,2023-06-07,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
572728,2023-06-28,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
572729,2023-06-30,Daanish Hamish,Senior Account Executive,1,Daanish Hamish
542137,2022-08-24,Daanish Hussein,Senior Account Executive,1,Daanish Hussein
565750,2023-05-08,Dabrusin Julie,Parliamentary Secretary,1,Dabrusin Julie
506631,2021-06-01,Dafna Kohen,Assistant Director,1,Dafna Kohen
460609,2019-10-23,Dagenais Eric,Acting Senior Assistant Deputy Minister,1,Dagenais Eric
517907,2021-11-19,Dahlia  James,Policy Advisor,1,Dahlia James
593178,2024-01-29,Dahlia  James,Senior Policy Advisor,1,Dahlia James
520305,2022-01-17,Dahlia  James ,Policy Advisor,1,Dahlia James
525935,2022-03-11,Dahlia  James ,Policy Advisor,1,Dahlia James
511182,2021-05-12,Dahlia James,Policy Advisor,1,Dahlia James
506119,2021-05-17,Dahlia James,Policy Advisor,1,Dahlia James
509119,2021-06-16,Dahlia James,Policy Advisor,1,Dahlia James
509220,2021-06-17,Dahlia James,Policy Advisor,1,Dahlia James
509475,2021-06-24,Dahlia James,Policy Advisor,1,Dahlia James
511292,2021-06-24,Dahlia James,Policy Advisor,1,Dahlia James
510274,2021-06-25,Dahlia James,Policy Advisor,1,Dahlia James
509477,2021-06-29,Dahlia James,Policy Advisor,1,Dahlia James
512406,2021-07-05,Dahlia James,Regional Advisor,1,Dahlia James
511973,2021-07-14,Dahlia James,Policy Advisor,1,Dahlia James
513438,2021-07-14,Dahlia James,Policy Advisor,1,Dahlia James
512047,2021-07-20,Dahlia James,Policy Advisor,1,Dahlia James
512830,2021-08-13,Dahlia James,Policy Advisor,1,Dahlia James
517628,2021-11-18,Dahlia James,Policy Advisor,1,Dahlia James
516106,2021-11-22,Dahlia James,Policy Advisor,1,Dahlia James
516260,2021-11-26,Dahlia James,Policy Advisor,1,Dahlia James
517461,2021-12-01,Dahlia James,Policy Advisor,1,Dahlia James
519465,2021-12-01,Dahlia James,Policy Advisor,1,Dahlia James
519368,2021-12-13,Dahlia James,Policy Advisor,1,Dahlia James
519729,2021-12-17,Dahlia James,Regional Advisor,1,Dahlia James
520114,2022-01-11,Dahlia James,Policy Advisor,1,Dahlia James
525013,2022-02-14,Dahlia James,Policy Advisor,1,Dahlia James
524748,2022-02-16,Dahlia James,Policy Advisor,1,Dahlia James
526582,2022-02-17,Dahlia James,Policy Advisor,1,Dahlia James
528034,2022-03-03,Dahlia James,Policy Advisor,1,Dahlia James
528176,2022-03-03,Dahlia James,Policy Advisor,1,Dahlia James
528570,2022-03-03,Dahlia James,Policy Advisor,1,Dahlia James
528783,2022-03-08,Dahlia James,Policy Advisor,1,Dahlia James
529633,2022-03-08,Dahlia James,Policy Advisor,1,Dahlia James
531314,2022-04-06,Dahlia James,Policy Advisor,1,Dahlia James
532083,2022-04-06,Dahlia James,Policy Advisor,1,Dahlia James
530603,2022-04-20,Dahlia James,Policy Advisor,1,Dahlia James
535744,2022-05-04,Dahlia James,Policy Advisor,1,Dahlia James
533860,2022-05-31,Dahlia James,Senior Policy Advisor,1,Dahlia James
