comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
538648,2022-07-05,Dr. Elton Toma ,Senior Engineer,1,Elton Toma
516126,2021-11-22,Dr. Eric  Fournier ,"Director General, Innovation",1,Eric Fournier
439616,2018-10-23,Eaine Hood,Director General,1,Eaine Hood
567140,2023-05-30,eammon horan-lunney,Chief of Staff,1,Eammon Horan-lunney
575460,2023-08-23,eammon horan-lunney,Chief of Staff,1,Eammon Horan-lunney
573460,2023-07-24,Eammonn Horan-Lunney,Chief of Staff,1,Eammonn Horan-lunney
379672,2016-05-31,Eamon Horan-Lunney,Chief of Staff,1,Eamon Horan-lunney
533297,2022-06-02,Eamon McGuinty,Policy Advisor,1,Eamon Mcguinty
547820,2022-10-12,eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney
543777,2022-09-28,Eamonn  Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney
567928,2023-05-30,Eamonn  Horan-Lunney ,Chief of Staff,1,Eamonn Horan-lunney
373611,2016-03-24,Eamonn Horan-Lunney,Policy Advisor,1,Eamonn Horan-lunney
379099,2016-05-11,Eamonn Horan-Lunney,Member's Assistant,1,Eamonn Horan-lunney
379102,2016-05-13,Eamonn Horan-Lunney,Member's Assistant,1,Eamonn Horan-lunney
378320,2016-05-17,Eamonn Horan-Lunney,Advisor to Member of Parliament,1,Eamonn Horan-lunney
380778,2016-06-06,Eamonn Horan-Lunney,Legislative Assistant,1,Eamonn Horan-lunney
532821,2022-05-26,Eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney
537617,2022-06-08,Eamonn Horan-Lunney,Parliamentary Assistant,1,Eamonn Horan-lunney
536145,2022-06-22,Eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney
555976,2023-01-18,Eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney
555528,2023-02-07,Eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney
571899,2023-07-13,Eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney
377801,2016-05-04,Eamonn Horon-Lunney,Legislative Assistant,1,Eamonn Horon-lunney
524185,2022-02-08,eamonn mcginty,Advisor to Minister of the Environment,1,Eamonn Mcginty
523638,2022-02-03,Eamonn McGinty,Senior Policy Advisor,1,Eamonn Mcginty
521997,2022-02-07,Eamonn  McGuinty,Policy Advisor,1,Eamonn Mcguinty
530823,2022-05-04,Eamonn  McGuinty,Policy Advisor,1,Eamonn Mcguinty
542503,2022-09-29,Eamonn  McGuinty,Policy Advisor,1,Eamonn Mcguinty
557646,2023-02-21,Eamonn  McGuinty,Senior Policy Advisor,1,Eamonn Mcguinty
557376,2023-02-27,Eamonn  McGuinty,Senior Policy Advisor,1,Eamonn Mcguinty
560907,2023-03-31,Eamonn  McGuinty,Senior Policy Advisor,1,Eamonn Mcguinty
539173,2022-06-24,Eamonn  McGuinty ,Policy Advisor,1,Eamonn Mcguinty
521473,2022-01-18,Eamonn McGuinty,Advisor to the Minister,1,Eamonn Mcguinty
521442,2022-01-19,Eamonn McGuinty,Policy Advisor,1,Eamonn Mcguinty
520572,2022-01-24,Eamonn McGuinty,Advisor,1,Eamonn Mcguinty
520929,2022-01-24,Eamonn McGuinty,Advisor,1,Eamonn Mcguinty
