comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
125200,2009-09-15,Dr. Frank Plummer,"Director General, Scientific",1,Frank Plummer
571292,2023-06-08,Fabian  Manning,Senator,1,Fabian Manning
572117,2023-06-15,Fabian  Manning,Senator,1,Fabian Manning
146654,2010-03-16,Fabian Manning,Senator,1,Fabian Manning
158739,2010-10-18,Fabian Manning,Senator,1,Fabian Manning
158893,2010-10-18,Fabian Manning,Senator,1,Fabian Manning
162689,2010-10-18,Fabian Manning,Senator,1,Fabian Manning
164125,2010-12-02,Fabian Manning,Senator,1,Fabian Manning
164169,2010-12-02,Fabian Manning,Senator,1,Fabian Manning
190861,2011-10-20,Fabian Manning,Senator,1,Fabian Manning
196357,2011-11-17,Fabian Manning,Senator,1,Fabian Manning
212411,2012-03-01,Fabian Manning,Senator,1,Fabian Manning
255972,2013-01-25,Fabian Manning,Senator,1,Fabian Manning
276290,2013-05-09,Fabian Manning,Senator,1,Fabian Manning
341792,2014-11-25,Fabian Manning,Senator,1,Fabian Manning
355109,2015-05-12,Fabian Manning,Senator,1,Fabian Manning
372126,2016-02-04,Fabian Manning,Senator,1,Fabian Manning
373065,2016-03-08,Fabian Manning,Senator,1,Fabian Manning
378999,2016-05-17,Fabian Manning,Senator,1,Fabian Manning
397070,2017-02-09,Fabian Manning,Senator,1,Fabian Manning
410897,2017-10-17,Fabian Manning,Senator,1,Fabian Manning
415208,2017-11-07,Fabian Manning,Senator,1,Fabian Manning
414043,2017-11-20,Fabian Manning,Senator,1,Fabian Manning
414519,2017-11-22,Fabian Manning,Senator,1,Fabian Manning
417199,2017-11-22,Fabian Manning,Senator,1,Fabian Manning
418675,2018-01-31,Fabian Manning,Senator,1,Fabian Manning
421908,2018-02-08,Fabian Manning,Senator,1,Fabian Manning
425387,2018-04-23,Fabian Manning,Senator,1,Fabian Manning
428670,2018-05-03,Fabian Manning,Senator,1,Fabian Manning
436159,2018-10-17,Fabian Manning,Senator,1,Fabian Manning
437284,2018-10-18,Fabian Manning,Senator,1,Fabian Manning
440531,2018-11-05,Fabian Manning,Senator,1,Fabian Manning
441333,2018-11-05,Fabian Manning,Senator,1,Fabian Manning
441707,2018-11-19,Fabian Manning,Senator,1,Fabian Manning
442684,2018-11-19,Fabian Manning,Senator,1,Fabian Manning
