comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
630963,2025-01-29,Dr. Geneviève Moineau,Chief Medical Workforce Advisor,1,Genevieve Moineau
630965,2025-01-29,Dr. Geneviève Moineau,Chief Medical Workforce Advisor,1,Genevieve Moineau
630967,2025-01-29,Dr. Geneviève Moineau,Chief Medical Workforce Advisor,1,Genevieve Moineau
425812,2018-04-25,Dr. Gilles Saindon,Associate Assistant Deputy Minister,1,Gilles Saindon
313469,2014-01-14,Dr. Graham Howell,Director of Strategic Planning,1,Graham Howell
320789,2014-04-01,Dr. Graham Howell,"Director, Strategic Planning to the Minister of Health",1,Graham Howell
340644,2014-12-02,Dr. Gregory Taylor,Chief Public Health Officer,1,Gregory Taylor
349362,2015-02-10,Dr. Gregory Taylor,Chief Public Health Officer,1,Gregory Taylor
381244,2016-06-15,Dr. Greg Taylor,Chief Public Health Officer,1,Greg Taylor
555694,2023-02-01,Gabby Garwood,Policy Advisor,1,Gabby Garwood
433231,2018-08-29,Gabe Frost,Senior Policy Analyst,1,Gabe Frost
595076,2024-02-02,Gabe Menard,Policy and Research Analyst,1,Gabe Menard
626549,2024-11-21,Gabrela DeJager,Director General,1,Gabrela Dejager
625926,2024-11-28,Gabriela Dejager,Assistant Director,1,Gabriela Dejager
609002,2024-06-17,Gabriela  De Jager,Director,1,Gabriela De Jager
609003,2024-06-18,Gabriela DeJager,Director,1,Gabriela Dejager
613147,2024-07-03,Gabriela DeJager,Assistant Director,1,Gabriela Dejager
636474,2025-05-21,Gabriela DeJager,"Acting Director, Program Integrity and Outreach",1,Gabriela Dejager
595905,2024-03-06,Gabriela Quintanilla,Senior Program Advisor,1,Gabriela Quintanilla
469098,2020-03-27,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget
476220,2020-06-19,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget
479663,2020-07-22,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget
479680,2020-07-28,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget
480653,2020-08-19,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget
485178,2020-10-05,Gabriel Bourget,Policy Advisor,1,Gabriel Bourget
483339,2020-10-06,Gabriel Bourget,Special Assistant,1,Gabriel Bourget
485896,2020-11-02,Gabriel Bourget,Special Assistant,1,Gabriel Bourget
492604,2020-12-02,Gabriel Bourget,Special Assistant,1,Gabriel Bourget
489989,2020-12-07,Gabriel Bourget,"Special Assistant, Quebec - Atlantic",1,Gabriel Bourget
496176,2021-01-21,Gabriel Bourget,Special Assistant,1,Gabriel Bourget
494172,2021-01-25,Gabriel Bourget,Parliamentary Secretary,1,Gabriel Bourget
494549,2021-02-08,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget
499364,2021-02-11,Gabriel Bourget,Parliamentary Secretary | Issues Manager,1,Gabriel Bourget
501800,2021-03-11,Gabriel Bourget,Parliamentary Secretary | Issues Manager,1,Gabriel Bourget
508430,2021-05-06,Gabriel Bourget,Parliamentary Secretary | Issues Manager,1,Gabriel Bourget
506158,2021-05-19,Gabriel Bourget,Parliamentary Secretary | Issues Advisor,1,Gabriel Bourget
509106,2021-06-16,Gabriel Bourget,Parliamentary Secretary | Issues Advisor,1,Gabriel Bourget
511993,2021-07-15,Gabriel Bourget,Parliamentary Secretary | Issues Manager,1,Gabriel Bourget
512856,2021-07-22,Gabriel Bourget,Parliamentary Secretary | Issues Manager,1,Gabriel Bourget
552725,2022-12-07,Gabriel Bourget,Deputy Director,1,Gabriel Bourget
576025,2023-09-12,Gabriel Bourget,Director of Communications,1,Gabriel Bourget
581584,2023-10-26,Gabriel Bourget,Director of Communications,1,Gabriel Bourget
599362,2024-03-07,Gabriel Bourget,Director of Communications,1,Gabriel Bourget
609486,2024-07-02,Gabriel Bourget,Director of Communications,1,Gabriel Bourget
557182,2023-02-22,gabriel broderick,Policy Analyst,1,Gabriel Broderick
631234,2025-02-14,gabriel broderick,Senior Policy Advisor,1,Gabriel Broderick
587293,2023-11-27,Gabriel  Broderick,Special Advisor,1,Gabriel Broderick
538932,2022-07-29,Gabriel Broderick,Special Assistant,1,Gabriel Broderick
539270,2022-08-08,Gabriel Broderick,"Special Assistant, Policy",1,Gabriel Broderick
541100,2022-09-12,Gabriel Broderick,"Regional Advisor, Ontario",1,Gabriel Broderick
543422,2022-09-28,Gabriel Broderick,Special Assistant,1,Gabriel Broderick
546899,2022-10-06,Gabriel Broderick,"Regional Advisor, Office of the Minister of Public Safety",1,Gabriel Broderick
559407,2023-02-13,Gabriel Broderick,"Regional Advisor, Ontario",1,Gabriel Broderick
580735,2023-10-16,Gabriel Broderick,"Regional Advisor, Ontario",1,Gabriel Broderick
586106,2023-11-15,Gabriel Broderick,Senior Regional and Policy Advisor,1,Gabriel Broderick
585291,2023-11-20,Gabriel Broderick,Senior Regional and Policy Advisor,1,Gabriel Broderick
587210,2023-11-21,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
587214,2023-11-21,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
585883,2023-11-27,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick
592263,2024-01-09,Gabriel Broderick,"Senior Regional Advisor, Ontario",1,Gabriel Broderick
591891,2024-01-17,Gabriel Broderick,Regional Advisor,1,Gabriel Broderick
591290,2024-01-17,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
591880,2024-01-17,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick
591794,2024-01-18,Gabriel Broderick,Regional Advisor,1,Gabriel Broderick
592851,2024-01-25,Gabriel Broderick,Regional Advisor,1,Gabriel Broderick
594007,2024-01-30,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick
591338,2024-01-30,Gabriel Broderick,Senior Regional and Policy Advisor,1,Gabriel Broderick
599586,2024-03-21,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick
608430,2024-05-02,Gabriel Broderick,"Senior Regional Advisor, Ontario",1,Gabriel Broderick
605442,2024-05-29,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick
614860,2024-08-06,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
613786,2024-09-03,Gabriel Broderick,Senior Regional Advisor,1,Gabriel Broderick
616616,2024-09-19,Gabriel Broderick,Senior Regional and Policy Advisor,1,Gabriel Broderick
622202,2024-11-07,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
627559,2024-11-08,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
625312,2024-11-27,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
629308,2024-12-02,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
624541,2024-12-03,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
630918,2025-01-30,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
630921,2025-01-30,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
630922,2025-01-30,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
630924,2025-01-30,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
630925,2025-01-30,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
631865,2025-02-13,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
632571,2025-02-21,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
633702,2025-02-27,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
634809,2025-03-04,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
636930,2025-05-26,Gabriel Broderick,Senior Policy Advisor,1,Gabriel Broderick
597613,2024-02-27,Gabriel  Brunet ,Parliamentary Affairs Advisor,1,Gabriel Brunet
523365,2022-02-15,Gabriel Brunet,Communications Advisor,1,Gabriel Brunet
525273,2022-02-15,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet
524007,2022-02-16,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet
528986,2022-03-10,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet
524905,2022-03-10,Gabriel Brunet,Special Assistant,1,Gabriel Brunet
524963,2022-03-11,Gabriel Brunet,Communications Advisor,1,Gabriel Brunet
528066,2022-03-17,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet
530992,2022-04-07,Gabriel Brunet,Parliamentary Affairs Advisor to the Minister,1,Gabriel Brunet
532011,2022-05-03,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet
534851,2022-05-10,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet
533882,2022-05-19,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet
534571,2022-05-19,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet
538847,2022-07-11,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet
539665,2022-07-29,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet
543935,2022-09-21,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet
549319,2022-12-08,Gabriel Brunet,Assistant,1,Gabriel Brunet
555970,2023-01-24,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet
561786,2023-03-27,Gabriel Brunet,Communications Advisor to the Minister,1,Gabriel Brunet
567653,2023-06-07,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet
588602,2023-11-08,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet
587366,2023-11-30,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet
596858,2024-02-27,Gabriel Brunet,Parliamentary Secretary,1,Gabriel Brunet
599737,2024-03-21,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet
610130,2024-06-06,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet
610451,2024-06-06,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet
611016,2024-06-06,Gabriel Brunet,Parliamentary Affairs Advisor,1,Gabriel Brunet
489791,2020-11-19,gabriel Cyr,Policy Advisor,1,Gabriel Cyr
405297,2017-06-20,Gabriel Cyr,Constituency Assistant,1,Gabriel Cyr
405587,2017-06-28,Gabriel Cyr,Constituency Assistant,1,Gabriel Cyr
407630,2017-08-07,Gabriel Cyr,Constituency Assistant,1,Gabriel Cyr
424493,2017-10-19,Gabriel Cyr,"Vice President, Young Liberals",1,Gabriel Cyr
414733,2017-11-30,Gabriel Cyr,Advisor to Member of Parliament,1,Gabriel Cyr
414734,2017-11-30,Gabriel Cyr,Advisor to Member of Parliament,1,Gabriel Cyr
414735,2017-11-30,Gabriel Cyr,Advisor to Member of Parliament,1,Gabriel Cyr
417314,2017-12-04,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr
417315,2017-12-04,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr
417326,2017-12-13,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr
417327,2017-12-18,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr
417328,2017-12-22,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr
419536,2018-01-25,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr
420398,2018-02-08,Gabriel Cyr,Advisor to Member of Parliament,1,Gabriel Cyr
422089,2018-02-21,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr
422091,2018-02-22,Gabriel Cyr,Parliamentary Secretary,1,Gabriel Cyr
424257,2018-03-02,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
424260,2018-03-12,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
424261,2018-03-13,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
424264,2018-03-26,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
424265,2018-03-30,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
426280,2018-04-13,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
426283,2018-04-16,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
426296,2018-04-24,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
429120,2018-05-09,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
429130,2018-05-14,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
429140,2018-05-30,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
429141,2018-05-31,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
430629,2018-06-14,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
430635,2018-06-15,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
430643,2018-06-26,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
430644,2018-06-28,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
431634,2018-07-11,Gabriel Cyr,Parliamentary Assistant,1,Gabriel Cyr
437023,2018-10-09,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
437025,2018-10-16,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
441217,2018-11-05,Gabriel Cyr,Policy and Operations Advisor,1,Gabriel Cyr
443322,2018-12-14,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
452514,2019-04-11,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
465318,2020-02-13,Gabriel Cyr,Policy and Operations Advisor,1,Gabriel Cyr
465825,2020-02-19,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
466337,2020-02-19,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
467216,2020-02-19,Gabriel Cyr,Policy Advisor and Quebec Lead to the Minister of Economic Development and Official Languages,1,Gabriel Cyr
466769,2020-02-19,Gabriel Cyr,"Policy Advisor, Quebec Files Lead",1,Gabriel Cyr
467671,2020-02-19,Gabriel Cyr,"Policy Advisor, Quebec Files Lead",1,Gabriel Cyr
467771,2020-02-19,Gabriel Cyr,"Policy and Operations Advisor, Quebec Files",1,Gabriel Cyr
474026,2020-03-11,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
469900,2020-03-13,Gabriel Cyr,Policy and Operations Advisor,1,Gabriel Cyr
473879,2020-04-28,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
476181,2020-05-08,Gabriel Cyr,"Political Advisor, Minister's Office",1,Gabriel Cyr
475415,2020-05-29,Gabriel Cyr,"Advisor, Economy, Quebec",1,Gabriel Cyr
482122,2020-08-17,Gabriel Cyr,"Policy Advisor, Quebec Regions",1,Gabriel Cyr
485062,2020-09-04,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
485066,2020-09-09,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
485070,2020-09-11,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
481982,2020-09-14,Gabriel Cyr,"Policy Advisor, Quebec Regions",1,Gabriel Cyr
485075,2020-09-17,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
485197,2020-09-18,Gabriel Cyr,"Policy Advisor, Quebec Regions",1,Gabriel Cyr
485401,2020-09-22,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
483518,2020-10-01,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
486327,2020-10-05,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
485381,2020-10-09,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
485672,2020-10-09,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
488809,2020-10-23,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
486061,2020-10-23,Gabriel Cyr,"Policy Advisor, Quebec",1,Gabriel Cyr
485676,2020-10-26,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
488020,2020-10-27,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
490005,2020-11-02,Gabriel Cyr,"Policy Advisor, Quebec",1,Gabriel Cyr
490015,2020-11-09,Gabriel Cyr,"Policy Advisor, Quebec",1,Gabriel Cyr
490018,2020-11-11,Gabriel Cyr,"Policy Advisor, Quebec",1,Gabriel Cyr
490020,2020-11-12,Gabriel Cyr,"Policy Advisor, Quebec",1,Gabriel Cyr
490027,2020-11-19,Gabriel Cyr,"Policy Advisor, Quebec",1,Gabriel Cyr
488785,2020-11-20,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
490028,2020-11-20,Gabriel Cyr,"Policy Advisor, Quebec",1,Gabriel Cyr
490029,2020-11-23,Gabriel Cyr,"Policy Advisor, Quebec",1,Gabriel Cyr
491192,2020-11-24,Gabriel Cyr,Policy Advisor,1,Gabriel Cyr
