comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
277033,2013-05-08,Dr. Harold Albrecht,Member of Parliament,1,Harold Albrecht
160740,2010-11-23,"Dr. Harold Albrecht, M.P.","Member, Access to Information, Privacy and Ethics Committee",1,Harold Albrecht
553478,2023-01-12,Dr. Harpreet Kocchar,President,1,Harpreet Kocchar
536215,2022-06-01,Dr. Harpreet Kochhar,President,1,Harpreet Kochhar
600543,2024-03-22,Dr. Harpreet Kochhar,Deputy Minister,1,Harpreet Kochhar
479968,2020-06-12,Dr. Harpreet S Kochhar,"Assistant Deputy Minister, Health Canada",1,Harpreet S Kochhar
596107,2024-03-11,Dr. Harpreet S Kochhar ,Deputy Minister,1,Harpreet S Kochhar
147753,2010-04-13,Dr. Hasan Hutchinson,"Director General, Office of Nutrition Policy",1,Hasan Hutchinson
147756,2010-04-15,Dr. Hasan Hutchinson,"Director General, Office of Nutrition Policy",1,Hasan Hutchinson
147751,2010-05-06,Dr. Hasan Hutchinson,"Director General, Office of Nutrition Policy",1,Hasan Hutchinson
165830,2011-01-26,Dr. Hasan Hutchinson,Director General,1,Hasan Hutchinson
401192,2017-05-09,Dr. Hasan Hutchinson,Director General,1,Hasan Hutchinson
259529,2013-02-05,Dr Hedy Fry,Member of Parliament,1,Hedy Fry
159302,2010-10-20,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
225387,2012-06-04,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
327319,2014-05-01,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
355551,2015-05-14,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
356317,2015-05-14,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
376923,2016-04-16,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
381068,2016-06-24,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
383025,2016-07-13,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
386460,2016-10-31,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
423735,2018-03-16,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
455894,2019-05-21,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
506226,2021-05-20,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry
603317,2024-04-30,Dr. Helena Jaczek,Member of Parliament,1,Helena Jaczek
520186,2021-12-22,Dr. Howard  Njoo,Deputy Chief Public Health Officer,1,Howard Njoo
156982,2010-10-13,Dr. Howard Njoo,Director General,1,Howard Njoo
485552,2020-10-21,Dr. Howard Njoo,Deputy Chief Public Health Officer,1,Howard Njoo
203490,2011-12-23,Habib Massoud,"Assistant Director, Missiles, Space Security and Conventional Weapons",1,Habib Massoud
216196,2012-02-15,Habib Massoud,Assistant Director,1,Habib Massoud
223079,2012-04-19,Habib Massoud,"Assistant Director, Missiles, Space Security",1,Habib Massoud
227181,2012-05-16,Habib Massoud,Assistant Director,1,Habib Massoud
242211,2012-09-19,Habib Massoud,Assistant Director,1,Habib Massoud
280890,2013-03-06,Habib Massoud,"Assistant Director, Missiles, Space Security and ...",1,Habib Massoud
275796,2013-05-08,Habib Massoud,Chief Negotiator,1,Habib Massoud
299249,2013-09-24,Habib Massoud,"Assistant Director, Missiles, Space Security and ...",1,Habib Massoud
558167,2023-02-09,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
559936,2023-02-13,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
564434,2023-03-02,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
560611,2023-03-22,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
564555,2023-05-09,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
569945,2023-05-24,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
570112,2023-05-24,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
568982,2023-05-29,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
569647,2023-05-31,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
570644,2023-06-05,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
573706,2023-07-19,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
574605,2023-07-19,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
573806,2023-07-20,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
576945,2023-08-28,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
579084,2023-09-11,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
576530,2023-09-12,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
579748,2023-09-15,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
580661,2023-10-03,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
583827,2023-10-06,Hadeel April Aziz,Special Assistant,1,Hadeel April Aziz
577870,2023-10-06,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
578464,2023-10-12,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
584205,2023-10-12,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
583290,2023-10-13,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
585109,2023-11-28,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
586285,2023-12-07,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
590219,2023-12-21,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
590977,2024-01-08,Hadeel April Aziz,Policy Advisor,1,Hadeel April Aziz
589802,2024-01-09,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
594385,2024-01-09,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
591126,2024-01-12,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
599839,2024-03-26,Hadeel April Aziz,Special Assistant,1,Hadeel April Aziz
602915,2024-04-30,Hadeel April Aziz,Regional Advisor,1,Hadeel April Aziz
603842,2024-04-30,Hadeel April Aziz,Regional Advisor,1,Hadeel April Aziz
603478,2024-04-30,Hadeel April Aziz,Special Assistant,1,Hadeel April Aziz
604062,2024-04-30,Hadeel April Aziz,Special Assistant,1,Hadeel April Aziz
604405,2024-04-30,Hadeel April Aziz,Special Assistant,1,Hadeel April Aziz
605279,2024-05-27,Hadeel April Aziz,Ontario Desk,1,Hadeel April Aziz
605553,2024-05-31,Hadeel April Aziz,Regional Advisor,1,Hadeel April Aziz
614003,2024-09-06,Hadeel April Aziz,"Regional Advisor, Ontario",1,Hadeel April Aziz
617288,2024-09-24,Hadeel April Aziz,Regional Advisor,1,Hadeel April Aziz
617891,2024-10-03,Hadeel April Aziz,"Regional Advisor, Ontario",1,Hadeel April Aziz
620194,2024-10-03,Hadeel April Aziz,"Regional Advisor, Ontario and Outreach",1,Hadeel April Aziz
616262,2024-10-07,Hadeel April Aziz,"Regional Advisor, Ontario",1,Hadeel April Aziz
623789,2024-10-08,Hadeel April Aziz,Policy Advisor,1,Hadeel April Aziz
622910,2024-10-22,Hadeel April Aziz,Regional Advisor,1,Hadeel April Aziz
622941,2024-10-29,Hadeel April Aziz,Regional Advisor,1,Hadeel April Aziz
621756,2024-11-06,Hadeel April Aziz,Regional Advisor,1,Hadeel April Aziz
624323,2024-11-07,Hadeel April Aziz,"Regional Advisor, Ontario and Outreach",1,Hadeel April Aziz
623805,2024-11-21,Hadeel April Aziz,"Regional Advisor, Ontario",1,Hadeel April Aziz
624760,2024-11-27,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
625077,2024-12-09,Hadeel April Aziz,"Regional Advisor, Ontario",1,Hadeel April Aziz
625121,2024-12-09,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz
630548,2025-01-22,Hadeel April Aziz,Director of Outreach,1,Hadeel April Aziz
631480,2025-01-31,Hadeel April Aziz,Director of Outreach,1,Hadeel April Aziz
597949,2024-02-29,Hadeel  Aziz,Regional Advisor,1,Hadeel Aziz
604819,2024-04-30,Hadeel  Aziz,Regional Advisor,1,Hadeel Aziz
516571,2021-12-06,Hadeel Aziz,Legislative Assistant,1,Hadeel Aziz
553748,2022-12-13,Hadeel Aziz,"Special Assistant, Ontario",1,Hadeel Aziz
552561,2022-12-13,Hadeel Aziz,"Special Assistant, Ontario Desk",1,Hadeel Aziz
553364,2023-01-11,Hadeel Aziz,"Special Assistant, Ontario",1,Hadeel Aziz
553366,2023-01-11,Hadeel Aziz,"Special Assistant, Ontario",1,Hadeel Aziz
553367,2023-01-11,Hadeel Aziz,"Special Assistant, Ontario",1,Hadeel Aziz
556057,2023-01-11,Hadeel Aziz,"Special Assistant, Ontario",1,Hadeel Aziz
