comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
170888,2011-03-11,Dr. Karen Dodds,Assistant Deputy Minister,1,Karen Dodds
154630,2010-08-18,"Dr. Karen Dodds, PhD",Assistant Deputy Minister,1,Karen Dodds
512888,2021-08-12,Dr.  Kelley Blanchette,Assistant Deputy Minister,1,Kelley Blanchette
530707,2022-05-03,Dr. Kelley  Blanchette ,"Assistant Deputy Minister, Lands and Economic Development",1,Kelley Blanchette
538868,2022-07-15,Dr. Kelley  Blanchette ,"Assistant Deputy Minister, Lands and Economic Development",1,Kelley Blanchette
542710,2022-10-05,Dr. Kelley  Blanchette ,Assistant Deputy Minister,1,Kelley Blanchette
548150,2022-11-21,Dr. Kelley  Blanchette ,Assistant Deputy Minister,1,Kelley Blanchette
513492,2021-08-19,Dr. Kelley Blanchette,Assistant Deputy Minister,1,Kelley Blanchette
183147,2011-08-03,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch
195003,2011-10-24,Dr. Kellie Leitch,Parliamentary Secretary,1,Kellie Leitch
209048,2012-02-07,Dr. Kellie Leitch,Parliamentary Secretary,1,Kellie Leitch
212388,2012-02-16,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch
223452,2012-04-03,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch
265274,2013-02-26,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch
367987,2016-02-02,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch
375022,2016-04-14,Dr. Kellie Leitch,Member of Parliament,1,Kellie Leitch
386389,2016-10-24,Dr. Kelvin K. Ogilvie,Senator,1,Kelvin K. Ogilvie
173551,2011-05-02,Dr. Ken Scott,"Senior Medical Advisor to Assistant Deputy Minister, IDPC",1,Ken Scott
173549,2011-05-06,Dr. Ken Scott,"Senior Medical Advisor to Assistant Deputy Minister, IDPC",1,Ken Scott
487507,2020-10-07,Dr. Kirsten Hillman,Ambassador,1,Kirsten Hillman
227909,2012-06-20,Dr Kirsty Duncan,Member of Parliament,1,Kirsty Duncan
227301,2012-05-14,Dr. Kirsty Duncan,Member of Parliament,1,Kirsty Duncan
350802,2015-04-01,Dr. Kirsty Duncan,Member of Parliament,1,Kirsty Duncan
382056,2016-07-13,Dr. Kirsty Duncan,"Minister, Science",1,Kirsty Duncan
342088,2014-09-22,Dr K Kellie Leitch,Minister of Labour | Minister of Status of Women,1,K Kellie Leitch
263591,2013-02-14,Dr. K. Kellie Leitch,Parliamentary Secretary,1,K. Kellie Leitch
312811,2013-12-16,Hon. Dr. Kellie Leitch,Minister of Labour | Minister of Status of Women,1,Kellie Leitch
343218,2014-12-19,"Hon. Dr. Kellie Leitch, P.C., M.P.","Minister, Labour and Housing",1,Kellie Leitch
350617,2015-02-13,"Hon. Dr. Kellie Leitch, P.C., M.P.",Minister,1,Kellie Leitch
350619,2015-02-19,"Hon. Dr. Kellie Leitch, P.C., M.P.",Minister,1,Kellie Leitch
350620,2015-02-20,"Hon. Dr. Kellie Leitch, P.C., M.P.",Minister,1,Kellie Leitch
343207,2014-12-02,"Hon. Dr. Kellie Leitch, P.C.,M.P.",Minister,1,Kellie Leitch
468370,2020-02-05,Hon. Hon Kerry-Lynne D Findlay,"Shadow Minister, Environment and Climate Change",1,Kerry-lynne D Findlay
619120,2024-10-24,Hon. Kamal Khera ,"Minister, Diversity, Inclusion and Persons with Disabilities",1,Kamal Khera
536085,2022-06-06,Hon. Karen Sorensen,Senator,1,Karen Sorensen
539224,2022-07-12,Hon. Karen Sorensen,Senator,1,Karen Sorensen
407591,2017-08-17,Hon. Karina Gould,Member of Parliament,1,Karina Gould
476252,2020-06-22,Hon. Karina Gould,Member of Parliament,1,Karina Gould
150354,2010-06-03,Hon. Keith Ashfield,"Minister, Atlantic Canada Opportunities Agency",1,Keith Ashfield
151240,2010-06-28,Hon. Keith Ashfield,"Minister, Atlantic Canada Opportunities Agency and Atlantic Gateway",1,Keith Ashfield
170031,2011-03-24,Hon. Keith Ashfield,Minister,1,Keith Ashfield
191614,2011-10-04,Hon. Keith Ashfield,Minister,1,Keith Ashfield
