comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
507537,2021-05-03,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
508184,2021-05-03,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
510305,2021-06-28,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
510931,2021-06-28,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
518458,2021-12-08,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
518955,2021-12-08,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
519051,2021-12-08,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
519882,2021-12-08,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
522106,2022-01-27,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
524750,2022-02-02,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
525215,2022-02-25,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
529972,2022-03-30,Dr. Liz Foster,Associate Assistant Deputy Minister,1,Liz Foster
533351,2022-05-25,Dr. Liz Foster,Assistant Deputy Minister,1,Liz Foster
430550,2018-06-18,Dr. Lucye Galant,Acting Director,1,Lucye Galant
381198,2016-06-13,Hon. Larry Bagnell,Member of Parliament,1,Larry Bagnell
391414,2016-11-03,Hon. Larry Bagnell,Member of Parliament,1,Larry Bagnell
423156,2018-03-20,Hon. Larry Bagnell,Member of Parliament,1,Larry Bagnell
393115,2017-01-23,Hon. Larry Gagnell,Member of Parliament,1,Larry Gagnell
429294,2018-05-31,Hon. Larry Smith,Senator,1,Larry Smith
407173,2017-08-29,Hon. Laurence MacAulay,Minister,1,Laurence Macaulay
422618,2018-03-16,Hon. Laurence MacAulay,Member of Parliament,1,Laurence Macaulay
245405,2012-10-30,Hon. Laurie Hawn,Member of Parliament,1,Laurie Hawn
355553,2015-05-14,Hon. Laurie Hawn,Member of Parliament,1,Laurie Hawn
357476,2015-06-26,Hon. Laurie Hawn,Member of Parliament,1,Laurie Hawn
282769,2013-06-19,Hon. Lawrence Cannon,Ambassador of Canada to France,1,Lawrence Cannon
343485,2014-11-25,Hon Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay
408432,2017-09-25,Hon Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
408441,2017-09-26,Hon Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
422164,2018-02-26,Hon Lawrence MacAulay,Minister,1,Lawrence Macaulay
422667,2018-03-19,Hon Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
226858,2012-06-07,Hon. Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay
326729,2014-06-07,Hon. Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay
365101,2015-11-13,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
365129,2015-11-17,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
364949,2015-11-21,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
369638,2015-12-01,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
364948,2015-12-10,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
366598,2015-12-14,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
372501,2016-02-17,Hon. Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay
371328,2016-02-24,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food Canada",1,Lawrence Macaulay
371497,2016-02-25,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
371468,2016-03-02,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
372352,2016-03-09,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
371491,2016-03-09,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
380817,2016-06-01,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
386873,2016-10-18,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
387456,2016-10-18,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
388734,2016-11-17,Hon. Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay
392461,2017-01-10,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
393616,2017-02-07,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
407645,2017-08-29,Hon. Lawrence MacAulay,Member of Parliament,1,Lawrence Macaulay
409092,2017-09-25,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
408500,2017-09-26,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
411771,2017-11-07,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
415367,2017-11-16,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
415420,2017-11-20,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
415421,2017-11-21,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
414406,2017-11-27,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
417582,2017-12-14,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
419943,2018-02-06,Hon. Lawrence MacAulay,"Minister, Agriculture",1,Lawrence Macaulay
420580,2018-02-14,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
423124,2018-03-12,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
423383,2018-03-20,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food Canada",1,Lawrence Macaulay
429558,2018-05-08,Hon. Lawrence MacAulay,"Minister, Agriculture",1,Lawrence Macaulay
430229,2018-06-11,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
431428,2018-07-11,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food Canada",1,Lawrence Macaulay
434923,2018-09-04,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
434763,2018-09-12,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
434434,2018-09-25,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
434444,2018-09-25,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
434446,2018-09-25,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
441661,2018-11-15,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
446091,2019-02-21,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
446092,2019-02-21,Hon. Lawrence MacAulay,"Minister, Agriculture and Agri-Food",1,Lawrence Macaulay
474039,2020-05-19,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
482724,2020-09-21,Hon. Lawrence MacAulay,Minister,1,Lawrence Macaulay
550017,2022-11-30,Hon. Lawrence MacAulay,"Minister, Veterans Affairs",1,Lawrence Macaulay
369701,2016-02-02,HON. LAWRENCE MacAULAY,Minister,1,Lawrence Macaulay
396189,2017-02-07,HON. LAWRENCE MACAULAY,Minister,1,Lawrence Macaulay
380496,2016-06-16,"Hon. Lawrence MacAulay, P.C., M.P.","Minister, Agriculture",1,Lawrence Macaulay
384739,2016-09-12,"Hon. Lawrence MacAulay, P.C., M.P.",Minister,1,Lawrence Macaulay
389445,2016-11-15,"Hon. Lawrence MacAulay, P.C., M.P.",Minister,1,Lawrence Macaulay
407017,2017-07-06,"Hon. Lawrence MacAulay, P.C., M.P.","Minister, Agriculture and Agri-Food Canada",1,Lawrence Macaulay
366709,2015-12-02,HON. LAWRENCE MacAULEY,Minister,1,Lawrence Macauley
341630,2014-11-20,Hon. Leaona Aglukkaq,Minister,1,Leaona Aglukkaq
349093,2015-03-13,Hon. Leona Aglikkaq,Minister,1,Leona Aglikkaq
323995,2014-04-10,Hon Leona Aglukkaq,Minister,1,Leona Aglukkaq
229269,2012-06-18,Hon. Leona Aglukkaq,"Minister, Canadian Northern Economic Development Agency",1,Leona Aglukkaq
277345,2013-06-06,Hon. Leona Aglukkaq,"Minister, Health",1,Leona Aglukkaq
323997,2014-04-10,Hon. Leona Aglukkaq,Minister,1,Leona Aglukkaq
348893,2015-03-02,Hon. Leona Aglukkaq,Minister,1,Leona Aglukkaq
158653,2010-10-08,Hon Lisa Raitt,Minister,1,Lisa Raitt
457695,2019-06-05,Hon Lisa Raitt,Member of Parliament,1,Lisa Raitt
98634,2009-02-27,Hon. Lisa Raitt,Minister,1,Lisa Raitt
125794,2009-09-24,Hon. Lisa Raitt,"Minister, Natural Resources",1,Lisa Raitt
149605,2010-05-19,Hon. Lisa Raitt,"Minister, Labour",1,Lisa Raitt
156278,2010-09-30,Hon. Lisa Raitt,Minister,1,Lisa Raitt
158652,2010-10-01,Hon. Lisa Raitt,Minister,1,Lisa Raitt
163377,2010-12-02,Hon. Lisa Raitt,"Minister, Labour",1,Lisa Raitt
202207,2011-12-02,Hon. Lisa Raitt,"Minister, Labour",1,Lisa Raitt
210529,2012-02-13,Hon. Lisa Raitt,"Minister, Labour",1,Lisa Raitt
217728,2012-03-01,Hon. Lisa Raitt,"Minister, Labour",1,Lisa Raitt
222559,2012-04-03,Hon. Lisa Raitt,"Minister, Labour",1,Lisa Raitt
223583,2012-04-03,Hon. Lisa Raitt,"Minister, Labour",1,Lisa Raitt
221247,2012-04-24,Hon. Lisa Raitt,"Minister, Labour",1,Lisa Raitt
233223,2012-08-07,Hon. Lisa Raitt,"Minister, Labour",1,Lisa Raitt
245421,2012-10-30,Hon. Lisa Raitt,"Minister, Labour",1,Lisa Raitt
257103,2013-01-17,Hon. Lisa Raitt,Minister,1,Lisa Raitt
287389,2013-07-23,Hon. Lisa Raitt,Minister,1,Lisa Raitt
286776,2013-07-23,Hon. Lisa Raitt,"Minister, Transport",1,Lisa Raitt
304890,2013-10-21,Hon. Lisa Raitt,"Minister, Transport",1,Lisa Raitt
299015,2013-10-22,Hon. Lisa Raitt,"Minister, Transport",1,Lisa Raitt
316309,2014-01-06,Hon. Lisa Raitt,"Minister, Transport",1,Lisa Raitt
317669,2014-02-25,Hon. Lisa Raitt,"Minister, Transport",1,Lisa Raitt
319709,2014-02-28,Hon. Lisa Raitt,"Minister, Transport",1,Lisa Raitt
330645,2014-07-21,Hon. Lisa Raitt,"Minister, Transport",1,Lisa Raitt
357972,2015-04-21,Hon. Lisa Raitt,"Minister, Transport",1,Lisa Raitt
