comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
543604,2022-09-15,B.A. Mondelli,Chief Petty Officer 1st Class,1,Mondelli
418017,2017-12-07,Dr. Magdi Habib,Director General,1,Magdi Habib
379648,2016-05-30,Dr. Manisha Mehrotra,Director,1,Manisha Mehrotra
578975,2023-09-21,Dr. Marcel Lacroix,Commission Member,1,Marcel Lacroix
408074,2017-08-09,Dr Marc Fortin,Assistant Deputy Minister,1,Marc Fortin
321289,2014-04-07,Dr. Marc Fortin,"Assistant Deputy Minister, Science and Technology",1,Marc Fortin
490064,2020-11-02,Dr. Marc Fortin,"Chief Operating Officer and Vice President, Research Partnerships",1,Marc Fortin
393076,2017-01-30,Dr. Mark Kristmanson,Chief Executive Officer,1,Mark Kristmanson
366720,2015-12-15,Dr. Martin Appelt,Acting Director,1,Martin Appelt
245520,2012-10-16,Dr. Martin Duplessis,"Manager, Food Emergency Preparedness and Response Unit",1,Martin Duplessis
471072,2020-03-05,Dr. Martine Dubuc,Associate Deputy Minister,1,Martine Dubuc
610710,2024-06-10,Dr. Mary-Jane Ireland,Chief Veterinary Officer,1,Mary-jane Ireland
599794,2024-03-26,Dr. Michael Rosu-Myles,Director,1,Michael Rosu-myles
479968,2020-06-12,Dr Michael Strong,"President, CIHR",1,Michael Strong
475034,2020-05-12,Dr. Michael Strong,President,1,Michael Strong
480224,2020-07-02,Dr. Michel Dumoulin,"Vice President, Engineering",1,Michel Dumoulin
480245,2020-07-02,Dr. Michel Dumoulin,"Vice President, Engineering",1,Michel Dumoulin
550265,2022-12-01,Dr. Michelle Illing,Senior Director,1,Michelle Illing
478737,2020-07-30,Dr. Mohit Baxi,"Senior Director, Animal Import/Export",1,Mohit Baxi
481476,2020-09-11,Dr. Mohit Baxi,Senior Director,1,Mohit Baxi
492045,2020-12-08,Dr. Mohit Baxi,"Senior Director, Animal Import Export Program",1,Mohit Baxi
498941,2021-02-25,Dr. Mohit Baxi,Director General,1,Mohit Baxi
478604,2020-06-18,Dr. Mona Nemer,Chief Science Advisor,1,Mona Nemer
366775,2015-12-15,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
372424,2016-02-29,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
381201,2016-06-01,Hon. Marc Garneau,Member of Parliament,1,Marc Garneau
383266,2016-06-10,Hon. Marc Garneau,"Minister, Transport Canada",1,Marc Garneau
382774,2016-07-05,Hon. Marc Garneau,Minister,1,Marc Garneau
390480,2016-11-30,Hon. Marc Garneau,Minister,1,Marc Garneau
397214,2017-03-16,Hon. Marc Garneau,Minister,1,Marc Garneau
402035,2017-05-15,Hon. Marc Garneau,Minister,1,Marc Garneau
402072,2017-05-18,Hon. Marc Garneau,Minister,1,Marc Garneau
405902,2017-06-14,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
404996,2017-06-18,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
405897,2017-07-11,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
409498,2017-10-11,Hon. Marc Garneau,"Minister, Transportation",1,Marc Garneau
412460,2017-11-06,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
421803,2018-02-15,Hon. Marc Garneau,Minister,1,Marc Garneau
424561,2018-03-13,Hon. Marc Garneau,Minister,1,Marc Garneau
430511,2018-03-28,Hon. Marc Garneau,Member of Parliament,1,Marc Garneau
426058,2018-04-18,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
424892,2018-04-30,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
427741,2018-05-22,Hon. Marc Garneau,Minister,1,Marc Garneau
430825,2018-06-01,Hon. Marc Garneau,Minister,1,Marc Garneau
435334,2018-09-05,Hon. Marc Garneau,Minister,1,Marc Garneau
434763,2018-09-12,Hon. Marc Garneau,Minister,1,Marc Garneau
437972,2018-10-22,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
441355,2018-11-29,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
473902,2020-03-02,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
488676,2020-06-22,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
488683,2020-07-24,Hon. Marc Garneau,"Minister, Transport",1,Marc Garneau
545174,2022-11-03,Hon. Marc Garneau,Member of Parliament,1,Marc Garneau
375616,2016-05-03,Hon. Marc Garneau. PC,Minister,1,Marc Garneau
364570,2015-11-20,"Hon. Marc Garneau, P.C., M.P.","Minister, Transport",1,Marc Garneau
366213,2015-12-21,"Hon. Marc Garneau, P.C., M.P.",Minister,1,Marc Garneau
368774,2016-01-21,"Hon. Marc Garneau, P.C., M.P.","Minister, Transportation",1,Marc Garneau
370647,2016-02-29,"Hon. Marc Garneau, P.C., M.P.","Minister, Transport",1,Marc Garneau
375628,2016-04-04,"Hon. Marc Garneau, P.C., M.P.","Minister, Transport",1,Marc Garneau
375627,2016-04-22,"Hon. Marc Garneau, P.C., M.P.","Minister, Transport",1,Marc Garneau
380491,2016-06-01,"Hon. Marc Garneau, P.C., M.P.","Minister, Transport",1,Marc Garneau
380494,2016-06-10,"Hon. Marc Garneau, P.C., M.P.","Minister, Transport",1,Marc Garneau
380495,2016-06-13,"Hon. Marc Garneau, P.C., M.P.","Minister, Transport",1,Marc Garneau
380498,2016-06-21,"Hon. Marc Garneau, P.C., M.P.","Minister, Transport",1,Marc Garneau
384752,2016-09-02,"Hon. Marc Garneau, P.C., M.P.",Minister,1,Marc Garneau
414782,2017-11-24,"Hon. Marc Garneau, P.C., M.P.",Minister,1,Marc Garneau
418760,2018-01-17,"Hon. Marc Garneau, P.C., M.P.",Minister,1,Marc Garneau
425239,2018-04-06,"Hon. Marc Garneau, P.C., M.P.",Minister,1,Marc Garneau
431953,2018-07-05,"Hon. Marc Garneau, P.C., M.P.",Minister,1,Marc Garneau
625543,2024-11-18,Hon Marc  Gold,Government Representative,1,Marc Gold
519540,2022-01-11,Hon. Marci Ien,Minister,1,Marci Ien
629975,2025-01-27,Hon. Marc  Miller,Minister,1,Marc Miller
500419,2021-03-30,Hon. Marc Miller,Member of Parliament,1,Marc Miller
476271,2020-05-11,Hon. Marco Mendicino,"Minister, Immigration, Refugees and Citizenship",1,Marco Mendicino
502353,2021-03-31,Hon. Marco Mendicino,"Minister, Immigration, Refugees and Citizenship",1,Marco Mendicino
585198,2023-11-28,Hon. Marco Mendicino,Member of Parliament,1,Marco Mendicino
586271,2023-11-28,Hon. Marco Mendicino,Member of Parliament,1,Marco Mendicino
476284,2020-04-14,Hon. Marie Claude Bibeau,"Minister, Agriculture and Agri-Food",1,Marie Claude Bibeau
448745,2019-03-11,Hon. Marie-Claude Bibeau,"Minister, Agriculture and Agri-Food Canada",1,Marie-claude Bibeau
449491,2019-03-25,Hon. Marie-Claude Bibeau,"Minister, Agriculture",1,Marie-claude Bibeau
451295,2019-04-04,Hon. Marie-Claude Bibeau,"Minister, Agriculture and Agri-Food",1,Marie-claude Bibeau
451374,2019-04-04,Hon. Marie-Claude Bibeau,"Minister, Agriculture and Agri-Food Canada",1,Marie-claude Bibeau
451377,2019-04-04,Hon. Marie-Claude Bibeau,"Minister, Agriculture and Agri-Food Canada",1,Marie-claude Bibeau
454511,2019-05-02,Hon. Marie-Claude Bibeau,"Minister, Agriculture and Agri-Food",1,Marie-claude Bibeau
