comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
633207,2025-02-24,Dr. Nancy Rheault,Senior Director,1,Nancy Rheault
448619,2019-03-26,Dr. Nipun Vats,Assistant Deputy Minister,1,Nipun Vats
386328,2016-10-24,Hon. Nancy Green Raine,Senator,1,Nancy Green Raine
369362,2016-01-29,Hon Navdeep Bains,Minister,1,Navdeep Bains
380674,2016-06-15,Hon Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains
413648,2017-10-16,Hon Navdeep Bains,Minister,1,Navdeep Bains
417933,2017-12-15,Hon Navdeep Bains,Minister,1,Navdeep Bains
419144,2018-01-23,Hon Navdeep Bains,Minister,1,Navdeep Bains
428888,2018-05-25,Hon Navdeep Bains,Minister,1,Navdeep Bains
428891,2018-05-25,Hon Navdeep Bains,Minister,1,Navdeep Bains
428900,2018-05-25,Hon Navdeep Bains,Minister,1,Navdeep Bains
428905,2018-05-25,Hon Navdeep Bains,Minister,1,Navdeep Bains
432708,2018-07-17,Hon Navdeep Bains,Minister,1,Navdeep Bains
432715,2018-07-17,Hon Navdeep Bains,Minister,1,Navdeep Bains
432718,2018-07-17,Hon Navdeep Bains,Minister,1,Navdeep Bains
432721,2018-07-17,Hon Navdeep Bains,Minister,1,Navdeep Bains
433691,2018-08-08,Hon Navdeep Bains,Minister,1,Navdeep Bains
433694,2018-08-08,Hon Navdeep Bains,Minister,1,Navdeep Bains
433696,2018-08-08,Hon Navdeep Bains,Minister,1,Navdeep Bains
433700,2018-08-08,Hon Navdeep Bains,Minister,1,Navdeep Bains
466997,2020-02-10,Hon Navdeep Bains,Minister,1,Navdeep Bains
467939,2020-02-24,Hon Navdeep Bains,Member of Parliament,1,Navdeep Bains
365327,2015-11-20,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development Canada",1,Navdeep Bains
371930,2016-02-23,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains
374897,2016-03-01,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains
374134,2016-03-30,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development Canada",1,Navdeep Bains
383266,2016-06-10,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains
382585,2016-07-10,Hon. Navdeep Bains,"Minister, ISED",1,Navdeep Bains
382595,2016-07-19,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains
383952,2016-09-15,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains
392716,2016-12-16,Hon. Navdeep Bains,Minister,1,Navdeep Bains
392461,2017-01-10,Hon. Navdeep Bains,Minister,1,Navdeep Bains
405408,2017-06-20,Hon. Navdeep Bains,Minister,1,Navdeep Bains
419533,2018-01-15,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains
423040,2018-03-02,Hon. Navdeep Bains,Minister,1,Navdeep Bains
423740,2018-03-02,Hon. Navdeep Bains,Minister,1,Navdeep Bains
424352,2018-04-13,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains
427741,2018-05-22,Hon. Navdeep Bains,Minister,1,Navdeep Bains
430173,2018-06-20,Hon. Navdeep Bains,Minister,1,Navdeep Bains
459266,2019-08-23,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Bains
466318,2020-02-04,Hon. Navdeep Bains,"Minister, Innovation, Science and Industry",1,Navdeep Bains
468458,2020-02-21,Hon. Navdeep Bains,"Minister, Innovation, Science and Industry",1,Navdeep Bains
467190,2020-02-27,Hon. Navdeep Bains,Minister,1,Navdeep Bains
473918,2020-03-10,Hon. Navdeep Bains,"Minister, Innovation, Science and Economic Development Canada",1,Navdeep Bains
472587,2020-04-09,Hon. Navdeep Bains,"Minister, Innovation, Science and Industry",1,Navdeep Bains
488689,2020-09-01,Hon. Navdeep Bains,"Minister, Innovation, Science and Industry",1,Navdeep Bains
484441,2020-09-09,Hon. Navdeep Bains,"Minister, Innovation, Science and Industry",1,Navdeep Bains
386529,2016-10-20,"Hon. Navdeep Bains, P.C., M.P.",Minister,1,Navdeep Bains
197049,2011-11-17,"Hon. Nicole Eaton, P.C.",Senator,1,Nicole Eaton
174045,2011-06-16,Hon. Noel Kinsella,Speaker of the Senate,1,Noel Kinsella
390946,2016-11-23,Hon. Norman Doyle,Senator,1,Norman Doyle
473917,2020-03-10,Honourable Navdeep Bains,"Minister, Innovation, Science and Industry",1,Navdeep Bains
473941,2020-04-10,Honourable Navdeep Bains,"Minister, Innovation, Science and Industry",1,Navdeep Bains
437738,2018-10-10,Honourable Navdeep Singh Bains,"Minister, Innovation, Science and Economic Development",1,Navdeep Singh Bains
377185,2016-05-04,J.D. Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
379076,2016-05-04,J.D. Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
379088,2016-06-07,J.D. Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
391614,2016-11-22,J.D. Neil Bouwer,"Assistant Deputy Minister, Science and Policy Integration",1,Neil Bouwer
390327,2016-11-23,J.D. Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
391471,2016-11-23,J.D. Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
390837,2016-11-23,J.D. Neil Bouwer,"Assistant Deputy Minister, Science and Policy Integration",1,Neil Bouwer
391197,2016-11-23,J.D. Neil Bouwer,"Assistant Deputy Minister, Science and Policy Integration",1,Neil Bouwer
377045,2016-04-07,JD Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
375062,2016-04-12,JD Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
376309,2016-04-28,JD Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
382523,2016-06-01,JD Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
382992,2016-06-01,JD Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
378783,2016-06-07,JD Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
385799,2016-09-27,JD Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
393900,2017-01-24,JD Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
394001,2017-01-24,JD Neil Bouwer,Assistant Deputy Minister,1,Neil Bouwer
385590,2016-09-27,JD Neil Bower,Assistant Deputy Minister,1,Neil Bower
337237,2014-10-21,"Mr. Nathan Cullen, M.P.",Member of Parliament,1,Nathan Cullen
375468,2016-04-26,Mr. Nathon Gunn,Policy Advisor,1,Nathon Gunn
494397,2021-02-04,Mr. Norair Serengulian,"Director, Community Relations",1,Norair Serengulian
473994,2020-05-21,Ms. Nelly Shin,Member of Parliament,1,Nelly Shin
576864,2023-08-21,Nabeel  Abdullah,Regional Advisor,1,Nabeel Abdullah
595776,2024-02-28,Nabeel  Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
595777,2024-02-28,Nabeel  Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
596126,2024-02-28,Nabeel  Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
596130,2024-02-28,Nabeel  Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
596137,2024-02-28,Nabeel  Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
596176,2024-02-28,Nabeel  Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
596179,2024-02-28,Nabeel  Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
596181,2024-02-28,Nabeel  Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
596184,2024-02-28,Nabeel  Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
596187,2024-02-28,Nabeel  Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
596191,2024-02-28,Nabeel  Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
540165,2022-07-27,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
543522,2022-09-08,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
543925,2022-09-27,Nabeel Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
556739,2023-01-10,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
556759,2023-02-02,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
559985,2023-02-10,Nabeel Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
563054,2023-03-30,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
564859,2023-04-13,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
566357,2023-04-18,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
566362,2023-04-27,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
570187,2023-05-09,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
569805,2023-05-10,Nabeel Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
570376,2023-05-16,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
570378,2023-05-16,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
567328,2023-06-02,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
575059,2023-07-04,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
579470,2023-09-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
582083,2023-10-04,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
580277,2023-10-24,Nabeel Abdullah,"Regional Advisor, Calgary",1,Nabeel Abdullah
594557,2024-02-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
595151,2024-02-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
595154,2024-02-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
595159,2024-02-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
595161,2024-02-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
595162,2024-02-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
595163,2024-02-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
595186,2024-02-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
595191,2024-02-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
595193,2024-02-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
595195,2024-02-28,Nabeel Abdullah,Regional Advisor,1,Nabeel Abdullah
632880,2025-02-20,Nabih  Eldebs,"Secretary to Cabinet, Security and Intelligence",1,Nabih Eldebs
602520,2024-04-23,Nabih Eldebs,"Assistant Secretary to the Cabinet, Security and Intelligence",1,Nabih Eldebs
621986,2024-10-08,Nabih Eldebs,Assistant Secretary to the Cabinet,1,Nabih Eldebs
632931,2025-02-19,Nabih Eldebs,Assistant Secretary to the Cabinet,1,Nabih Eldebs
613015,2024-07-31,Nabila Taha,Head of Risk Management,1,Nabila Taha
525896,2022-02-17,Nabil Elasraoui,Venture Capital Associate,1,Nabil Elasraoui
