comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
502301,2021-03-10,Hon. Omar Alghabra,"Minister, Transport",1,Omar Alghabra
520296,2022-01-17,Hon. Omar Alghabra,"Minister, Transport",1,Omar Alghabra
550491,2022-11-03,Hon. Omar Alghabra,"Minister, Transport",1,Omar Alghabra
514268,2021-08-17,Oana Tranca,Research and Evaluation Analyst,1,Oana Tranca
604508,2024-04-05,Oana  Vasuta,Policy Analyst,1,Oana Vasuta
540078,2022-07-15,Oba Harding,Senior Business Officer,1,Oba Harding
540081,2022-07-27,Oba Harding,Senior Business Officer,1,Oba Harding
551394,2022-11-07,Oba Harding,Business Officer,1,Oba Harding
559977,2023-02-07,Oba Harding,Business Officer,1,Oba Harding
560000,2023-02-22,Oba Harding,Business Officer,1,Oba Harding
568994,2023-05-04,Oba Harding,Business Officer,1,Oba Harding
569934,2023-05-30,Oba Harding,Prairies Economic Development Canada,1,Oba Harding
571711,2023-06-15,Oba Harding,Business Officer,1,Oba Harding
597185,2024-02-27,Oba Harding,Senior Business Officer,1,Oba Harding
597186,2024-02-28,Oba Harding,Business Officer,1,Oba Harding
633206,2025-02-18,Oba Harding,Senior Business Officer,1,Oba Harding
446969,2019-02-28,O'Brien Damien,Senior Policy Advisor,1,O'brien Damien
416638,2017-11-08,O'Brien Stevie,"Director, Parliamentary Affairs",1,O'brien Stevie
113913,2009-06-04,Oda Beverlee,Minister,1,Oda Beverlee
393134,2017-01-31,Odette Johnson,Director,1,Odette Johnson
513647,2021-09-01,Odile Joannette,Director,1,Odile Joannette
564886,2023-04-27,Ogesanmola Omitayo,"Senior Advisor, Program Development",1,Ogesanmola Omitayo
277293,2013-05-30,Ogilvie Kelvin,Senator,1,Ogilvie Kelvin
397785,2017-04-04,Ogilvie Kelvin,Senator,1,Ogilvie Kelvin
403605,2017-06-06,Ogilvie Kelvin,Senator,1,Ogilvie Kelvin
388784,2016-11-17,O'Halloran Mark,Special Assistant,1,O'halloran Mark
265013,2013-02-28,Oh Victor,Senator,1,Oh Victor
275214,2013-05-30,oilivier Hebert,Director of Policy,1,Oilivier Hebert
625905,2024-11-05,Olaf Andreas Kjelsen,Ambassador,1,Olaf Andreas Kjelsen
551289,2022-11-30,Olaf  Jensen,Director,1,Olaf Jensen
138818,2010-01-14,Olaf Jensen,"Head, Protected Areas",1,Olaf Jensen
341856,2014-11-27,Olaf Jensen,"Manager, Protected Areas Coordination",1,Olaf Jensen
453035,2019-05-08,Olaf Jensen,"Director, Protected Areas Strategy",1,Olaf Jensen
455775,2019-05-08,Olaf Jensen,Manager,1,Olaf Jensen
511320,2021-06-28,Olaf Jensen,Director,1,Olaf Jensen
552089,2022-11-02,Olaf Jensen,Director,1,Olaf Jensen
561853,2023-03-29,Olaf Jensen,Director,1,Olaf Jensen
572346,2023-06-01,Olaf Jensen,Director,1,Olaf Jensen
572351,2023-06-02,Olaf Jensen,Director,1,Olaf Jensen
590885,2023-12-06,Olaf Jensen,"Director, Protected Areas Program",1,Olaf Jensen
592033,2024-01-19,Olaf Jensen,Director,1,Olaf Jensen
608520,2024-05-28,Olaf  Kjelsen,Ambassador of Switzerland to Canada,1,Olaf Kjelsen
615531,2024-09-09,Olalekan  Edwards,Special Assistant,1,Olalekan Edwards
135829,2009-11-24,Old Hendrickson,Scientific Advisor,1,Old Hendrickson
636989,2025-05-27,Olesia Bissett,Policy Analyst,1,Olesia Bissett
579226,2023-09-27,Olga  Radchenko,Director of Policy,1,Olga Radchenko
441781,2018-11-15,Olga Radchenko,"Director, Parliamentary Affairs",1,Olga Radchenko
442578,2018-12-03,Olga Radchenko,"Director, Parliamentary Affairs",1,Olga Radchenko
444486,2019-01-30,Olga Radchenko,"Director, Parliamentary Affairs",1,Olga Radchenko
451765,2019-05-02,Olga Radchenko,"Director, Parliamentary Affairs",1,Olga Radchenko
457430,2019-05-31,Olga Radchenko,Senior Advisor,1,Olga Radchenko
457685,2019-06-25,Olga Radchenko,"Director, Parliamentary Affairs",1,Olga Radchenko
474653,2020-02-07,Olga Radchenko,Director of Policy,1,Olga Radchenko
467087,2020-02-21,Olga Radchenko,Director of Policy,1,Olga Radchenko
469147,2020-03-20,Olga Radchenko,Director of Policy,1,Olga Radchenko
469149,2020-03-21,Olga Radchenko,Director of Policy,1,Olga Radchenko
469150,2020-03-23,Olga Radchenko,Director of Policy,1,Olga Radchenko
469154,2020-03-25,Olga Radchenko,Director of Policy,1,Olga Radchenko
469155,2020-03-26,Olga Radchenko,Director of Policy,1,Olga Radchenko
470468,2020-03-26,Olga Radchenko,Director of Policy,1,Olga Radchenko
488162,2020-03-30,Olga Radchenko,Director of Policy,1,Olga Radchenko
472106,2020-04-03,Olga Radchenko,Director of Policy,1,Olga Radchenko
472478,2020-04-04,Olga Radchenko,Director of Policy,1,Olga Radchenko
472530,2020-04-04,Olga Radchenko,Director of Policy,1,Olga Radchenko
472500,2020-04-24,Olga Radchenko,Director of Policy,1,Olga Radchenko
475875,2020-05-11,Olga Radchenko,Director of Policy,1,Olga Radchenko
474473,2020-05-25,Olga Radchenko,Director of Policy,1,Olga Radchenko
474920,2020-05-25,Olga Radchenko,Director of Policy,1,Olga Radchenko
474137,2020-05-28,Olga Radchenko,Policy Advisor,1,Olga Radchenko
474138,2020-05-28,Olga Radchenko,Policy Advisor,1,Olga Radchenko
474651,2020-05-29,Olga Radchenko,Director of Policy,1,Olga Radchenko
476306,2020-06-05,Olga Radchenko,Director of Policy,1,Olga Radchenko
477468,2020-06-05,Olga Radchenko,Director of Policy,1,Olga Radchenko
477774,2020-06-11,Olga Radchenko,Director of Policy,1,Olga Radchenko
477831,2020-06-15,Olga Radchenko,Director of Policy,1,Olga Radchenko
476497,2020-06-22,Olga Radchenko,Director of Policy,1,Olga Radchenko
476516,2020-06-22,Olga Radchenko,Director of Policy,1,Olga Radchenko
477986,2020-06-22,Olga Radchenko,Director of Policy,1,Olga Radchenko
476504,2020-06-30,Olga Radchenko,Director of Policy,1,Olga Radchenko
477469,2020-06-30,Olga Radchenko,Director of Policy,1,Olga Radchenko
478353,2020-06-30,Olga Radchenko,Director of Policy,1,Olga Radchenko
479827,2020-07-08,Olga Radchenko,Director of Policy,1,Olga Radchenko
480270,2020-07-21,Olga Radchenko,Director of Policy,1,Olga Radchenko
478601,2020-07-23,Olga Radchenko,Director of Policy,1,Olga Radchenko
479500,2020-07-23,Olga Radchenko,Director of Policy,1,Olga Radchenko
479093,2020-07-28,Olga Radchenko,Director of Policy,1,Olga Radchenko
481861,2020-08-07,Olga Radchenko,Director of Policy,1,Olga Radchenko
481995,2020-08-17,Olga Radchenko,Director of Policy,1,Olga Radchenko
481998,2020-08-20,Olga Radchenko,Director of Policy,1,Olga Radchenko
487874,2020-10-20,Olga Radchenko,Director of Policy,1,Olga Radchenko
490424,2020-11-04,Olga Radchenko,Director of Policy,1,Olga Radchenko
489153,2020-11-17,Olga Radchenko,Director of Policy,1,Olga Radchenko
491593,2020-11-17,Olga Radchenko,Director of Policy,1,Olga Radchenko
490652,2020-11-23,Olga Radchenko,Director of Policy,1,Olga Radchenko
495756,2021-01-15,Olga Radchenko,"Policy Advisor, Minister's Office",1,Olga Radchenko
494106,2021-01-20,Olga Radchenko,Director of Policy,1,Olga Radchenko
499014,2021-02-08,Olga Radchenko,Director of Policy,1,Olga Radchenko
498431,2021-02-10,Olga Radchenko,Director of Policy,1,Olga Radchenko
495531,2021-02-12,Olga Radchenko,Director of Policy,1,Olga Radchenko
497834,2021-02-26,Olga Radchenko,Director of Policy,1,Olga Radchenko
501518,2021-03-09,Olga Radchenko,Director of Policy,1,Olga Radchenko
500567,2021-03-17,Olga Radchenko,Director of Policy,1,Olga Radchenko
500568,2021-03-18,Olga Radchenko,Director of Policy,1,Olga Radchenko
502682,2021-03-25,Olga Radchenko,Director of Policy,1,Olga Radchenko
505239,2021-04-13,Olga Radchenko,Director of Policy,1,Olga Radchenko
505024,2021-05-14,Olga Radchenko,Director of Policy,1,Olga Radchenko
513720,2021-08-31,Olga Radchenko,Director of Policy,1,Olga Radchenko
514733,2021-09-30,Olga Radchenko,Director of Policy,1,Olga Radchenko
522649,2022-01-14,Olga Radchenko,Director of Policy,1,Olga Radchenko
526164,2022-02-23,Olga Radchenko,Director of Policy,1,Olga Radchenko
528130,2022-03-08,Olga Radchenko,Director of Policy,1,Olga Radchenko
530104,2022-04-21,Olga Radchenko,Director of Policy,1,Olga Radchenko
537822,2022-06-02,Olga Radchenko,Director of Policy,1,Olga Radchenko
537088,2022-07-11,Olga Radchenko,Director of Policy,1,Olga Radchenko
538776,2022-07-25,Olga Radchenko,Director of Policy,1,Olga Radchenko
544142,2022-10-04,Olga Radchenko,Chief of Staff,1,Olga Radchenko
547175,2022-10-20,Olga Radchenko,Chief of Staff,1,Olga Radchenko
551067,2022-11-29,Olga Radchenko,Chief of Staff,1,Olga Radchenko
553507,2022-12-01,Olga Radchenko,"Chief of Staff, Immigration, Refugees and Citizenship",1,Olga Radchenko
554899,2023-01-26,Olga Radchenko,Chief of Staff,1,Olga Radchenko
577607,2023-09-28,Olga Radchenko,Director of Policy,1,Olga Radchenko
578045,2023-09-28,Olga Radchenko,Director of Policy,1,Olga Radchenko
579882,2023-10-06,Olga Radchenko,Director of Policy,1,Olga Radchenko
582024,2023-10-06,Olga Radchenko,Director of Policy,1,Olga Radchenko
579054,2023-10-12,Olga Radchenko,Director of Policy,1,Olga Radchenko
582243,2023-10-12,Olga Radchenko,Director of Policy,1,Olga Radchenko
583975,2023-10-12,Olga Radchenko,Director of Policy,1,Olga Radchenko
584248,2023-10-13,Olga Radchenko,Chief of Staff,1,Olga Radchenko
582269,2023-10-19,Olga Radchenko,Director of Policy,1,Olga Radchenko
584109,2023-10-27,Olga Radchenko,Director of Policy,1,Olga Radchenko
587158,2023-11-20,Olga Radchenko,Director of Policy,1,Olga Radchenko
587208,2023-11-21,Olga Radchenko,Director of Policy,1,Olga Radchenko
585668,2023-11-23,Olga Radchenko,Director of Policy,1,Olga Radchenko
588267,2023-11-23,Olga Radchenko,Director of Policy,1,Olga Radchenko
589190,2023-11-23,Olga Radchenko,Director of Policy,1,Olga Radchenko
588302,2023-11-29,Olga Radchenko,Director of Policy,1,Olga Radchenko
587209,2023-11-30,Olga Radchenko,Director of Policy,1,Olga Radchenko
589633,2023-12-18,Olga Radchenko,Director of Policy,1,Olga Radchenko
593783,2024-01-10,Olga Radchenko,Director of Policy,1,Olga Radchenko
594113,2024-01-31,Olga Radchenko,Director of Policy,1,Olga Radchenko
594192,2024-02-01,Olga Radchenko,Director of Policy,1,Olga Radchenko
594598,2024-02-23,Olga Radchenko,Director of Policy,1,Olga Radchenko
595595,2024-02-23,Olga Radchenko,Director of Policy,1,Olga Radchenko
597498,2024-02-23,Olga Radchenko,Director of Policy,1,Olga Radchenko
598654,2024-03-26,Olga Radchenko,Director of Policy,1,Olga Radchenko
599316,2024-03-26,Olga Radchenko,Director of Policy,1,Olga Radchenko
600991,2024-04-02,Olga Radchenko,Director of Policy,1,Olga Radchenko
599961,2024-04-10,Olga Radchenko,Director of Policy,1,Olga Radchenko
603744,2024-04-30,Olga Radchenko,Director of Policy,1,Olga Radchenko
607605,2024-05-03,Olga Radchenko,Director of Policy,1,Olga Radchenko
607920,2024-05-07,Olga Radchenko,Director of Policy,1,Olga Radchenko
609989,2024-06-07,Olga Radchenko,Director of Policy,1,Olga Radchenko
612605,2024-08-08,Olga Radchenko,Director of Policy,1,Olga Radchenko
623668,2024-10-03,Olga Radchenko,Director of Policy,1,Olga Radchenko
621671,2024-10-07,Olga Radchenko,Director of Policy,1,Olga Radchenko
628006,2024-10-11,Olga Radchenko,Director of Policy,1,Olga Radchenko
620924,2024-10-17,Olga Radchenko,Director of Policy,1,Olga Radchenko
621719,2024-10-17,Olga Radchenko,Director of Policy,1,Olga Radchenko
623672,2024-10-17,Olga Radchenko,Director of Policy,1,Olga Radchenko
625848,2024-11-05,Olga Radchenko,Director of Policy,1,Olga Radchenko
626589,2024-11-18,Olga Radchenko,Director of Policy,1,Olga Radchenko
629602,2024-12-10,Olga Radchenko,Director of Policy,1,Olga Radchenko
627881,2024-12-12,Olga Radchenko,Director of Policy,1,Olga Radchenko
629059,2024-12-12,Olga Radchenko,Director of Policy,1,Olga Radchenko
633946,2025-01-28,Olga Radchenko,Director of Policy,1,Olga Radchenko
631005,2025-02-05,Olga Radchenko,Director of Policy,1,Olga Radchenko
635200,2025-03-07,Olga Radchenko,Director of Policy,1,Olga Radchenko
633951,2025-03-14,Olga Radchenko,Director of Policy,1,Olga Radchenko
583057,2023-10-04,Olga Radochenko,Director of Policy,1,Olga Radochenko
503555,2021-04-26,Olga Vovk,"Senior Regional Manager, Europe",1,Olga Vovk
211800,2012-02-15,Oline Twiss,Policy and Stakeholder Relations Officer,1,Oline Twiss
230702,2012-06-08,Oline Twiss,Parliamentary Affairs,1,Oline Twiss
231850,2012-07-25,Oline Twiss,Policy and Stakeholder Relations Officer,1,Oline Twiss
243530,2012-10-31,Oline Twiss,Policy and Stakeholder Relations Officer,1,Oline Twiss
286177,2013-07-24,Oline Twiss,Policy Advisor,1,Oline Twiss
286874,2013-07-24,Oline Twiss,Policy and Stakeholder Officer,1,Oline Twiss
293389,2013-09-17,Oline Twiss,Parliamentary Affairs,1,Oline Twiss
302473,2013-09-17,Oline Twiss,Policy Advisor,1,Oline Twiss
306949,2013-11-28,Oline Twiss,Parliamentary Affairs,1,Oline Twiss
484895,2020-10-05,Oliphant Rob,Member of Parliament,1,Oliphant Rob
414871,2017-11-15,Oliphant Robert,Member of Parliament,1,Oliphant Robert
576741,2023-08-22,Olivera Blagojevic,Acting Director,1,Olivera Blagojevic
621444,2024-10-09,Olivera Blagojevic,Director,1,Olivera Blagojevic
372352,2016-03-09,Oliver Anderson,Communications Advisor,1,Oliver Anderson
378521,2016-05-31,Oliver Anderson,Communications Advisor,1,Oliver Anderson
378495,2016-06-07,Oliver Anderson,Communications Advisor,1,Oliver Anderson
381262,2016-06-14,Oliver Anderson,Communications Advisor,1,Oliver Anderson
385225,2016-09-12,Oliver Anderson,Communications Advisor,1,Oliver Anderson
383640,2016-09-12,Oliver Anderson,"Communications Advisor, Ontario Desk",1,Oliver Anderson
385232,2016-09-15,Oliver Anderson,Communications Advisor,1,Oliver Anderson
387648,2016-09-23,Oliver Anderson,Communications Advisor,1,Oliver Anderson
387741,2016-10-14,Oliver Anderson,Communications Advisor,1,Oliver Anderson
390681,2016-11-15,Oliver Anderson,Policy Advisor to the Minister of Agriculture,1,Oliver Anderson
388734,2016-11-17,Oliver Anderson,Communications Advisor,1,Oliver Anderson
390664,2016-11-22,Oliver Anderson,Communications Advisor,1,Oliver Anderson
391966,2016-12-16,Oliver Anderson,Communications Advisor,1,Oliver Anderson
392564,2016-12-16,Oliver Anderson,Communications Advisor,1,Oliver Anderson
399536,2017-04-04,Oliver Anderson,Policy Advisor,1,Oliver Anderson
398258,2017-04-10,Oliver Anderson,Communications Advisor,1,Oliver Anderson
403510,2017-05-17,Oliver Anderson,Communications Advisor,1,Oliver Anderson
402572,2017-06-01,Oliver Anderson,"Policy Advisor, Minister of Agriculture and Agri-Food",1,Oliver Anderson
403895,2017-06-13,Oliver Anderson,Communications Advisor,1,Oliver Anderson
404159,2017-06-13,Oliver Anderson,Communications Advisor,1,Oliver Anderson
405980,2017-07-18,Oliver Anderson,Communications Advisor,1,Oliver Anderson
408165,2017-08-02,Oliver Anderson,Communications Advisor,1,Oliver Anderson
407399,2017-08-22,Oliver Anderson,Policy and Communication Advisor,1,Oliver Anderson
409819,2017-09-12,Oliver Anderson,Communications Advisor,1,Oliver Anderson
408900,2017-09-13,Oliver Anderson,Policy Advisor to Minister of Agriculture,1,Oliver Anderson
410063,2017-09-19,Oliver Anderson,Communications Advisor,1,Oliver Anderson
408888,2017-09-28,Oliver Anderson,Communications Advisor,1,Oliver Anderson
408890,2017-09-28,Oliver Anderson,Communications Advisor,1,Oliver Anderson
408892,2017-09-28,Oliver Anderson,Communications Advisor,1,Oliver Anderson
408894,2017-09-28,Oliver Anderson,Communications Advisor,1,Oliver Anderson
413309,2017-10-16,Oliver Anderson,Communications Advisor,1,Oliver Anderson
411482,2017-10-16,Oliver Anderson,Policy Advisor,1,Oliver Anderson
413535,2017-10-16,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
412442,2017-10-18,Oliver Anderson,Communications Advisor,1,Oliver Anderson
412452,2017-10-18,Oliver Anderson,Communications Advisor,1,Oliver Anderson
411433,2017-10-23,Oliver Anderson,Communications Advisor,1,Oliver Anderson
412209,2017-10-23,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
413516,2017-10-26,Oliver Anderson,Communications Advisor,1,Oliver Anderson
411046,2017-10-31,Oliver Anderson,Communications Advisor,1,Oliver Anderson
416794,2017-11-07,Oliver Anderson,Communications Advisor,1,Oliver Anderson
414754,2017-11-08,Oliver Anderson,Policy and Communications Advisor to the Minister of Agriculture and Agri-Food,1,Oliver Anderson
420852,2017-11-17,Oliver Anderson,Communications Advisor,1,Oliver Anderson
414357,2017-11-21,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
416865,2017-11-24,Oliver Anderson,Communications Advisor,1,Oliver Anderson
416870,2017-11-24,Oliver Anderson,Communications Advisor,1,Oliver Anderson
414686,2017-11-29,Oliver Anderson,Communications Advisor,1,Oliver Anderson
417046,2017-11-29,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
414687,2017-11-30,Oliver Anderson,Communications Advisor,1,Oliver Anderson
415684,2017-11-30,Oliver Anderson,Communications Advisor,1,Oliver Anderson
417645,2017-12-15,Oliver Anderson,Communications Advisor,1,Oliver Anderson
418011,2017-12-15,Oliver Anderson,"Communications Advisor to the Minister, Agriculture and Agri-Food Canada",1,Oliver Anderson
418149,2017-12-15,Oliver Anderson,Policy Advisor,1,Oliver Anderson
419966,2018-01-11,Oliver Anderson,Communications Advisor,1,Oliver Anderson
418739,2018-01-15,Oliver Anderson,Communications Advisor,1,Oliver Anderson
418737,2018-01-18,Oliver Anderson,Communications Advisor,1,Oliver Anderson
419289,2018-01-18,Oliver Anderson,Communications Advisor,1,Oliver Anderson
419292,2018-01-18,Oliver Anderson,Communications Advisor,1,Oliver Anderson
419135,2018-01-22,Oliver Anderson,Communications Advisor,1,Oliver Anderson
418742,2018-01-26,Oliver Anderson,Communications Advisor,1,Oliver Anderson
418815,2018-01-26,Oliver Anderson,Communications Advisor,1,Oliver Anderson
418827,2018-01-29,Oliver Anderson,Communications Advisor,1,Oliver Anderson
419841,2018-01-30,Oliver Anderson,Communications Advisor,1,Oliver Anderson
420349,2018-01-30,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
419562,2018-01-31,Oliver Anderson,Communications Advisor,1,Oliver Anderson
421647,2018-02-06,Oliver Anderson,Communications Advisor,1,Oliver Anderson
421929,2018-02-08,Oliver Anderson,Communications Advisor,1,Oliver Anderson
421430,2018-02-14,Oliver Anderson,Policy Advisor,1,Oliver Anderson
421656,2018-02-22,Oliver Anderson,Policy Advisor,1,Oliver Anderson
421681,2018-02-22,Oliver Anderson,Policy Advisor,1,Oliver Anderson
420807,2018-03-02,Oliver Anderson,Communications Advisor,1,Oliver Anderson
421504,2018-03-06,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
422539,2018-03-13,Oliver Anderson,Communications Advisor,1,Oliver Anderson
423750,2018-03-15,Oliver Anderson,Communications Advisor,1,Oliver Anderson
423807,2018-03-16,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
423746,2018-03-21,Oliver Anderson,Communications Advisor,1,Oliver Anderson
424569,2018-03-21,Oliver Anderson,Communications Advisor,1,Oliver Anderson
424211,2018-03-22,Oliver Anderson,Communications Advisor to the Minister of Agriculture,1,Oliver Anderson
425281,2018-04-12,Oliver Anderson,Communications Advisor,1,Oliver Anderson
426142,2018-04-16,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
424677,2018-04-23,Oliver Anderson,Communications Advisor,1,Oliver Anderson
425397,2018-04-23,Oliver Anderson,Communications Advisor,1,Oliver Anderson
425405,2018-04-24,Oliver Anderson,"Policy and Communications Advisor, Minister of Agriculture",1,Oliver Anderson
429569,2018-05-16,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
427458,2018-05-22,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
428528,2018-05-31,Oliver Anderson,Policy Advisor,1,Oliver Anderson
428414,2018-06-06,Oliver Anderson,Communications Advisor,1,Oliver Anderson
430229,2018-06-11,Oliver Anderson,Communications Advisor,1,Oliver Anderson
430003,2018-06-20,Oliver Anderson,Communications Advisor,1,Oliver Anderson
430625,2018-06-20,Oliver Anderson,Communications Advisor,1,Oliver Anderson
432090,2018-07-11,Oliver Anderson,Communications Advisor,1,Oliver Anderson
431882,2018-08-01,Oliver Anderson,Communications Advisor,1,Oliver Anderson
432762,2018-08-01,Oliver Anderson,Policy Advisor,1,Oliver Anderson
432757,2018-08-08,Oliver Anderson,Policy Advisor,1,Oliver Anderson
432878,2018-08-09,Oliver Anderson,Senior Policy Advisor,1,Oliver Anderson
433207,2018-08-31,Oliver Anderson,Communications Advisor,1,Oliver Anderson
433450,2018-08-31,Oliver Anderson,Communications Advisor,1,Oliver Anderson
434777,2018-09-05,Oliver Anderson,Communications Advisor,1,Oliver Anderson
434776,2018-09-06,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
434799,2018-09-18,Oliver Anderson,Director of Communications,1,Oliver Anderson
434790,2018-09-18,Oliver Anderson,Policy and Communication Advisor,1,Oliver Anderson
438464,2018-10-29,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
439914,2018-11-06,Oliver Anderson,Communications Advisor,1,Oliver Anderson
441248,2018-11-06,Oliver Anderson,Policy Advisor,1,Oliver Anderson
438349,2018-11-06,Oliver Anderson,Senior Policy and Communications Advisor,1,Oliver Anderson
440985,2018-11-27,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
441873,2018-11-28,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
442017,2018-11-28,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
443084,2018-12-04,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
443955,2018-12-10,Oliver Anderson,Policy Advisor,1,Oliver Anderson
443967,2018-12-11,Oliver Anderson,Policy Advisor,1,Oliver Anderson
443963,2018-12-20,Oliver Anderson,Policy Advisor,1,Oliver Anderson
445325,2019-01-24,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
444349,2019-01-31,Oliver Anderson,Senior Policy and Communications Advisor,1,Oliver Anderson
446494,2019-02-04,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
446002,2019-02-21,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
447305,2019-02-21,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
448997,2019-03-06,Oliver Anderson,Policy Advisor,1,Oliver Anderson
449348,2019-03-07,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
449797,2019-03-07,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
448726,2019-03-12,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
449282,2019-03-25,Oliver Anderson,Policy Advisor,1,Oliver Anderson
451211,2019-04-04,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
449088,2019-04-08,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
449946,2019-04-09,Oliver Anderson,Director of Communications,1,Oliver Anderson
451478,2019-04-09,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
451524,2019-04-11,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
454494,2019-05-03,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
454495,2019-05-06,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
453153,2019-05-08,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
454417,2019-05-08,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
455946,2019-05-08,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
456403,2019-05-08,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
456404,2019-05-08,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
456405,2019-05-08,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
456406,2019-05-08,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
456407,2019-05-08,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
455835,2019-05-22,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
456432,2019-06-07,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
457878,2019-07-11,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
458094,2019-07-11,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
457979,2019-07-24,Oliver Anderson,Senior Communications and Policy Advisor,1,Oliver Anderson
469189,2020-02-05,Oliver Anderson,Policy and Communications Advisor,1,Oliver Anderson
464557,2020-02-13,Oliver Anderson,Director of Communications,1,Oliver Anderson
464567,2020-02-13,Oliver Anderson,Director of Communications,1,Oliver Anderson
466662,2020-02-13,Oliver Anderson,Director of Communications,1,Oliver Anderson
469552,2020-03-25,Oliver Anderson,Director of Communications,1,Oliver Anderson
469564,2020-03-25,Oliver Anderson,Director of Communications,1,Oliver Anderson
469553,2020-03-27,Oliver Anderson,Director of Communications,1,Oliver Anderson
469565,2020-03-27,Oliver Anderson,Director of Communications,1,Oliver Anderson
469584,2020-03-31,Oliver Anderson,Director of Communications,1,Oliver Anderson
473987,2020-05-21,Oliver Anderson,Director of Communications,1,Oliver Anderson
476372,2020-06-25,Oliver Anderson,Director of Communications,1,Oliver Anderson
484501,2020-09-16,Oliver Anderson,Director of Communications,1,Oliver Anderson
484505,2020-09-24,Oliver Anderson,Director of Communications,1,Oliver Anderson
495632,2021-01-27,Oliver Anderson,Director of Communications,1,Oliver Anderson
505060,2021-04-08,Oliver Anderson,Director of Communications,1,Oliver Anderson
505062,2021-04-12,Oliver Anderson,Director of Communications,1,Oliver Anderson
505063,2021-04-12,Oliver Anderson,Director of Communications,1,Oliver Anderson
