comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
576401,2023-08-23,Dr. Parthiban Muthukumarasamy,Executive Director,1,Parthiban Muthukumarasamy
386592,2016-10-19,Dr. Pascale Massot,Policy Advisor,1,Pascale Massot
504741,2021-05-13,Dr Pascal Michel,Chief Science Officer,1,Pascal Michel
430533,2018-06-12,Dr. Patrick Stewart,Director General,1,Patrick Stewart
448462,2019-03-20,Dr. Patrick Stewart,Director General,1,Patrick Stewart
145900,2010-03-23,Dr. Paul Boothe,"Senior Associate Deputy Minister, Industry",1,Paul Boothe
110017,2009-06-02,Dr. Paul Wilson,Director of Policy,1,Paul Wilson
311196,2013-11-14,Dr. Peter Cooney,Chief Dental Officer,1,Peter Cooney
481476,2020-09-11,Dr. Pierre Lafortune,National Veterinary Program Manager,1,Pierre Lafortune
452880,2019-04-12,Dr. Pierre Lavoie,"Director General, S&T Force Employment",1,Pierre Lavoie
550265,2022-12-01,Dr. Primal Silva,Chief Science Operating Officer,1,Primal Silva
191204,2011-10-24,Honourable Peter Kent,"Minister, Environment",1,Peter Kent
91835,2009-01-12,Honourable Peter Van Loan,Minister,1,Peter Van Loan
338585,2014-10-09,Honourable Senator Percy Mockler,Senator,1,Percy Mockler
337831,2014-10-21,Honourable Senator Pierre Claude Nolin,Senator,1,Pierre Claude Nolin
426867,2018-05-15,Hon Pablo Rodriguez,Member of Parliament,1,Pablo Rodriguez
399398,2017-04-12,Hon. Pablo Rodriguez,Member of Parliament,1,Pablo Rodriguez
418658,2018-01-24,Hon. Pablo Rodriguez,Member of Parliament,1,Pablo Rodriguez
452974,2019-05-14,Hon. Pablo Rodriguez,"Minister, Canadian Heritage",1,Pablo Rodriguez
494753,2021-02-10,Hon. Pablo Rodriguez,Government House Leader,1,Pablo Rodriguez
509231,2021-02-10,Hon. Pablo Rodriguez,Government House Leader,1,Pablo Rodriguez
563004,2023-03-23,Hon. Pablo Rodriguez,Minister,1,Pablo Rodriguez
585903,2023-12-07,Hon. Pablo Rodriguez,"Minister, Transport",1,Pablo Rodriguez
441487,2018-11-06,Hon. Pamela Wallin,Senator,1,Pamela Wallin
575668,2023-09-06,Hon. Pascale St-Onge,Minister,1,Pascale St-onge
584348,2023-10-11,Hon. Pascale St-Onge,Member of Parliament,1,Pascale St-onge
427382,2018-05-29,Hon. Patrice Bovey,Senator,1,Patrice Bovey
415302,2017-12-07,Hon. Patricia A. Hajdu,Minister,1,Patricia A. Hajdu
382594,2016-07-18,Hon. Patricia Hadju,"Minister, Status of Women",1,Patricia Hadju
569798,2023-05-03,Hon. Patricia Hajdu,"Minister, Indigenous Services",1,Patricia Hajdu
468768,2020-03-10,Hon. Patti Laboucane Benson,Member of Parliament,1,Patti Laboucane Benson
368768,2016-02-03,Hon. Patty Haijdu,Member of Parliament,1,Patty Haijdu
380344,2016-06-16,Hon. Patty Hajdu,Minister of Status of Women,1,Patty Hajdu
402075,2017-05-29,Hon. Patty Hajdu,Minister,1,Patty Hajdu
435335,2018-09-05,Hon. Patty Hajdu,Minister,1,Patty Hajdu
434768,2018-09-23,Hon. Patty Hajdu,Minister,1,Patty Hajdu
484742,2020-09-30,Hon. Patty Hajdu,"Minister, Health",1,Patty Hajdu
498890,2021-02-09,Hon. Patty Hajdu,"Minister, Health",1,Patty Hajdu
380492,2016-06-02,"Hon. Patty Hajdu, P.C., M.P.","Minister, Status of Women",1,Patty Hajdu
399671,2017-04-10,"Hon. Patty Hajdu, P.C., M.P.","Minister, Employment, Workforce Development and Labour",1,Patty Hajdu
536085,2022-06-06,Hon. Paula  Simons,Senator,1,Paula Simons
471600,2020-04-22,Hon. Paula Simons,Senator,1,Paula Simons
558673,2023-03-13,Hon. Paula Simons,Senator,1,Paula Simons
391443,2016-11-30,Hon. Paul J. Massicotte,Senator,1,Paul J. Massicotte
391414,2016-11-03,Hon. Paul Massicottee,Senator,1,Paul Massicottee
429559,2018-05-08,Hon. Peter Harder,Senator,1,Peter Harder
429294,2018-05-31,Hon. Peter Harder,Senator,1,Peter Harder
434927,2018-09-24,Hon. Peter Harder,Senator,1,Peter Harder
492556,2020-12-10,Hon. Peter Harder,Senator,1,Peter Harder
557138,2023-02-21,Hon. Peter Harder,Senator,1,Peter Harder
158976,2010-10-08,Hon. Peter Kent,Minister of State,1,Peter Kent
158977,2010-10-12,Hon. Peter Kent,Minister of State,1,Peter Kent
207108,2012-01-31,Hon. Peter Kent,"Minister, Environment",1,Peter Kent
222553,2012-04-02,Hon. Peter Kent,Minister,1,Peter Kent
226643,2012-05-28,Hon. Peter Kent,"Minister, Environment",1,Peter Kent
229989,2012-06-05,Hon. Peter Kent,Minister,1,Peter Kent
230053,2012-06-05,Hon. Peter Kent,Minister,1,Peter Kent
263710,2013-02-26,Hon. Peter Kent,Minister,1,Peter Kent
268176,2013-03-05,Hon. Peter Kent,Minister,1,Peter Kent
267111,2013-03-14,Hon. Peter Kent,Minister,1,Peter Kent
342358,2014-11-04,Hon. Peter Kent,Member of Parliament,1,Peter Kent
350579,2015-03-03,Hon. Peter Kent,Member of Parliament,1,Peter Kent
381461,2016-06-07,Hon. Peter Kent,Member of Parliament,1,Peter Kent
444003,2018-12-04,Hon. Peter Kent,Member of Parliament,1,Peter Kent
