comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
514342,2021-09-27,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed
514353,2021-09-27,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed
514403,2021-09-27,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed
524854,2022-03-10,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed
529049,2022-03-16,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed
531017,2022-04-27,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed
567233,2023-05-11,Qamer Hameed,Senior Advisor,1,Qamer Hameed
602491,2024-04-30,Qasir  Dar,"Director, Stakeholder Relations",1,Qasir Dar
608200,2024-05-23,Qasir Dar,"Chair, Liberal Party of Canada",1,Qasir Dar
609665,2024-06-06,Qasir Dar,"Director, Stakeholder Relations",1,Qasir Dar
611621,2024-07-22,Qasir Dar,"Director, Stakeholder Relations",1,Qasir Dar
603339,2024-04-15,Qasir  Dar Hanif,"Director, Stakeholder Relations",1,Qasir Dar Hanif
601130,2024-04-15,Qasir Dar Hanif,"Director, Stakeholder Relations",1,Qasir Dar Hanif
608207,2024-05-23,Qasir  Hanif,Director of Outreach,1,Qasir Hanif
594057,2024-02-13,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
594314,2024-02-13,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
596064,2024-02-13,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
600485,2024-03-07,Qasir Hanif,"Director, Stakeholders",1,Qasir Hanif
600050,2024-03-19,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
604793,2024-04-15,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
601924,2024-04-25,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
601767,2024-04-30,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
603654,2024-04-30,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
607945,2024-05-28,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
614497,2024-08-15,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
614196,2024-08-30,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
618257,2024-09-23,Qasir Hanif,Policy Advisor,1,Qasir Hanif
616319,2024-09-24,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
619024,2024-10-21,Qasir Hanif,"Director, Stakeholder Relations",1,Qasir Hanif
636807,2025-06-05,Qasir Hanif,"Director, Stakeholder Engagement",1,Qasir Hanif
604630,2024-04-15,Qasir Hanif Dar,"Director, Stakeholder Relations",1,Qasir Hanif Dar
604506,2024-04-30,Qasir Hanif Dar,"Director, Stakeholder Relations",1,Qasir Hanif Dar
541449,2022-08-19,Qiushi Wang,"Investment Analyst, Strategic Innovation Fund",1,Qiushi Wang
541450,2022-08-19,Qiushi Wang,"Investment Analyst, Strategic Innovation Fund",1,Qiushi Wang
543220,2022-09-09,Qiushi Wang,"Investment Analyst, Strategic Innovation Fund",1,Qiushi Wang
543223,2022-09-16,Qiushi Wang,"Investment Analyst, Strategic Innovation Fund",1,Qiushi Wang
576687,2023-08-18,Qiushi Wang,"Investment Analyst, Strategic Innovation Fund",1,Qiushi Wang
382523,2016-06-01,Qi Wang,Director,1,Qi Wang
382992,2016-06-01,Qi Wang,Director,1,Qi Wang
385164,2016-09-14,Qi Wang,Director,1,Qi Wang
605985,2024-05-29,Quasir Hanif,"Director, Stakeholder Relations",1,Quasir Hanif
607096,2024-05-29,Quasir Hanif,"Director, Stakeholder Relations to the Minister of Foreign Affairs",1,Quasir Hanif
606074,2024-05-29,Quasir Hanif ,"Director, Stakeholder Relations",1,Quasir Hanif
319537,2014-02-03,Quilliam Sylvain,Senior Commerce Officer,1,Quilliam Sylvain
452492,2019-05-03,Quinlan Mark,Vice President,1,Quinlan Mark
452499,2019-05-03,Quinlan Mark,Vice President,1,Quinlan Mark
612839,2024-08-07,Quinn Deery,Acting Chief of Staff,1,Quinn Deery
528352,2022-03-14,Quinn  Ferris,"Regional Advisor, West and North",1,Quinn Ferris
530311,2022-04-28,Quinn  Ferris,"Special Assistant, West and North",1,Quinn Ferris
574755,2023-07-27,Quinn  Ferris,Regional Advisor,1,Quinn Ferris
464964,2020-01-30,Quinn Ferris,Constituency Assistant,1,Quinn Ferris
466244,2020-02-25,Quinn Ferris,Communications and Outreach Officer,1,Quinn Ferris
466638,2020-02-25,Quinn Ferris,Constituency Assistant,1,Quinn Ferris
470002,2020-03-10,Quinn Ferris,Constituency Assistant,1,Quinn Ferris
470026,2020-03-10,Quinn Ferris,Constituency Assistant,1,Quinn Ferris
525148,2022-02-15,Quinn Ferris,Executive Assistant,1,Quinn Ferris
525157,2022-02-15,Quinn Ferris,Executive Assistant,1,Quinn Ferris
525165,2022-02-15,Quinn Ferris,Executive Assistant,1,Quinn Ferris
528363,2022-03-22,Quinn Ferris,"Regional Advisor, West and North",1,Quinn Ferris
531804,2022-04-28,Quinn Ferris,"Regional Advisor, West and North",1,Quinn Ferris
530964,2022-04-29,Quinn Ferris,Policy Advisor,1,Quinn Ferris
530989,2022-05-10,Quinn Ferris,"Special Assistant, West and North",1,Quinn Ferris
534385,2022-05-12,Quinn Ferris,Policy Advisor,1,Quinn Ferris
535251,2022-05-30,Quinn Ferris,Regional Advisor,1,Quinn Ferris
535387,2022-05-30,Quinn Ferris,"Regional Advisor, West and North",1,Quinn Ferris
533980,2022-05-31,Quinn Ferris,Policy Advisor,1,Quinn Ferris
537731,2022-06-06,Quinn Ferris,Regional Advisor,1,Quinn Ferris
538201,2022-06-14,Quinn Ferris,Regional Advisor,1,Quinn Ferris
538320,2022-06-14,Quinn Ferris,Regional Advisor,1,Quinn Ferris
537941,2022-06-14,Quinn Ferris,"Regional Advisor, West and North",1,Quinn Ferris
537801,2022-06-22,Quinn Ferris,Policy Advisor,1,Quinn Ferris
538473,2022-06-22,Quinn Ferris,Regional Advisor,1,Quinn Ferris
539262,2022-07-19,Quinn Ferris,"Regional Advisor, West and North",1,Quinn Ferris
541626,2022-08-16,Quinn Ferris,Advisor,1,Quinn Ferris
540285,2022-08-16,Quinn Ferris,"Regional Advisor, West and North",1,Quinn Ferris
541466,2022-08-16,Quinn Ferris,"Regional Advisor, West and North",1,Quinn Ferris
540874,2022-08-24,Quinn Ferris,"Regional Advisor, West and North",1,Quinn Ferris
542638,2022-09-13,Quinn Ferris,"Regional Advisor, West and North",1,Quinn Ferris
562889,2023-03-17,Quinn Ferris,Regional Advisor,1,Quinn Ferris
560786,2023-03-30,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
563380,2023-04-20,Quinn Ferris,Regional Advisor,1,Quinn Ferris
563510,2023-04-20,Quinn Ferris,Senior Advisor,1,Quinn Ferris
571229,2023-06-15,Quinn Ferris,Regional Advisor,1,Quinn Ferris
570790,2023-06-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
574570,2023-07-21,Quinn Ferris,Regional Advisor,1,Quinn Ferris
575696,2023-08-23,Quinn Ferris,Regional Advisor,1,Quinn Ferris
575698,2023-08-24,Quinn Ferris,Regional Advisor,1,Quinn Ferris
578552,2023-09-15,Quinn Ferris,Regional Advisor,1,Quinn Ferris
582083,2023-10-04,Quinn Ferris,Regional Advisor,1,Quinn Ferris
582072,2023-10-18,Quinn Ferris,Regional Advisor,1,Quinn Ferris
582857,2023-10-26,Quinn Ferris,Regional Advisor,1,Quinn Ferris
588045,2023-11-09,Quinn Ferris,Regional Advisor,1,Quinn Ferris
587241,2023-11-10,Quinn Ferris,Regional Advisor,1,Quinn Ferris
587242,2023-11-15,Quinn Ferris,Regional Advisor,1,Quinn Ferris
594557,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
594582,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
595151,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
595154,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
595159,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
595161,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
595162,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
595163,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
595186,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
595191,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
595193,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
595195,2024-02-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
595776,2024-02-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
595777,2024-02-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
596126,2024-02-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
596130,2024-02-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
596137,2024-02-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
596176,2024-02-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
596179,2024-02-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
596181,2024-02-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
596184,2024-02-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
596187,2024-02-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
596191,2024-02-28,Quinn Ferris,"Regional Advisor, Manitoba",1,Quinn Ferris
602977,2024-04-09,Quinn Ferris,Regional Advisor,1,Quinn Ferris
605968,2024-06-04,Quinn Ferris,Regional Advisor,1,Quinn Ferris
610470,2024-06-24,Quinn Ferris,Regional Advisor,1,Quinn Ferris
611313,2024-06-28,Quinn Ferris,Regional Advisor,1,Quinn Ferris
620128,2024-10-15,Quinn Ferris,Regional Advisor,1,Quinn Ferris
628150,2024-12-17,Quinn Ferris,Regional Advisor,1,Quinn Ferris
633918,2025-03-19,Quinn Ferris,Director of Operations,1,Quinn Ferris
