comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
156981,2010-10-13,Dr. Rainer Engelhardt,Assistant Deputy Minister,1,Rainer Engelhardt
237914,2012-06-20,Dr. Rainer Engelhardt,Assistant Deputy Minister,1,Rainer Engelhardt
229847,2012-06-28,Dr. Rainer Engelhardt,Assistant Deputy Minister,1,Rainer Engelhardt
268097,2013-03-28,Dr. Rainer Engelhardt,Assistant Deputy Minister,1,Rainer Engelhardt
315608,2014-01-27,Dr. Rainer Engelhardt,Assistant Deputy Minister,1,Rainer Engelhardt
350798,2015-03-31,Dr. Rainer Engelhardt,Assistant Deputy Minister and Chief Science Officer,1,Rainer Engelhardt
163989,2010-12-07,Dr. Rainer Englehardt,Assistant Deputy Minister,1,Rainer Englehardt
173473,2011-05-26,Dr. Rainer Englehardt,Assistant Deputy Minister,1,Rainer Englehardt
173480,2011-06-13,Dr. Rainer Englehardt,Assistant Deputy Minister,1,Rainer Englehardt
487530,2020-10-22,Dr. Rhonda Laboucan,Registered Dietitian,1,Rhonda Laboucan
444759,2019-01-17,Dr. Richard Aucoin,Executive Director,1,Richard Aucoin
444761,2019-01-25,Dr. Richard Aucoin,Executive Director,1,Richard Aucoin
447448,2019-02-27,Dr. Richard Aucoin,Executive Director,1,Richard Aucoin
237914,2012-06-20,Dr. Robert Cushman,"Director General, Biologics and Genetic Therapies",1,Robert Cushman
233857,2012-07-25,Dr. Robert Cushman,Director General,1,Robert Cushman
244834,2012-10-01,Dr. Robert Cushman,Director General,1,Robert Cushman
244835,2012-10-12,Dr. Robert Cushman,Director General,1,Robert Cushman
370450,2016-02-17,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen
378730,2016-05-09,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen
409705,2017-09-29,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen
409569,2017-10-04,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen
433369,2018-09-06,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen
437581,2018-11-01,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen
453956,2019-05-30,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen
466297,2020-02-06,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen
483492,2020-09-23,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen
490905,2020-11-03,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen
84934,2008-10-01,Dr. Robert Walker,Assistant Deputy Minister,1,Robert Walker
87991,2008-11-10,Dr. Robert Walker,Assistant Deputy Minister,1,Robert Walker
138357,2010-01-20,Dr. Robert Walker,"Assistant Deputy Minister, Science and Technology",1,Robert Walker
158608,2010-10-26,Honourable Ralph Goodale,Member of Parliament,1,Ralph Goodale
424527,2018-04-18,Honourable Robert Black,Senator,1,Robert Black
150719,2010-06-08,Honourable Rob Moore,"Minister of State, Small Business and Tourism",1,Rob Moore
150721,2010-06-11,Honourable Rob Moore,"Minister of State, Small Business and Tourism",1,Rob Moore
155073,2010-08-23,Honourable Rob Moore,"Minister of State, Small Business and Tourism",1,Rob Moore
160211,2010-11-02,Honourable Rob Moore,"Minister of State, Small Business and Tourism",1,Rob Moore
189642,2011-09-27,Honourable Rob Moore,Member of Parliament,1,Rob Moore
329789,2014-05-10,"Honourable, Rob Nicholson",Member of Parliament,1,Rob Nicholson
379730,2016-05-03,Honourable Rona Ambrose,Leader of the Opposition,1,Rona Ambrose
354144,2015-04-23,Honourable Ron Cannan,Member of Parliament,1,Ron Cannan
414806,2017-12-06,Honourable Senator Rosa Galvez,Senator,1,Rosa Galvez
321775,2014-04-09,Hon Ralph Goodale,Member of Parliament,1,Ralph Goodale
368022,2016-01-26,Hon Ralph Goodale,Member of Parliament,1,Ralph Goodale
158509,2010-09-22,Hon. Ralph Goodale,Deputy Leader of the Opposition,1,Ralph Goodale
159448,2010-10-20,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
163384,2010-12-15,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
193384,2011-10-18,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
299889,2013-10-31,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
323692,2014-04-07,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
334674,2014-09-23,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
337255,2014-10-08,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
337867,2014-10-21,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
355301,2015-05-07,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
355562,2015-05-14,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
376856,2016-04-19,Hon. Ralph Goodale,"Minister, Public Safety and Emergency Preparedness",1,Ralph Goodale
388428,2016-10-19,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
402055,2017-05-10,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
422239,2018-02-22,Hon. Ralph Goodale,Member of Parliament,1,Ralph Goodale
455735,2019-05-28,Hon. Ralph Goodale,Minister,1,Ralph Goodale
454998,2019-06-11,Hon. Ralph Goodale,"Minister, Public Safety",1,Ralph Goodale
455000,2019-06-11,Hon. Ralph Goodale,"Minister, Public Safety",1,Ralph Goodale
226330,2012-05-29,"Hon. Ralph Goodale, P.C., M.P.",Member of Parliament,1,Ralph Goodale
284951,2013-07-25,"Hon. Ralph Goodale, P.C., M.P.",Member of Parliament,1,Ralph Goodale
384738,2016-09-07,"Hon. Ralph Goodale, P.C., M.P.","Minister, Public Safety",1,Ralph Goodale
399696,2017-04-24,"Hon. Ralph Goodale, P.C., M.P.","Minister, Public Safety",1,Ralph Goodale
423487,2018-03-08,"Hon. Ralph Goodale, P.C., M.P.","Minister, Public Safety",1,Ralph Goodale
422852,2018-03-27,"Hon. Ralph Goodale, P.C., M.P.","Minister, Public Safety and Emergency Preparedness",1,Ralph Goodale
