comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
245520,2012-10-16,Dr. Samuel Godefory,Director General,1,Samuel Godefory
245527,2012-10-22,Dr. Samuel Godefory,Director General,1,Samuel Godefory
273933,2013-03-26,Dr Samuel Godefroy,Director General,1,Samuel Godefroy
315903,2014-01-14,Dr Samuel Godefroy,Director General,1,Samuel Godefroy
165831,2011-01-26,Dr. Samuel Godefroy,Director General,1,Samuel Godefroy
202753,2011-12-08,Dr. Samuel Godefroy,Director General,1,Samuel Godefroy
212187,2012-02-28,Dr. Satish Mallya,Acting Manager,1,Satish Mallya
287489,2013-08-08,Dr Siddika Mithani,Assistant Deputy Minister,1,Siddika Mithani
463243,2020-01-21,Dr Siddika Mithani,President,1,Siddika Mithani
515333,2021-11-04,Dr. Siddika  Mithani ,President,1,Siddika Mithani
383974,2016-09-16,Dr. Siddika Mithani,President,1,Siddika Mithani
433024,2018-08-30,Dr. Siddika Mithani,Chief Public Health Officer,1,Siddika Mithani
451595,2019-04-01,Dr. Siddika Mithani,President,1,Siddika Mithani
451360,2019-04-04,Dr. Siddika Mithani,President,1,Siddika Mithani
451631,2019-04-04,Dr. Siddika Mithani,President,1,Siddika Mithani
451633,2019-04-11,Dr. Siddika Mithani,President,1,Siddika Mithani
451635,2019-04-18,Dr. Siddika Mithani,President,1,Siddika Mithani
451636,2019-04-25,Dr. Siddika Mithani,President,1,Siddika Mithani
455351,2019-05-02,Dr. Siddika Mithani,President,1,Siddika Mithani
455352,2019-05-09,Dr. Siddika Mithani,President,1,Siddika Mithani
455353,2019-05-16,Dr. Siddika Mithani,President,1,Siddika Mithani
455354,2019-05-23,Dr. Siddika Mithani,President,1,Siddika Mithani
455355,2019-05-30,Dr. Siddika Mithani,President,1,Siddika Mithani
457244,2019-06-04,Dr. Siddika Mithani,President,1,Siddika Mithani
456302,2019-06-05,Dr. Siddika Mithani,President,1,Siddika Mithani
456303,2019-06-05,Dr. Siddika Mithani,President,1,Siddika Mithani
457260,2019-06-06,Dr. Siddika Mithani,President,1,Siddika Mithani
457266,2019-06-13,Dr. Siddika Mithani,President,1,Siddika Mithani
457271,2019-06-21,Dr. Siddika Mithani,President,1,Siddika Mithani
458358,2019-07-04,Dr. Siddika Mithani,President,1,Siddika Mithani
458095,2019-07-12,Dr. Siddika Mithani,President,1,Siddika Mithani
459271,2019-08-14,Dr. Siddika Mithani,President,1,Siddika Mithani
459552,2019-08-15,Dr. Siddika Mithani,President,1,Siddika Mithani
459557,2019-08-23,Dr. Siddika Mithani,President,1,Siddika Mithani
460006,2019-09-19,Dr. Siddika Mithani,President,1,Siddika Mithani
461744,2019-11-22,Dr. Siddika Mithani,President,1,Siddika Mithani
464444,2020-02-13,Dr. Siddika Mithani,President,1,Siddika Mithani
468231,2020-02-27,Dr. Siddika Mithani,President,1,Siddika Mithani
470412,2020-03-23,Dr. Siddika Mithani,President,1,Siddika Mithani
470417,2020-03-26,Dr. Siddika Mithani,President,1,Siddika Mithani
470423,2020-03-31,Dr. Siddika Mithani,President,1,Siddika Mithani
473161,2020-04-02,Dr. Siddika Mithani,President,1,Siddika Mithani
472864,2020-04-07,Dr. Siddika Mithani,President,1,Siddika Mithani
472869,2020-04-14,Dr. Siddika Mithani,President,1,Siddika Mithani
472874,2020-04-21,Dr. Siddika Mithani,President,1,Siddika Mithani
474717,2020-05-14,Dr. Siddika Mithani,President,1,Siddika Mithani
479968,2020-06-12,Dr. Siddika Mithani,"President, Canadian Food Inspection Agency",1,Siddika Mithani
477052,2020-06-23,Dr. Siddika Mithani,President,1,Siddika Mithani
479305,2020-07-03,Dr. Siddika Mithani,President,1,Siddika Mithani
484101,2020-09-03,Dr. Siddika Mithani,President,1,Siddika Mithani
495209,2021-01-15,Dr. Siddika Mithani,President,1,Siddika Mithani
498890,2021-02-09,Dr. Siddika Mithani,President,1,Siddika Mithani
508763,2021-05-31,Dr. Siddika Mithani,President,1,Siddika Mithani
451373,2019-04-04,Dr. Sidika Mithani,President,1,Sidika Mithani
451375,2019-04-04,Dr. Sidika Mithani,President,1,Sidika Mithani
587590,2023-11-28,Dr. Stephen  Ellis,Member of Parliament,1,Stephen Ellis
527729,2022-03-10,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
530150,2022-04-22,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
535222,2022-05-10,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
535542,2022-05-10,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
535607,2022-05-10,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
533178,2022-05-31,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
533269,2022-05-31,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
533288,2022-05-31,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
534180,2022-05-31,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
536368,2022-05-31,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
533693,2022-06-02,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
536120,2022-06-02,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
536382,2022-06-02,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
536843,2022-06-16,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
539059,2022-07-11,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
542139,2022-08-14,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
542156,2022-08-14,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
544031,2022-09-20,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
542937,2022-09-21,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
543190,2022-09-21,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
543149,2022-09-29,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
542737,2022-10-04,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
552586,2022-10-17,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
545247,2022-10-25,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
549061,2022-11-03,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
552328,2022-11-14,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
566528,2022-11-14,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
550733,2022-11-15,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
551524,2022-11-15,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
548718,2022-11-17,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
549267,2022-11-17,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
548669,2022-11-28,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
553835,2022-12-13,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
553873,2022-12-13,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
553544,2023-01-04,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
554879,2023-01-30,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
555675,2023-01-31,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
558337,2023-02-09,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
556962,2023-02-15,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
573496,2023-02-15,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
558309,2023-02-16,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
558632,2023-02-22,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
560393,2023-03-14,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
560388,2023-03-16,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
561073,2023-03-20,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
562271,2023-03-21,Dr. Stephen Ellis,Member of Parliament,1,Stephen Ellis
