comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
392003,2016-12-19,"Dr Tanya Ramsamy, PhD",Associate Director,1,Tanya Ramsamy
460231,2019-09-23,Dr. Theresa tam,Chief Public Health Officer,1,Theresa Tam
409381,2017-10-11,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam
427807,2018-06-07,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam
429789,2018-06-08,Dr. Theresa Tam,Chief Health Officer,1,Theresa Tam
433024,2018-08-30,Dr. Theresa Tam,Senior Medical Director,1,Theresa Tam
455833,2019-05-06,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam
486166,2020-03-13,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam
578975,2023-09-21,Dr. Timothy Berube,Commission Member,1,Timothy Berube
377077,2016-04-27,Dr. Tom Wong,Chief Medical Officer of Health,1,Tom Wong
392586,2016-12-06,Dr. Tom Wong,Chief Medical Officer of Public Health and Executive Director,1,Tom Wong
485134,2020-09-11,Dr. Tom Wong,"Chief Medical Officer, Public Health",1,Tom Wong
487472,2020-10-06,Dr. Tom Wong,"Chief Medical Officer, Public Health",1,Tom Wong
614220,2024-09-10,Dr. Trevor Nightingale,Associate Vice President,1,Trevor Nightingale
427532,2018-05-23,Honourable Terry Mercer,Senator,1,Terry Mercer
237914,2012-06-20,Honourable Terry M. Mercer,Minister,1,Terry M. Mercer
91836,2008-12-22,Honourable Tony Clement,Minister,1,Tony Clement
109279,2009-05-28,Honourable Tony Clement,Minister,1,Tony Clement
193372,2011-10-18,Hon. Ted Menzies,"Minister of State, Finance",1,Ted Menzies
192484,2011-10-27,Hon. Ted Menzies,"Minister of State, Finance",1,Ted Menzies
197027,2011-11-01,Hon. Ted Menzies,Member of Parliament,1,Ted Menzies
197295,2011-12-01,Hon. Ted Menzies,"Minister of State, Finance",1,Ted Menzies
218651,2012-03-01,Hon. Ted Menzies,Minister of State,1,Ted Menzies
249169,2012-11-20,Hon. Ted Menzies,Member of Parliament,1,Ted Menzies
596427,2024-02-12,Hon. Terry Beech,Member of Parliament,1,Terry Beech
430321,2018-06-04,Hon. Terry Mercer,Senate Liberal Leader,1,Terry Mercer
492553,2020-12-09,Hon. Terry Mercer,Senator,1,Terry Mercer
197043,2011-11-03,"Hon. Terry Mercer, P.C.",Senator,1,Terry Mercer
266309,2012-11-07,Hon. Thomas Monclair,Leader of the Opposition,1,Thomas Monclair
420020,2018-01-25,Hon Thomas Mulcair,Member of Parliament,1,Thomas Mulcair
420042,2018-01-25,Hon Thomas Mulcair,Member of Parliament,1,Thomas Mulcair
329858,2014-06-04,Hon. Thomas Mulcair,Member of Parliament,1,Thomas Mulcair
342260,2014-10-30,Hon. Thomas Mulcair,Leader of the Opposition,1,Thomas Mulcair
339590,2014-11-03,Hon. Thomas Mulcair,Leader of the Opposition,1,Thomas Mulcair
343506,2014-11-26,Hon. Thomas Mulcair,Member of Parliament,1,Thomas Mulcair
418768,2018-01-31,Hon. Thomas Mulcair,Member of Parliament,1,Thomas Mulcair
285391,2013-07-23,"Hon. Thomas Mulcair, P.C., M.P.",Member of Parliament,1,Thomas Mulcair
266271,2012-11-07,Hon. Thomas Mulclair,Leader of the Opposition,1,Thomas Mulclair
356365,2015-05-13,Hon. Tim Uppal,Member of Parliament,1,Tim Uppal
390946,2016-11-23,Hon. Tobias Enverga,Senator,1,Tobias Enverga
160130,2010-11-16,Hon Tony Clement,"Minister, Industry",1,Tony Clement
102499,2009-04-28,Hon. Tony Clement,"Minister, Industry",1,Tony Clement
109306,2009-05-18,Hon. Tony Clement,"Minister, Industry",1,Tony Clement
110014,2009-05-18,Hon. Tony Clement,"Minister, Industry",1,Tony Clement
109746,2009-05-26,Hon. Tony Clement,"Minister, Industry",1,Tony Clement
154368,2010-08-16,Hon. Tony Clement,"Minister, Industry",1,Tony Clement
154373,2010-08-26,Hon. Tony Clement,"Minister, Industry",1,Tony Clement
