comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
162887,2010-12-08,Hon. Ujjal Dosanjh,Member of Parliament,1,Ujjal Dosanjh
165968,2011-02-14,Hon. Ujjal Dosanjh,Member of Parliament,1,Ujjal Dosanjh
156582,2010-10-05,The Hon. Ujjal Dosanjh,Member of Parliament,1,Ujjal Dosanjh
160919,2010-11-23,The Hon. Ujjal Dosanjh,Member of Parliament,1,Ujjal Dosanjh
512574,2021-07-12,Uchida Tatsukuni,"Consul General, Calgary for Japan",1,Uchida Tatsukuni
514564,2021-09-17,Uday Sequeira,Deputy Director,1,Uday Sequeira
514565,2021-10-05,Uday Sequeira,Deputy Director,1,Uday Sequeira
595644,2024-02-20,Udita Sameul,"Deputy Director, Operations",1,Udita Sameul
563825,2023-04-21,Udita  Samuel,"Regional Advisor, Ontario",1,Udita Samuel
594414,2024-02-23,Udita  Samuel,Deputy Director,1,Udita Samuel
607245,2024-06-06,Udita  Samuel,"Deputy Director, Operations and Outreach",1,Udita Samuel
563422,2023-04-18,Udita  Samuel ,"Regional Advisor, Ontario",1,Udita Samuel
482123,2020-08-17,Udita Samuel,"Policy Advisor, Diversity Inclusion and Youth",1,Udita Samuel
494814,2021-01-29,Udita Samuel,"Parliamentary Secretary | Assistant, Operations",1,Udita Samuel
495781,2021-01-29,Udita Samuel,Policy Advisor,1,Udita Samuel
513319,2021-07-07,Udita Samuel,"Parliamentary Secretary | Assistant, Operations",1,Udita Samuel
530396,2022-02-03,Udita Samuel,Director of Operations,1,Udita Samuel
530395,2022-03-10,Udita Samuel,Exempt Staff,1,Udita Samuel
527584,2022-03-15,Udita Samuel,Director of Operations,1,Udita Samuel
530431,2022-04-28,Udita Samuel,Director of Operations,1,Udita Samuel
537455,2022-06-20,Udita Samuel,"Regional Advisor, Ontario",1,Udita Samuel
541775,2022-08-24,Udita Samuel,Regional Advisor,1,Udita Samuel
541776,2022-08-26,Udita Samuel,Regional Advisor,1,Udita Samuel
544220,2022-09-07,Udita Samuel,"Regional Advisor, Ontario",1,Udita Samuel
541997,2022-09-08,Udita Samuel,"Staffer, Prime Minister's Office",1,Udita Samuel
544079,2022-09-13,Udita Samuel,"Regional Advisor, Ontario",1,Udita Samuel
547633,2022-10-14,Udita Samuel,"Regional Advisor, Ontario",1,Udita Samuel
544510,2022-10-18,Udita Samuel,"Regional Advisor, Ontario",1,Udita Samuel
545755,2022-10-18,Udita Samuel,Senior Advisor,1,Udita Samuel
545814,2022-10-25,Udita Samuel,Regional Advisor,1,Udita Samuel
547879,2022-10-25,Udita Samuel,"Regional Advisor, Ontario",1,Udita Samuel
553000,2022-12-07,Udita Samuel,Regional Advisor,1,Udita Samuel
560351,2023-02-01,Udita Samuel,Policy Advisor,1,Udita Samuel
558297,2023-02-01,Udita Samuel,"Regional Advisor, Ontario",1,Udita Samuel
557319,2023-02-16,Udita Samuel,Regional Advisor,1,Udita Samuel
559215,2023-02-16,Udita Samuel,"Regional Advisor, Ontario",1,Udita Samuel
557194,2023-02-22,Udita Samuel,Stakeholder Relations Advisor,1,Udita Samuel
557584,2023-03-02,Udita Samuel,Regional Advisor,1,Udita Samuel
557683,2023-03-03,Udita Samuel,Stakeholder Relations Advisor,1,Udita Samuel
563823,2023-04-21,Udita Samuel,"Regional Advisor, Ontario",1,Udita Samuel
