comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
365266,2015-11-12,Dr. William Yan,"Director, Bureau of Nutritional Sciences",1,William Yan
457297,2019-06-27,H.E. Wendy Gilmour,High Commissioner of Canada to Pakistan,1,Wendy Gilmour
414808,2017-12-06,Honourable Wayne Easter,Member of Parliament,1,Wayne Easter
403605,2017-06-06,Hon. Wanda Elaine Thomas Bernard,Senator,1,Wanda Elaine Thomas Bernard
380480,2016-06-08,Hon Wayne Easter,Member of Parliament,1,Wayne Easter
422156,2018-02-13,Hon Wayne Easter,Member of Parliament,1,Wayne Easter
428364,2018-05-11,Hon Wayne Easter,Member of Parliament,1,Wayne Easter
321718,2014-04-08,Hon.  Wayne Easter,Member of Parliament,1,Wayne Easter
169919,2011-03-18,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
226858,2012-06-07,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
334671,2014-09-23,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
339501,2014-11-25,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
343499,2014-11-26,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
372501,2016-02-17,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
378119,2016-05-26,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
382909,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
382912,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
382913,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
382914,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
382915,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
382916,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
382917,2016-08-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
386326,2016-10-24,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
391414,2016-11-03,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
389554,2016-11-16,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
389123,2016-11-29,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
389131,2016-11-29,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
399856,2017-05-03,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
400247,2017-05-09,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
403382,2017-05-11,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
409015,2017-09-21,Hon. Wayne Easter,"Chair, Finance Committee",1,Wayne Easter
408502,2017-09-26,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
416895,2017-11-14,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
418333,2017-12-05,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
421925,2018-02-13,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter
