comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
419100,2018-02-06,Mr. Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
489523,2020-11-20,Xavier Barsalou-Duva,Member of Parliament,1,Xavier Barsalou-duva
497814,2021-02-19,Xavier Barsalou-Duva,Member of Parliament,1,Xavier Barsalou-duva
537952,2022-07-11,Xavier  Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
605420,2024-05-22,Xavier  Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
415655,2017-11-27,Xavier Barsalou Duval,Member of Parliament,1,Xavier Barsalou Duval
428849,2018-05-30,Xavier Barsalou Duval,Member of Parliament,1,Xavier Barsalou Duval
475171,2020-05-07,Xavier Barsalou Duval,Member of Parliament,1,Xavier Barsalou Duval
476035,2020-05-07,Xavier Barsalou Duval,Member of Parliament,1,Xavier Barsalou Duval
476074,2020-05-07,Xavier Barsalou Duval,Member of Parliament,1,Xavier Barsalou Duval
488455,2020-11-10,Xavier Barsalou Duval,Member of Parliament,1,Xavier Barsalou Duval
498423,2021-02-08,Xavier Barsalou Duval,Member of Parliament,1,Xavier Barsalou Duval
498836,2021-02-08,Xavier Barsalou Duval,Member of Parliament,1,Xavier Barsalou Duval
370354,2016-02-02,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
372277,2016-02-02,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
370011,2016-02-17,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
384756,2016-09-21,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
386086,2016-10-18,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
395257,2017-02-07,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
400284,2017-04-03,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
414759,2017-11-29,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
417206,2017-11-29,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
418478,2018-01-23,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
421433,2018-02-02,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
420186,2018-02-06,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
421181,2018-02-06,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
421884,2018-02-06,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
422895,2018-02-06,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
420707,2018-02-15,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
420977,2018-02-15,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
421448,2018-02-16,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
431441,2018-04-24,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
426764,2018-05-08,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
432892,2018-05-08,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
431910,2018-07-13,Xavier Barsalou-Duval,Member of Parliament,1,Xavier Barsalou-duval
