comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
589725,2023-12-18,Hon. Ya'ara Saks,Minister of Mental Health and Addictions | Associate Minister of Health,1,Ya'ara Saks
328472,2014-06-19,Hon. Yonah Martin,Senator,1,Yonah Martin
468219,2020-02-19,Hon. Yonah Martin,Senator,1,Yonah Martin
500121,2021-03-23,"Ms. Ya'ara Saks, M.P.",Member of Parliament,1,Ya'ara Saks
483808,2020-10-09,Ms. Yanique Williams,Director of Policy,1,Yanique Williams
160745,2010-11-23,Ms. Yaprak Baltacioglu,Deputy Minister,1,Yaprak Baltacioglu
436103,2018-09-18,SENATOR YONAH MARTIN,Conservative Party of Canada,1,Yonah Martin
616061,2024-09-26,The Honourable Ya'ara  Saks ,"Minister, Mental Health and Addictions",1,Ya'ara Saks
625567,2024-12-10,"The Honourable Ya'ara  Saks, P.C., M.P. ","Minister, Mental Health and Addictions",1,Ya'ara Saks
624175,2024-11-29,"The Honourable Ya'ara  Saks, P.C., M.P.  ","Minister, Addictions and Mental Health",1,Ya'ara Saks
444101,2018-05-29,The Hon. Yuen Pau Woo,Senator,1,Yuen Pau Woo
444123,2018-05-31,The Hon. Yuen Pau Woo,Senator,1,Yuen Pau Woo
482329,2020-07-10,Yaa Cole,Policy Analyst,1,Yaa Cole
495372,2021-01-05,Yaa Cole,Policy Analyst,1,Yaa Cole
495392,2021-01-22,Yaa Cole,Policy Analyst,1,Yaa Cole
581560,2023-10-05,Yaa Cole,Policy Analyst,1,Yaa Cole
581562,2023-10-24,Yaa Cole,Policy Analyst,1,Yaa Cole
516763,2021-12-02,Ya’ara Sakas,Member of Parliament,1,Yaara Sakas
508786,2021-06-15,Ya 'ara Saks,Member of Parliament,1,Ya 'ara Saks
532927,2022-05-26,Ya'ara  Saks,Member of Parliament,1,Ya'ara Saks
542898,2022-10-06,Ya'ara  Saks,Member of Parliament,1,Ya'ara Saks
548951,2022-11-30,Ya'ara  Saks,Member of Parliament,1,Ya'ara Saks
600747,2024-03-28,Ya'ara  Saks,"Minister, Mental Health and Addictions",1,Ya'ara Saks
603766,2024-04-30,Ya'ara  Saks,"Minister, Mental Health and Addictions",1,Ya'ara Saks
614752,2024-08-13,Ya'ara  Saks,"Minister, Mental Health and Addictions",1,Ya'ara Saks
614894,2024-08-13,Ya'ara  Saks,"Minister, Mental Health and Addictions",1,Ya'ara Saks
628686,2024-12-12,Ya'ara  Saks,Minister of Mental Health and Addictions | Associate Minister of Health,1,Ya'ara Saks
631263,2025-01-30,Ya'ara  Saks,"Minister, Mental Health and Addictions",1,Ya'ara Saks
549593,2022-12-08,Ya'ara  Saks ,Member of Parliament,1,Ya'ara Saks
491710,2020-11-25,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
491851,2020-11-26,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
493534,2020-12-10,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
495474,2021-01-21,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
494405,2021-01-22,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
496181,2021-01-22,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
495816,2021-01-26,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
495377,2021-02-10,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
496385,2021-02-10,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
499608,2021-02-10,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
495099,2021-02-11,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
499688,2021-02-18,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
499057,2021-02-19,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
499176,2021-02-24,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
499218,2021-02-25,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
501279,2021-03-01,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
497542,2021-03-04,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
498520,2021-03-04,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
498710,2021-03-04,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
499884,2021-03-16,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
502434,2021-03-25,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
504815,2021-04-06,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
504729,2021-04-09,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
506242,2021-04-13,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
503161,2021-04-22,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
503284,2021-04-22,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
503889,2021-04-29,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
504714,2021-04-29,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
505806,2021-04-29,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
505553,2021-05-03,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
504009,2021-05-11,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
508055,2021-05-11,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
508802,2021-05-11,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
508501,2021-05-11,Ya'ara Saks,"Member of Parliament | Member, Environment and Sustainable Development Committee",1,Ya'ara Saks
508797,2021-05-26,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
508823,2021-05-27,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
509894,2021-06-07,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
509984,2021-06-07,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
510825,2021-06-07,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
508772,2021-06-15,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
511209,2021-06-15,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
510619,2021-06-17,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
511404,2021-06-17,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
511210,2021-06-23,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
509439,2021-06-28,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
509501,2021-06-28,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
512175,2021-06-28,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
513462,2021-07-06,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
511798,2021-07-23,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
511917,2021-07-28,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
514272,2021-08-03,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
516877,2021-11-02,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
518300,2021-11-17,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
516507,2021-11-19,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
518199,2021-11-19,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
516206,2021-11-24,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
516264,2021-11-29,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
516320,2021-11-30,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
516510,2021-11-30,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
519748,2021-12-02,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
519427,2021-12-09,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
520303,2021-12-13,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
519196,2022-01-11,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
522706,2022-01-11,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
523302,2022-01-11,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
520398,2022-01-13,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
521332,2022-01-13,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
522988,2022-01-18,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
522845,2022-01-20,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
522716,2022-01-24,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
522986,2022-01-25,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
524672,2022-02-11,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
525404,2022-02-17,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
524305,2022-03-01,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
525621,2022-03-01,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
524809,2022-03-10,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
528563,2022-04-06,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
528600,2022-04-06,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
530242,2022-04-06,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
531424,2022-04-06,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
532218,2022-04-06,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
530268,2022-04-25,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
532850,2022-05-06,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
534715,2022-05-06,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
532497,2022-05-12,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
533656,2022-05-16,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
535101,2022-05-17,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
535811,2022-05-27,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
536815,2022-06-16,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
536827,2022-06-16,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
536840,2022-06-16,Ya'ara Saks,Member of Parliament,1,Ya'ara Saks
