comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1
462914,2020-01-17,Zabair Patel,Chief of Staff,1,Zabair Patel
480083,2020-07-17,Zabier Patel,Chief of Staff,1,Zabier Patel
515402,2021-10-21,Zac Archambault,Deputy Director,1,Zac Archambault
416219,2017-11-28,Zach Archambault,Deputy Director,1,Zach Archambault
631765,2025-02-13,zachariah downey,Ministerial Assistant,1,Zachariah Downey
633362,2025-02-24,Zachariah  Downey,"Director, Parliamentary Affairs and Internal Trade",1,Zachariah Downey
561330,2023-03-06,Zachariah Downey,Legislative Assistant,1,Zachariah Downey
573555,2023-07-26,Zachariah Downey,Legislative Assistant,1,Zachariah Downey
631704,2025-02-14,Zachariah Downey,"Director, Parliamentary Affairs",1,Zachariah Downey
633094,2025-02-24,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",1,Zachariah Downey
634740,2025-03-05,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",1,Zachariah Downey
635288,2025-03-06,Zachariah Downey,"Director, Parliamentary Affairs",1,Zachariah Downey
635207,2025-03-13,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",1,Zachariah Downey
637316,2025-05-02,Zachariah Downey,"Director, Parliamentary Affairs",1,Zachariah Downey
635548,2025-05-06,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",1,Zachariah Downey
616835,2024-09-04,zachary archambault,Director,1,Zachary Archambault
630327,2025-01-24,zachary Archambault,Director,1,Zachary Archambault
587554,2023-11-07,Zachary  Archambault,Director,1,Zachary Archambault
297609,2013-09-11,Zachary Archambault,Senior Trade Policy Officer,1,Zachary Archambault
338892,2014-10-21,Zachary Archambault,Deputy Director,1,Zachary Archambault
342006,2014-11-07,Zachary Archambault,Deputy Director,1,Zachary Archambault
421976,2018-02-27,Zachary Archambault,Deputy Director,1,Zachary Archambault
424153,2018-03-01,Zachary Archambault,Deputy Director,1,Zachary Archambault
444538,2019-01-23,Zachary Archambault,Deputy Director,1,Zachary Archambault
447192,2019-02-25,Zachary Archambault,Deputy Director,1,Zachary Archambault
450909,2019-04-02,Zachary Archambault,Deputy Director,1,Zachary Archambault
454090,2019-05-23,Zachary Archambault,Deputy Director,1,Zachary Archambault
514760,2021-09-20,Zachary Archambault,Deputy Director,1,Zachary Archambault
515535,2021-10-19,Zachary Archambault,Deputy Director,1,Zachary Archambault
622026,2024-10-10,Zachary Archambault,Director,1,Zachary Archambault
623727,2024-11-20,Zachary Archambault,Director,1,Zachary Archambault
629255,2024-12-05,Zachary Archambault,Director,1,Zachary Archambault
630541,2025-01-10,Zachary Archambault,Director,1,Zachary Archambault
630324,2025-01-23,Zachary Archambault,Director,1,Zachary Archambault
630342,2025-01-24,Zachary Archambault,Director,1,Zachary Archambault
630339,2025-01-24,Zachary Archambault,Director General,1,Zachary Archambault
633279,2025-02-03,Zachary Archambault,Director,1,Zachary Archambault
634442,2025-03-28,Zachary Archambault,Deputy Director,1,Zachary Archambault
635675,2025-04-04,Zachary Archambault,Director,1,Zachary Archambault
408554,2017-09-26,Zachary Armchambault,Deputy Director,1,Zachary Armchambault
412547,2017-10-13,Zachary Armchambault,Deputy Director,1,Zachary Armchambault
589898,2023-12-19,Zachary Bensemana,Policy Analyst,1,Zachary Bensemana
434437,2018-10-02,Zachary Caldwell,Parliamentary Affairs and Issues Advisor,1,Zachary Caldwell
444211,2018-11-22,Zachary Caldwell,Parliamentary Affairs and Issues Advisor,1,Zachary Caldwell
529808,2022-03-29,Zachary Caldwell,Director of Communications,1,Zachary Caldwell
609420,2024-06-19,Zachary Campbell,Trade Commissioner,1,Zachary Campbell
402190,2017-05-29,Zachary Cocek,Constituency Assistant,1,Zachary Cocek
416226,2017-12-04,Zachary Cocek,Parliamentary Assistant,1,Zachary Cocek
423608,2018-03-26,Zachary Cocek,Parliamentary Assistant,1,Zachary Cocek
429362,2018-05-01,Zachary Cocek,Policy Advisor,1,Zachary Cocek
414878,2017-11-29,Zachary Dayler,Constituency Assistant,1,Zachary Dayler
418820,2018-01-22,Zachary Dayler,"Director, Office of the Hon. Catherine McKenna",1,Zachary Dayler
419983,2018-02-09,Zachary Dayler,"Director, Ottawa Centre Community Office",1,Zachary Dayler
420658,2018-02-15,Zachary Dayler,Director,1,Zachary Dayler
611318,2024-06-06,Zachary Euler,Analyst,1,Zachary Euler
451051,2019-04-24,Zachary Fentiman,Tax Policy Officer,1,Zachary Fentiman
456878,2019-07-08,Zachary Fentiman,"Tax Policy Officer, Personal Income Tax Division",1,Zachary Fentiman
