comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2
494265,2021-01-29,Babara Henry,Director of Operations,1,Babara Henry,Director of Operations,Babara Henry,Director of Operations
509343,2021-06-22,Badrane Erhioui,Manager,1,Badrane Erhioui,Manager,Badrane Erhioui,Manager
509564,2021-06-22,Badrane Erhioui,Manager,1,Badrane Erhioui,Manager,Badrane Erhioui,Manager
312630,2013-12-11,Baetz Candice,"Special Assistant, Policy",1,Baetz Candice,"Special Assistant, Policy",Baetz Candice,"Special Assistant, Policy"
608520,2024-05-28,Bafetigue  Ouattara,Ambassador to Canada,1,Bafetigue Ouattara,Ambassador to Canada,Bafetigue Ouattara,Ambassador to Canada
484899,2020-10-08,Bagnell Larry,Member of Parliament,1,Bagnell Larry,Member of Parliament,Bagnell Larry,Member of Parliament
417570,2017-12-08,Bahadur Singh Vinning,"Regional Affairs Manager, Pacific",1,Bahadur Singh Vinning,"Regional Affairs Manager, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
401446,2017-05-23,Bahadur Vinning,"Regional Affairs Manager, Pacific",1,Bahadur Vinning,"Regional Affairs Manager, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
402679,2017-06-07,Bahadur Vinning,"Regional Affairs Manager, Pacific",1,Bahadur Vinning,"Regional Affairs Manager, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
404260,2017-06-20,Bahadur Vinning,"Regional Affairs Manager, Pacific",1,Bahadur Vinning,"Regional Affairs Manager, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
406688,2017-08-10,Bahadur Vinning,"Regional Affairs Manager, Pacific",1,Bahadur Vinning,"Regional Affairs Manager, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
417816,2017-12-08,Bahadur Vinning,"Regional Affairs Manager, Pacific",1,Bahadur Vinning,"Regional Affairs Manager, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
419882,2018-02-05,Bahadur Vinning,"Manager, Pacific Regional Affairs",1,Bahadur Vinning,"Manager, Pacific Regional Affairs",Bahadur Vinning,"Regional Affairs Manager, Pacific"
421816,2018-02-09,Bahadur Vinning,"Regional Affairs Manager, Pacific",1,Bahadur Vinning,"Regional Affairs Manager, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
421143,2018-02-22,Bahadur Vinning,"Regional Affairs Manager, Pacific",1,Bahadur Vinning,"Regional Affairs Manager, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
420774,2018-03-02,Bahadur Vinning,"Manager, Pacific Regional Affairs",1,Bahadur Vinning,"Manager, Pacific Regional Affairs",Bahadur Vinning,"Regional Affairs Manager, Pacific"
422767,2018-03-22,Bahadur Vinning,"Regional Affairs Manager, Pacific",1,Bahadur Vinning,"Regional Affairs Manager, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
433388,2018-09-06,Bahadur Vinning,"Regional Affairs Manager, Pacific",1,Bahadur Vinning,"Regional Affairs Manager, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
435336,2018-09-06,Bahadur Vinning,"Regional Affairs Manager, Pacific",1,Bahadur Vinning,"Regional Affairs Manager, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
476580,2020-06-29,Bahadur Vinning,"Regional Affairs Manager, BC",1,Bahadur Vinning,"Regional Affairs Manager, BC",Bahadur Vinning,"Regional Affairs Manager, Pacific"
478781,2020-07-31,Bahadur Vinning,"Director, MRO Regional Affairs, Pacific",1,Bahadur Vinning,"Director, MRO Regional Affairs, Pacific",Bahadur Vinning,"Regional Affairs Manager, Pacific"
485333,2020-09-25,Bahadur Vinning,Regional Affairs Manager,1,Bahadur Vinning,Regional Affairs Manager,Bahadur Vinning,"Regional Affairs Manager, Pacific"
487820,2020-10-19,Bahadur Vinning,Regional Advisor,1,Bahadur Vinning,Regional Advisor,Bahadur Vinning,"Regional Affairs Manager, Pacific"
497105,2021-03-02,Bahadur Vinning,Regional Affairs Manager,1,Bahadur Vinning,Regional Affairs Manager,Bahadur Vinning,"Regional Affairs Manager, Pacific"
509552,2021-06-02,Bahadur Vinning,Regional Affairs Manager,1,Bahadur Vinning,Regional Affairs Manager,Bahadur Vinning,"Regional Affairs Manager, Pacific"
635560,2025-04-15,Baharnesh  Teshome,Trade Commissioner,1,Baharnesh Teshome,Trade Commissioner,Baharnesh Teshome,Trade Commissioner
635559,2025-04-17,Baharnesh Teshome,Trade Commissioner,1,Baharnesh Teshome,Trade Commissioner,Baharnesh Teshome,Trade Commissioner
636628,2025-05-06,Baharnesh Teshome,Trade Commissioner,1,Baharnesh Teshome,Trade Commissioner,Baharnesh Teshome,Trade Commissioner
543768,2022-09-23,Bahoz Daraaziz,Issues Management,1,Bahoz Daraaziz,Issues Management,Bahoz Daraaziz,Issues Management
568035,2023-05-24,Bahoz Dara Aziz,Press Secretary,1,Bahoz Dara Aziz,Press Secretary,Bahoz Dara Aziz,Press Secretary
572900,2023-06-06,Bahoz Dara Aziz,Press Secretary,1,Bahoz Dara Aziz,Press Secretary,Bahoz Dara Aziz,Press Secretary
572909,2023-06-26,Bahoz Dara Aziz,Press Secretary,1,Bahoz Dara Aziz,Press Secretary,Bahoz Dara Aziz,Press Secretary
596762,2024-02-13,Bahoz Dara Aziz,Press Secretary,1,Bahoz Dara Aziz,Press Secretary,Bahoz Dara Aziz,Press Secretary
608496,2024-05-14,Bahoz Dara Aziz,Press Secretary,1,Bahoz Dara Aziz,Press Secretary,Bahoz Dara Aziz,Press Secretary
570554,2023-06-13,Bailey Dennis,Parliamentary Assistant,1,Bailey Dennis,Parliamentary Assistant,Bailey Dennis,Parliamentary Assistant
453588,2019-05-08,Bains Aneeta,Assistant Deputy Minister and Chief Digital Officer,1,Bains Aneeta,Assistant Deputy Minister and Chief Digital Officer,Bains Aneeta,Assistant Deputy Minister and Chief Digital Officer
159974,2010-10-20,Bains Navdeep,Member of Parliament,1,Bains Navdeep,Member of Parliament,Bains Navdeep,"Minister, Innovation, Science and Economic Development"
364203,2015-11-17,Bains Navdeep,Minister,1,Bains Navdeep,Minister,Bains Navdeep,"Minister, Innovation, Science and Economic Development"
366706,2015-12-11,Bains Navdeep,"Minister, Innovation, Science and Economic Development",1,Bains Navdeep,"Minister, Innovation, Science and Economic Development",Bains Navdeep,"Minister, Innovation, Science and Economic Development"
163484,2010-12-03,Baird John,Minister,1,Baird John,Minister,Baird John,Minister
76382,2008-07-15,Baker Evan,"Special Assistant, Policy",1,Baker Evan,"Special Assistant, Policy",Baker Evan,"Special Assistant, Policy"
185546,2011-08-04,Bal Ghosal,"Minister, Sport",1,Bal Ghosal,"Minister, Sport",Bal Ghosal,"Minister, Sport"
180591,2011-07-04,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
184664,2011-08-03,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
183524,2011-08-22,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
189029,2011-09-27,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
193624,2011-10-17,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
195984,2011-11-04,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
197427,2011-11-04,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
200596,2011-11-07,Bal Gosal,Minister of State,1,Bal Gosal,Minister of State,Bal Gosal,Member of Parliament
196842,2011-11-15,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
200291,2011-11-28,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
201068,2011-12-06,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
197167,2011-12-06,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
201448,2011-12-06,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
202351,2011-12-06,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
204569,2012-01-25,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
205067,2012-01-25,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
205213,2012-01-25,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
205393,2012-01-25,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
207111,2012-01-25,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
212034,2012-02-09,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
209307,2012-02-24,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
210391,2012-02-24,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
211753,2012-03-01,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
218769,2012-03-01,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
217259,2012-03-08,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
219409,2012-03-08,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
223269,2012-03-26,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
219727,2012-04-19,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
229109,2012-05-31,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
226886,2012-06-12,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
243631,2012-09-27,Bal Gosal,Minister of State,1,Bal Gosal,Minister of State,Bal Gosal,Member of Parliament
250970,2012-11-27,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
251312,2012-11-28,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
250040,2012-12-07,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
250677,2012-12-07,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
258050,2013-01-19,Bal Gosal,Minister of State for Sport,1,Bal Gosal,Minister of State for Sport,Bal Gosal,Member of Parliament
263509,2013-02-05,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
264229,2013-02-05,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
264476,2013-02-05,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
265910,2013-02-12,Bal Gosal,Member of Parliament,1,Bal Gosal,Member of Parliament,Bal Gosal,Member of Parliament
258508,2013-02-12,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
261331,2013-02-25,Bal Gosal,"Minister of State, Sport",1,Bal Gosal,"Minister of State, Sport",Bal Gosal,Member of Parliament
