comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2
502301,2021-03-10,Hon. Omar Alghabra,"Minister, Transport",1,Omar Alghabra,"Minister, Transport",Omar Alghabra,"Minister, Transport"
520296,2022-01-17,Hon. Omar Alghabra,"Minister, Transport",1,Omar Alghabra,"Minister, Transport",Omar Alghabra,"Minister, Transport"
550491,2022-11-03,Hon. Omar Alghabra,"Minister, Transport",1,Omar Alghabra,"Minister, Transport",Omar Alghabra,"Minister, Transport"
514268,2021-08-17,Oana Tranca,Research and Evaluation Analyst,1,Oana Tranca,Research and Evaluation Analyst,Oana Tranca,Research and Evaluation Analyst
604508,2024-04-05,Oana  Vasuta,Policy Analyst,1,Oana Vasuta,Policy Analyst,Oana Vasuta,Policy Analyst
540078,2022-07-15,Oba Harding,Senior Business Officer,1,Oba Harding,Senior Business Officer,Oba Harding,Business Officer
540081,2022-07-27,Oba Harding,Senior Business Officer,1,Oba Harding,Senior Business Officer,Oba Harding,Business Officer
551394,2022-11-07,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer
559977,2023-02-07,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer
560000,2023-02-22,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer
568994,2023-05-04,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer
569934,2023-05-30,Oba Harding,Prairies Economic Development Canada,1,Oba Harding,Prairies Economic Development Canada,Oba Harding,Business Officer
571711,2023-06-15,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer
597185,2024-02-27,Oba Harding,Senior Business Officer,1,Oba Harding,Senior Business Officer,Oba Harding,Business Officer
597186,2024-02-28,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer
633206,2025-02-18,Oba Harding,Senior Business Officer,1,Oba Harding,Senior Business Officer,Oba Harding,Business Officer
446969,2019-02-28,O'Brien Damien,Senior Policy Advisor,1,O'brien Damien,Senior Policy Advisor,Obrien Damien,Senior Policy Advisor
416638,2017-11-08,O'Brien Stevie,"Director, Parliamentary Affairs",1,O'brien Stevie,"Director, Parliamentary Affairs",Obrien Stevie,"Director, Parliamentary Affairs"
113913,2009-06-04,Oda Beverlee,Minister,1,Oda Beverlee,Minister,Oda Beverlee,Minister
393134,2017-01-31,Odette Johnson,Director,1,Odette Johnson,Director,Odette Johnson,Director
513647,2021-09-01,Odile Joannette,Director,1,Odile Joannette,Director,Odile Joannette,Director
564886,2023-04-27,Ogesanmola Omitayo,"Senior Advisor, Program Development",1,Ogesanmola Omitayo,"Senior Advisor, Program Development",Ogesanmola Omitayo,"Senior Advisor, Program Development"
277293,2013-05-30,Ogilvie Kelvin,Senator,1,Ogilvie Kelvin,Senator,Ogilvie Kelvin,Senator
397785,2017-04-04,Ogilvie Kelvin,Senator,1,Ogilvie Kelvin,Senator,Ogilvie Kelvin,Senator
403605,2017-06-06,Ogilvie Kelvin,Senator,1,Ogilvie Kelvin,Senator,Ogilvie Kelvin,Senator
388784,2016-11-17,O'Halloran Mark,Special Assistant,1,O'halloran Mark,Special Assistant,Ohalloran Mark,Special Assistant
265013,2013-02-28,Oh Victor,Senator,1,Oh Victor,Senator,Oh Victor,Senator
275214,2013-05-30,oilivier Hebert,Director of Policy,1,Oilivier Hebert,Director of Policy,Oilivier Hebert,Director of Policy
625905,2024-11-05,Olaf Andreas Kjelsen,Ambassador,1,Olaf Andreas Kjelsen,Ambassador,Olaf Andreas Kjelsen,Ambassador
551289,2022-11-30,Olaf  Jensen,Director,1,Olaf Jensen,Director,Olaf Jensen,Director
138818,2010-01-14,Olaf Jensen,"Head, Protected Areas",1,Olaf Jensen,"Head, Protected Areas",Olaf Jensen,Director
