comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2
576401,2023-08-23,Dr. Parthiban Muthukumarasamy,Executive Director,1,Parthiban Muthukumarasamy,Executive Director,Parthiban Muthukumarasamy,"Director, Meat Division"
386592,2016-10-19,Dr. Pascale Massot,Policy Advisor,1,Pascale Massot,Policy Advisor,Pascale Massot,Senior Policy Advisor
504741,2021-05-13,Dr Pascal Michel,Chief Science Officer,1,Pascal Michel,Chief Science Officer,Pascal Michel,Chief Science Officer
430533,2018-06-12,Dr. Patrick Stewart,Director General,1,Patrick Stewart,Director General,Patrick Stewart,Director General
448462,2019-03-20,Dr. Patrick Stewart,Director General,1,Patrick Stewart,Director General,Patrick Stewart,Director General
145900,2010-03-23,Dr. Paul Boothe,"Senior Associate Deputy Minister, Industry",1,Paul Boothe,"Senior Associate Deputy Minister, Industry",Paul Boothe,Senior Associate Deputy Minister
110017,2009-06-02,Dr. Paul Wilson,Director of Policy,1,Paul Wilson,Director of Policy,Paul Wilson,Director of Policy
311196,2013-11-14,Dr. Peter Cooney,Chief Dental Officer,1,Peter Cooney,Chief Dental Officer,Peter Cooney,Chief Dental Officer
481476,2020-09-11,Dr. Pierre Lafortune,National Veterinary Program Manager,1,Pierre Lafortune,National Veterinary Program Manager,Pierre Lafortune,National Manager
452880,2019-04-12,Dr. Pierre Lavoie,"Director General, S&T Force Employment",1,Pierre Lavoie,"Director General, S&T Force Employment",Pierre Lavoie,"Director General, S&T Force Employment"
550265,2022-12-01,Dr. Primal Silva,Chief Science Operating Officer,1,Primal Silva,Chief Science Operating Officer,Primal Silva,Chief Science Operating Officer
191204,2011-10-24,Honourable Peter Kent,"Minister, Environment",1,Peter Kent,"Minister, Environment",Peter Kent,Member of Parliament
91835,2009-01-12,Honourable Peter Van Loan,Minister,1,Peter Van Loan,Minister,Peter Van Loan,Member of Parliament
