comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2
514342,2021-09-27,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed,Senior Policy Advisor,Qamer Hameed,Senior Policy Advisor
514353,2021-09-27,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed,Senior Policy Advisor,Qamer Hameed,Senior Policy Advisor
514403,2021-09-27,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed,Senior Policy Advisor,Qamer Hameed,Senior Policy Advisor
524854,2022-03-10,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed,Senior Policy Advisor,Qamer Hameed,Senior Policy Advisor
529049,2022-03-16,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed,Senior Policy Advisor,Qamer Hameed,Senior Policy Advisor
531017,2022-04-27,Qamer Hameed,Senior Policy Advisor,1,Qamer Hameed,Senior Policy Advisor,Qamer Hameed,Senior Policy Advisor
567233,2023-05-11,Qamer Hameed,Senior Advisor,1,Qamer Hameed,Senior Advisor,Qamer Hameed,Senior Policy Advisor
602491,2024-04-30,Qasir  Dar,"Director, Stakeholder Relations",1,Qasir Dar,"Director, Stakeholder Relations",Qasir Dar,"Director, Stakeholder Relations"
608200,2024-05-23,Qasir Dar,"Chair, Liberal Party of Canada",1,Qasir Dar,"Chair, Liberal Party of Canada",Qasir Dar,"Director, Stakeholder Relations"
609665,2024-06-06,Qasir Dar,"Director, Stakeholder Relations",1,Qasir Dar,"Director, Stakeholder Relations",Qasir Dar,"Director, Stakeholder Relations"
611621,2024-07-22,Qasir Dar,"Director, Stakeholder Relations",1,Qasir Dar,"Director, Stakeholder Relations",Qasir Dar,"Director, Stakeholder Relations"
603339,2024-04-15,Qasir  Dar Hanif,"Director, Stakeholder Relations",1,Qasir Dar Hanif,"Director, Stakeholder Relations",Qasir Dar Hanif,"Director, Stakeholder Relations"
601130,2024-04-15,Qasir Dar Hanif,"Director, Stakeholder Relations",1,Qasir Dar Hanif,"Director, Stakeholder Relations",Qasir Dar Hanif,"Director, Stakeholder Relations"
608207,2024-05-23,Qasir  Hanif,Director of Outreach,1,Qasir Hanif,Director of Outreach,Qasir Hanif,"Director, Stakeholder Relations"
