comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2
156981,2010-10-13,Dr. Rainer Engelhardt,Assistant Deputy Minister,1,Rainer Engelhardt,Assistant Deputy Minister,Rainer Engelhardt,Assistant Deputy Minister
237914,2012-06-20,Dr. Rainer Engelhardt,Assistant Deputy Minister,1,Rainer Engelhardt,Assistant Deputy Minister,Rainer Engelhardt,Assistant Deputy Minister
229847,2012-06-28,Dr. Rainer Engelhardt,Assistant Deputy Minister,1,Rainer Engelhardt,Assistant Deputy Minister,Rainer Engelhardt,Assistant Deputy Minister
268097,2013-03-28,Dr. Rainer Engelhardt,Assistant Deputy Minister,1,Rainer Engelhardt,Assistant Deputy Minister,Rainer Engelhardt,Assistant Deputy Minister
315608,2014-01-27,Dr. Rainer Engelhardt,Assistant Deputy Minister,1,Rainer Engelhardt,Assistant Deputy Minister,Rainer Engelhardt,Assistant Deputy Minister
350798,2015-03-31,Dr. Rainer Engelhardt,Assistant Deputy Minister and Chief Science Officer,1,Rainer Engelhardt,Assistant Deputy Minister and Chief Science Officer,Rainer Engelhardt,Assistant Deputy Minister
163989,2010-12-07,Dr. Rainer Englehardt,Assistant Deputy Minister,1,Rainer Englehardt,Assistant Deputy Minister,Rainer Englehardt,Assistant Deputy Minister
173473,2011-05-26,Dr. Rainer Englehardt,Assistant Deputy Minister,1,Rainer Englehardt,Assistant Deputy Minister,Rainer Englehardt,Assistant Deputy Minister
173480,2011-06-13,Dr. Rainer Englehardt,Assistant Deputy Minister,1,Rainer Englehardt,Assistant Deputy Minister,Rainer Englehardt,Assistant Deputy Minister
487530,2020-10-22,Dr. Rhonda Laboucan,Registered Dietitian,1,Rhonda Laboucan,Registered Dietitian,Rhonda Laboucan,Registered Dietitian
444759,2019-01-17,Dr. Richard Aucoin,Executive Director,1,Richard Aucoin,Executive Director,Richard Aucoin,Executive Director
444761,2019-01-25,Dr. Richard Aucoin,Executive Director,1,Richard Aucoin,Executive Director,Richard Aucoin,Executive Director
447448,2019-02-27,Dr. Richard Aucoin,Executive Director,1,Richard Aucoin,Executive Director,Richard Aucoin,Executive Director
237914,2012-06-20,Dr. Robert Cushman,"Director General, Biologics and Genetic Therapies",1,Robert Cushman,"Director General, Biologics and Genetic Therapies",Robert Cushman,Director General
233857,2012-07-25,Dr. Robert Cushman,Director General,1,Robert Cushman,Director General,Robert Cushman,Director General
244834,2012-10-01,Dr. Robert Cushman,Director General,1,Robert Cushman,Director General,Robert Cushman,Director General
244835,2012-10-12,Dr. Robert Cushman,Director General,1,Robert Cushman,Director General,Robert Cushman,Director General
370450,2016-02-17,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen,Member of Parliament,Robert Kitchen,Member of Parliament
378730,2016-05-09,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen,Member of Parliament,Robert Kitchen,Member of Parliament
409705,2017-09-29,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen,Member of Parliament,Robert Kitchen,Member of Parliament
409569,2017-10-04,Dr. Robert Kitchen,Member of Parliament,1,Robert Kitchen,Member of Parliament,Robert Kitchen,Member of Parliament
