comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2
162887,2010-12-08,Hon. Ujjal Dosanjh,Member of Parliament,1,Ujjal Dosanjh,Member of Parliament,Ujjal Dosanjh,Member of Parliament
165968,2011-02-14,Hon. Ujjal Dosanjh,Member of Parliament,1,Ujjal Dosanjh,Member of Parliament,Ujjal Dosanjh,Member of Parliament
156582,2010-10-05,The Hon. Ujjal Dosanjh,Member of Parliament,1,Ujjal Dosanjh,Member of Parliament,Ujjal Dosanjh,Member of Parliament
160919,2010-11-23,The Hon. Ujjal Dosanjh,Member of Parliament,1,Ujjal Dosanjh,Member of Parliament,Ujjal Dosanjh,Member of Parliament
512574,2021-07-12,Uchida Tatsukuni,"Consul General, Calgary for Japan",1,Uchida Tatsukuni,"Consul General, Calgary for Japan",Uchida Tatsukuni,"Consul General, Calgary for Japan"
514564,2021-09-17,Uday Sequeira,Deputy Director,1,Uday Sequeira,Deputy Director,Uday Sequeira,Deputy Director
514565,2021-10-05,Uday Sequeira,Deputy Director,1,Uday Sequeira,Deputy Director,Uday Sequeira,Deputy Director
595644,2024-02-20,Udita Sameul,"Deputy Director, Operations",1,Udita Sameul,"Deputy Director, Operations",Udita Sameul,"Deputy Director, Operations"
563825,2023-04-21,Udita  Samuel,"Regional Advisor, Ontario",1,Udita Samuel,"Regional Advisor, Ontario",Udita Samuel,"Regional Advisor, Ontario"
594414,2024-02-23,Udita  Samuel,Deputy Director,1,Udita Samuel,Deputy Director,Udita Samuel,"Regional Advisor, Ontario"
607245,2024-06-06,Udita  Samuel,"Deputy Director, Operations and Outreach",1,Udita Samuel,"Deputy Director, Operations and Outreach",Udita Samuel,"Regional Advisor, Ontario"
563422,2023-04-18,Udita  Samuel ,"Regional Advisor, Ontario",1,Udita Samuel,"Regional Advisor, Ontario",Udita Samuel,"Regional Advisor, Ontario"
