comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2
462914,2020-01-17,Zabair Patel,Chief of Staff,1,Zabair Patel,Chief of Staff,Zabair Patel,Chief of Staff
480083,2020-07-17,Zabier Patel,Chief of Staff,1,Zabier Patel,Chief of Staff,Zabair Patel,Chief of Staff
515402,2021-10-21,Zac Archambault,Deputy Director,1,Zac Archambault,Deputy Director,Zac Archambault,Deputy Director
416219,2017-11-28,Zach Archambault,Deputy Director,1,Zach Archambault,Deputy Director,Zac Archambault,Deputy Director
631765,2025-02-13,zachariah downey,Ministerial Assistant,1,Zachariah Downey,Ministerial Assistant,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade"
633362,2025-02-24,Zachariah  Downey,"Director, Parliamentary Affairs and Internal Trade",1,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade"
561330,2023-03-06,Zachariah Downey,Legislative Assistant,1,Zachariah Downey,Legislative Assistant,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade"
573555,2023-07-26,Zachariah Downey,Legislative Assistant,1,Zachariah Downey,Legislative Assistant,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade"
631704,2025-02-14,Zachariah Downey,"Director, Parliamentary Affairs",1,Zachariah Downey,"Director, Parliamentary Affairs",Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade"
633094,2025-02-24,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",1,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade"
634740,2025-03-05,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",1,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade"
635288,2025-03-06,Zachariah Downey,"Director, Parliamentary Affairs",1,Zachariah Downey,"Director, Parliamentary Affairs",Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade"
635207,2025-03-13,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",1,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade"
637316,2025-05-02,Zachariah Downey,"Director, Parliamentary Affairs",1,Zachariah Downey,"Director, Parliamentary Affairs",Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade"
635548,2025-05-06,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",1,Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade"
616835,2024-09-04,zachary archambault,Director,1,Zachary Archambault,Director,Zachary Archambault,Director
630327,2025-01-24,zachary Archambault,Director,1,Zachary Archambault,Director,Zachary Archambault,Director
587554,2023-11-07,Zachary  Archambault,Director,1,Zachary Archambault,Director,Zachary Archambault,Director
297609,2013-09-11,Zachary Archambault,Senior Trade Policy Officer,1,Zachary Archambault,Senior Trade Policy Officer,Zachary Archambault,Director
338892,2014-10-21,Zachary Archambault,Deputy Director,1,Zachary Archambault,Deputy Director,Zachary Archambault,Director
342006,2014-11-07,Zachary Archambault,Deputy Director,1,Zachary Archambault,Deputy Director,Zachary Archambault,Director
421976,2018-02-27,Zachary Archambault,Deputy Director,1,Zachary Archambault,Deputy Director,Zachary Archambault,Director
424153,2018-03-01,Zachary Archambault,Deputy Director,1,Zachary Archambault,Deputy Director,Zachary Archambault,Director
444538,2019-01-23,Zachary Archambault,Deputy Director,1,Zachary Archambault,Deputy Director,Zachary Archambault,Director
447192,2019-02-25,Zachary Archambault,Deputy Director,1,Zachary Archambault,Deputy Director,Zachary Archambault,Director
450909,2019-04-02,Zachary Archambault,Deputy Director,1,Zachary Archambault,Deputy Director,Zachary Archambault,Director
454090,2019-05-23,Zachary Archambault,Deputy Director,1,Zachary Archambault,Deputy Director,Zachary Archambault,Director
514760,2021-09-20,Zachary Archambault,Deputy Director,1,Zachary Archambault,Deputy Director,Zachary Archambault,Director
515535,2021-10-19,Zachary Archambault,Deputy Director,1,Zachary Archambault,Deputy Director,Zachary Archambault,Director
622026,2024-10-10,Zachary Archambault,Director,1,Zachary Archambault,Director,Zachary Archambault,Director
623727,2024-11-20,Zachary Archambault,Director,1,Zachary Archambault,Director,Zachary Archambault,Director
629255,2024-12-05,Zachary Archambault,Director,1,Zachary Archambault,Director,Zachary Archambault,Director
