comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
125200,2009-09-15,Dr. Frank Plummer,"Director General, Scientific",1,Frank Plummer,"Director General, Scientific",Frank Plummer,"Director General, Scientific",Frank Plummer,"Director General, Scientific"
571292,2023-06-08,Fabian  Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
572117,2023-06-15,Fabian  Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
146654,2010-03-16,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
158739,2010-10-18,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
158893,2010-10-18,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
162689,2010-10-18,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
164125,2010-12-02,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
164169,2010-12-02,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
190861,2011-10-20,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
196357,2011-11-17,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
212411,2012-03-01,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
255972,2013-01-25,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
276290,2013-05-09,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
341792,2014-11-25,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
355109,2015-05-12,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
372126,2016-02-04,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
373065,2016-03-08,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
378999,2016-05-17,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
397070,2017-02-09,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
410897,2017-10-17,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
415208,2017-11-07,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
414043,2017-11-20,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
414519,2017-11-22,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
417199,2017-11-22,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
418675,2018-01-31,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
421908,2018-02-08,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
425387,2018-04-23,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
428670,2018-05-03,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
436159,2018-10-17,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
437284,2018-10-18,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
440531,2018-11-05,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
441333,2018-11-05,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
441707,2018-11-19,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
442684,2018-11-19,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
444018,2018-12-13,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
445596,2019-01-13,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
445692,2019-01-25,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
447413,2019-02-01,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
460338,2019-02-06,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
445951,2019-02-20,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
446833,2019-02-20,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
448438,2019-03-21,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
451861,2019-04-08,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
455034,2019-05-06,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
453229,2019-05-15,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
455297,2019-05-15,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
478564,2020-06-03,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
507971,2021-05-14,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
511514,2021-06-28,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
518639,2021-12-15,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
522122,2021-12-15,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
520666,2022-01-27,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
522118,2022-01-27,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
525548,2022-02-22,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
526100,2022-02-22,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
531633,2022-05-10,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
535847,2022-05-10,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
532557,2022-05-18,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
532783,2022-05-19,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
532785,2022-05-19,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
532786,2022-05-19,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
532788,2022-05-19,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
536295,2022-06-08,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
537279,2022-06-08,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
543717,2022-09-20,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
543718,2022-09-21,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
543722,2022-09-22,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
542736,2022-10-04,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
546927,2022-10-05,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
544994,2022-10-27,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
547745,2022-10-27,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
548563,2022-11-02,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
553459,2022-12-14,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
558087,2023-02-07,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
559090,2023-02-07,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
558334,2023-02-08,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
559380,2023-02-14,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
559978,2023-02-15,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
557765,2023-03-06,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
557817,2023-03-06,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
562866,2023-03-06,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
562769,2023-03-22,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
562213,2023-03-29,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
565324,2023-04-06,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
563884,2023-04-18,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
568426,2023-05-30,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
570407,2023-05-30,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
567065,2023-05-31,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
570445,2023-05-31,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
572173,2023-06-07,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
570274,2023-06-15,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
580622,2023-10-03,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
588454,2023-11-15,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
606525,2024-05-21,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
608543,2024-06-04,Fabian Manning,Senator,1,Fabian Manning,Senator,Fabian Manning,Senator,Fabian Manning,Senator
