comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
630963,2025-01-29,Dr. Geneviève Moineau,Chief Medical Workforce Advisor,1,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor
630965,2025-01-29,Dr. Geneviève Moineau,Chief Medical Workforce Advisor,1,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor
630967,2025-01-29,Dr. Geneviève Moineau,Chief Medical Workforce Advisor,1,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor
425812,2018-04-25,Dr. Gilles Saindon,Associate Assistant Deputy Minister,1,Gilles Saindon,Associate Assistant Deputy Minister,Gilles Saindon,Assistant Deputy Minister,Gilles Saindon,Assistant Deputy Minister
313469,2014-01-14,Dr. Graham Howell,Director of Strategic Planning,1,Graham Howell,Director of Strategic Planning,Graham Howell,Policy Advisor,Graham Howell,Policy Advisor
320789,2014-04-01,Dr. Graham Howell,"Director, Strategic Planning to the Minister of Health",1,Graham Howell,"Director, Strategic Planning to the Minister of Health",Graham Howell,Policy Advisor,Graham Howell,Policy Advisor
340644,2014-12-02,Dr. Gregory Taylor,Chief Public Health Officer,1,Gregory Taylor,Chief Public Health Officer,Gregory Taylor,Chief Public Health Officer,Gregory Taylor,Chief Public Health Officer
349362,2015-02-10,Dr. Gregory Taylor,Chief Public Health Officer,1,Gregory Taylor,Chief Public Health Officer,Gregory Taylor,Chief Public Health Officer,Gregory Taylor,Chief Public Health Officer
381244,2016-06-15,Dr. Greg Taylor,Chief Public Health Officer,1,Greg Taylor,Chief Public Health Officer,Greg Taylor,Chief Public Health Officer,Greg Taylor,Chief Public Health Officer
555694,2023-02-01,Gabby Garwood,Policy Advisor,1,Gabby Garwood,Policy Advisor,Gabby Garwood,Policy Advisor,Gabby Garwood,Policy Advisor
433231,2018-08-29,Gabe Frost,Senior Policy Analyst,1,Gabe Frost,Senior Policy Analyst,Gabe Frost,Senior Policy Analyst,Gabe Frost,Senior Policy Analyst
595076,2024-02-02,Gabe Menard,Policy and Research Analyst,1,Gabe Menard,Policy and Research Analyst,Gabe Menard,Policy and Research Analyst,Gabe Menard,Policy and Research Analyst
626549,2024-11-21,Gabrela DeJager,Director General,1,Gabrela Dejager,Director General,Gabrela Dejager,Director General,Gabrela Dejager,Director General
625926,2024-11-28,Gabriela Dejager,Assistant Director,1,Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director
609002,2024-06-17,Gabriela  De Jager,Director,1,Gabriela De Jager,Director,Gabriela De Jager,Director,Gabriela De Jager,Director
609003,2024-06-18,Gabriela DeJager,Director,1,Gabriela Dejager,Director,Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director
613147,2024-07-03,Gabriela DeJager,Assistant Director,1,Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director
636474,2025-05-21,Gabriela DeJager,"Acting Director, Program Integrity and Outreach",1,Gabriela Dejager,"Acting Director, Program Integrity and Outreach",Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director
595905,2024-03-06,Gabriela Quintanilla,Senior Program Advisor,1,Gabriela Quintanilla,Senior Program Advisor,Gabriela Quintanilla,Senior Program Advisor,Gabriela Quintanilla,Senior Program Advisor
469098,2020-03-27,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
476220,2020-06-19,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",1,Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic",Gabriel Bourget,"Special Assistant, Quebec and Atlantic"
