comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
277033,2013-05-08,Dr. Harold Albrecht,Member of Parliament,1,Harold Albrecht,Member of Parliament,Harold Albrecht,Member of Parliament,Harold Albrecht,Member of Parliament
160740,2010-11-23,"Dr. Harold Albrecht, M.P.","Member, Access to Information, Privacy and Ethics Committee",1,Harold Albrecht,"Member, Access to Information, Privacy and Ethics Committee",Harold Albrecht,Member of Parliament,Harold Albrecht,Member of Parliament
553478,2023-01-12,Dr. Harpreet Kocchar,President,1,Harpreet Kocchar,President,Harpreet Kochar,Associate Deputy Minister,Harpreet Kochar,Associate Deputy Minister
536215,2022-06-01,Dr. Harpreet Kochhar,President,1,Harpreet Kochhar,President,Harpreet Kochhar,President,Harpreet Kochhar,President
600543,2024-03-22,Dr. Harpreet Kochhar,Deputy Minister,1,Harpreet Kochhar,Deputy Minister,Harpreet Kochhar,President,Harpreet Kochhar,President
479968,2020-06-12,Dr. Harpreet S Kochhar,"Assistant Deputy Minister, Health Canada",1,Harpreet S Kochhar,"Assistant Deputy Minister, Health Canada",Harpreet Kochar,Associate Deputy Minister,Harpreet Kochar,Associate Deputy Minister
596107,2024-03-11,Dr. Harpreet S Kochhar ,Deputy Minister,1,Harpreet S Kochhar,Deputy Minister,Harpreet Kochar,Associate Deputy Minister,Harpreet Kochar,Associate Deputy Minister
147753,2010-04-13,Dr. Hasan Hutchinson,"Director General, Office of Nutrition Policy",1,Hasan Hutchinson,"Director General, Office of Nutrition Policy",Hasan Hutchinson,Director General,Hasan Hutchison,Director General
147756,2010-04-15,Dr. Hasan Hutchinson,"Director General, Office of Nutrition Policy",1,Hasan Hutchinson,"Director General, Office of Nutrition Policy",Hasan Hutchinson,Director General,Hasan Hutchison,Director General
147751,2010-05-06,Dr. Hasan Hutchinson,"Director General, Office of Nutrition Policy",1,Hasan Hutchinson,"Director General, Office of Nutrition Policy",Hasan Hutchinson,Director General,Hasan Hutchison,Director General
165830,2011-01-26,Dr. Hasan Hutchinson,Director General,1,Hasan Hutchinson,Director General,Hasan Hutchinson,Director General,Hasan Hutchison,Director General
401192,2017-05-09,Dr. Hasan Hutchinson,Director General,1,Hasan Hutchinson,Director General,Hasan Hutchinson,Director General,Hasan Hutchison,Director General
259529,2013-02-05,Dr Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
159302,2010-10-20,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
225387,2012-06-04,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
327319,2014-05-01,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
355551,2015-05-14,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
356317,2015-05-14,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
376923,2016-04-16,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
381068,2016-06-24,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
383025,2016-07-13,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
386460,2016-10-31,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
423735,2018-03-16,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
455894,2019-05-21,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
506226,2021-05-20,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
603317,2024-04-30,Dr. Helena Jaczek,Member of Parliament,1,Helena Jaczek,Member of Parliament,Helena Jaczek,Member of Parliament,Helena Jaczek,Member of Parliament
520186,2021-12-22,Dr. Howard  Njoo,Deputy Chief Public Health Officer,1,Howard Njoo,Deputy Chief Public Health Officer,Howard Njoo,Deputy Chief Public Health Officer,Howard Njoo,Deputy Chief Public Health Officer
156982,2010-10-13,Dr. Howard Njoo,Director General,1,Howard Njoo,Director General,Howard Njoo,Deputy Chief Public Health Officer,Howard Njoo,Deputy Chief Public Health Officer
485552,2020-10-21,Dr. Howard Njoo,Deputy Chief Public Health Officer,1,Howard Njoo,Deputy Chief Public Health Officer,Howard Njoo,Deputy Chief Public Health Officer,Howard Njoo,Deputy Chief Public Health Officer
203490,2011-12-23,Habib Massoud,"Assistant Director, Missiles, Space Security and Conventional Weapons",1,Habib Massoud,"Assistant Director, Missiles, Space Security and Conventional Weapons",Habib Massoud,Assistant Director,Habib Massoud,Assistant Director
216196,2012-02-15,Habib Massoud,Assistant Director,1,Habib Massoud,Assistant Director,Habib Massoud,Assistant Director,Habib Massoud,Assistant Director
223079,2012-04-19,Habib Massoud,"Assistant Director, Missiles, Space Security",1,Habib Massoud,"Assistant Director, Missiles, Space Security",Habib Massoud,Assistant Director,Habib Massoud,Assistant Director
227181,2012-05-16,Habib Massoud,Assistant Director,1,Habib Massoud,Assistant Director,Habib Massoud,Assistant Director,Habib Massoud,Assistant Director
242211,2012-09-19,Habib Massoud,Assistant Director,1,Habib Massoud,Assistant Director,Habib Massoud,Assistant Director,Habib Massoud,Assistant Director
280890,2013-03-06,Habib Massoud,"Assistant Director, Missiles, Space Security and ...",1,Habib Massoud,"Assistant Director, Missiles, Space Security and ...",Habib Massoud,Assistant Director,Habib Massoud,Assistant Director
275796,2013-05-08,Habib Massoud,Chief Negotiator,1,Habib Massoud,Chief Negotiator,Habib Massoud,Assistant Director,Habib Massoud,Assistant Director
299249,2013-09-24,Habib Massoud,"Assistant Director, Missiles, Space Security and ...",1,Habib Massoud,"Assistant Director, Missiles, Space Security and ...",Habib Massoud,Assistant Director,Habib Massoud,Assistant Director
558167,2023-02-09,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario"
559936,2023-02-13,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario"
564434,2023-03-02,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario"
560611,2023-03-22,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario"
564555,2023-05-09,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario"
569945,2023-05-24,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario"
570112,2023-05-24,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario"
568982,2023-05-29,Hadeel April Aziz,"Special Assistant, Ontario",1,Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario",Hadeel April Aziz,"Special Assistant, Ontario"
