comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
338583,2014-10-08,Honourable Senator Irving Gerstein,Senator,1,Irving Gerstein,Senator,Irving Gerstein,Senator,Irving Gerstein,Senator
495986,2021-01-21,Iain Huddleston,"Director General, Air Readiness",1,Iain Huddleston,"Director General, Air Readiness",Iain Huddleston,"Director General, Air Readiness",Iain Huddleston,"Director General, Air Readiness"
414643,2017-11-23,Iain McPhee,Parliamentary Assistant,1,Iain Mcphee,Parliamentary Assistant,Iain Mcphee,Parliamentary Assistant,Iain Mcphee,Parliamentary Assistant
387105,2016-10-03,iain stewart,President,1,Iain Stewart,President,Iain Stewart,President,Iain Stewart,President
469013,2020-03-15,iain stewart,President,1,Iain Stewart,President,Iain Stewart,President,Iain Stewart,President
484769,2020-09-02,iain stewart,President,1,Iain Stewart,President,Iain Stewart,President,Iain Stewart,President
422105,2018-02-07,iain Stewart,President,1,Iain Stewart,President,Iain Stewart,President,Iain Stewart,President
392161,2016-12-16,Iain stewart,President,1,Iain Stewart,President,Iain Stewart,President,Iain Stewart,President
422270,2018-02-15,Iain stewart,"President, NRC",1,Iain Stewart,"President, NRC",Iain Stewart,President,Iain Stewart,President
559212,2023-02-15,Iain  Stewart ,"President, NRC",1,Iain Stewart,"President, NRC",Iain Stewart,President,Iain Stewart,President
82863,2008-09-11,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
84694,2008-09-17,Iain Stewart,Assistant Deputy Minister,1,Iain Stewart,Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
81675,2008-09-25,Iain Stewart,Assistant Deputy Minister,1,Iain Stewart,Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
83415,2008-09-26,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
87853,2008-10-08,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
85283,2008-10-17,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
88239,2008-11-24,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
94145,2009-01-28,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
97526,2009-02-09,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
97775,2009-02-18,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
97221,2009-02-26,Iain Stewart,Acting Assistant Deputy Minister,1,Iain Stewart,Acting Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
97917,2009-02-26,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
99197,2009-03-13,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
104298,2009-04-16,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
106642,2009-04-20,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
103260,2009-04-28,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
102514,2009-04-29,Iain Stewart,Assistant Deputy Minister,1,Iain Stewart,Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
107611,2009-05-15,Iain Stewart,"Associate Assistant Deputy Minister, Science and Innovation",1,Iain Stewart,"Associate Assistant Deputy Minister, Science and Innovation",Iain Stewart,President,Iain Stewart,President
109520,2009-05-22,Iain Stewart,Associate Assistant Deputy Minister,1,Iain Stewart,Associate Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
113295,2009-06-02,Iain Stewart,Assistant Deputy Minister,1,Iain Stewart,Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
114479,2009-06-02,Iain Stewart,Assistant Deputy Minister,1,Iain Stewart,Assistant Deputy Minister,Iain Stewart,President,Iain Stewart,President
