comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
392003,2016-12-19,"Dr Tanya Ramsamy, PhD",Associate Director,1,Tanya Ramsamy,Associate Director,Tanya Ramsamy,"Director, PDD",Tanya Ramsamy,"Director, PDD"
460231,2019-09-23,Dr. Theresa tam,Chief Public Health Officer,1,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
409381,2017-10-11,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
427807,2018-06-07,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
429789,2018-06-08,Dr. Theresa Tam,Chief Health Officer,1,Theresa Tam,Chief Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
433024,2018-08-30,Dr. Theresa Tam,Senior Medical Director,1,Theresa Tam,Senior Medical Director,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
455833,2019-05-06,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
486166,2020-03-13,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
578975,2023-09-21,Dr. Timothy Berube,Commission Member,1,Timothy Berube,Commission Member,Timothy Berube,Commission Member,Timothy Berube,Commission Member
377077,2016-04-27,Dr. Tom Wong,Chief Medical Officer of Health,1,Tom Wong,Chief Medical Officer of Health,Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health"
392586,2016-12-06,Dr. Tom Wong,Chief Medical Officer of Public Health and Executive Director,1,Tom Wong,Chief Medical Officer of Public Health and Executive Director,Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health"
485134,2020-09-11,Dr. Tom Wong,"Chief Medical Officer, Public Health",1,Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health"
487472,2020-10-06,Dr. Tom Wong,"Chief Medical Officer, Public Health",1,Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health"
614220,2024-09-10,Dr. Trevor Nightingale,Associate Vice President,1,Trevor Nightingale,Associate Vice President,Trevor Nightingale,Associate Vice President,Trevor Nightingale,Associate Vice President
427532,2018-05-23,Honourable Terry Mercer,Senator,1,Terry Mercer,Senator,Terry Mercer,Senator,Terry Mercer,Senator
237914,2012-06-20,Honourable Terry M. Mercer,Minister,1,Terry M. Mercer,Minister,Terry Mercer,Senator,Terry Mercer,Senator
91836,2008-12-22,Honourable Tony Clement,Minister,1,Tony Clement,Minister,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
109279,2009-05-28,Honourable Tony Clement,Minister,1,Tony Clement,Minister,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
193372,2011-10-18,Hon. Ted Menzies,"Minister of State, Finance",1,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
192484,2011-10-27,Hon. Ted Menzies,"Minister of State, Finance",1,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
197027,2011-11-01,Hon. Ted Menzies,Member of Parliament,1,Ted Menzies,Member of Parliament,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
197295,2011-12-01,Hon. Ted Menzies,"Minister of State, Finance",1,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
218651,2012-03-01,Hon. Ted Menzies,Minister of State,1,Ted Menzies,Minister of State,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
249169,2012-11-20,Hon. Ted Menzies,Member of Parliament,1,Ted Menzies,Member of Parliament,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
596427,2024-02-12,Hon. Terry Beech,Member of Parliament,1,Terry Beech,Member of Parliament,Terry Beech,Member of Parliament,Terry Beech,Member of Parliament
430321,2018-06-04,Hon. Terry Mercer,Senate Liberal Leader,1,Terry Mercer,Senate Liberal Leader,Terry Mercer,Senator,Terry Mercer,Senator
492553,2020-12-09,Hon. Terry Mercer,Senator,1,Terry Mercer,Senator,Terry Mercer,Senator,Terry Mercer,Senator
197043,2011-11-03,"Hon. Terry Mercer, P.C.",Senator,1,Terry Mercer,Senator,Terry Mercer,Senator,Terry Mercer,Senator
266309,2012-11-07,Hon. Thomas Monclair,Leader of the Opposition,1,Thomas Monclair,Leader of the Opposition,Thomas Monclair,Leader of the Opposition,Thomas Monclair,Leader of the Opposition
420020,2018-01-25,Hon Thomas Mulcair,Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
420042,2018-01-25,Hon Thomas Mulcair,Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
329858,2014-06-04,Hon. Thomas Mulcair,Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
342260,2014-10-30,Hon. Thomas Mulcair,Leader of the Opposition,1,Thomas Mulcair,Leader of the Opposition,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
339590,2014-11-03,Hon. Thomas Mulcair,Leader of the Opposition,1,Thomas Mulcair,Leader of the Opposition,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
343506,2014-11-26,Hon. Thomas Mulcair,Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
418768,2018-01-31,Hon. Thomas Mulcair,Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
285391,2013-07-23,"Hon. Thomas Mulcair, P.C., M.P.",Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
266271,2012-11-07,Hon. Thomas Mulclair,Leader of the Opposition,1,Thomas Mulclair,Leader of the Opposition,Thomas Mulclair,Member of Parliament,Thomas Mulcair,Member of Parliament
356365,2015-05-13,Hon. Tim Uppal,Member of Parliament,1,Tim Uppal,Member of Parliament,Tim Uppal,Member of Parliament,Tim Uppal,Member of Parliament
390946,2016-11-23,Hon. Tobias Enverga,Senator,1,Tobias Enverga,Senator,Tobias Enverga,Senator,Tobias Enverga,Senator
160130,2010-11-16,Hon Tony Clement,"Minister, Industry",1,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
102499,2009-04-28,Hon. Tony Clement,"Minister, Industry",1,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
109306,2009-05-18,Hon. Tony Clement,"Minister, Industry",1,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
110014,2009-05-18,Hon. Tony Clement,"Minister, Industry",1,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
109746,2009-05-26,Hon. Tony Clement,"Minister, Industry",1,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
154368,2010-08-16,Hon. Tony Clement,"Minister, Industry",1,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
154373,2010-08-26,Hon. Tony Clement,"Minister, Industry",1,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
156278,2010-09-30,Hon. Tony Clement,Minister,1,Tony Clement,Minister,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
163383,2010-12-13,Hon. Tony Clement,Minister,1,Tony Clement,Minister,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
165901,2011-01-27,Hon. Tony Clement,"Minister, Industry",1,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
185544,2011-08-09,Hon. Tony Clement,President,1,Tony Clement,President,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
321471,2014-03-24,Hon. Tony Clement,"President, Treasury Board",1,Tony Clement,"President, Treasury Board",Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
349409,2015-02-04,Hon. Tony Clement,President,1,Tony Clement,President,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
380126,2016-05-04,Hon. Tony Clement,Foreign Affairs Critic,1,Tony Clement,Foreign Affairs Critic,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
381461,2016-06-07,Hon. Tony Clement,Member of Parliament,1,Tony Clement,Member of Parliament,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
370530,2016-02-02,HON. TRACEY RAMSEY,Member of Parliament,1,Tracey Ramsey,Member of Parliament,Tracey Ramsey,Member of Parliament,Tracey Ramsey,Member of Parliament
263811,2013-02-05,"Mrs Tilley O,neil",Member of Parliament,1,Tilley O Neil,Member of Parliament,Tilley O Neil,Member of Parliament,Tilley O Neil,Member of Parliament
337234,2014-10-21,"Mr. Ted Falk, M.P.",Member of Parliament,1,Ted Falk,Member of Parliament,Ted Falk,Member of Parliament,Ted Falk,Member of Parliament
161685,2010-12-09,"Mr. Ted Menzies, MP",Member of Parliament,1,Ted Menzies,Member of Parliament,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
