comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
365266,2015-11-12,Dr. William Yan,"Director, Bureau of Nutritional Sciences",1,William Yan,"Director, Bureau of Nutritional Sciences",William Yan,"Director, Bureau of Nutritional Sciences",William Yan,"Director, Bureau of Nutritional Sciences"
457297,2019-06-27,H.E. Wendy Gilmour,High Commissioner of Canada to Pakistan,1,Wendy Gilmour,High Commissioner of Canada to Pakistan,Wendy Gilmour,Director General,Wendy Gilmour,Director General
414808,2017-12-06,Honourable Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
403605,2017-06-06,Hon. Wanda Elaine Thomas Bernard,Senator,1,Wanda Elaine Thomas Bernard,Senator,Wanda Elaine Thomas Bernard,Senator,Wanda Elaine Thomas Bernard,Senator
380480,2016-06-08,Hon Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
422156,2018-02-13,Hon Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
428364,2018-05-11,Hon Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
321718,2014-04-08,Hon.  Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
169919,2011-03-18,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
226858,2012-06-07,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
334671,2014-09-23,Hon. Wayne Easter,Member of Parliament,1,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament,Wayne Easter,Member of Parliament
