CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
A. Giancarlo Cairo,Chief of Staff,2016-08-11,2016-08-11,1,A. Giancarlo Cairo
A. Gianluca Cairo,Chief of Staff,2016-01-27,2018-01-30,12,"A Gianluca Cairo, A. Gianluca Cairo"
A. Maclean,Director of Legislation,2014-05-23,2015-09-18,17,A. MacLean
A. Raynell Andreychuk,Senator,2018-05-09,2018-11-08,2,"A. Raynell Andreychuk, A. Reynell Andreychuk"
Aj Cheema,Special Assistant,2016-05-17,2018-01-18,31,"A.J. Cheema, AJ CHEEMA, AJ Cheema, Aj Cheema"
A.r. Thompson,Colonel,2013-03-14,2013-03-14,1,A.R. Thompson
Aadil Ahmad,Implementation Coordinator,2023-05-09,2023-05-09,1,Aadil Ahmad
Aadil Nathani,Policy Advisor,2022-08-08,2023-01-30,17,"Aadil  Nathani, Aadil Nathani"
Aaina Sood,Policy Advisor,2023-12-12,2024-11-26,6,"Aaina  Sood, Aaina Sood"
Aamar Yaseen,"Regional Advisor, Western and Northern Canada | Parliamentary Secretary's Assistant",2018-01-26,2019-02-22,13,Aamar Yaseen
Arran Mcpherson,Assistant Deputy Minister,2013-05-31,2025-05-29,83,"Aaran MacPherson, Aaran McPherson, Aran McPherson, Arran MacPhearson, Arran MacPherson, Arran McPherson, Arran McPherson "
Aaron Allison,Policy Intern,2013-07-08,2013-07-08,1,Aaron Allison
Aaron Annable,Advisor,2017-05-15,2021-11-29,4,Aaron Annable
Aaron Baillie,Manager,2018-04-09,2024-11-14,40,"Aaron Bailie, Aaron Baille, Aaron Baillie"
Aaron Bell,Parliamentary Assistant,2013-08-14,2015-06-03,6,Aaron Bell
Aaron Casselman,Parliamentary Assistant,2019-02-07,2020-09-16,2,Aaron Casselman
Aaron Foster,"Executive Director, Chief Agriculture Negotiator",2018-11-06,2018-11-06,1,Aaron Foster
Aaron Fowler,Chief Agriculture Negotiator and Director General,2014-10-01,2025-06-05,285,"Aaron  Fowler, Aaron  Fowler , Aaron Fowler, aaron fowler"
Aaron Frank,Director,2015-07-16,2015-10-28,2,Aaron Frank
Aaron Gairdner,Chief of Staff,2008-07-25,2023-07-17,267,"AARON GAIRDNER, AARON GARDINER, AAron Gairdner, Aaron Gadner, Aaron Gaidner, Aaron Gairdener, Aaron Gairdiner, Aaron Gairdner, Aaron Gairdnew, Aaron Gardener, Aaron Gardinar, Aaron Gardiner, Aaron Gardner, Aaron Garnder, Aaron Gartner, Aaron Gaurdber, Aaron Ludmer, Arran Gardinar"
Aaron Gill,Advisor,2020-03-25,2022-06-23,2,Aaron Gill
Aaron Hall,Director,2022-04-01,2025-05-14,5,Aaron Hall
Aaron Hayes,Chief of Staff,2015-04-01,2015-04-01,1,Aaron Hayes
Aaron Hines,Policy Advisor,2013-04-23,2013-11-14,2,Aaron Hines
Aaron Hoskin,Senior Manager,2016-06-08,2025-02-28,45,"Aaron Hoskin, Dr. Aaron Hoskin"
Aaron Hoskins,Director,2016-06-08,2020-04-29,2,Aaron Hoskins
Aaron Hunt,Parliamentary Assistant,2011-11-16,2012-04-17,8,Aaron Hunt
Aaron Hynes,Director of Policy,2011-12-13,2015-07-31,99,"AARON HYNES, Aaron Hynes"
Aaron J. Mccrorie,Associate Assistant Deputy Minister,2020-11-14,2024-11-21,76,Aaron J. McCrorie
Aaron Law,"Monitoring Technician, Fish and Fish Habitat Protection Program",2022-09-13,2022-09-13,1,Aaron  Law 
Aaron Mccorie,Acting Assistant Deputy Minister,2018-03-26,2018-03-26,1,Aaron McCorie
Aaron Mccrorie,"Associate Assistant Deputy Minister, Safety and Security",2015-04-23,2024-05-07,63,"Aaron McCronie, Aaron McCrorie"
Aaron Morgan,Director General,2018-01-16,2018-01-16,1,Aaron Morgan
Aaron Pearce,Policy Analyst,2023-09-26,2024-05-08,9,Aaron Pearce
Aaron Raymond,Chief of Staff,2019-04-10,2025-02-05,6,Aaron Raymond
Aaron Rosenberg,Business Income Tax Division,2023-01-09,2023-05-09,3,Aaron Rosenberg
Aaron Sabourin,"Director, Military Family Resource Centre",2018-04-09,2018-09-19,2,Aaron Sabourin
Aaron Scheewe,Chief of Staff,2008-07-10,2015-06-18,52,"AARON SCHEEWE, Aaron Scheewe, Aaron Schewee, aaron scheewe"
Aron Seal,Policy Advisor,2009-01-06,2015-06-17,110,"Aaron Seal, Aron Seak, Aron Seal, aron Seal"
Aaron Sheewe,Director of Policy Affairs and FEDNOR,2008-07-11,2013-01-31,4,Aaron Sheewe
Aaron Silver,"Director, Parliamentary Affairs and Issues Management",2012-12-14,2015-07-04,23,Aaron Silver
Aaron Snow,Chief Executive Officer,2018-10-30,2018-10-30,1,Aaron Snow
Aaron Spector,"Manager, Research",2013-09-25,2013-09-25,1,Aaron Spector
Aaron Sydor,"Deputy Chief Economist, Foreign Affairs",2021-06-17,2024-11-04,2,Aaron Sydor
Aaron Wudrick,Director of Policy,2024-07-16,2025-05-15,75,"Aaron  Wudrick, Aaron Wu, Aaron Wudrick, Aaron Wudrick "
Aaronjot Gill,Senior Regional Communications Advisor,2019-04-18,2025-02-08,7,Aaronjot Gill
Aarti Sayal,Intern,2024-07-18,2024-07-18,2,"Aarti  Sayal, Aarti Sayal"
Abba Zanna,Acting High Commissioner for the Federal Republic of Nigeria,2024-11-05,2024-11-05,1,Abba Zanna
Abbie Garwood,Policy Advisor,2021-04-27,2021-04-27,1,Abbie Garwood
Abbie Smith,Manager,2021-09-07,2021-09-07,1,Abbie Smith
Abbigael Loomis,Investor Services Associate,2023-12-18,2023-12-18,1,Abbigael Loomis 
Abby Hoffman,Assistant Deputy Minister,2009-01-14,2020-01-14,80,"Abbie Hoffman, Abby Hoffman"
Abby Menendez,Policy Analyst,2024-01-09,2024-01-09,1,Abby Menendez
Abby Robinson,"Acting Director, Regional Plans and Partnerships",2024-07-04,2024-08-13,3,"Abby  Robinson, Abby Robinson"
Abdalla Tamer,"Policy Advisor, Youth",2016-07-06,2016-07-06,1,Abdalla Tamer
Abdel Amin,"Special Assistant, Parliamentary Affairs",2023-11-09,2024-04-09,4,Abdel Amin
Abdel Felfel,Senior Economist,2023-07-17,2023-07-17,1,Abdel  Felfel
Abdelaziz Essoltani,Chief Information Officer,2022-02-14,2022-02-14,1,Abdelaziz Essoltani
Abdelhaq Sari,Member of Parliament,2025-06-03,2025-06-03,1,Abdelhaq Sari
Abder Yagouti,Director General,2023-12-08,2023-12-08,1,Abder Yagouti 
Abdikheir Ahmed,Director of Policy,2020-03-19,2021-01-28,84,"Abdikheir Ahmed, Abdikhier Ahmed"
Abdou Saouab,Manager,2022-06-15,2022-06-15,1,Abdou Saouab
Abdul Isse,Sector Specialist,2018-08-27,2018-08-27,1,Abdul Isse
Abdul Jalil,Assistant Deputy Minister,2017-10-03,2023-01-10,59,"Abdu Jalil, Abdul Jalil, Dr. Abdul Jalil"
Abdul Mohamoud,Program Engineer,2020-09-04,2020-09-04,1,Abdul Mohamoud
Abdullah Abdi,Trade Policy Analyst,2017-09-11,2017-11-15,6,Abdullah Abdi
Abdullah El-safadi,Consultant,2021-06-04,2021-06-10,2,Abdullah El-Safadi
Abdullah Osman,"Special Assistant, Operations",2020-11-26,2021-01-25,4,Abdullah Osman
Abdullahi Keinan,Senior Program Officer,2023-01-27,2023-01-27,1,Abdullahi keinan
Abdurahman Salman,Second Secretary,2013-10-30,2013-10-30,1,Abdurahman Salman
Abebech Assefa,Senior Departmental Advisor,2021-07-23,2021-07-23,5,Abebech Assefa
Abed Harb,Senior Policy Advisor,2016-06-14,2023-10-31,548,"ABED HARB, Abde Harb, Abed  Harb, Abed Harb, Abed Harb -, Abid Harb, abed harb"
Abed Hard,Senior Advisor,2017-06-05,2020-09-30,6,Abed Hard
Abena Mireku,Analyst,2017-02-07,2017-02-07,1,Abena Mireku
Abha Bhargava,"Director, Energy Integration",2017-04-27,2017-04-27,1,Abha Bhargava
Abhishek Raj,Senior Policy Advisor,2024-01-09,2024-03-08,3,"Abhishek Raj, Abishek Raj"
Abibatou Ka,Policy Analyst,2022-03-08,2022-03-08,1,Abibatou Ka
Abigail Aquino-annobil,Executive Assistant,2024-10-22,2024-11-26,3,Abigail Aquino-Annobil
