CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
B. Ernewein,Director General,2014-02-24,2014-07-29,6,B. Ernewein
B. Mario Pinto,President,2015-02-12,2015-03-30,2,"B. Mario Pinto, Dr. B. Mario Pinto"
Barbara Henry,Director of Operations,2019-12-04,2023-05-09,30,"Babara Henry, Barbara Henry"
Badrane Erhioui,Manager,2021-06-22,2021-06-22,2,Badrane Erhioui
Baetz Candice,"Special Assistant, Policy",2013-12-11,2013-12-11,1,Baetz Candice
Bafetigue Ouattara,Ambassador to Canada,2024-05-28,2024-05-28,1,Bafetigue  Ouattara
Bagnell Larry,Member of Parliament,2020-10-08,2020-10-08,1,Bagnell Larry
Bahadur Vinning,"Regional Affairs Manager, Pacific",2017-05-23,2021-06-02,19,"Bahadur Singh Vinning, Bahadur Vinning"
Baharnesh Teshome,Trade Commissioner,2025-04-15,2025-05-06,3,"Baharnesh  Teshome, Baharnesh Teshome"
Bahoz Dara Aziz,Press Secretary,2023-05-24,2024-05-14,5,Bahoz Dara Aziz
Bahoz Daraaziz,Issues Management,2022-09-23,2022-09-23,1,Bahoz Daraaziz
Bailey Dennis,Parliamentary Assistant,2023-06-13,2023-06-13,1,Bailey Dennis
Bains Aneeta,Assistant Deputy Minister and Chief Digital Officer,2019-05-08,2019-05-08,1,Bains Aneeta
Bains Navdeep,"Minister, Innovation, Science and Economic Development",2010-10-20,2015-12-11,3,Bains Navdeep
Baird John,Minister,2010-12-03,2010-12-03,1,Baird John
Baker Evan,"Special Assistant, Policy",2008-07-15,2008-07-15,1,Baker Evan
Bal Ghosal,"Minister, Sport",2011-08-04,2011-08-04,1,Bal Ghosal
Bal Gosal,Member of Parliament,2011-06-16,2015-06-18,132,"Bal Gosal, Bal Gossal, Bas Gosal, Hon Bal Gosal, Hon. Bal Gosal, Hon. Bal Gosal, P.C., M.P., Honourable Bal Gosal, The Honourable Bal Gosal, P.C., The Honourable Bal Gosal, P.C., M.P."
Bal Gpsal,Minister of State,2013-07-30,2013-07-30,1,Bal Gpsal
Balil Khan,"Senior Advisor, Policy",2012-06-12,2012-06-12,1,Balil Khan
Ballantyne Meena,Assistant Deputy Minister,2008-12-10,2008-12-10,1,Ballantyne Meena
Balsharan Rakhra,Deputy Director,2023-10-24,2023-10-24,2,Balsharan Rakhra
Baltej Dhillon,Senator,2025-06-11,2025-06-11,1,Baltej Dhillon
Baltej Singh Dhillon,Senator,2025-03-27,2025-03-27,1,Baltej Singh Dhillon
Banafsheh Shamdani,Parliamentary Assistant,2022-12-16,2022-12-16,1,Banafsheh Shamdani
Banerjee Ritu,Assistant Deputy Minister,2023-06-05,2023-06-05,1,Banerjee Ritu
Banjamin Martiner,Director of Operations,2017-10-17,2017-10-17,1,Banjamin Martiner
Barb Bucknall,Senior Policy Analyst,2020-03-16,2020-03-16,1,Barb Bucknall
Barb Johnston,"Ecosystem Scientist, Species at Risk",2024-09-17,2024-09-17,1,Barb  Johnston
Barb Ouelette,Executive Director,2008-10-21,2008-10-21,1,Barb Ouelette
Barb Sabourin,Director General,2014-02-26,2014-02-26,1,Barb Sabourin
Barb Van Noord,"Vice President, Systems Operations",2019-07-09,2020-02-11,3,"Barb Van Noord, Barb van Noord"
Barbara Jordan,Associate Vice President,2008-09-11,2021-02-19,43,"Barbara A Jordan, Barbara Jordan"
Barbara Anderson,Assistant Deputy Minister,2008-10-23,2010-06-16,8,Barbara Anderson
Barbara Benning,Senior Executive Director,2008-12-02,2009-10-19,2,Barbara Benning
Barbara Brown,Director General,2009-02-02,2009-02-02,1,Barbara Brown
Barbara Bucknell,Senior Policy Analyst,2013-09-05,2022-11-21,9,Barbara Bucknell
Barbara Butler,Acting Director,2012-01-25,2012-01-25,1,Barbara Butler
Barbara Conway,Corporate Secretary to the Council,2011-11-16,2011-11-16,1,Barbara Conway
Barbara Crann,Executive Assistant,2021-05-17,2022-01-11,2,Barbara Crann
Barbara Curran,Senior Director,2016-09-13,2016-11-30,2,Barbara Curran
Barbara Di Bacco,"Chief, Research Development",2024-05-23,2024-05-23,1,Barbara Di Bacco
Barbara Doan,Director,2017-02-16,2017-02-16,1,Barbara Doan
Barbara Fleury,Executive Director,2018-01-18,2018-01-18,1,Barbara Fleury
Barbara Fullarton,Senior Policy Advisor,2023-06-05,2023-06-05,1,Barbara Fullarton
Barbara Gibbon,Director General,2020-04-02,2024-12-01,7,Barbara Gibbon
Barbara Glover,Assistant Deputy Minister,2009-12-03,2017-10-27,60,"Barbar Glover, Barbara Glover, Barbora Glover"
Barbara Gray,Program Officer,2020-03-30,2020-03-30,1,Barbara Gray
Barbara Haidn,Senior Advisor,2013-10-08,2025-05-21,71,"Barabara Haidn, Barbara Haidn"
Barbara Harvey,Deputy Director,2025-01-10,2025-02-18,2,Barbara Harvey
Barbara Hebert,Vice President,2008-07-25,2009-06-23,15,"Barbara Hebert, Barbara Herbert, Barbara Hébert"
Barbara Heyes,Scheduling Assistant,2013-09-19,2015-03-03,4,"Barbara Heyes, Barbara Heys"
Barbara Jamieson,Constituency Assistant,2024-06-05,2024-06-05,1,Barbara Jamieson
Barbara Kagedan,Senior Policy Advisor,2013-05-29,2017-03-08,11,Barbara Kagedan
Barbara Kagedon,Senator,2016-01-15,2016-01-15,1,Barbara Kagedon
Barbara Koop,Executive Assistant,2020-02-18,2020-05-07,5,Barbara Koop
Barbara Laine Kagedan,Senior Policy Advisor,2014-09-17,2016-10-04,3,"Barbara Laine Kagedan, Barbara Laine Kegedan"
Barbara Lee,Director,2018-04-11,2018-09-26,5,Barbara Lee
Barbara Moran,Executive Director,2011-04-14,2023-12-06,10,Barbara Moran
Barbara Morin,Federal-Provincial-Territorial Relations,2011-04-27,2011-04-27,1,Barbara Morin
Barbara Mortzney,Chief,2016-12-07,2016-12-07,1,Barbara Mortzney
Barbara Motzney,Assistant Deputy Minister,2008-11-25,2021-07-21,77,Barbara Motzney
Barbara Muir,Director of Regional Development,2011-05-18,2011-12-05,2,Barbara Muir
Barbara Orvitz,Stakeholder Relations Advisor,2023-12-11,2023-12-11,1,Barbara Orvitz
Barbara Ouellet,Executive Director,2008-08-13,2008-08-13,1,Barbara Ouellet
Barbara Raymond,Executive Health Advisor,2012-02-27,2021-05-13,5,"Barbara Raymond, Dr Barbara Raymond, Dr. Barbara Raymond"
Barbara Russell,"Director, Competition and Strategic Initiatives",2022-06-22,2023-10-24,2,Barbara Russell
Barbara Sabourin,Director General,2010-01-29,2015-12-03,11,"Barbara J. Sabourin, Barbara Sabourin"
Barbara Winters,Counsel,2017-05-30,2017-05-30,1,Barbara Winters
Barbara-sofia Poulain,Commercial Delegate,2017-03-30,2017-03-30,1,Barbara-Sofia Poulain
Barbatus Gatoto,Manager,2016-03-09,2016-03-09,1,Barbatus Gatoto
Barbra Gray,Environmental Policy Analyst,2021-04-01,2021-04-01,1,Barbra Gray
Bardish Chageer,"Minister, SMEs and Tourism",2016-02-16,2016-02-16,1,Bardish Chageer
Bardish Chaggar,"Minister, Small Business and Tourism",2016-02-05,2017-06-05,4,"Bardish Chaggar, Hon. Bardish Chaggar"
