CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
C. Doyle,Deputy Minister,2008-09-03,2009-03-22,2,C. Doyle
Catherine Mckenna,Minister,2015-11-10,2023-04-13,533,"Cahtherine McKenna, Catehrine McKenna, Catharine McKenna, Catherine McKenna, Catherine Mckenna, Cathrine McKenna, Hon Catherine McKenna, Hon. Catherine McKenna, The Hon Catherine McKenna, The Hon. Catherine McKenna, The Honourable Catherine McKenna, catherine mckenna"
Cailin Rodgers,Director of Communications,2011-03-06,2015-08-11,42,"Cailin Rodgers, Cailin Rogers"
Cairo Gianluca,Chief of Staff,2016-07-13,2016-07-13,1,Cairo Gianluca
Cait Hurcomb,Policy Analyst,2014-02-19,2014-02-19,1,Cait Hurcomb
Caitlan Szymberski,Policy Advisor,2018-04-19,2020-12-01,3,"Caitlan Szymberski, Caitlin 'Szymberski,, Caitlin Szmberski"
Caitlin Caitlin Szymberski,Policy Advisor,2018-05-28,2018-05-28,1,Caitlin Caitlin Szymberski
Caitlin Cullan-boudreau,"Policy Advisor, Central and Arctic",2019-04-09,2020-02-05,2,"Caitlin Cullan-Boudreau, Caitlin Mullan-Boudeau"
Caitlin Goodmurphy,Policy Analyst,2022-05-18,2022-05-18,1,Caitlin Goodmurphy
Caitlin Gropp,"Director, Parliamentary Affairs",2016-01-15,2016-05-31,2,Caitlin Gropp
Caitlin Hurcomb,Manager | Senior Policy Advisor,2022-02-11,2022-02-11,1,Caitlin Hurcomb
Caitlin Imrie,Policy Advisor,2008-10-02,2008-10-02,1,Caitlin Imrie
Caitlin Jackson,Senior Communications Advisor,2017-03-03,2017-03-13,3,Caitlin Jackson
Caitlin Macgregor,Constituency Assistant,2013-09-05,2014-02-20,2,Caitlin MacGregor
Caitlin Morrison,Senior Intergovernmental Relations Officer,2024-11-20,2025-02-05,4,"Caitlin  Morrison , Caitlin  Morrisson, Caitlin Morisson, Caitlin Morrison"
Caitlin Mounce,"Special Assistant, Policy",2017-06-02,2017-09-21,32,"Caitlin Mounce, Caitlin Mounce,"
Caitlin Mullan-boudreau,Director of Operations,2017-05-10,2023-05-30,54,"Caitlin Mullan-Boudreau, Caitlin Mullan-Bourdeau"
Caitlin Mullan-bourdreau,Special Assistant,2019-04-25,2019-04-25,1,Caitlin Mullan-Bourdreau
Caitlin Syzmberski,Parliamentary Secretary Assistant,2017-12-05,2017-12-05,1,Caitlin Syzmberski
Caitlin Szymberberski,Policy Advisor,2018-06-19,2018-06-19,1,Caitlin Szymberberski
Caitlin Szymberski,Director of Policy,2016-05-02,2023-05-30,90,"Caitlin Szymberski, Caitlin Szymberski , Caitlin szymberski"
Caitlin Williamson,Policy Advisor,2023-02-23,2023-02-23,1,Caitlin Williamson
Caitlin Workman,Chief of Staff,2016-10-14,2018-07-20,43,Caitlin Workman
Caitlyn Hyndman,Policy and Program Analyst,2018-12-06,2018-12-06,1,Caitlyn Hyndman
Caitlyn Szymberski,Parliamentary Secretary Assistant,2017-10-26,2017-10-26,1,Caitlyn Szymberski
Cal Hegge,Chief Financial Officer,2010-02-05,2010-02-05,1,Cal Hegge
Caleb Loftus,Senior Rulings Officer,2022-03-17,2024-11-04,3,Caleb Loftus
Caleb Walker,Director of Land Requirements,2021-03-04,2021-03-25,2,Caleb Walker
Caleigh Garland,Director of Operations,2020-01-27,2023-07-20,11,"Caleigh  Garland, Caleigh Garland"
Cali Kehoe,Policy Analyst,2024-06-25,2024-06-25,1,Cali Kehoe
Calinda Brown,Legislative Assistant,2012-02-06,2013-03-21,2,Calinda Brown
Calkins Blaine,Member of Parliament,2011-11-02,2014-09-05,2,Calkins Blaine
Callie Franson,Legislative Assistant,2021-05-03,2024-04-16,2,Callie Franson
Callie Stewart,Director,2017-11-14,2019-02-04,2,Callie Stewart
Callum Haney,"Manager, Parliamentary Affairs and Issues",2024-02-06,2024-05-28,4,"Callum  Haney , Callum Haney"
Callum Sorger-brock,"Desk Officer, West Bank and Gaza Division",2023-04-27,2023-04-27,1,Callum Sorger-Brock
Callum Wintle,Parliamentary Assistant,2024-10-03,2024-10-03,3,"Callum Wintle, callum Wintle"
Calvin Christiansen,Director General,2019-01-09,2022-01-06,3,Calvin Christiansen
Calvin H So,"Senior Policy Advisor, Trade",2023-08-11,2023-08-11,1,Calvin H So
Calvin Jia,Parliamentary Assistant,2023-11-07,2023-11-07,1,Calvin Jia
Calvin Klatt,Chief Geodesist of Canada,2019-01-29,2019-01-29,1,Dr. Calvin Klatt
Calvin Yan,"Director, Portfolio",2013-05-10,2013-05-10,1,Calvin Yan
Cam Boulet,Chief of Staff,2014-11-25,2014-11-25,1,Cam Boulet
Cam Carruthers,Executive Director,2010-11-25,2019-05-28,28,"Cam Carruthers, Cam Curruthers"
Cam Dahl,Commissioner,2008-12-15,2008-12-15,1,Cam Dahl
Cam Do,Executive Director,2021-03-15,2023-11-29,10,Cam Do
Cam Holmstrom,Legislative Assistant,2016-11-22,2016-11-22,2,Cam Holmstrom
Cam Mitchell,"Special Assistant, Policy",2017-09-20,2017-09-20,1,Cam Mitchell
Cam Vidler,Senior Policy Advisor,2016-02-16,2017-05-09,42,Cam Vidler
Cam Vidley,Senior Economic Advisor,2016-12-01,2016-12-01,1,Cam Vidley
Cam Yung,Policy Advisor,2023-02-28,2024-10-24,7,Cam Yung
Camellia Wong,"Deputy Director, Communications",2025-02-10,2025-02-11,3,"Camellia  Wong, Camellia Wong"
Cameraon Mitchell,Policy Advisor,2016-11-23,2016-11-23,1,Cameraon Mitchell
Cameron Adamson,Policy Advisor,2009-06-04,2009-06-04,3,Cameron Adamson
Cameron Ahmad,Director of Communications,2018-05-07,2022-08-17,7,Cameron Ahmad
Cameron Carter,Policy Advisor,2021-07-14,2021-11-17,2,"Cameron  Carter, Cameron Carter"
Cameron Christensen,Senior Investment Analyst,2024-03-26,2024-03-26,1,Cameron Christensen
Cameron Climie,Economist,2021-08-16,2024-05-29,2,"Cameron  Climie	, Cameron Climie"
Cameron Duff,Chief Science Operating Officer,2017-01-10,2017-02-23,2,Cameron Duff
Cameron Durkin,Parliamentary Assistant,2018-04-26,2024-12-04,31,"Cameron Durkin, Cameron M Durkin"
Cameron Holmstrom,Legislative Assistant,2012-05-03,2018-03-02,9,Cameron Holmstrom
Cameron Holstrom,Parliamentary Assistant,2015-05-21,2015-05-25,3,Cameron Holstrom
Cameron Maccarthy-tilley,"Senior Specialist, Housing Research",2024-11-15,2024-11-15,1,Cameron MacCarthy-Tilley
Cameron Macdonald,Assistant Deputy Minister,2021-07-27,2024-09-11,5,Cameron MacDonald
Cameron Mackay,Director General,2013-11-26,2025-03-04,14,"Cameron  MacKay, Cameron MacKay"
Cameron Mccartney,Director,2024-02-28,2024-09-27,3,"Cameron   McCartney, Cameron  McCartney"
Cameron Mckay,High Commissioner to India,2016-01-06,2024-02-15,11,Cameron McKay
Cameron Mckenzie,Senior Vice President,2016-03-21,2016-05-02,2,Cameron McKenzie
Cameron Mcneill,Senior Communications Advisor,2018-01-30,2023-09-07,8,"Cameron McNeil, Cameron McNeill"
Cameron Mitchell,"Special Assistant, Policy",2016-11-15,2024-06-17,99,"Cameron Mitchel, Cameron Mitchell"
Cameron Prince,"Vice President, Operations",2008-09-04,2013-06-14,53,"CAMERON PRINCE, Cameron Prince"
Cameron Read,"Senior Officer, Approvals",2017-04-11,2017-09-22,11,Cameron Read
Cameron Ross,Parliamentary Affairs Advisor,2021-03-25,2021-03-25,1,Cameron Ross
Cameron Sabadoz,Policy Advisor,2016-11-30,2016-11-30,1,Cameron Sabadoz
Cameron Sabino,Assistant,2023-01-17,2023-01-17,1,Cameron Sabino
Cameron Samson,Physical Scientist,2022-01-19,2022-01-19,1,Cameron Samson
Cameron Walter,"Manager, Trade Operations, Copyright and International Trade Policy",2016-04-05,2018-02-01,2,Cameron Walter
Cameron Wasson,Senior Regulatory Project Manager,2021-07-13,2021-07-13,1,Cameron Wasson
Cameron Wilcox,Communications Assistant,2023-10-17,2023-10-17,1,Cameron Wilcox
Cameron Wilson,"Special Assistant, Appointments",2018-09-06,2018-09-06,1,Cameron Wilson
Cameron Yung,Regional Advisor,2022-01-28,2025-02-05,62,"Cameron  Yung, Cameron Yung"
Camielle Edwards,Executive Assistant to the Minister,2015-12-15,2015-12-15,1,Camielle Edwards
Camila Grove,Policy Analyst,2022-11-22,2024-03-22,2,Camila Grove
Camile Benoit-bluin,Special Assistant,2022-05-11,2022-05-11,1,Camile Benoit-Bluin
Camilla Brekke,"Vice Rector, Research Development",2022-11-25,2022-11-25,1,Camilla Brekke
Camilla Stanley,Advisor,2022-10-03,2022-10-03,1,Camilla  Stanley
Camille Beland,Advisor,2020-07-06,2020-07-06,1,Camille Béland
Camille Belanger,Policy Analyst,2025-06-04,2025-06-04,1,Camille Bélanger
Camille Benoit-blouin,"Senior Advisor, Outreach and Strategy",2021-12-09,2025-01-24,106,"Camille  Benoit-Blouin, Camille Benoit-Blouin, Camille Benoit-Blouin "
Camille Boulet,Chief of Staff,2015-10-06,2017-09-08,3,Camille Boulet
Camille Boulianne,Policy Analyst,2022-11-08,2022-11-08,1,Camille  Boulianne 
Camille Breault,"Advisor, Parliamentary Affairs",2020-02-18,2021-02-23,2,Camille Breault
Camille Farrell,Associate,2017-04-19,2017-05-17,2,Camille Farrell
Camille Gagne,Press Secretary,2020-01-23,2021-03-26,3,Camille Gagne
Camille Gagne-raynauld,Press Secretary,2020-02-12,2020-09-11,2,"Camille Gagne-Raynauld, Camille Gagné-Raynauld"
Camille Leblanc,Regional Advisor for Quebec,2024-04-23,2024-12-12,20,"Camille Leblanc, Camille leblanc"
Camille Pabalan,Program Officer,2021-07-26,2021-07-26,1,Camille Pabalan
Camille Poirier,Senior Associate,2023-05-09,2023-05-09,1,Camille Poirier
Camille Ross-william,Policy Advisor,2022-01-13,2022-07-28,2,"Camille Ross-William, Camille Ross-Williams"
Campbell Jarvis Marian,Assistant Deputy Minister,2016-10-20,2016-10-20,1,Campbell Jarvis Marian
Campion Carruthers,Director,2017-04-05,2017-04-05,1,Campion Carruthers
Canary Read-harris,Assistant,2024-09-25,2024-09-25,1,Canary Read-Harris
Candace Anderson,Senior Policy Analyst,2023-11-20,2024-05-21,5,Candace Anderson
Candace Burtch,Senior Program Officer,2017-12-11,2017-12-11,1,Candace Burtch
Candace Maynard,Executive Assistant to the Chief of Staff,2014-05-28,2014-05-28,1,Candace Maynard
Candice Molnar,Commissioner,2009-01-07,2016-06-24,10,"Candace Molnar, Candice J. Molnar, Candice Molnar"
Candace Saint-aubain,Director General,2020-11-30,2020-11-30,1,Candace Saint-Aubain
