CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
E Souillar,Advisor,2017-05-26,2017-05-26,1,É Souillar
E Van Der Velden,Director,2017-12-08,2017-12-08,1,e van der velden
Elaine Hood,Director,2011-03-23,2024-11-05,90,"ELAINE HOOD, Eaine Hood, Elaine Hood"
Eamon Schwartz,Atlantic Regional Advisor,2022-11-15,2022-11-15,1,Eamon Schwartz
Eamonn Horan-lunney,Chief of Staff,2016-03-24,2023-08-23,19,"Eammonn Horan-Lunney, Eamon Horan-Lunney, Eamonn  Horan-Lunney, Eamonn  Horan-Lunney , Eamonn Horan-Lunney, Earmonn Horan-Lunney, eammon horan-lunney, eamonn Horan-Lunney"
Eamonn Horon-lunney,Legislative Assistant,2016-05-04,2016-05-04,1,Eamonn Horon-Lunney
Eamonn Mcginty,Advisor to Minister of the Environment,2022-02-03,2022-02-08,2,"Eamonn McGinty, eamonn mcginty"
Eamonn Mcguinty,Senior Policy Advisor,2022-01-18,2025-05-27,408,"Eamon McGuinty, Eamonn  McGuinty, Eamonn  McGuinty , Eamonn McGuinty, Eamonn McGuinty , Eamonn McGunity"
Eamonn Schwartz,"Policy Advisor, DEI",2023-02-02,2024-11-05,33,"Eamonn  Schwartz, Eamonn  Schwartz , Eamonn Schwartz, Eamonn Schwartz "
Earl Dreeshen,Member of Parliament,2009-01-09,2025-02-18,662,"EArl Dreeshen, Earl  Dreeshen, Earl Dreeschen, Earl Dreeshan, Earl Dreeshen, Earl Dreeshen Mp, Earl Dreishen, Earl Dresheen, Earl Dresshen, Mr Earl Dreeshen, Mr. Earl Dreeshen"
Earl Maynard,Director of Communications,2013-11-28,2014-12-01,10,Earl Maynard
Earl Nichol,"Director, Transport",2022-06-21,2024-04-19,5,Earl Nichol
Easter Wayne,Member of Parliament,2013-07-07,2013-07-07,1,Easter Wayne
Easton Jason,Chief of Staff,2022-05-19,2022-05-19,1,Easton Jason
Ebyan Ali,Legislative Assistant,2020-02-25,2020-02-25,1,Ebyan Ali
Ekateryna Nova,Regional Advisor,2018-02-15,2024-08-02,135," Ekateryna (Katya)  Nova, Ecateryna Nova, Ekataryna Nova, Ekateryna  Nova, Ekateryna  Nova , Ekateryna Nova"
Ed Belkaloul,"Manager, Standards and Performance, Eastern Regional Operations",2015-01-22,2015-01-22,1,Ed Belkaloul
Ed Crupi,"Senior Policy Advisor, Regulatory",2013-09-18,2016-06-07,4,"ED CRUPI, Ed Crupi"
Ed Dreeshan,Member of Parliament,2011-03-01,2024-05-23,2,"E. Dreeshen, Ed Dreeshan"
Ed Drover,Chair of the Board,2013-02-13,2013-02-13,1,Ed Drover
Ed Ed,Member of Parliament,2019-06-20,2019-06-20,1,Ed Ed
Ed Fast,Member of Parliament,2010-09-14,2025-03-19,790,"ED FAST, Ed  Fast, Ed Fast, Ed Fast , HON. ED FAST, Hon Ed Fast, Hon. Ed Fast, Honourable Ed Fast, Mr. Ed Fast, The Hon. Ed Fast, The Hon. Minister Ed Fast, P.C., M.P., The Honourable Ed Fast, The Honourable Ed Fast, P.C., M.P., ed Fast"
Ed Holder,Member of Parliament,2010-10-19,2015-07-15,205,"ED HOLDER, Ed Holder, Ed Holder, M.P., Ed Holder, MP, Hon. Ed Holder, Mr. Ed Holder, ed holder"
Ed Hutchinson,Press Secretary,2024-05-29,2024-05-29,3,"Ed Hutchinson, Ed Hutchinson "
Ed Jager,"Director, Real Property and Assets Management",2012-10-10,2024-04-30,3,Ed Jager
Ed Komarnicki,Member of Parliament,2008-08-06,2015-06-16,175,"E. Kormarnicki, ED KOMARNICKI, ED KORMANICKI, Ed Komarnecki, Ed Komarnicki, Ed Komarnikci, Ed Kormanecki, Ed Kormanicki, Ed Kormarnicki"
Ed Kormendy,"Regional Manager, Capital and Infrastructure Programs",2016-07-08,2016-07-08,1,Ed Kormendy
Ed Malota,"Director, Defence",2020-06-04,2020-06-04,1,Ed Malota
Ed Mcdonnell,Senior Mineral Economist,2014-10-03,2017-05-31,6,Ed McDonnell
Ed Morgan,Director General,2010-06-09,2024-10-22,22,"Ed  Morgan , Ed Morgan"
Ed Rawlinson,Senior Advisor,2018-03-23,2020-05-06,2,Ed Rawlinson
Ed Williams,Vice Chair,2013-10-02,2018-07-16,7,"Ed Willaims, Ed Williams"
Edanna Jones,Constituency Assistant,2024-10-02,2024-10-02,1,Edanna Jones
Eddie Bisson,Advisor,2023-06-01,2023-06-01,1,Eddie Bisson
Eddie Bissoon,Acting Development Officer,2024-11-13,2024-11-13,1,Eddie  Bissoon 
Eddie Rutanga,Acting Director,2016-09-02,2025-01-24,4,Eddie Rutanga
Eddy Chui,Director,2015-10-28,2024-04-12,12,"Eddie Chiu, Eddy Chiu, Eddy Chui"
Eddy Isaacs,Director General,2014-04-22,2014-11-20,2,Eddy Isaacs
Eddy Perez,"Senior Advisor, International Affairs",2023-01-30,2025-06-09,215,"Eddie  Perez , Eddie Perez, Eddy  Perez, Eddy  Pérez, Eddy EP Perez, Eddy Perez, Eddy Pérez"
Eden Barry,Senior Economist,2023-12-12,2024-02-08,4,"Eden Barry , eden barry"
Eden Thurston,Protected Areas Coordinator,2021-06-28,2021-06-28,1,Eden Thurston
Edison Stewart,Assistant Deputy Minister,2016-03-08,2016-03-08,1,Edison Stewart
Edith Gingras,Manager,2024-08-01,2024-08-01,1,Edith Gingras
Edith Laflamme,"Director, Trade Policy",2020-11-19,2020-11-19,1,Edith Laflamme
Edith Pedneault,Senior Communications Advisor,2024-02-21,2024-02-21,1,Edith  Pedneault
Edler Marques,Policy Advisor,2016-04-18,2018-02-12,2,Edler Marques
Edmond Bastiampillai,TCS Officer,2023-09-18,2024-10-10,2,Edmond Bastiampillai
Edmond D. Wega,Acting Director General,2009-09-25,2009-09-25,1,Edmond D. Wega
Edmond Wega,Senior Director,2015-11-17,2016-05-10,2,Edmond Wega
Edouard Asnong,Chairperson,2011-06-16,2011-06-16,1,Edouard Asnong
Edrianne-alexa Tumaneng,Junior Project Engineer,2024-05-24,2024-05-24,1,Edrianne-Alexa Tumaneng
Edsel Aytona,Trade Commissioner,2023-09-22,2023-09-22,1,Edsel Aytona
Eduard Blanquet Arago,Senior Advisor,2024-05-01,2024-05-22,3,Eduard Blanquet Arago
Edward Burrows,Policy Advisor,2019-01-09,2022-01-19,2,"Edward BURROWS, Edward Burrows"
Edward De Sousa,"Director General, Resource Management Directorate",2015-03-09,2015-03-09,1,Edward De Sousa
Edward Fast,"Minister, International Trade",2011-06-08,2024-11-26,107,"Edward Fast, Hon. Edward Fast, Hon. Edward Fast, P.C., M.P., The Honourable Edward Fast"
Edward Hutchinson,Press Secretary,2021-11-03,2024-06-06,6,"Edward Hutchinson, Edward Hutchison"
Edward Irving,Director,2023-11-23,2025-04-10,9,Edward Irving
Edward Komarnicki,Parliamentary Secretary,2010-09-22,2010-09-22,1,Edward Komarnicki
Edward Livingstone,Acting Assistant Deputy Minister,2019-02-15,2019-02-15,2,Edward Livingstone
Edward Malota,"Manager, Sector Analysis",2011-08-29,2013-07-24,2,Edward Malota
Edward Mcainsh,Senior Policy Analyst,2023-11-28,2023-11-28,1,Edward Mcainsh
Edward Rawlinson,"Director, Parliamentary Affairs",2016-04-13,2021-11-22,53,"Edward Rawlinson, Edward Rolinson"
Edward Sem,Staffer to Senator,2020-05-21,2020-05-21,1,Edward Sem
Edward Steeves,"Regional Vice President, Atlantic",2020-04-06,2023-08-03,2,Edward Steeves
