CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Aaron Fowler,Director,2017-08-24,2017-08-24,1,Fowler Aaron
F Mary Williams,Director General,2010-10-07,2010-10-07,1,F Mary Williams
F-p Champagne,Minister,2017-02-07,2017-02-07,1,F-P Champagne
F. Gigi Osler,Senator,2023-03-21,2024-02-20,12,F. Gigi Osler
Fabian Manning,Senator,2010-03-16,2024-12-03,106,"FABIAN MANNING, Fabian  Manning, Fabian Manning, Hon. Fabian Manning, The Hon. Fabian Manning, The Honourable Senator Fabian Manning"
Fabien Lefebvre,"Director, Railway Safety Act Review Secretariat",2018-02-07,2018-02-07,1,Fabien Lefebvre
Fabien Lengelle,Director General,2013-07-24,2013-07-24,1,Fabien Lengelle
Fabienne Hick,Manager,2024-05-17,2024-05-17,1,Fabienne Hick
Fabio Onesi,Executive Director,2018-06-25,2018-06-25,1,Fabio Onesi
Fabrice Ahadi Mugwa,Special Assistant,2025-05-28,2025-05-28,1,Fabrice Ahadi Mugwa
Fabrice Lucherini,Industrial Technology Advisor,2018-03-23,2018-10-25,3,Fabrice Lucherini
Fabrice Nimpagaritse,Deputy Director,2022-11-25,2024-05-29,4,"Fabrice  Nimpagaritse , Fabrice Nimpagaritse"
Faduma Yusuf,Senior Specialist,2023-02-13,2023-02-13,1,Faduma  Yusuf
Fahad Soomro,Analyst,2024-03-18,2024-03-18,1,Fahad Soomro
Faheem Al Norr,Manager,2019-04-11,2019-10-01,3,Faheem Al Norr
Fairooz Reaz,Analyst,2023-09-11,2023-09-11,1,Fairooz Reaz
Faith Mcintyre,Director General,2018-03-21,2025-03-25,8,Faith McIntyre
Faith Scattalon,Regional Director General,2012-07-23,2013-11-07,4,"Faith Scattalon, Faith Scattolon"
Faiza Ahmed,Counsel,2021-02-18,2021-02-18,1,Faiza Ahmed
Faiza Aklil,"National Manager, Animal Import and Export Division",2024-08-01,2024-08-28,2,Faiza Aklil
Faiza Hussein,Constituency Assistant,2024-10-08,2024-10-08,1,Faiza  Hussein
Faizal Gukkamhussein,Policy Advisor,2018-01-31,2018-01-31,1,Faizal GukkamHussein
Faizel Auhamhussein,Policy Advisor,2018-02-02,2018-02-02,1,Faizel Auhamhussein
Faizel Gulamhussein,Senior Policy Advisor,2017-12-13,2025-02-05,271,"Faisel Gulamhussein, Faizal Gulamhussein, Faizel Ghulamhussein, Faizel Gulamhussein, Faizel Gulamhussein , Faizel Gulamhussien, Faizel Gulamhusssein, Faizel Gulhamhussein, Faizel Guluamhussein, Fayzel Gulamhussein, faizel Gulamhussein, faizel gulamhussein"
Faizel Gullamhusein,Senior Assistant Deputy Minister,2018-11-29,2018-11-29,1,Faizel Gullamhusein
Fance Fortier,Director of Policy,2023-10-20,2023-10-20,1,Fance Fortier
Francois Delisle,Policy Advisor,2014-08-26,2020-11-03,12,"Fancois Delisle, Francois Delisle, François Delisle, François Délisle"
Fanie Thibeault,Policy Analyst,2015-11-17,2015-11-17,2,Fanie Thibeault
Fannie Lalonde,"Manager, Program",2022-03-18,2023-03-23,18,"Fannie Lalonde, fannie Lalonde"
Fannie Ouellette,Advisor,2017-05-23,2017-05-23,1,FANNIE OUELLETTE
Fanny Bertrand,Technical Advisor,2018-12-04,2018-12-04,1,Fanny Bertrand
Fanta Kamissoko,Executive Agent,2023-12-01,2023-12-01,1,Fanta Kamissoko
Fara Shah,Director of Policy,2022-03-24,2025-04-08,14,Fara Shah
Farah Dossa,"Regional Manager, Education",2016-08-11,2016-08-11,1,Farah Dossa
Farah Huq,Chief International Talent Officer,2024-08-14,2025-03-18,8,"Farah  Huq, Farah Huq"
Farah Shah,Policy Advisor,2022-04-26,2022-04-26,1,Farah Shah
Farangies Shah,Policy Advisor,2021-11-10,2025-03-07,194,"Faranghies Shah, Farangies  Shah, Farangies  Shah , Farangies Shah, Farangies Shah , Farangies Shaw"
Farees Nathoo,Special Assistant,2016-11-17,2024-03-15,34,"FAREES NATHOO, Farees Nathoo"
Fares Al Soud,Policy Advisor,2024-04-25,2025-06-03,49,"Fares  Al Soud, Fares Al Soud"
Fares Al-soud,Policy Advisor,2024-08-01,2024-08-09,2,Fares Al-Soud
Farhia Ahmed,Director General,2025-01-16,2025-01-16,1,Farhia Ahmed
Farid Sohrab,Director,2023-11-06,2023-11-06,1,Farid Sohrab
Farida Rehmat,Development Officer,2023-01-12,2023-01-12,1,Farida Rehmat
Fariha Abedin,Senior Analyst,2020-12-22,2021-04-23,4,Fariha Abedin
Fariya Syed,Director,2022-11-15,2022-11-15,1,Fariya  Syed
Farnaz Behrooz,Senior Policy Officer,2024-11-21,2025-06-04,2,Farnaz Behrooz
Farnaz Farrokhi,Special Assistant to the Director of Policy,2010-10-14,2011-07-26,8,Farnaz Farrokhi
Farouk Karim,Issues Coordinator,2015-03-09,2015-04-28,7,Farouk Karim
Farrah Fleurimond,Executive Director,2015-06-19,2025-03-28,30,"Farrah  Fleurimond, Farrah Fleurimond"
Farrah Fleurimont,"Manager, Dangerous Goods Transportation",2016-01-12,2016-02-09,2,Farrah Fleurimont
Farrah Fulton,Senior Business Officer,2023-06-21,2023-06-21,1,Farrah Fulton
