CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
G. Breitkreuz,Member of Parliament,2011-03-01,2011-03-01,1,G. Breitkreuz
G. Merideth,Assistant Deputy Minister,2008-07-21,2008-07-21,1,G. Merideth
G. Scott White,Director,2016-03-09,2016-03-09,1,G. Scott White
G.a. Malcolm Brown,Associate Deputy Minister,2009-11-10,2009-11-10,1,G.A. Malcolm Brown
Gabby Garwood,Policy Advisor,2023-02-01,2023-02-01,1,Gabby Garwood
Gabe Frost,Senior Policy Analyst,2018-08-29,2018-08-29,1,Gabe Frost
Gabe Menard,Policy and Research Analyst,2024-02-02,2024-02-02,1,Gabe Menard
Gabrela Dejager,Director General,2024-11-21,2024-11-21,1,Gabrela DeJager
Gabriel Bourget,"Special Assistant, Quebec and Atlantic",2020-03-27,2024-07-02,25,Gabriel Bourget
Gabriel Broderick,Senior Policy Advisor,2022-07-29,2025-05-26,44,"Gabriel  Broderick, Gabriel Broderick, gabriel broderick"
Gabriel Brunet,Communications Advisor to the Minister,2022-02-15,2024-06-06,27,"Gabriel  Brunet , Gabriel Brunet"
Gabriel Cyr,Policy Advisor,2017-06-20,2023-09-27,139,"Gabriel Cyr, gabriel Cyr"
Gabriel Delorme,Advisor,2018-10-02,2024-11-29,4,"Gabriel  Delorme, Gabriel Delorme"
Gabriel Frost,Officer,2021-11-23,2021-12-02,3,Gabriel Frost
Gabriel Gosselin,Policy Officer,2019-08-21,2019-08-21,1,Gabriel Gosselin
Gabriel Guay,"Supervisor, Data Collection Operations",2025-04-09,2025-04-09,1,Gabriel Guay
Gabriel Hardy,Member of Parliament,2025-06-10,2025-06-10,1,Gabriel Hardy
Gabriel Mastico,"Economist, Microeconomic Policy Analysis",2012-10-04,2012-10-04,1,Gabriel Mastico
Gabriel Mezzari,"Regional Advisor, QC",2022-11-03,2023-11-15,6,"Gabriel  Mezzari, Gabriel Mezzari"
Gabriel Ngo,Advisor,2018-07-24,2018-07-24,1,Gabriel Ngo
Gabriel Picard,Scientific Evaluator,2019-07-29,2019-07-29,1,Gabriel Picard
Gabriel Piette,"Director, Science",2010-02-02,2010-02-02,1,Gabriel Piette
Gabriel Sainte-marie,Member of Parliament,2015-11-16,2024-11-20,9,"GABRIEL SAINTE-MARIE, Gabriel  Sainte-Marie, Gabriel SAINTE-MARIE, Gabriel Sainte-Marie"
Gabriel St-hilaire,Director and Legislative Assistant,2016-09-08,2019-05-14,5,Gabriel St-Hilaire
Gabriel Ste-marie,Member of Parliament,2016-01-19,2025-05-15,235,"GABRIEL STE-MARIE, Gabriel  Ste-Marie , Gabriel St-Marie, Gabriel St. Marie, Gabriel Ste Marie, Gabriel Ste-Marie, Gabriel Ste-Marie, M.P., Gabriel Ste. Marie, Gabrielle St-Marie"
Gabriel Sundue,Constituency Assistant,2023-06-20,2023-06-20,1,Gabriel Sundue
Gabriel Teo,Team Lead,2025-02-10,2025-02-11,2,Gabriel Teo
Gabriel Vermette,Policy Advisor,2017-11-06,2023-08-29,27,"Gabriel  Vermette , Gabriel Vermette"
Gabriel Williams,Analyst,2025-01-17,2025-05-14,11,"Gabriel Williams, Gabriel Williams "
Gabriel Yiu,Constituency Assistant,2020-06-09,2020-10-15,6,"Gabriel Yiu, Gabriel Yu"
Gabriel Zamfir-enache,"Director, Research Measurement and Data Analytics",2021-02-24,2021-10-01,2,Gabriel Zamfir-Enache
Gabriela De Jager,Director,2024-06-17,2025-03-19,2,"Gabriela  De Jager, Gabriella de Jagr"
Gabriela Dejager,Assistant Director,2024-06-18,2025-05-21,4,"Gabriela DeJager, Gabriela Dejager"
Gabriela Quintanilla,Senior Program Advisor,2024-03-06,2024-03-06,1,Gabriela Quintanilla
Gabrielle Allard,Section Head,2022-06-27,2024-09-06,4,"Gabrielle Allard, Gabrielle allard"
Gabrielle Bardall,Senior Policy Advisor,2023-12-18,2023-12-18,1,Gabrielle Bardall
Gabrielle Berard,Policy Advisor,2012-03-06,2014-11-06,40,"Gabrielle Berard, Gabrielle Berrard, Gabrielle Brerard"
Gabrielle Bibeau,Competition Law Advisor,2023-11-02,2023-11-02,1,Gabrielle Bibeau
Gabrielle Dallaporta,Director,2025-03-03,2025-03-03,1,Gabrielle Dallaporta
Gabrielle Dolgoy,Trade Policy Officer,2015-07-26,2018-01-26,5,Gabrielle Dolgoy
Gabrielle Dubuis,Director of Policy,2022-10-03,2022-10-03,1,Gabrielle   Dubuis
Gabrielle Duschner,Senior Advisor,2011-03-14,2011-03-14,1,Gabrielle Duschner
Gabrielle Fitzgerald,"Director, Research and Data",2020-10-26,2020-10-26,2,Gabrielle FitzGerald
Gabrielle Fitzgeralld,"Acting Director, MMSD",2015-05-06,2015-05-06,1,Gabrielle Fitzgeralld
Gabrielle Forget,Senior Account Manager,2020-11-12,2020-11-12,1,Gabrielle Forget
Gabrielle Frost,Advisor,2022-01-19,2022-01-19,1,Gabrielle Frost
Gabrielle Labadie-johnson,Agenda Manager,2016-11-25,2018-10-03,3,"Gabrielle LaBadie-Johnson, Gabrielle Labadie-Johnson"
Gabrielle Renaud-mattey,Director of Communications,2013-08-26,2013-08-26,1,Gabrielle Renaud-Mattey
Gabrielle Tomovcik,Senior Program Officer,2022-12-01,2025-01-29,4," Gabrielle Tomovcik, Gabrielle  Tomovcik, Gabrielle Tomovcik"
Gabrielle Torrealba,Research Support Assistant,2021-05-31,2021-05-31,1,Gabrielle Torrealba
Gabrielle White,Senior Policy Analyst,2021-06-15,2021-06-23,2,Gabrielle White
Gaby Carignan,Advisor,2018-11-27,2024-05-07,2,Gaby Carignan
Gaby Torrealba,Research Support Assistant,2021-01-07,2021-01-07,1,Gaby Torrealba
Gaelle Maalouf,"Special Assistant, Legislative Affairs",2023-03-01,2023-12-01,8,"Gaelle  Maalouf, Gaelle Maalouf, Gaëlle Maalouf"
Gaelle Miollan,Senior Analyst,2023-03-09,2023-03-09,1,Gaelle Miollan
Gaetan Brousseau,Senior Advisor,2020-09-02,2020-09-18,2,Gaétan Brousseau
Gaetan Caron,Chairperson,2008-09-02,2014-01-22,30,"Gaetan Caron, Gaétan Caron, Gaëtan Caron"
Gaetan Martineau,"Deputy Director, Foreign Affairs and International Trade Canada",2014-07-10,2014-07-10,1,Gaetan Martineau
Gaeton Caron,Chair and CEO,2008-07-17,2011-09-29,4,"Gaeton Caron, Gateon Caron"
Gaffield Chad,President,2009-09-30,2009-09-30,1,Gaffield Chad
Gagan Sikand,Member of Parliament,2015-12-01,2021-04-29,158,"Gagan Sickland, Gagan Sikan, Gagan Sikand, Gagan Sikand, M.P., Gagan Sikland, Gagand Sikand, Gaggan Sikand, Gagon Sikhand, Gigand Sikand"
Gaggan Gill,Senior Special Assistant,2014-01-20,2014-09-23,3,Gaggan Gill
Gagne Claude Eric,"Assistant Director, Operations",2017-03-15,2017-03-15,1,Gagné Claude Eric
Gaher Iqwinder,Member of Parliament,2023-10-03,2023-10-03,1,Gaher Iqwinder
Gail Fawcett,Senior Research Advisor,2013-09-25,2013-09-25,1,Gail Fawcett
Gail Haarsma,Director,2016-11-04,2022-11-29,7,Gail Haarsma
Gail Johnson,Assistant Deputy Minister,2014-10-27,2016-05-27,8,Gail Johnson
Gail Ksonzyna,Principal Director,2013-10-04,2013-10-23,2,Gail Ksonzyna
Gail Miller,Director General,2010-03-11,2011-11-22,4,Gail Miller
Gail Mitchell,Assistant Deputy Minister,2011-11-22,2024-02-21,17,"Gail  Mitchell, Gail Mitchell"
Gail Shea,Minister,2008-11-14,2015-09-15,211,"Gail Shea, Gayle Shea, Hon Gail Shea, Hon. Gail Shea, Honourable Gail Shea, The Hon. Gail Shea, The Hon. Gail Shea, P.C., M.P., The Hon. Minister Gail Shea, M.P., The Hon. Minister Gail Shea, P.C., M.P., The Honourable Gail Shea, P.C., The Honourable Gail Shea, P.C., M.P., gail Shea, gail shea"
Gail Sinclair,General Counsel,2019-01-16,2019-01-16,1,Gail Sinclair
Gail Sparrow,Parliamentary Assistant,2016-09-28,2016-09-28,1,Gail Sparrow
Gale Davy,Constituency Assistant,2021-03-31,2024-03-26,13,"Gale  Davy, Gale Davy"
Gale Galloway,Staffer,2014-03-26,2014-04-03,2,Gale Galloway
Gale Shea,Member of Parliament,2012-11-15,2012-11-15,1,Gale Shea
Galen Countryman,Director General,2015-02-18,2024-08-15,14,"Galen  Countryman, Galen Countryman"
Galen Flaherty,Executive Assistant,2014-07-07,2014-07-07,1,Galen Flaherty
Galen Richadson,Senior Advisor,2024-11-13,2024-11-13,1,Galen Richadson
Galen Richardon,"Regional Advisor, Western and Northern Desk",2021-01-28,2021-01-28,1,Galen Richardon
Galen Richardson,"Senior Regional Advisor, West and North",2019-01-23,2025-06-12,648,"Galen  Richardson, Galen  Richardson , Galen Richardson, Galen Richardson "
Galen Rischardson,"Special Assistant, Regional Desk Prairies and North",2021-01-28,2021-01-28,1,Galen Rischardson
Gallant Cheryl,Member of Parliament,2010-12-09,2010-12-09,1,Gallant Cheryl
Gallezeau Rob,Economic Advisor,2013-10-30,2013-10-30,1,Gallezeau Rob
Gallit Dobner,Executive Director,2023-04-27,2025-02-10,5,Gallit Dobner
Ganna Lachykhina,Legislative Assistant,2022-09-21,2022-09-28,2,"Ganna Lachykhina, Ganna Lachykhina "
Gar Xie,"Regional Advisor, British Columbia",2022-08-29,2022-08-29,1,Gar  Xie
Gardiner Macneill,Policy Advisor,2009-11-24,2010-10-21,5,"Gardiner MacNeil, Gardiner MacNeill"
Gareth Hitchings,Director,2024-06-14,2025-01-17,2,Gareth Hitchings
Gareth Jones,Special Advisor,2016-04-12,2023-08-30,25,Gareth Jones
Garett Pratt,"Director, Sudan and South Sudan",2024-10-10,2024-10-10,1,Garett Pratt
Garima Dwivedi,Assistant Deputy Minister,2023-12-11,2024-10-10,8,Garima Dwivedi
Garneau Marc,Minister,2010-10-25,2017-06-19,2,Garneau Marc
Garnett Genuis,Member of Parliament,2009-03-03,2025-06-04,291,"Garett Genius, Garnet Genius, Garnet Genuis, Garnett  Genuis , Garnett Genius, Garnett Genuis"
Garrett Mombourquette,"Field Unit, Prince Edward Island",2021-02-23,2021-02-23,1,Garrett Mombourquette
Garrison Garrow,Program Officer,2022-05-06,2022-05-06,1,Garrison Garrow
Garry Breitkreuz,Member of Parliament,2009-03-31,2015-06-02,207,"GARRY BREITKREUZ, Garry Breikreuz, Garry Breitkreutz, Garry Breitkreuz, Garry Breitkruz, Garry Brietkreuz, Gary Breitkreuz, Gerry Breikreuz, Gerry Breitkreutz, Gerry Breitkreuz, gerry breitkreutz"
Garry Donaldson,"Manager, Protected Areas and Stewardship",2023-11-02,2023-11-02,1,Garry Donaldson
Gary Goodyear,Minister of State,2008-09-24,2015-07-27,312,"GARY GOODYEAR, Garry Goodyear, Gary Goddyear, Gary Goodear, Gary Goodyear, Gary Goodyer, Gary Gooyear, Hon Gary Goodyear, Hon. Dr. Gary Goodyear, Hon. Gary Goodyear, The Hon. Gary Goodyear, The Honourable Gary Goodyear, P.C., M.P., gary goodyear"
Garry Keller,Chief of Staff,2008-07-02,2017-06-15,98,"Garry Keeler, Garry Kellar, Garry Keller, Garry Kelly, Gary Kellar, Gary Keller"
Gerry Ritz,Minister,2008-07-07,2017-06-15,824,"GERRY RITZ, Garry Ritz, Gerry RITZ, Gerry Raits, Gerry Ritz, Gerry ritz, Gerry, The Honourable Ritz, HON. GERRY RITZ, Hon Gerry Ritz, Hon. Gerry Ritz, Hon. Gerry Ritz, P.C., M.P., Honourable Gerry Ritz, Honourable Gerry Ritz, MP, Minister Gerry Ritz, The Hon. Gerry Ritz, The Honourable Gerry Ritz, The Honourable Gerry Ritz, P.C., M.P., gerry Ritz, gerry ritz"
