CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Habib Massoud,Assistant Director,2011-12-23,2013-09-24,8,Habib Massoud
Hadeel April Aziz,"Special Assistant, Ontario",2023-02-09,2025-01-31,54,Hadeel April Aziz
Hadeel Aziz,"Special Assistant, Ontario",2021-12-06,2025-01-28,24,"Hadeel  Aziz, Hadeel Aziz"
Hadell Aziz,Regional Advisor,2023-03-01,2023-03-01,1,Hadell Aziz
Hafeez A Shaikh,Industrial Technology Advisor,2012-01-13,2012-01-13,1,Hafeez A Shaikh
Haidn Barbara,"Senior Advisor, Policy and Partnership",2023-09-01,2023-09-01,1,Haidn Barbara
Haidy Tadros,Director General,2017-04-04,2017-04-04,1,Haidy Tadros
Haig Mccarrell,Director,2023-08-16,2023-08-16,1,Haig McCarrell
Hailey Rumbolt,Staffer,2017-05-30,2017-05-30,1,Hailey Rumbolt
Hailey Short,Senior Communications Advisor,2023-09-06,2023-11-14,2,Hailey Short
Haley Hodgson,Press Secretary,2022-01-17,2023-04-13,3,"Haley  Hodgson, Haley Hodgson"
Haley Juniper,Communications Advisor,2022-01-12,2024-05-10,6,"Haley  Juniper, Haley Juniper"
Haley Maziarski,Policy Analyst,2022-09-20,2022-09-20,1,Haley Maziarski
Haley Quipp,Staffer,2022-01-14,2022-01-14,1,Haley Quipp
Halima Meyers,Investment Analyst,2023-02-20,2024-07-24,2,Halima Meyers
Hall Karen,Director General,2018-01-11,2018-01-11,1,Hall Karen
Hall Mathew,Senior Policy Advisor,2025-02-28,2025-02-28,1,Hall Mathew
Hallan Jasraj Singh,Member of Parliament,2023-02-09,2023-02-09,1,Hallan Jasraj Singh
Halleh Koleyni,"Deputy Director, G20",2021-06-28,2021-08-31,2,Halleh Koleyni
Hallie Stacey-sullivan,"Advisor, Issues and Parliamentary Affairs",2023-04-03,2023-04-03,1,Hallie Stacey-Sullivan
Halucha Paul,Deputy Clerk,2018-01-17,2024-12-18,4,Halucha Paul
Halverson Soren,Associate Assistant Deputy Minister,2019-02-28,2019-02-28,1,halverson Soren
Hamid Mohamed,Assistant Program Director,2009-06-29,2009-06-29,1,Hamid Mohamed
Hamid Mohammed,Executive Assistant,2024-09-18,2024-09-18,1,Hamid Mohammed
Hamid Ould Brahim,CTI,2012-05-15,2013-09-16,5,Hamid Ould Brahim
Hamid Sarreshtehdari,Advisor,2023-10-13,2023-10-13,1,Hamid Sarreshtehdari
Hamish Wright,Policy Advisor,2022-01-14,2022-12-08,49,"Hamish  Wright, Hamish Wright, hamish Wright"
Hamzawi Nancy,Assistant Deputy Minister,2022-02-11,2022-02-11,1,Hamzawi  Nancy 
Han Dong,Member of Parliament,2020-01-29,2024-08-01,107,"Han Dong, Hang Dong"
Hanan Abramovici,Manager,2018-02-21,2020-10-01,4,"Hana Abramovici, Hanan Abramovici"
Hana Kokanovic,Senior Policy Advisor,2016-08-11,2019-07-16,47,"Hana Kokanovic, Hannah Kokanovic"
Hana Maqsood,Acting Manager,2023-10-19,2024-12-06,4,Hana Maqsood
Hana Mihaldz,"Desk Officer, Central America",2022-02-01,2022-02-01,1,Hana Mihaldz
Hanan Harb,"Director, Community and Stakeholder Relations",2019-06-03,2020-11-12,5,Hanan Harb
Hanan Salama,Constituency Assistant,2023-06-01,2023-06-01,2,Hanan Salama
Hanen Nanaa,"Regional Advisor, Ontario",2022-02-22,2022-09-28,2,Hanen Nanaa
Hanif Mawji,"Associate Director, Operations",2020-07-22,2023-07-27,3,Hanif Mawji
Hanife Masoomi,Parliamentary Assistant,2019-06-04,2019-06-04,1,Hanife Masoomi
Hank Trim,Senior Policy Analyst,2022-09-22,2022-09-22,1,Hank Trim
Hanna Abla,Senior Director,2019-07-04,2020-01-30,2,Hanna Abla
Hanna Bartool,"Policy Advisor to the Minister of Diversity, Inclusion and Persons with Disabilities",2024-04-11,2024-04-11,1,Hanna Bartool
Hanna Batool,"Regional Advisor, Ontario",2023-03-29,2024-04-11,5,"Hanna  Batool , Hanna Batool"
Hanna Button,Director of Policy,2016-03-31,2023-01-26,236,"Hana Button, Hanna  Button , Hanna Button, Hanna Button , Hanna Button,, Hannah Button"
Hanna Classen,Policy Analyst,2012-11-06,2012-11-06,1,Hanna Classen
Hanna Hughes,Intern,2020-11-12,2021-04-21,3,Hanna Hughes
Hanna Kambo,"Senior Advisor, West and North",2016-02-17,2021-11-05,31,"Hanna Kambo, Hannah Kambo"
Hanna Kokavonic,Senior Policy Advisor,2019-03-29,2019-03-29,1,Hanna Kokavonic
Hanna Lange-chenier,Communications Advisor,2020-02-18,2020-02-18,1,Hanna Lange-Chenier
Hanna Zhang,Briefing Officer,2024-04-02,2024-04-02,1,Hanna Zhang
Hanna Zheng,Executive Assistant,2023-03-15,2023-03-15,1,Hanna Zheng
Hannaan Hassan,Special Assistant,2022-01-14,2022-01-14,1,Hannaan Hassan
Hannah Anderson,Legislative Assistant,2016-03-10,2023-12-11,4,Hannah Anderson
Hannah Batool,"Advisor, Ontario Regional Affairs and Outreach",2023-12-08,2023-12-08,1,Hannah Batool
Hannah Ehler,Intern,2023-05-24,2023-05-29,2,Hannah Ehler
Hannah Hodson,Special Assistant,2020-11-03,2022-02-09,12,Hannah Hodson
Hannah Hughes,Parliamentary Assistant,2021-02-16,2021-02-16,1,Hannah Hughes
Hannah J. Johnston,Staffer to Member of Parliament,2019-03-04,2019-03-12,2,Hannah J. Johnston
Hannah Jensen,Parliamentary Assistant,2020-09-30,2020-11-30,3,Hannah Jensen
Hannah Rogers,Director,2016-06-21,2016-06-21,1,Hannah Rogers
Hannah Stafl,Senior Investment Analyst,2023-10-24,2023-10-26,2,Hannah Stafl
Hannah Wieler,"Director, Parliamentary Affairs",2022-07-07,2025-03-04,2,Hannah Wieler
Hannah Wilson,Policy Advisor,2018-10-16,2025-03-19,651,"Hannah  Wilson, Hannah  Wilson , Hannah WIlson, Hannah Wilson"
Hannan Hassan,Senior Communications Advisor,2024-11-04,2024-11-04,1,Hannan Hassan
Hannoush Andre,Policy Advisor,2015-07-13,2015-07-13,1,Hannoush Andre
Hans Jung,Surgeon General,2011-09-06,2011-09-06,1,Hans Jung
Hans Pierre,Chief Information Officer,2023-03-22,2023-03-22,1,Hans La Pierre
Hans Yu,Executive Director,2024-11-15,2024-11-15,1,Hans Yu
Hantz Prosper,Director General,2022-05-26,2024-10-04,6,Hantz Prosper
Harb Abed,Senior Policy Advisor,2017-08-10,2017-11-21,2,Harb Abed
Harbinder Gill,Member of Parliament,2025-06-11,2025-06-11,1,Harbinder Gill
Hardave Birk,Director of Policy,2016-06-07,2016-06-07,1,Hardave Birk
Harder Peter,Senator,2018-05-09,2018-05-09,1,Harder Peter
Hardie Ken,Member of Parliament,2018-02-06,2018-02-06,1,Hardie Ken
Hardie Rath-wilson,Legislative Assistant,2014-08-21,2017-05-16,7,Hardie Rath-Wilson
Hargrove Glen,Assistant Deputy Minister,2021-04-08,2021-04-08,1,Hargrove Glen
Hari Kukenthiran,Policy Advisor,2023-03-07,2023-03-07,1,Hari Kukenthiran
Harijit Saijan,Member of Parliament,2016-11-23,2020-05-23,3,"Harijit Saijan, Harjit Saajan, Harjit Sajin"
Harjit Sajjan,Minister,2015-11-13,2025-01-01,253,"Harjit  Sajjan, Harjit  Sajjan , Harjit  Singh Sajjan , Harjit S Sajjan, Harjit S. Sajjan, Harjit Sadjin, Harjit Saijan, Harjit Sajan, Harjit Sajjan, Harjit Sajjan , Harjit Sin Sajjan, Harjit Singh Sajjan, Harjitt Sajjan, Hon. Harjit S. Sajjan, Hon. Harjit Sajjan, Honourable Harjit Sajjan, The Hon Harjit S. Sajjan, The Honourable Harjit S. Sajjan, harjit sajjan"
Harjit Singh,Minister,2016-05-11,2016-05-11,1,Harjit Singh
Harjit Singh Sarjjan,Minister of National Defence,2016-03-08,2016-03-08,1,Harjit Singh Sarjjan
Harley Juniper,"Manager, Communications and Community Engagement",2022-05-26,2022-05-26,1,Harley Juniper
Harnoor Kochar,Summer Intern,2018-06-07,2018-06-07,1,Harnoor Kochar
