CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
I Foucher,Senior Policy Advisor,2017-07-17,2017-07-17,1,I Foucher
Ian Shugart,Deputy Minister,2008-07-22,2023-11-15,230,"I. Shugart, Ian Schugart, Ian Shgart, Ian Shugart, Ian Shuggart, Ian Shughart"
Iain Huddleston,"Director General, Air Readiness",2021-01-21,2021-01-21,1,Iain Huddleston
Iain Mcphee,Parliamentary Assistant,2017-11-23,2017-11-23,1,Iain McPhee
Iain Stewart,President,2008-09-11,2023-12-04,463,"Iain  Stewart , Iain Stewart, Iain Stewart\, Iain Stuart, Iain stewart, Ian Stewart, iain Stewart, iain stewart"
Iain Stewart Stewart,President,2019-05-06,2019-05-06,1,Iain Stewart Stewart
Iain Tyrrell,Manager | Senior Policy Advisor,2014-10-28,2024-05-07,20,"Iain Tyrell, Iain Tyrrell, Iain tyrell, Ian Tyrrell"
Ian Alexander,Executive Director,2010-09-13,2022-10-24,11,"Ian  Alexander, Ian Alexander"
Ian Anderson,Director General,2019-03-26,2019-03-26,1,Ian Anderson
Ian Baggley,Director General,2018-02-26,2023-06-28,7,"Ian  Baggley, Ian Baggley"
Ian Birney,Associate Deputy Minister,2010-11-18,2010-12-16,2,Ian Birney
Ian Boelens,Project Engineer,2020-08-04,2024-10-30,7,Ian Boelens
Ian Brodie,Chief of Staff,2015-04-17,2015-04-17,1,Ian Brodie
Ian Burch,Senior Analyst,2020-11-19,2023-01-20,7,"Ian  Burch, Ian Burch"
Ian Burchett,Director General,2016-11-29,2019-09-06,5,Ian Burchett
Ian Burchette,Assistant Deputy Minister,2019-08-20,2019-08-20,1,Ian Burchette
Ian Burk Cameron,Press Secretary,2021-08-03,2021-08-03,1,Ian Burk Cameron
Ian Burney,Assistant Deputy Minister,2008-10-23,2019-10-08,139,"IAN BURNEY, Ian Burney, ian burney"
Ian C. Poulter,Deputy Chief of Staff,2010-09-20,2010-09-20,1,Ian C. Poulter
Ian Cameron,Press Secretary,2020-06-29,2023-06-15,33,Ian Cameron
Ian Campbell,Assistant Director,2010-08-17,2011-11-14,2,Ian Campbell
Ian Carr,Director of Communications,2021-11-17,2021-11-18,2,Ian Carr
Ian Chatwell,Regional Director,2022-10-26,2024-02-06,3,Ian Chatwell
Ian Christensen,"Assistant Chief, Financial Stability Department",2013-12-10,2013-12-10,1,Ian Christensen
Ian Cooper,"Senior Analyst, Team Lead",2013-11-12,2013-11-12,1,Ian Cooper
Ian Crump,Policy Advisor,2023-10-17,2023-10-17,1,Ian Crump
Ian D Mac,Director General,2008-10-16,2008-10-16,1,Ian  D Mac
Ian Dahlman,Analyst,2016-08-24,2018-01-18,6,"Ian Dahlman, Ian Dhalman"
Ian Denis,Parliamentary Assistant,2019-04-09,2019-04-30,2,Ian Denis
Ian Disend,Expert Advisor,2017-03-23,2023-12-19,6,Ian Disend
Ian Donaldson,Director,2024-01-11,2024-05-14,2,Ian Donaldson
Ian Dunbar,Chief of Staff,2025-05-06,2025-05-06,1,Ian Dunbar
Ian Fall,"Director, Investment Management",2009-10-01,2021-06-08,21,"IAN FALL, Ian Fall"
Ian Foucher,Chief of Staff,2015-12-07,2025-06-05,1683,"IAN FOUCHER, Ian  Foucher, Ian  Foucher , Ian Boucher, Ian FOUCHER, Ian Faucher, Ian Foucher, Ian Foucher , Ian Fouchere, Ian foucher, ian Foucher, ian foucher"
Ian Fouccher,Senior Policy Advisor,2017-05-01,2018-07-25,2,"Ian Fouccher, Ian Founcher"
Ian Foucer,"Deputy Director, Financial Sector Policy",2018-09-28,2018-09-28,1,Ian Foucer
Ian Fouche,"Policy Advisor, Financial Sector",2016-08-17,2016-08-17,1,Ian Fouche
Ian Fournier,Director of Policy,2019-07-02,2019-07-02,1,Ian Fournier
Ian Gallagher,"Special Assistant, Policy",2015-04-01,2015-06-08,5,Ian Gallagher
Ian Genno,Strategic Advisor,2019-10-24,2025-04-30,4,Ian Genno
Ian Gillespie,Director,2013-02-21,2023-06-16,17,Ian Gillespie
Ian Gillespie - Gillespie,Director,2021-08-30,2021-08-30,1,Ian Gillespie - Gillespie
Ian Glen,Chair,2011-08-11,2011-08-11,1,Ian Glen
Ian Graham,Vice President,2008-11-28,2011-12-01,3,Ian Graham
Ian Hamilton,Senior Policy Advisor,2021-03-30,2022-09-14,6,"Iam Hamilton, Ian Hamilton, Ian Hamilton "
Ian Highbottom,Deputy Director,2023-05-10,2023-05-10,1,Ian  Highbottom
Ian Hodges,Senior Advisor,2016-08-31,2016-08-31,1,Ian Hodges
Ian J. Burchette,Consul General,2013-05-13,2013-05-13,1,Ian J. Burchette
Ian Jack,"Deputy Commissioner, Competition",2009-01-26,2009-01-26,1,Ian Jack
Ian Kenney,Special Advisor,2017-09-27,2025-02-10,2,Ian Kenney
Ian Kenny,"Executive Director, Youth",2017-08-31,2017-08-31,1,Ian Kenny
Ian Kerr,"Vice President, Operations Transformation",2022-02-10,2022-04-06,3,Ian Kerr
Ian Ketcheson,Director General,2008-09-11,2024-11-28,44,"Ian  Ketcheson, Ian Ketcheson, Ian Ketchson"
Ian Ketchinson,"Vice President, Indigenous Relations Sector",2023-06-09,2023-06-09,1,Ian Ketchinson
Ian Mack,"Director General, Major Project Delivery",2009-07-10,2016-03-10,24,"IAN MACK, Ian Mack"
Ian Mckay,Chief Executive Officer,2018-06-05,2025-02-06,44,"Ian  McKay, Ian MacKay, Ian McKay, Ian Mckay"
Ian Mccowan,"Deputy Secretary to the Cabinet, Governance",2017-09-01,2021-10-15,20,"Ian McCowan, Ian McCowen"
Ian Mcleod,Vice President,2020-08-27,2020-08-31,2,"Ian McLeod, Ian Mcleod"
Ian Murdoch,Trade Commissioner,2023-01-30,2023-01-30,1,Ian Murdoch
Ian Myles,Senior Director,2015-02-20,2015-07-07,7,Ian Myles
Ian Patten,Policy Analyst,2021-09-01,2021-09-01,1,Ian Patten
Ian Plante,Chief of Staff,2015-03-04,2015-03-04,1,Ian Plante
Ian Potter,Vice President,2008-07-08,2016-07-12,18,"Ian Potter, ian potter"
Ian Poulter (mgen,Acting Chief of Staff,2009-12-09,2010-03-23,3,"Ian Poulter (MGen), Ian Pourlter (MGen)"
Ian Rogalski,Senior Analyst,2020-02-24,2020-04-16,2,Ian Rogalski
Ian S. Mackay,Member,2010-10-21,2010-10-21,1,Ian S. MacKay
Ian Sargeant,Assistant Secretary,2011-11-02,2011-11-02,1,Ian Sargeant
Ian Scott,Chairman and CEO,2017-10-05,2022-12-12,100,"Ian  Scott, Ian Scott"
Ian Sheppart,Deputy Minister,2010-07-08,2010-07-08,1,Ian Sheppart
Ian Stiskin,Legislative Assistant,2023-02-07,2024-02-26,4,"Ian Stiskin, Ian Stiskin "
Ian Stones,"Analyst, Space and Marine Directorate",2017-03-08,2017-03-08,1,Ian Stones
Ian Todd,Chief of Staff,2008-12-22,2025-04-08,62,"Ian  Todd, Ian  Todd , Ian H.C. Todd, Ian Todd, Iann Todd"
Ian Wallace,Manager,2013-05-29,2013-05-29,1,Ian Wallace
Ian West,Chief of Staff,2010-02-10,2015-04-02,125,"Ian G. West, Ian West, ian G West, ian west"
Ian Widgett,Senior Trade Policy Analyst,2017-10-14,2020-07-22,2,Ian Widgett
Ian Wright,"Chief, Financial Crimes - Domestic",2014-11-25,2018-01-29,4,Ian Wright
Iannick Lamirande,Senior Advisor,2013-11-29,2013-11-29,1,Iannick Lamirande
Ibrahim Berrada,Special Assistant,2016-02-17,2016-02-17,1,Ibrahim Berrada
Ibrahim Konare,Charities Analyst,2019-06-10,2019-10-16,18,"Ibrahim Konare, Ibrahim Konaré"
Ibrahim Mayssam,Policy Advisor,2022-03-09,2022-03-09,1,Ibrahim Mayssam
Ibrahim Yimer,Vice President,2021-08-09,2025-05-29,16,"Ibrahim Yimer, Ibrahim Yimmer"
Ibrahima Sow,Executive Director,2016-10-05,2025-05-14,62,Ibrahima Sow
Idee Inyandogour,Director of Policy,2014-03-05,2014-03-05,1,Idee Inyandogour
Idee Inyangador,Senior Policy Advisor,2013-03-05,2015-06-25,2,"Idee Inyangador, Idee Inyanqudor"
Idee Inyangudo,"Director of Policy, Stakeholder Relations",2014-12-17,2014-12-17,1,Idee Inyangudo
Idee Inyangudoor,Advisor to Minister on Food Security and Africa,2011-11-10,2011-11-10,1,Idee Inyangudoor
Idee Inyangudor,Director of Policy and Stakeholder Relations,2009-09-09,2015-08-06,166,"Idee Inyangadour, Idee Inyangodur, Idee Inyangudor, Idee Inyangudur, Indee Inyangudor"
Idzva Tsatsakotwas,Policy Analyst,2021-12-17,2021-12-17,1,Idzva Tsatsakotwas
Ifan Thomas,"Director, Wood Buffalo Action Plan",2021-04-22,2021-04-22,1,Ifan Thomas
Igneski Jasmine,Policy Advisor,2008-09-05,2008-09-05,1,Igneski Jasmine
Iian Goldenblatt,Constituency Assistant,2019-12-04,2019-12-04,1,Iian Goldenblatt
Iian Stewart,Assistant Deputy Minister,2014-01-30,2014-01-30,1,Iian Stewart
Ikram Belbahri,Constituency Assistant,2020-07-16,2020-07-16,1,Ikram Belbahri
Ila Gupta,Claims Verification Officer,2024-01-12,2024-04-11,2,Ila Gupta
Ilona Rehberg,Director General,2012-05-02,2018-04-26,48,"IIona Rehberg, Ilona Rehberg"
Ima Okonny,Chief Data Officer,2024-06-06,2024-06-06,2,"Ima  Okonny, Ima Okonny"
Imaan Sandhu,Policy Advisor,2024-01-11,2024-01-11,1,Imaan Sandhu
Imane Hamdani,Standards Engineer,2024-10-17,2025-05-27,6,"Imane Hamdani, imane Hamdani"
Imi Waljee,"Regional Director, Civil Aviation - Ontario",2020-07-22,2024-05-17,6,"Imi  Waljee, Imi Waljee"
Immaculate Byaruhanga,Business Officer,2022-01-21,2022-01-21,1,Immaculate Byaruhanga
Imraan Bashir,CSO,2017-07-28,2019-12-02,11,Imraan Bashir
Imran Bashir,Senior Director,2018-08-31,2018-08-31,1,Imran Bashir
Imran Damani,Economic Analyst,2020-07-17,2020-07-17,1,Imran Damani
Indrani Hallan,Head,2008-08-07,2008-08-07,1,Indrani Hallan
Indrani Hulan,"Director, Rail Policy Analysis and Legislative Initiatives",2017-02-23,2021-08-05,33,Indrani Hulan
Ines Kwan,Counsel,2020-10-03,2020-10-03,1,Ines Kwan
Ines Walther,Veterinarian,2023-09-27,2023-09-27,1,Ines Walther
Inez Nevelle,Policy Advisor,2017-10-05,2017-10-05,1,Inez Nevelle
Inez Neville,Chief of Staff,2024-12-03,2025-04-01,3,Inez Neville
Inga-lill Olsson,Trade Commissioner,2023-01-30,2025-04-07,5,Inga-Lill Olsson
Ingrid Arcand,Advisor,2025-02-13,2025-02-13,1,Ingrid Arcand
Ingrid Burgetz,Acting Director,2022-05-04,2022-10-24,2,Ingrid Burgetz
Ingrid De Freitas,"Director, Inbound International Investment",2022-02-10,2023-09-14,2,"Ingrid  De Freitas, Ingrid De Freitas"
Ingrid Defreitas,Director,2021-07-28,2023-09-06,6,"Ingrid  Defreitas, Ingrid Defreitas, Ingrid Defretias"
Ingrid Defrietas,Tax Policy Officer,2024-09-05,2024-09-05,1,Ingrid Defrietas
Ingrid Neubert,Administrative Assistant,2015-02-03,2016-08-12,4,Ingrid Neubert
Ingrid Pringle,Assistant to the Regional Director,2008-08-18,2014-02-05,3,Ingrid Pringle
Ingrid Schenk,Acting Director,2011-03-30,2011-07-26,6,Ingrid Schenk
Ingrida Darasaite,"Counsellor, Trade",2024-11-05,2024-11-05,1,Ingrida Darasaite
Inna Ilienko,Business Analyst,2023-01-05,2024-08-28,5,Inna Ilienko
Inta Koltins,"Special Assistant, Case Management",2015-01-20,2015-01-20,1,Inta Koltins
Inyangudor Idee,Director of Policy and Stakeholder Relations,2013-06-20,2013-12-11,2,Inyangudor Idee
Ioanna Sahas Martin,Director,2014-04-16,2022-12-06,3,"Ioanna Sahas Martin, Ionna Sahas Martin"
Ioulia Mish,Director,2023-11-01,2023-11-01,2,Ioulia Mish
Iqbal Sultani,Special Assistant,2022-09-28,2023-06-16,27,"Iqbal  Sultani, Iqbal Sultani"
Iqra Khalid,Member of Parliament,2016-01-15,2025-06-11,209,"Igra Khalid, Ikra Khalid, Iqra  Khalid , Iqra Kahlid, Iqra Khalid"
Iqwinder Gaheer,Member of Parliament,2021-11-09,2025-06-03,144,"Iqwinder  Gaheer, Iqwinder  Gaheer , Iqwinder Gaheer"
Ira Khadkar,"Advisor, Atlantic Canada",2023-09-11,2023-09-11,1,Ira Khadkar
Ira Khedkar,Communications and Atlantic Advisor,2023-06-14,2024-02-08,18,"Ira Khedkar, ira khedkar"
Irek Kusmeirczyk,Parliamentary Secretary,2020-02-20,2020-05-25,4,"Irek Kusmeirczyk, Irek Kusmerczyk, Irek Kuzmierczyk"
Irek Kusmierczyk,Member of Parliament,2019-11-28,2025-03-20,176,"Irek Kusmericzyk, Irek Kusmiercayk, Irek Kusmierczky, Irek Kusmierczyk, Irek kusmierczyk, Irene Kusmierczyk, irek Kusmierczyk"
Ivana Spasovska,"Senior Special Assistant, Regional Affairs",2020-02-05,2021-08-06,115,"Irena Spasovska, Ivana Spasovska"
Irene Brueckner-irwin,Legislative Assistant,2020-11-20,2021-03-03,6,Irene Brueckner-Irwin
Irene Cheung,Policy Advisor,2018-09-25,2021-11-16,214,"Irene Cheung, Irene Chung, Irene cheung"
Irene Coyle,Research Engineer,2009-09-30,2009-09-30,1,Irene Coyle
Irene Irene Makary-abourizk,Principal Analyst,2023-03-16,2023-03-16,1,Irene Irene Makary-Abourizk
Irene Makary-abourizk,Principal Analyst,2023-03-09,2023-11-23,5,Irene Makary-Abourizk
