CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
K Hillman,Chief Negotiator,2013-01-18,2013-01-18,1,K Hillman
K Rolland,"Director, Stakeholder Outreach",2018-10-30,2018-10-30,1,K Rolland
K. Mountjoy,Assistant Deputy Minister,2008-07-21,2008-07-21,1,K. Mountjoy
Kabir Bains,Assistant Deputy Minister,2024-09-18,2024-09-18,1,Kabir Bains
Kacie Turner,Program Officer,2021-07-21,2021-10-12,2,Kacie Turner
Kadri Bayan,Policy Advisor,2024-07-18,2024-07-18,1,Kadri Bayan
Kaelyn Van Gardener,Parliamentary Assistant,2024-11-19,2024-11-19,1,Kaelyn Van Gardener
Kahlil Cappuccino,Director,2018-05-23,2019-11-05,9,"Kahlil Cappuccino, Khalil Cappuccino"
Kaila Mintz,Senior Development Policy Officer,2013-05-10,2013-05-10,1,Kaila Mintz
Kaila Rosenhek,Chief of Staff,2022-09-28,2024-11-19,6,Kaila Rosenhek
Kaileigh Richter,Assistant to Member,2014-12-04,2014-12-04,2,Kaileigh Richter
Kailey Fisher,Policy Advisor,2013-12-16,2013-12-16,1,Kailey Fisher
Kaili Lavesque,Deputy Secretary,2024-02-08,2024-02-08,1,Kaili  Lavesque
Kaili Levesque,Assistant Secretary to the Cabinet,2016-02-04,2025-05-25,258,"Kaili   Levesque , Kaili  Levesque, Kaili Levesqu, Kaili Levesque, Kaili Levesque , Kaili Lévesque, Kaili levesque"
Kailie Levesque,"Assistant Secretary, Economic and Regional Development Policy",2021-10-21,2022-03-21,3,Kailie Levesque
Kaillie Levesque,Assistant Deputy Minister,2021-09-28,2021-09-28,1,Kaillie Levesque
Kaireen Patton,Senior Policy Analyst,2022-07-28,2023-09-12,2,Kaireen Patton
Kairi-liis Ustav,Program Officer,2024-02-13,2024-02-13,1,Kairi-Liis Ustav
Kait Alkema,Chief of Staff,2022-09-20,2022-09-20,1,Kait Alkema
Kaitlin Blackhall,"Manager, Strategic Policy",2022-02-21,2024-08-01,6,"Kaitlin  Blackhall, Kaitlin Blackhall"
Katelin Everson,Policy Advisor,2011-06-22,2023-05-30,165,"KATELIN EVERSON, Kaitlin Everson, Katelin Emmerson, Katelin Everson, Kateline Everson, Katelyn Everson"
Kaitlin Heron,Environmental Management Specialist,2024-02-13,2024-02-13,1,Kaitlin Heron
Kaitlin Martin,Policy Analyst,2025-04-14,2025-04-14,1,Kaitlin Martin 
Kaitlin Posselwhite,Policy Analyst,2024-08-01,2024-08-01,1,Kaitlin Posselwhite
Kaitlin Power,Press Secretary,2024-01-25,2025-01-08,4,Kaitlin Power
Kaitlyn Cleary,Director of Policy,2024-07-16,2025-05-27,92,"Kaitlin Creary, Kaitlyn  Cleary, Kaitlyn Cleary"
Kaitlyn Forbes,Policy Advisor,2020-09-01,2022-10-20,34,"Kailtyn Forbes, Kaitlyn  Forbes, Kaitlyn  Forbes , Kaitlyn Forbes, Kaitlyn Forbs"
Kaitlyn Jones,Policy Analyst,2022-10-26,2022-10-26,3,Kaitlyn Jones
Kaitlyn Jonescu,Regional Advisor,2021-05-28,2024-12-17,20,"Kailtlyn Jonescu, Kaitlyn  Jonescu, Kaitlyn Jonescu"
Kaitlyn Kaitlyn,Legal Officer,2015-02-03,2015-02-13,2,Kaitlyn Kaitlyn
Kaitlyn Kaitlyn Pritchard,Legal Officer,2015-02-12,2015-02-12,1,Kaitlyn Kaitlyn Pritchard
Kaitlyn Peters,Ontario Regional Advisor and FedNor Special Assistant,2022-02-22,2024-03-18,27,"Kaitlyn   Peters, Kaitlyn  Peters, Kaitlyn Peters, kaitlyn  peters, kaitlyn peters"
Kaitlyn Prichartd,Trade Program Manager,2025-03-12,2025-03-12,1,Kaitlyn Prichartd
Kaitlyn Pritchard,Legal Officer,2015-02-19,2024-11-20,3,Kaitlyn Pritchard
Kaitlyn Staines,"Regional Advisor, Atlantic and Operations Assistant",2024-03-08,2024-03-08,1,Kaitlyn Staines
Kaitlyn Wendland,"Regional Advisor, Ontario",2023-11-20,2024-06-20,17,"Kaitlyn  Wendland, Kaitlyn Wendland"
Kaiya Jarvis,Hill Assistant,2023-09-11,2023-09-11,1,Kaiya Jarvis
Kajan Ratneswaran,Policy Analyst,2021-04-09,2023-10-25,2,Kajan Ratneswaran
Kala Pendakur,Sector Specialist,2022-06-03,2023-04-14,5,"Kala  Pendakur , Kala Pendakur"
Kaleigh Beauvais,International Development Officer,2024-10-23,2025-05-29,9," Kaleigh Beauvais, Kaleigh Beauvais, Kaleigh Beauvais "
Kalie Hatt-kilburn,Vice President,2022-10-27,2025-02-27,6,"Kali  Hatt-Kilburn, Kali Hatt-Kilburn, Kalie Hatt-Kilburn"
Kali Levesque,Associate Deputy Minister,2021-10-21,2024-12-11,3,"Kali  Levesque, Kali Levesque, Kayli  Levesque"
Kalin Mccluskey,Director of Policy,2012-09-28,2014-03-25,12,Kalin McCluskey
Kalin Mcclusky,Policy Advisor,2012-10-02,2012-10-02,1,Kalin McClusky
Kalli Groot,Senior Industry Development Officer,2023-06-02,2023-06-02,1,Kalli Groot
Kalogerakos Nicholas,Senior Policy Advisor,2014-03-13,2014-03-13,1,Kalogerakos Nicholas
