CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Fritz Lionel Adimi,Policy Advisor,2018-12-14,2023-06-27,83,"Lionel  Fritz-Adimi, Lionel Adimi Fritz, Lionel Frita Adimi, Lionel Fritz, Lionel Fritz Adimi, Lionel Fritz Adimi , Lionel Fritz-Adimi, Lionel-Fitz Adimi, Lionel-Fritz Adimi, lionel-fritz adimi"
L Longfeild,Member of Parliament,2018-10-30,2018-10-30,1,L Longfeild
L. Corbett,"Executive Assistant, Agriculture",2008-07-08,2008-07-08,1,L. Corbett
L. Dean Vey,"Regional Director, Saskatchewan Region",2008-08-08,2008-08-08,1,L. Dean Vey
L. Forand,Associate Deputy Minister,2008-07-08,2009-03-25,7,L. Forand
L. Payne,Member of Parliament,2011-03-01,2011-03-01,1,L. Payne
L. Raitt,Minister,2008-11-20,2008-11-20,2,L. Raitt
L. Richard Lajeunesse,Investment Review Manager,2012-07-26,2012-07-26,1,L. Richard Lajeunesse
Labarre Remi,Senior Advisor,2016-11-17,2016-11-17,1,LaBarre Remi
Labonte Jeff,Director General,2014-08-01,2014-08-01,1,Labonte Jeff
Lacey Campbell,"Manager, OCA",2022-10-14,2022-10-14,1,Lacey Campbell
Lacey Sanders,Constituency Assistant,2016-01-08,2022-03-08,9,"Lacey Sanders, Lacey Saunders"
Lacey-marie Campbell,Manager,2023-10-30,2023-10-30,1,Lacey-Marie Campbell
Lachmi Asnani-ma,Manager,2017-01-16,2018-04-26,4,Lachmi Asnani-Ma
Ladan Nur,"Special Assistant, West and North",2020-10-28,2023-10-19,14,"Ladan Nur, Laden Nur"
Ladan Rabiey Motmaen,Acting Manager,2022-02-15,2022-12-05,2,"Ladan  Rabiey Motmaen, Ladan Rabiey Motmaen"
Ladislau Papara,"Chief Representative, India",2022-08-02,2022-08-02,1,Ladislau  Papara
Lafleur Diane,Director General,2011-11-24,2011-11-24,1,Lafleur Diane
Laforest Jean-yves,Member of Parliament,2010-11-30,2010-11-30,1,Laforest Jean-Yves
Laila Goodridge,Member of Parliament,2015-02-19,2025-06-03,120,"Laila  Goodridge, Laila Goodridge, Laila Goodridge "
Laila-gabrielle Cote,Account Executive,2016-05-17,2017-09-12,2,"Laila-Gabrielle Cote, Laila-Gabrielle Côté"
Laird Hindle,Ambassador to the Republic of Estonia,2016-08-23,2024-02-13,3,Laird Hindle
Laird Roe,Executive Director,2016-05-10,2016-05-10,1,Laird Roe
Lakshmi Krishnan,Vice President,2019-03-12,2024-10-02,31,"Lakshmi  Krishna, Lakshmi Krishnan"
Lalancette Sylvie,"Deputy Director, Europe and Latin America",2019-04-04,2019-04-04,1,Lalancette Sylvie
Lalith Kottachchi,Chief,2008-08-14,2013-10-09,9,"Lalith Kottachchi, Lalith Kottchichi"
Lalli Sangeeta,"Regional Advisor, BC Desk",2020-02-27,2020-12-04,2,Lalli Sangeeta
Lally Rementilla,Intellectual Property-Backed Financing,2021-09-03,2021-10-07,2,Lally Rementilla
Lam Arthur,Senior Policy Advisor,2018-06-13,2020-05-29,2,"Lam Arthur, Lam Artur"
Lama Khodr,Spokesperson,2022-11-24,2022-11-24,1,Lama Khodr
Lambert Drainville,Researcher,2022-01-18,2024-10-08,2,Lambert Drainville
Lambert Lorrain,Policy Advisor,2020-02-19,2020-09-18,112,"Lambert Laurrain, Lambert Lorrain, Lambert Lorraine, Lambert V Lorrain, Lambert lorrain, Lambert v Lorrain, lambert lorrain"
Lambert V. Lorrain,Policy Advisor,2020-02-20,2020-09-18,15,Lambert V. Lorrain
Lambropoulous Emanuella,Member of Parliament,2018-08-14,2018-08-14,1,Lambropoulous Emanuella
Lamyaa Ammar,Investment Analyst,2022-10-11,2022-11-07,2,Lamyaa Ammar
Lana Abu Lughod,Executive Assistant,2022-11-30,2023-09-14,9,"Lana Abu  Abu Lughod, Lana Abu Loghod, Lana Abu Lughod, lana Abu Lughod"
Lana Embree,"Director, Risk Monitoring",2023-10-31,2023-10-31,1,Lana Embree
Lana Popham,"Minister, Agriculture",2022-08-16,2022-08-16,1,Lana Popham
Lance Anderchuk,Manager,2019-08-21,2021-05-05,3,Lance Anderchuk
Lance Arnold,Advisor,2022-10-05,2025-03-13,4,Lance Arnold
Lance Greenberg,Executive Assistant,2016-07-12,2016-07-28,3,Lance Greenberg
Lance Levesque,"Manager, Stakeholder Relations",2013-05-07,2015-06-22,63,"LANCE LEVESQUE, Lance Levesque, lance LEVESQUE"
Landan Amirazizi,Trade Commissioner,2022-02-21,2022-02-21,1,Landan Amirazizi
Landin Helm,Constituency Assistant,2023-04-04,2023-04-04,1,Landin Helm
Landon Wilcock,Policy Advisor,2019-06-11,2021-08-09,167,"Landon Wilcock, Landon Wilcox, Landon Wilson, landon wilcock"
Lane Macadam,"Director, Canadian Heritage",2011-11-30,2012-01-31,2,Lane MacAdam
Lang Marie-claude,Manager,2024-11-01,2024-11-01,1,Lang Marie-Claude
Langille Nicola,"Policy Advisor, Office of the Minister of Justice and Attorney General of Canada",2019-05-15,2019-05-15,1,Langille Nicola
Langis Gagnon,Instructor,2021-06-29,2021-06-29,1,Langis Gagnon
Langis Lagace,Director General,2010-04-20,2011-03-25,5,Langis Lagacé
Laniel Bateman,Director,2018-12-04,2024-04-05,5,Laniel Bateman
Lanny Cardow,"Manager, Government Advertising and Marketing",2013-09-11,2014-01-31,4,Lanny Cardow
Lanny Hill,Force Development Officer,2021-03-24,2021-03-24,1,Lanny Hill
Lantsman Melissa,Deputy Leader,2023-05-16,2023-05-16,2,Lantsman Melissa
Lapointe Jean-philippe,Director General,2021-05-11,2021-05-11,1,Lapointe Jean-Philippe
Lara Boulanger-stewart,"Executive Director, DMO",2014-12-01,2015-03-16,3,Lara Boulanger-Stewart
Lara Ives,Executive Director,2020-06-25,2025-01-24,4,Lara Ives
Lara Keable,Assistant Director,2024-04-10,2024-04-10,1,Lara Keable
Lara Lalonde,Evaluator,2024-02-28,2024-02-28,3,Lara Lalonde
Lara Oldford,Director,2018-06-26,2018-06-26,1,Lara Oldford
Lara Ouellette,Senior Program Officer,2017-09-19,2023-11-02,12,Lara Ouellette
Lara Peters,Policy Analyst,2014-01-29,2014-01-29,1,Lara Peters
Lara Pocock,Policy Advisor,2016-10-17,2019-03-01,56,"Lara Pocock, Lara Popock"
Lara Raoub,Regional Manager,2021-07-22,2021-11-30,3,"Lara Raoub, Lara Rouab"
