CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
N.r. Beck,"Director, S&T",2010-11-17,2010-11-17,1,N.R. Beck
Nabeel Abdullah,Regional Advisor,2022-07-27,2024-02-28,42,"Nabeel  Abdullah, Nabeel Abdullah"
Nabih Eldebs,Assistant Secretary to the Cabinet,2024-04-23,2025-02-20,4,"Nabih  Eldebs, Nabih Eldebs"
Nabil Elasraoui,Venture Capital Associate,2022-02-17,2022-02-17,1,Nabil Elasraoui
Nabila Taha,Head of Risk Management,2024-07-31,2024-07-31,1,Nabila Taha
Nada Elnabelsya,Policy Advisor,2023-05-02,2023-05-02,1,Nada Elnabelsya
Nada Fadol,"Senior Policy Analyst, Space Exploration Policy",2023-06-20,2023-06-20,1,Nada Fadol
Nada Semaan,Associate Deputy Minister,2009-01-08,2023-12-18,71,"Nada Seamaan, Nada Seaman, Nada Seeman, Nada Semaan, Nada Sleeman"
Nada Vrany,Director General,2008-07-22,2025-02-13,110,"Nada Vrancy, Nada Vrany"
Nadean Langlois,"Director General, Operations",2014-08-26,2020-12-17,5,Nadean Langlois
Nadege Adam,"Director, Communication",2016-06-29,2016-06-29,1,Nadège Adam
Nader Daher,Policy Analyst,2021-03-02,2021-03-02,1,Nader Daher
Nadia Ahmad,Director General,2014-10-30,2015-12-07,8,Nadia Ahmad
Nadia Bouffard,"Director General, External Relations",2016-06-28,2018-10-31,3,Nadia Bouffard
Nadia Bourely,Director,2013-05-09,2023-05-19,9,"NADIA BOURÉLY, Nadia Bourely, Nadia Bourély, nadia bourely"
Nadia Bourley,Minister Counsellor,2022-03-14,2022-05-24,2,"Nadia Bourley, nadia bourley"
Nadia Burger,Ambassador to Indonesia,2022-05-16,2022-05-16,1,Nadia Burger
Nadia Christie,Acting Director,2017-11-21,2022-11-02,2,Nadia Christie
Nadia Gilbert,"Director, Multilateral Affairs",2016-11-23,2024-03-08,3,Nadia Gilbert
Nadia Hadj Mohamed,Policy Advisor,2016-11-22,2025-03-21,104,"Nadia Hadj Mohamed, Nadia Hadj Mohammed, Nadia Hadj-Mohammed, nadia Hadj-Mohammed"
Nadia Hadj-mohamed,Policy Advisor,2017-06-28,2021-04-28,9,"Nadia Hadj-Mohamed, Nadia HadjMohamed, Nadia Hadjmohamed"
Nadia Hamidi,Advisor,2023-07-19,2023-11-10,4,"Nadia Hamidi, Nadia Hamoui"
Nadia Kadri,Director of Policy,2017-04-20,2025-03-30,252,"Nadia  Kadri, Nadia  Kadri , Nadia Fakri, Nadia Kadri, Nadia Kadri , Nadia Kadry, Nadia Khadri, Nadia kadri"
Nadia Kadria,Policy Advisor,2021-05-20,2021-05-20,1,Nadia Kadria
Nadia Lombardi,Manager,2020-05-12,2020-05-12,1,Nadia Lombardi
Nadia Marceau,Advisor,2019-05-03,2019-05-03,2,Nadia Marceau
Nadia Scipio Del Campo,Deputy Director,2018-10-31,2018-10-31,1,Nadia Scipio del Campo
Nadia St-louis,Senior Program Analyst,2020-08-25,2020-08-25,1,Nadia St-Louis
Nadia Theodore,Director,2014-02-11,2024-09-10,53,"Nadia  Theodore, Nadia Theodore"
Nadim Kara,Deputy Director,2022-09-21,2023-07-21,2,"Nadim  Kara, Nadim Kara"
Nadin Nanji,Deputy Director,2019-05-28,2019-05-28,1,Nadin Nanji
