CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Oana Tranca,Research and Evaluation Analyst,2021-08-17,2021-08-17,1,Oana Tranca
Oana Vasuta,Policy Analyst,2024-04-05,2024-04-05,1,Oana  Vasuta
Oba Harding,Business Officer,2022-07-15,2025-02-18,11,Oba Harding
O'brien Damien,Senior Policy Advisor,2019-02-28,2019-02-28,1,O'Brien Damien
O'brien Stevie,"Director, Parliamentary Affairs",2017-11-08,2017-11-08,1,O'Brien Stevie
Oda Beverlee,Minister,2009-06-04,2009-06-04,1,Oda Beverlee
Odette Johnson,Director,2017-01-31,2017-01-31,1,Odette Johnson
Odile Joannette,Director,2021-09-01,2021-09-01,1,Odile Joannette
Ogesanmola Omitayo,"Senior Advisor, Program Development",2023-04-27,2023-04-27,1,Ogesanmola Omitayo
Ogilvie Kelvin,Senator,2013-05-30,2017-06-06,3,Ogilvie Kelvin
Oh Victor,Senator,2013-02-28,2013-02-28,1,Oh Victor
O'halloran Mark,Special Assistant,2016-11-17,2016-11-17,1,O'Halloran Mark
Olivier Hebert,Director of Policy,2012-12-05,2015-06-09,60,"Olivier Hebert, Olivier Hébert, oilivier Hebert, olivier hebert, olivier hébert"
Olaf Andreas Kjelsen,Ambassador,2024-11-05,2024-11-05,1,Olaf Andreas Kjelsen
Olaf Jensen,Director,2010-01-14,2024-01-19,12,"Olaf  Jensen, Olaf Jensen"
Olaf Kjelsen,Ambassador of Switzerland to Canada,2024-05-28,2024-05-28,1,Olaf  Kjelsen
Olalekan Edwards,Special Assistant,2024-09-09,2024-09-09,1,Olalekan  Edwards
Old Hendrickson,Scientific Advisor,2009-11-24,2009-11-24,1,Old Hendrickson
Olesia Bissett,Policy Analyst,2025-05-27,2025-05-27,1,Olesia Bissett
Olga Radchenko,Director of Policy,2018-11-15,2025-03-14,124,"Olga  Radchenko, Olga Radchenko, Olga Radochenko"
Olga Vovk,"Senior Regional Manager, Europe",2021-04-26,2021-04-26,1,Olga Vovk
Oline Twiss,Parliamentary Affairs,2012-02-15,2013-11-28,9,Oline Twiss
Oliphant Rob,Member of Parliament,2020-10-05,2020-10-05,1,Oliphant Rob
Oliphant Robert,Member of Parliament,2017-11-15,2017-11-15,1,Oliphant Robert
Oliver Anderson,Communications Advisor,2016-03-09,2025-01-30,184,"Oliver Anderson, Olivier Anderson"
Oliver Archer-antonsen,Advisor to the Associate Deputy Minister,2013-02-14,2015-02-03,2,Oliver Archer-Antonsen
Olivier Beaulieu-charbonneau,"Sector Specialist, Dairy Products",2014-09-19,2016-05-16,4,"Oliver Beaulieu-Charbonneau, Olivier Beaulieu-Charbonneau"
Oliver Blake,Policy Advisor,2020-04-02,2022-03-17,7,"Oliver  Blake, Oliver Black, Oliver Blake, Olivier Blake"
Olivier Bullion,"Director, Sustainable Development Goals 2030",2020-11-30,2022-01-11,3,"Oliver Bullion, Olivier Bullion"
Oliver Cullen,Policy Advisor,2016-10-06,2022-10-26,5,Oliver Cullen
Oliver Duchesneau,Chief of Staff,2017-10-02,2019-02-20,4,"Oliver Duchesneau, Olivier Dushesneau"
Olivier Duhaime,Senior Special Assistant,2016-03-30,2021-06-15,76,"Oliver Duhaime, Olivier Duhaime"
Oliver Dumville,Policy Analyst,2020-07-09,2020-07-09,1,Oliver Dumville
Oliver Hebert,Senior Advisor,2013-02-19,2013-02-19,1,Oliver Hébert
Oliver Jarda,Director of Policy and Legal Affairs,2020-06-16,2021-04-22,2,Oliver Jarda
Oliver Joe,"Minister, Natural Resources",2012-01-25,2012-09-04,2,Oliver Joe
Oliver John,Member of Parliament,2016-11-29,2016-11-29,1,Oliver John
Oliver Kanter,Senior Policy Analyst,2019-04-24,2024-11-07,2,Oliver Kanter
Oliver Pas Certain,Policy Advisor,2019-03-01,2019-03-01,1,Oliver Pas certain
Olivier Quirion,Director,2021-03-15,2025-02-25,29,"Oliver Quirion, Olivier  Quirion , Olivier  Quiron, Olivier Quirion, olivier Quirion"
Oliver Roger,"Director, Resources, Environment and Special Projects",2022-01-17,2022-01-17,1,Oliver Roger
Oliver Rogerson,Director,2018-08-21,2024-11-27,51,"Oliver  Rogerson, Oliver Rogerson, oliver rogerson"
Oliver Tremblay-venneri,Legislative Assistant,2024-02-06,2025-03-20,2,"Oliver Tremblay-Venneri, Olivier Tremblay-Venner"
Olivera Blagojevic,Director,2023-08-22,2024-10-09,2,Olivera Blagojevic
Olivia Baldwin Valainis,"Director, Regional Affairs",2009-01-23,2015-02-12,4,"Olivia Baldwin Valainas, Olivia Baldwin Valainis, Olivia Balwin Valainis"
Olivia Baldwin-valainis,"Director, Regional Affairs",2008-11-20,2015-05-21,17,"Olivia Baldwin-Valainis, Olivia Baldwin-Valanis"
Olivia Baldwin-valninis,Regional Director,2009-02-24,2009-02-24,1,Olivia Baldwin-Valninis
