CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
P. Benoit,Minister's Staff,2008-07-21,2008-07-21,1,P. Benoit
P.j. Partington,"Manager, Strategic Policy",2025-02-27,2025-02-27,1,P.J. Partington
Pablo Castagnino,"Counsellor, Argentina Embassy in Canada",2024-05-28,2024-05-28,1,Pablo Castagnino
Pablo Concilio,Senior Trade Policy Officer,2022-09-21,2022-09-21,1,Pablo Concilio
Pablo Jacubovich,Policy Analyst,2020-09-02,2020-09-09,2,Pablo Jacubovich
Pablo Prodriguez,Member of Parliament,2016-05-19,2017-11-15,2,"Pablo Prodriguez, Pablo Rodreguez"
Pablo Rodriguez,Member of Parliament,2010-05-10,2024-09-13,479,"Hon Pablo Rodriguez, Hon. Pablo Rodriguez, Mr. Pablo Rodriguez, MP, Pablo Rodrigues, Pablo Rodriguez, Pablo Rodriguez , Pablo Rodriguez, M.P., Pablo Rodriquez, Pablo Rodríguez, The Hon. Pablo Rodriguez, The Honourable Pablo  Rodriguez, The Honourable Pablo  Rodriguez, M.P., P.C. , The Honourable Pablo  Rodriquez , The Honourable Pablo Rodriguez, The Honourable Pablo Rodriguez, M.P., P.C. , The Honourable Pablo Rodriquez, The Honourable Pablo Rodriquez, P.C., M.P., pablo rodriguez, the Honourable Pablo Rodriquez"
Pablo Sobrino,Associate Assistant Deputy Minister,2010-06-23,2014-05-07,23,Pablo Sobrino
Paddy Enright,Policy Analyst,2024-05-01,2024-05-01,1,Paddy Enright
Page Simon,Assistant Deputy Minister,2023-01-13,2023-01-13,1,Page Simon
Paige Inglis,Policy Analyst,2023-10-04,2023-10-04,2,Paige Inglis
Paige Ladouceur,Senior Policy Advisor,2022-12-07,2024-06-07,3,"Paige  Ladouceur, Paige Ladouceur"
Paige Reno,"Policy Analyst, Sustainable Development Policy",2016-12-01,2016-12-01,1,Paige Reno
Paille Daniel,Member of Parliament,2010-12-07,2010-12-07,1,Paillé Daniel
Pallavi Roy,Policy Advisor,2021-06-07,2021-06-07,1,Pallavi Roy
Paloma Aguilar Gonzalez,Assistant,2012-06-11,2012-06-11,1,Paloma Aguilar Gonzalez
Pam Bjornson,Director General,2013-02-04,2013-03-05,2,Pam Bjornson
Pam Dagenais,Manager,2022-05-17,2023-04-03,2,Pam Dagenais
