CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
R. Engelhart,Assistant Deputy Minister,2010-06-03,2010-06-03,2,R. Engelhart
R. Hoback,Member of Parliament,2011-03-01,2011-03-01,1,R. Hoback
R. Nathoo,Chief of Staff,2009-01-08,2009-01-28,2,R. Nathoo
R.d. Foster,Major General,2013-02-20,2013-02-20,1,R.D. Foster
R.r. Knecht,Senior Deputy Commissioner,2011-01-17,2011-01-17,1,R.R. (Rod) Knecht
R. R. Pitre,Director General,2012-11-13,2012-11-13,1,R. R. Pitre
Raahool Watchmaker,"Counsel, Trade Law Bureau",2020-10-22,2020-10-22,1,Raahool Watchmaker
Rabia Moin,Junior Policy Analyst,2021-03-19,2021-03-19,1,Rabia Moin
Rabih Abou-assaly,Program Consultant,2020-05-27,2020-05-27,1,Rabih Abou-Assaly
Racha Saad,"Policy Analyst, Seniors Policy and Analysis Unit",2020-08-25,2020-08-25,1,Racha Saad
Rachael Bedlington,"Consul General, Hong Kong Special Administrative Region",2021-11-30,2024-04-24,2,"Rachael Bedlington, Rachel Bedlington"
Rachael Curran,Policy Advisor,2009-09-22,2009-09-22,1,Rachael Curran
Rachael Grasham,Chief,2011-02-17,2011-02-17,1,Rachael Grasham
Rachael Harder,Member of Parliament,2016-01-28,2024-11-27,189,"Rachael Harder, Racheal Harder, Rachel Harder"
Rachael Harder-thomas,Member of Parliament,2022-02-14,2022-02-14,1,Rachael Harder-Thomas
Rachael Heleniak,Staffer,2021-04-21,2021-04-21,2,"Rachael Heleniak, Rachel Helaniak"
Rachael Jenish,Analyst,2022-01-19,2022-01-19,1,Rachael JENISH
Rachael Lindsay,Director,2016-01-28,2016-01-28,1,Rachael Lindsay
Rachael Moltner,Policy Analyst,2023-12-07,2023-12-07,1,Rachael Moltner
Rachael Muller,"Analyst, Program Policy",2020-02-04,2023-02-08,8,Rachael Muller
Rachael Thomas,Member of Parliament,2021-12-07,2025-06-11,96,"Rachael  Thomas, Rachael  Thomas , Rachael Thomas, Rachael Thomas , Rachel  Thomas , Rachel Thomas, rachael thomas"
Rachael Thomas (harder,Member of Parliament,2022-02-08,2022-02-08,1,Rachael  Thomas (Harder)
Rachel Wernick,Senior Assistant Deputy Minister,2009-01-07,2022-02-15,103,"Rachael Wernick, Rachel Wenick, Rachel Wernick"
Rachel Bandayan,Chief of Staff,2016-05-16,2016-05-16,1,Rachel Bandayan
Rachel Bendayan,Member of Parliament,2016-01-21,2025-05-27,278,"Rachel  Bendayan, Rachel Bendayan"
Rachel Blaney,Member of Parliament,2016-01-27,2025-02-26,193,"Ms. Rachel Blaney, M.P., RACHEL BLANEY, Rachel  Blaney, Rachel Blaney, Rachel Blayney"
Rachel Burdman,Executive Advisor,2022-06-15,2022-06-15,1,Rachel Burdman
Rachel Chertkoff,Chief of Staff,2024-04-18,2024-04-18,1,Rachel Chertkoff
Rachel Cook,Staffer,2018-06-13,2018-06-13,1,Rachel Cook
Rachel Curran,Director of Policy,2008-11-14,2015-07-20,162,"Rachel Cuarran, Rachel Curran, Rachel Currant, Rachel Curren, rachel Curran"
Rachel Desjardins,Senior Special Assistant,2021-04-26,2023-07-12,4,Rachel Desjardins
Rachel Dolan,Senior Policy Advisor,2021-05-25,2021-05-25,1,Rachel Dolan
Rachel Doran,Senior Special Advisor,2017-02-23,2021-07-14,93,Rachel Doran
Rachel E. Samson,Director,2012-05-02,2012-05-02,1,Rachel E. Samson
Rachel Feeney,Policy Advisor,2020-02-20,2020-02-20,1,Rachel Feeney
Rachel Geddy,Manager,2018-10-19,2024-04-02,5,Rachel Geddy
Rachel Gordon,"Policy Advisor, Digital Media and Distribution",2024-08-09,2024-08-09,1,Rachel Gordon
Rachel Grasham,Senior Director,2012-04-23,2022-02-01,7,Rachel Grasham
Rachel Guthrie,"Vice President, ESG Integration",2024-12-12,2024-12-12,1,Rachel Guthrie
Rachel Hurdle,Executive Assistant,2020-06-08,2020-06-08,1,Rachel Hurdle
Rachel Kish,Assistant,2024-03-19,2024-03-19,3,"Rachel  Kish, Rachel Kish"
Rachel Lacrampe,"Program Officer, Forced Displacement, Middle East and Eastern Europe",2024-10-07,2024-10-07,1,Rachel Lacrampe
Rachel Lawless,Director,2024-12-18,2024-12-18,1,Rachel Lawless
Rachel Marleau,Director,2020-02-26,2024-04-17,8,"Rachel  Marleau, Rachel Marleau"
Rachel Mccormick,Director General,2018-06-20,2025-03-10,34,"Rachel  McCormick, Rachel McCormick"
Rachel Miller,Legislative Assistant,2020-11-25,2021-02-11,2,Rachel Miller
Rachel Odai,Senior Policy Analyst,2021-03-19,2021-03-19,1,Rachel Odai
Rachel Ohnona,Advisor,2025-02-04,2025-02-04,1,Rachel Ohnona
Rachel Parkin,Senior Director,2022-02-11,2023-09-19,9,Rachel Parkin
Rachel Patterson,Assistant,2014-04-08,2014-04-09,2,Rachel Patterson
Rachel Pereira,Special Assistant to the Minister,2016-02-23,2016-02-23,3,Rachel Pereira
Rachel Porteous,Chief Information Officer,2021-03-22,2023-06-26,5,"Rachel  Porteous, Rachel Porteous"
Rachel Quick,"Policy Analyst, Infrastructure and Communities",2020-10-29,2020-10-29,1,Rachel Quick
Rachel Rappaport,Parliamentary Secretary,2014-10-02,2020-11-10,9,Rachel Rappaport
Rachel Rodin,Acting Director General and Senior Medical Advisor to Vice President,2021-02-04,2021-02-04,1,Rachel Rodin
Rachel Salamena,Senior Policy Analyst,2022-02-18,2022-10-18,3,"Rachel  Salamena , Rachel Salamena"
Rachel Soares,Trade Commissioner,2019-10-23,2019-10-23,1,Rachel Soares
Rachel Sutton,Policy Advisor,2022-12-21,2023-12-09,35,"Rachel Sutton, Rachel Sutton "
Rachel Vallender,"Director, Domestic Engagement and Partnerships, CDB COP15",2022-08-24,2022-10-04,2,Rachel Vallender
Rachel Watterson,Advisor,2023-11-17,2023-11-17,1,Rachel Watterson
Rachel Yantha,Constituency Assistant,2024-12-10,2025-02-27,2,Rachel Yantha
