CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Harjit Sajjan,"Minister, International Development",2021-12-01,2021-12-01,1,Sajjan Harjit
S. Knight,Deputy Secretary to Cabinet,2008-09-03,2008-09-03,2,S. Knight
S. Verheul,Chief Agricultural Negotiator,2008-07-21,2008-07-21,1,S. Verheul
Saad Iqbal,Economist,2021-05-12,2021-05-12,1,Saad Iqbal
Saad Rahali,Director,2021-03-12,2021-03-12,1,Saad Rahali
Saajida Deen,Director General,2024-11-25,2024-12-10,3,Saajida Deen
Saaka Minimaana,Director,2017-08-18,2017-08-18,1,Saaka Minimaana
Saba Khwaja,Executive Director,2020-11-09,2024-08-19,12,"Saba Khwaja, saba khwaja"
Sabah Khan,Constituency Assistant,2021-03-23,2021-03-23,1,Sabah Khan
Sabah Nizar Rashid Al Rafie,"Ambassador, Hashemite Kingdom of Jordan",2024-11-05,2024-11-05,1,Sabah Nizar Rashid Al Rafie
Sebastien Labelle,Director General,2016-12-01,2025-05-22,110,"Sabastien Labelle, Sebastien Labelle, Sébastien Labelle"
Sabeen Kazmi,Legislative Assistant,2024-10-28,2024-12-02,2,Sabeen Kazmi
Sabi Marwah,Senator,2017-02-01,2023-11-15,40,"Sabi  Marwah, Sabi Marwah, The Honourable Sabi Marwah"
Sabika Zehra,Junior Policy Analyst,2021-02-08,2021-02-08,1,Sabika Zehra
Sabina Postolek,"Chief, Data and Statistical Analysis",2017-05-16,2017-09-21,2,Sabina Postolek
Sabina Sabina Saini,Chief of Staff,2020-03-25,2020-03-25,1,Sabina Sabina Saini
Sabina Saini,Chief of Staff,2015-04-07,2021-08-13,305,"Sabia Saini, Sabina Saini, Sabina Sanai, Sabina saini, Sabine Saini, Sabini Saini, Sabrina Saini, sabina Saini, sabina Santi"
Sabine El-chidiac,Policy Advisor,2013-04-23,2015-07-14,23,"Sabine El-Chidiac, Sabine El_Chidiac"
Sabine Nolke,Ambassador to the Kingdom of the Netherlands,2016-05-23,2016-05-23,1,Sabine Nölke
Sabine Sparwasser,Ambassador of the Republic of Germany to Canada,2022-11-16,2022-11-16,1,Sabine Sparwasser
Sabrina Anzini,"Special Advisor, Legal Affairs and Policy",2008-08-13,2012-01-17,32,"SABRINA ANZINI, Sabrina Anzini, Sarbrina Anzini"
Sabrina Bergeron,Chief of Staff,2019-08-06,2019-08-06,1,Sabrina Bergeron
Sabrina Brenot,"Director, Constituency",2012-04-19,2015-04-17,3,Sabrina Brenot
Sabrina Gilbert-girard,Junior Policy Analyst,2020-09-24,2020-09-24,1,Sabrina Gilbert-Girard
Sabrina Kabir,Senior Policy Advisor,2022-12-02,2022-12-02,1,Sabrina Kabir
Sabrina Karnouk,Head of Regulatory Development,2023-05-10,2023-11-06,2,"Sabrina  Karnouk , Sabrina Karnouk"
Sabrina Kim,Director of Communications,2018-05-23,2024-03-05,31,Sabrina Kim
Sabrina Kooistra,"Manager, Outreach",2023-08-10,2023-08-10,1,Sabrina Kooistra
Sabrina Lachance,Policy Analyst,2018-05-10,2018-09-26,3,Sabrina Lachance
Sabrina Mayer,Executive Assistant,2022-10-14,2022-10-14,2,Sabrina Mayer
Sabrina Meyer,Advisor,2023-06-06,2023-06-06,3,Sabrina Meyer
