CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
T Ramasamy,"Executive Director, Gastroenterology Infection and Viral Diseases",2024-08-09,2024-08-09,1,T Ramasamy
T Swerdfager,Assistant Deputy Minister,2012-08-07,2012-08-07,1,T Swerdfager
T. Kendal Hembroff,Director of Policy,2018-02-07,2018-02-07,1,T. Kendal Hembroff
T. Mckay,Minister's Staff,2008-07-21,2008-07-21,1,T. McKay
T. Peatt,Minister's Staff,2008-07-21,2008-07-21,1,T. Peatt
Taayo Simmonds,Policy Advisor,2013-09-19,2015-03-05,12,Taayo Simmonds
Tab Borden,Deputy Director,2014-07-10,2014-07-10,1,Tab Borden
Tabitha Bernard,Parliamentary Assistant,2011-11-15,2015-02-26,7,Tabitha Bernard
Tabitha Takeda,"Chief, Policy and Program Development",2021-05-11,2021-08-06,5,"Tabitha Takeda, Tabitha Takedo"
Tafu Seguchi,Program Technical Support Officer,2024-01-26,2024-01-26,1,Tafu Seguchi
Taguchi Joel,"Director, Communications",2013-03-02,2013-03-02,1,Taguchi Joel
Tahara Ochora Briggs,Constituency Assistant,2022-11-21,2022-11-21,1,Tahara Ochora Briggs
Taheer Mohamed,Manager,2022-09-09,2022-09-09,1,Taheer Mohamed
Taher Assem,Policy Analyst,2024-08-13,2024-08-13,1,Taher Assem
Tahiha Bakht,"Senior Manager, Operations",2018-12-12,2018-12-12,1,Tahiha Bakht
Tahiya Bakht,Senior Advisor,2016-09-20,2022-04-11,177,"Tahiya  Bakht, Tahiya Bahkt, Tahiya Bakht, Tahiya Bakta"
Tahiya Bhakt,Senior Policy Advisor,2020-07-27,2020-07-31,2,Tahiya Bhakt
Tahyia Bakht,Regional Advisor,2017-02-23,2017-02-23,1,Tahyia Bakht
Taki Sara Ntakis,"Directorate of Policy and Priorities, Infrastructure Canada",2009-02-12,2009-02-12,1,Taki Sara Ntakis
Taki Sarakis,"Assistant Deputy Minister, Policy and Communications",2012-09-07,2012-09-07,2,"Taki Sarakis, Taki Saratakis"
Taki Sarantakis,President,2009-01-16,2025-03-05,80,Taki Sarantakis
Tako Van Popta,Member of Parliament,2020-01-30,2025-03-05,220,"Taako Von Popta, Tak Van Popta, Tako  Van Popta, Tako Van Popta, Tako van Popta, Tako van Pota"
Tal Elharrar,Senior Director,2023-05-17,2023-05-17,1,Tal Elharrar
Tala Barmada,Community Engagement Officer,2024-06-03,2024-06-03,1,Tala Barmada
Talal Dakalbab,Assistant Deputy Minister,2021-03-22,2025-05-05,53,"Talal Dakalbab, Talal Dekalbab, Talal Dkalbab"
Talal Kairouz,Project Finance Manager,2020-04-06,2021-11-05,3,"Talal Kairouz, Talal Lairouz"
Taleeb Noormohamed,Member of Parliament,2021-11-05,2025-02-26,240,"Taleeb  Noormohamed, Taleeb Noormohamed"
Taleesha Thorogood,Stakeholder Relations Assistant,2016-08-15,2017-07-18,13,Taleesha Thorogood
Tamaini Snaith,Executive Director,2012-10-03,2023-10-23,3,Tamaini Snaith
Tamara Allard,District Director,2020-08-11,2021-02-19,2,Tamara Allard
Tamara Brown,"Manager, Strategic Planning and Engagement",2023-10-03,2023-10-03,1,Tamara Brown
Tamara Demos,"Managing Director, Private Pension Plans Division",2018-03-19,2022-06-08,6,"Tamara DeMos, Tamara Demos"
Tamara Fast,Senior Implementation Officer,2020-02-12,2023-12-11,13,Tamara Fast
Tamara Figol,"Senior International Development Officer, Inter-American Program",2017-03-14,2017-03-14,1,Tamara Figol
Tamara Gomes,Assistant Chief of Staff,2022-08-22,2022-08-22,1,Tamara Gomes
Tamara Jansen,Member of Parliament,2019-11-20,2021-07-21,51,"Tamara Jansen, Tamara Janssen, Tamara Jensen"
Tamara Kane,"Manager, Prairie Federal Council",2021-09-27,2021-09-27,1,Tamara Kane
Tamara Kronis,Member of Parliament,2025-05-22,2025-05-30,4,"Tamara Kronis, Tamra  Kronis"
Tamara Krygier-baum,Senior Investment Analyst,2023-06-29,2024-12-11,4,Tamara Krygier-Baum
Tamara Mawhinney,Ambassador,2018-07-30,2024-12-10,4,Tamara Mawhinney
Tamara Mckee,Executive Assistant,2025-05-06,2025-05-06,1,Tamara McKee
Tamara Ramsey,"Executive Director, PDD",2024-09-25,2024-09-25,1,Tamara Ramsey
Tamara Rudge,Director General,2009-09-30,2025-05-14,97,"Tamara  Rudge, Tamara Hudge, Tamara Rudge, Tamara Rugde, Tamera Rudge, tamara rudge"
Tamara Serjak,Lead Project Manager,2018-06-25,2018-06-25,1,Tamara Serjak
Tamara Shaikho,Analyst,2022-11-25,2025-01-23,2,Tamara Shaikho
Tamara Sone,Senior Policy Analyst,2025-04-04,2025-04-04,1,Tamara Sone
Tamara Sorger,Deputy Director,2024-09-25,2024-09-25,1,Tamara Sorger
Tamara Young,Policy Analyst,2016-09-27,2022-11-24,6,Tamara Young
Tamer Abdalla,Policy Advisor,2016-02-23,2017-12-19,28,"Tamar Abdallah, Tamer Abdalla, Tamer Abdallah"
Tamer Mansy,"First Secretary, Development",2018-02-15,2018-02-15,1,Tamer Mansy
Tammy Belanger,Senior Assistant Deputy Minister,2020-11-03,2023-11-02,8,"Tammy  Bélanger , Tammy Belanger, Tammy Bélanger"
Tammy Bell,Executive Director,2020-01-28,2020-07-07,2,Tammy Bell
Tammy Branch,Assistant Commissioner,2023-06-07,2025-02-03,4,"Tammy  Branch, Tammy  Branch , Tammy Branch"
Tammy Clifford,Acting President,2019-06-05,2025-05-30,41,Tammy Clifford
Tammy Huston,Senior Account Manager,2020-08-12,2020-08-12,1,Tammy Huston
Tammy Labelle,Assistant Deputy Minister,2016-09-28,2019-07-30,7,Tammy Labelle
Tammy O'grady,Senior Personal Advisor to the CIO of Canada,2023-11-27,2023-11-27,1,Tammy O'Grady 
Tammy Paul,Chief of Staff,2021-02-26,2022-06-13,3,Tammy Paul
Tammy Sale,Legislative Assistant,2014-10-08,2014-11-19,2,Tammy Sale
Tammy Schulz,Director General,2011-05-18,2025-03-05,23,Tammy Schulz
Tammy Simpson,Director,2018-07-26,2018-07-26,1,Tammy Simpson
