CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Uchida Tatsukuni,"Consul General, Calgary for Japan",2021-07-12,2021-07-12,1,Uchida Tatsukuni
Uday Sequeira,Deputy Director,2021-09-17,2021-10-05,2,Uday Sequeira
Udita Sameul,"Deputy Director, Operations",2024-02-20,2024-02-20,1,Udita Sameul
Udita Samuel,"Regional Advisor, Ontario",2020-08-17,2024-08-21,58,"Udita  Samuel, Udita  Samuel , Udita Samuel, Udita Samuel "
Udita Samuels,"Deputy Director, Operations",2024-05-21,2024-05-21,1,Udita Samuels
Ugo Therien,Director,2016-03-11,2025-01-10,5,Ugo Therien
Ujjal Dosanjh,Member of Parliament,2010-07-15,2011-03-03,42,"Hon. Ujjal Dosanjh, The Hon. Ujjal Dosanjh, Ujjal Dosanjh, Ujjal Dossanjh"
Umar Faruqui,Senior Policy Advisor,2023-10-31,2023-10-31,1,Umar Faruqui
Umarie-france Lalonde,Member of Parliament,2020-02-11,2020-02-11,1,ùmarie-France Lalonde
Umer Farooq Farooq,Policy Analyst,2024-04-09,2024-04-09,1,Umer Farooq  Farooq 
Umit Kiziltan,Director General,2014-04-23,2017-09-21,5,Umit Kiziltan
Unknow Unknown,Program Officer,2025-02-19,2025-02-19,1,Unknow Unknown
Unknown Unknown,Unknown,2025-02-14,2025-02-14,1,Unknown Unknown
Unnati Vasavada,Manager,2023-03-09,2023-03-09,1,Unnati Vasavada
Urmi Ray,Program Officer,2023-04-24,2023-04-24,1,Urmi  Ray 
Ursula Beddoes,"Manager, Lands Tenure",2012-01-17,2013-01-15,3,Ursula Beddoes
Ursula Gobel,Associate Vice President,2012-02-22,2023-11-29,37,"Ursula Gobel, Ursula Goebel"
Ursula Menke,Commissioner,2008-10-28,2013-05-14,52,"URSULA MENKE, Ursula Menke, Ursula Menkes, Ursule Menke, Urusla Menke"
Ursula Polack,Senior Advisor,2025-05-28,2025-05-28,1,Ursula Polack
Urvashi Dhawan-biswal,Executive Director,2013-06-06,2023-09-14,3,Urvashi Dhawan-Biswal
Usha Mulukutla,Environment Technical Specialist,2020-08-31,2020-08-31,1,Usha Mulukutla
Ute Holweger,"Senior Advisor, Water Strategies",2023-06-06,2025-06-10,8,Ute Holweger
Uthman Lebbe Mohammed Jauhar,"High Commissioner, Democratic Socialist Republic of Sri Lanka",2024-11-05,2024-11-05,1,Uthman Lebbe Mohammed Jauhar
Uttara Chauhan,Director General,2023-09-28,2023-10-03,2,Uttara Chauhan
Uyen Hoang,Chief of Staff,2020-04-07,2020-04-07,1,Uyen Hoang
Uzair Muhammad,Policy Advisor,2023-11-02,2023-11-02,1,Uzair Muhammad
