CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
V. Peter Harder,Senator,2021-03-31,2021-04-06,2,V. Peter Harder
Vadm. Angus Topshee,"Commander, Royal Canadian Navy",2022-05-31,2025-01-21,4,VAdm. Angus Topshee
Vady Nrany,Director General,2022-11-17,2022-11-17,1,Vady Nrany
Vahid Vidah,Policy Advisor,2016-05-31,2016-06-21,4,Vahid Vidah
Val Glazer,"Director, Communications and Issues",2023-04-28,2023-04-28,1,Val Glazer
Valencia Da Silva,Senior Policy Analyst,2010-11-25,2021-03-19,2,"Valencia DaSilva, Valencia da Silva"
Valentin Erikson,Policy Advisor and Case Manager,2013-10-24,2015-04-13,18,Valentin Erikson
Valentina Canales,Trade Commissioner Assistant,2024-09-23,2024-09-23,1,Valentina Canales
Valerie Baillard,"Manager, Land Use and Development Planning",2014-04-11,2014-04-11,1,Valerie Baillard
Valerie Baillargeon,Policy Officer,2024-03-22,2024-03-22,1,Valérie Baillargeon
Valerie Barakat,"Advisor, Industrial Technology",2022-01-27,2025-05-16,13,"Valerie  Barakat, Valerie Barakat, Valérie Barakat"
Valerie Bennett,"Chief, Strategic Partnerships",2024-02-27,2024-02-27,1,Valerie Bennett
Valerie Bouchard,Senior Foreign Policy Officer,2023-02-06,2024-06-26,3,"Valerie Bouchard, Valérie  Bouchard , Valérie Bouchard"
Valerie Bradford,Member of Parliament,2021-10-27,2024-12-12,162,"Valerie  Bradford, Valerie  Bradford , Valerie Bradford, valerie Bradforf, valerie bradford"
Valerie Cicekello,Scheduling Assistant,2010-04-16,2010-04-16,1,Valerie Cicekello
Valerie Cola,"Economist, International Trade and Finance",2025-04-29,2025-04-29,1,Valerie Cola
Valerie Dionne,Legal Counsel,2018-01-18,2018-01-18,1,Valerie Dionne
Valerie Du Plessis,Analyst,2024-07-04,2024-07-15,3,Valerie du Plessis
Valerie Dufour,"Deputy Director, Communications",2014-05-17,2015-01-22,3,Valerie Dufour
Valerie Fogarty,Parliamentary Assistant,2019-12-05,2019-12-05,1,Valerie Fogarty
Valerie Gideon,Deputy Minister,2014-05-12,2025-05-28,82,"Valerie  Gideon , Valerie Gideon"
Valerie Glazer,"Director, Communications and Issues",2017-10-19,2022-08-31,8,"Valerie Glazer, Valérie Glazer"
Valerie Glazier,Director of Communications and Issues Management,2023-07-18,2023-07-18,1,Valerie Glazier
Valerie Gordon,Assistant Deputy Minister,2019-08-28,2019-08-28,1,Valerie Gordon
Valerie Gosselin,"Manager, Intergovernmental Cooperation",2021-10-25,2021-10-25,1,Valerie Gosselin
Valerie Hopper,Senior Advisor,2022-11-24,2023-11-29,4,"Valerie Hopper, Valérie Hopper"
Valerie Hughes,Assistant Deputy Minister and Counsel,2009-06-22,2009-06-22,1,Valerie Hughes
Valerie Labelle,Policy Analyst,2023-04-27,2023-12-12,2,"Valerie Labelle, Valérie  Labelle "
