CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
David Angus,Senator,2011-02-07,2011-11-02,2,"W. David Angus, w. David Angus"
W Easter,Member of Parliament,2015-12-21,2015-12-21,1,w Easter
W. Davern Jones,Senior Associate Deputy Minister,2016-10-19,2016-10-19,1,W. (Bill) Davern Jones
W. Jones,Senior Associate Deputy Minister,2016-11-14,2017-01-26,2,W. (Bill) Jones
W.j. Kelly,Director General,2009-06-14,2009-06-14,1,W.J. (Bill) Kelly
Waddell Erik,"Director, Communications",2011-01-25,2011-01-25,1,Waddell Erik
Wade Aucoin,"Acting Vice President, Policy, Programs and Communication",2024-05-23,2024-07-10,3,"Wade  AuCoin, Wade AuCoin, Wade Aucoin"
Wade Coulter,Industrial Technology Advisor,2017-02-28,2019-03-07,7,"WADE COULTER, Wade Coulter"
Wade Daley,Chief Technology Officer,2013-09-13,2016-03-16,6,Wade Daley
Wade Mcmahon,Principal Analyst,2017-01-27,2017-01-27,1,Wade McMahon
Wade Myall,Committee Coordinator,2013-09-13,2024-10-17,2,Wade Myall
Wade Spurrel,Director General,2014-07-07,2014-07-07,1,Wade Spurrel
Wade Spurrell,Assistant Commissioner,2015-11-30,2015-11-30,1,Wade Spurrell
Wafa Raslan,Trade Commissioner,2019-02-15,2019-02-15,1,Wafa Raslan
Wahiba Rachedi,Team Leader and Policy Analyst,2022-10-06,2022-10-06,2,Wahiba Rachedi
Wahid Abdullah,Specialist,2022-03-15,2022-03-15,1,Wahid Abdullah
Wai Cooper,Member of Parliament,2013-08-25,2013-08-25,1,Wai Cooper
Wai Young,Member of Parliament,2011-09-21,2015-09-14,119,"WAi Young, Wae Young, Wai Yougn, Wai Young, Wei Young, wai Young"
Waleed Iliyan,Senior Policy Analyst,2018-09-27,2018-09-27,1,Waleed Iliyan
Waleed Saleem,Senior Regional Advisor,2022-12-01,2024-08-02,13,"Waleed Saleem, waleed saleem"
Walid Ben Tamarzizt,Manager,2024-09-27,2024-09-27,1,Walid Ben Tamarzizt
Wallace Fowler,Director,2023-07-06,2025-02-28,4,"Wallace  Fowler, Wallace  Fowler , Wallace Fowler"
Wallace Ip,First Secretary,2025-02-12,2025-05-21,3,"Wallace Ip, Wallace Ip "
Wallace Lauzon,Division Chief,2016-11-22,2017-11-21,3,Wallace Lauzon
Wallace Mclean,Policy Advisor,2016-10-27,2024-08-20,17,"Wallace MacLean, Wallace McLean, wallace mclean"
Wallen Chang-hong,"Manager, Sport Programs",2016-03-03,2018-11-20,3,Wallen Chang-Hong
Wally Boxhill,Director,2015-04-20,2015-05-04,2,Wally Boxhill
Walt Natynczyk,Deputy Minister,2014-04-17,2016-01-21,4,Walt Natynczyk
Walter Engert,"Senior Director, Research Division",2013-11-05,2013-11-05,1,Walter Engert
Walter Jull,Commanding Officer,2022-04-26,2022-04-26,1,Walter Jull
Walter Natyncyk,CDS,2011-06-01,2011-06-01,1,Walter Natyncyk
Walter Natynczek,Deputy Minister,2015-07-28,2015-07-28,1,Walter Natynczek
Walter Natynczyk,President,2008-12-09,2020-12-08,49,"WALTER NATYNCZYK, Walter Natynczyk"
Walter Norquay,Brigadier General,2023-11-16,2025-04-25,6,"Walter  Norquay, Walter Norquay"
Walter Semianiw,Chief of Military Personnel,2009-05-06,2009-12-03,2,Walter Semianiw
Walter Sims,"Director, EBCA",2014-01-28,2014-01-28,1,Walter Sims
Walter Vidaurre Calderon,Staff,2023-09-22,2023-09-22,1,Walter Vidaurre  Calderon
Wanda Bernard,Senator,2017-02-07,2023-05-02,11,"Wanda  Bernard, Wanda Bernard"
Wanda Bernard Thomas,Senator,2020-02-04,2020-02-04,1,Wanda Bernard Thomas
Wanda Elaine Thomas Bernard,Senator,2017-04-04,2024-03-28,6,"Hon. Wanda Elaine Thomas Bernard, Wanda Elaine Thomas Bernard"
Wanda Sommerfeldt,Constituency Assistant,2015-03-03,2015-03-03,1,Wanda Sommerfeldt
Wanda Thomas,Senator,2019-04-30,2020-02-04,4,Wanda Thomas
Wanda Thomas Bernard,Senator,2017-02-08,2023-11-15,14,"Wanda  Thomas Bernard, Wanda Thomas Bernard, Wanda Thomas-Bernard, wanda Thomas Bernard"
Wanda Wiseman,Senior Policy and Economic Analyst,2021-04-14,2021-04-14,1,Wanda Wiseman
Ward Elcock,"Coordinator, 2010 Olympics and G8 Security",2008-08-12,2009-10-28,2,Ward Elcock
Ward Robinson,Program Manager,2018-03-02,2022-02-08,3,Ward Robinson
Warner Miles,Section Head,2015-11-10,2015-11-10,1,Warner Miles
Warren Caragata,"Senior Analyst, West Bank Program",2011-10-14,2012-01-30,2,Warren Caragata
Warren Goodlet,Executive Director,2010-09-27,2022-02-17,9,Warren Goodlet
Warren Gould,Deputy Director,2017-02-24,2025-01-29,25,"Warren  Gould, Warren Gould"
Warren Light,Expert Advisor,2008-08-14,2023-06-02,16,Warren Light
Warren Maguire,Member of Parliament,2021-02-24,2021-02-24,1,Warren Maguire
Warren Steinley,Member of Parliament,2020-01-27,2025-02-25,372,"Warren  Steinley, Warren  Steinley , Warren Steinely, Warren Steinley, Warren Steinly, warren Steinley"
Wassim Bouanani,Parliamentary Assistant,2014-12-10,2015-06-03,2,Wassim Bouanani
Wassim Khoury,National Manager,2021-06-17,2021-06-17,1,Wassim Khoury
Watts Regan,Director of Strategic Planning,2011-09-09,2011-09-09,1,Watts Regan
Wayne Beggs,Senior Advisor,2021-08-04,2021-08-04,1,Wayne Beggs
Wayne Donald Eyre,"Chief of Staff, Defence",2022-09-26,2022-09-26,1,Wayne Donald Eyre
Wayne Easter,Member of Parliament,2008-07-10,2021-08-09,1199,"Hon Wayne Easter, Hon Wayne Easter PC, Hon.  Wayne Easter, Hon. Wayne Easter, Hon. Wayne Easter PC, Hon. Wayne Easter, P.C., M.P., Honourable Wayne Easter, The Hon. Wayne Easter, The Hon. Wayne Easter, M.P., The Hon. Wayne Easter, P.C., M.P., The Honourable Wayne Easter, The Honourable Wayne Easter, M.P., The Honourable Wayne Easter, P.C., The Honourable Wayne Easter, P.C., M.P., The Honourable Wayne Easter, P.C., M.P.,, WAYNE EASTER, Wayne Easater, Wayne Easte, Wayne Easter, Wayne Ester, Wayne Waster, Wayner Easter, wayne Easter, wayne Easter MP, wayne easter"
Wayne Eyre,"Chief of Staff, Defence",2020-01-07,2024-06-17,19,"Wayne  Eyre, Wayne Eyre, Wayne Eyres"
Wayne Foster,Director,2009-02-05,2015-07-28,14,Wayne Foster
Wayne Gratton,"Team Leader, Governmental Affairs",2021-01-26,2025-02-10,2,Wayne Gratton
Wayne Helgason,Policy Advisor,2016-04-20,2016-04-20,1,Wayne Helgason
Wayne Hooper,"Director General, Enterprise Development and Policy",2011-01-25,2011-01-25,1,Wayne Hooper
Wayne Long,Member of Parliament,2015-11-07,2025-05-26,287,"Wayne  Long, Wayne Long"
Wayne Longfield,Member of Parliament,2017-01-30,2017-01-30,1,Wayne Longfield
Wayne M. Robson,Executive Director,2017-02-22,2017-02-22,1,Wayne M. Robson
Wayne Marseden,Member of Parliament,2015-02-12,2015-02-12,1,Wayne Marseden
Wayne Marston,Member of Parliament,2009-12-08,2015-07-14,89,"WAYNE MARSTON, Wayne L. Marston, Wayne Marsten, Wayne Marston, Wayne Marston, M.P., wayne marston"
Wayne Moore,Director General,2010-12-14,2017-02-09,5,Wayne Moore
Wayne Robson,Executive Director,2015-10-16,2024-05-14,20,Wayne Robson
Wayne Scott,Director of Operations,2008-11-03,2008-11-03,1,Wayne Scott
