CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Xavier Barsalou-duval,Member of Parliament,2016-02-02,2025-04-25,175,"Mr. Xavier Barsalou-Duval, Xavier  Barsalou-Duval, Xavier Barsalou Duval, Xavier Barsalou-Duva, Xavier Barsalou-Duval, Xavier Barsalou-Duval, MP"
Xavier Daignault-simard,Senior Director,2024-06-18,2024-06-18,1,Xavier Daignault-Simard
Xavier Genest,Political Advisor to Mr. Champagne,2021-04-29,2021-04-29,1,Xavier Genest
Xavier Grosmaitre,Science and Higher Education Attaché,2019-05-17,2019-05-17,1,Xavier Grosmaitre
Xavier Rodriguez,Trade Commissioner,2023-01-30,2023-01-30,1,Xavier Rodriguez
Xavier Tregan,Advisor,2018-09-05,2018-09-05,2,"Xavier Tregan, Xavier Trégan"
Xavier Vignola,Member of Parliament,2024-04-17,2024-04-17,1,Xavier Vignola
Xenia Maren Menzies,Junior Policy Analyst,2017-08-31,2017-08-31,1,Xenia Maren Menzies
Xenia Menzies,Junior Policy Analyst,2016-07-08,2016-07-08,1,Xenia Menzies
Xenos Demetrios,Director General,2023-11-10,2023-11-10,1,Xenos Demetrios
Xi Chu,Director General,2024-09-25,2024-10-11,3,Xi Chu
Xiaorong Qiao,Economic Analyst,2022-10-24,2022-10-24,1,Xiaorong Qiao
Ximena Suar,Manager,2021-07-22,2021-07-22,1,Ximena Suar
Xin Gao,Director,2020-01-28,2021-05-11,2,Xin Gao
Xin Pang,Research Scientist,2021-08-06,2021-08-06,1,Xin Pang
Xiong Mai,Program Engineer,2021-02-12,2021-04-15,2,Xiong Mai
