CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Zubair Patel,Chief of Staff,2016-02-03,2021-11-29,107,"Zabair Patel, Zabier Patel, Zubair Patel"
Zac Archambault,Deputy Director,2017-11-28,2021-10-21,2,"Zac Archambault, Zach Archambault"
Zach Dadson,Outreach and Community Relations,2019-05-14,2022-01-12,5,Zach Dadson
Zach Day,Military Assistant to the Minister of National Defence,2018-03-12,2018-03-12,1,Zach Day
Zach Downey,"Director, Parliamentary Affairs",2025-05-15,2025-05-15,1,Zach Downey
Zach Hayes,Policy Advisor,2019-01-22,2019-06-06,3,Zach Hayes
Zach Healey,"Director, Parliamentary Affairs",2011-08-15,2011-08-15,1,Zach Healey
Zach Nixon,"Special Assistant, Regional Affairs",2020-11-10,2022-05-02,5," Zach  Nixon, Zach Nixon"
Zach Parkkai,Director of Parliamentary Affairs and Policy,2023-10-03,2023-10-03,1,Zach Parkkai
Zach Parkkari,"Director, Parliamentary Affairs",2023-10-04,2024-09-10,2,Zach Parkkari
Zach Segal,Parliamentary Intern,2012-01-31,2014-12-10,4,Zach Segal
Zach Slawich,Executive Assistant,2024-10-28,2024-10-28,1,Zach Slawich
Zachariah Downey,"Director, Parliamentary Affairs and Internal Trade",2023-03-06,2025-05-06,11,"Zachariah  Downey, Zachariah Downey, zachariah downey"
Zachary Archambault,Director,2013-09-11,2025-04-04,26,"Zachary  Archambault, Zachary Archambault, Zachary Armchambault, zachary Archambault, zachary archambault"
Zachary Bensemana,Policy Analyst,2023-12-19,2023-12-19,1,Zachary Bensemana
Zachary Caldwell,Parliamentary Affairs and Issues Advisor,2018-10-02,2022-03-29,3,Zachary Caldwell
Zachary Campbell,Trade Commissioner,2024-06-19,2024-06-19,1,Zachary Campbell
Zachary Cocek,Parliamentary Assistant,2017-05-29,2018-05-01,4,Zachary Cocek
Zachary Dayler,Director,2017-11-29,2018-02-15,4,Zachary Dayler
Zachary Euler,Analyst,2024-06-06,2024-06-06,1,Zachary Euler
Zachary Fentiman,Senior Tax Policy Officer,2019-04-24,2024-08-15,11,Zachary Fentiman
Zachary Healy,Policy Advisor,2009-02-11,2009-11-24,4,Zachary Healy
Zachary Laframboise,Biologist,2022-11-09,2022-11-09,1,Zachary Laframboise
Zachary Nichols,Parliamentary Secretary's Assistant,2011-12-19,2011-12-19,1,Zachary Nichols
Zachary Nixon,Senior Advisor,2019-04-01,2025-05-23,343,"Zachary  Nixon, Zachary  Nixon , Zachary Nixon, zachary nixon"
Zachary Pakkari,Legislative Assistant,2022-12-09,2022-12-09,1,Zachary  Pakkari
Zachary Paquin-dalaire,Policy Advisor,2024-01-31,2024-01-31,1,Zachary Paquin-Dalaire
Zachary Parkkari,Director of Policy,2022-02-09,2025-05-15,20,"Zachary  Parkkari, Zachary  Parkkari , Zachary Parkkari"
Zachary Robichaud,Special Assistant,2023-02-08,2023-02-08,1,Zachary  Robichaud
Zachary Rosentzveig,Senior Policy Advisor,2024-02-12,2024-11-08,3,Zachary Rosentzveig
Zachary Shantz,Analyst | Economist,2021-12-16,2025-05-14,4,"Zachary  Shantz, Zachary Schantz, Zachary Shantz"
Zachary Segal,Parliamentary Intern,2012-02-15,2012-02-15,2,Zachary Segal
Zachary Skeith,"Senior Analyst, Cyber and International Cooperation",2023-11-14,2023-11-14,1,Zachary  Skeith
Zackary Slawich,Legislative Assistant,2023-05-29,2024-02-07,5,"Zachary Slawich, Zackary Slawich, Zackery Slawich"
Zachary Sykes,Legislative Assistant,2018-11-27,2018-11-27,1,Zachary Sykes
Zachary Torok,"Regional Advisor, Ontario",2022-05-09,2023-03-09,7,Zachary Torok
Zachary Vance,Assistant to Member of Parliament,2010-09-21,2010-09-21,1,Zachary Vance
Zachery Nichols,Assistant to the Parliamentary Secretary,2012-05-08,2012-05-08,1,Zachery Nichols
Zack Slawich,"Assistant to the Parliamentary Secretary, Canadian Heritage",2023-10-18,2024-02-28,3,Zack Slawich
Zackery Nixon,Senior Policy Advisor,2022-11-21,2022-11-21,1,Zackery Nixon 
Zahir Antia,Principal Analyst,2016-05-04,2016-11-02,3,Zahir Antia
Zahira Sookhdeo,Executive Director and General Counsel,2023-05-25,2023-09-14,5,Zahira Sookhdeo
Zahra Boodhawani,Deputy Director,2024-06-18,2024-06-18,2,Zahra Boodhawani
Zahra Haji,Analyst,2020-08-20,2020-08-20,1,Zahra Haji
Zahra Popatia,"Consultant, Nutrition Strategy",2017-04-27,2017-04-27,1,Zahra Popatia
Zaib Shaikh,Consul General,2019-03-14,2025-03-21,5,Zaib Shaikh
Zaina Sovani,"Assistant Deputy Minister, Chief Information Officer",2018-05-15,2021-05-12,11,Zaina Sovani
Zak Rosentzveig,Senior Policy Officer,2024-01-11,2024-01-11,1,Zak Rosentzveig
Zaldy Patron,Consul General,2021-08-30,2021-08-30,1,Zaldy Patron
Zara Rabinovitch,Policy Advisor,2016-05-18,2020-11-19,267,"ZARA RABINOVITCH, Zara RABINOVITCH, Zara Rabinovic, Zara Rabinovich, Zara Rabinovitch, Zara rabinovich, zara Rabinovitch"
Zara Robinovich,Senior Advisor,2020-01-14,2020-01-14,1,Zara Robinovich
Zarina Intwala,Director,2024-10-09,2024-10-24,3,Zarina Intwala
Zed Jordan,Senior Assistant Secretary to the Cabinet,2024-11-20,2024-11-20,1,Zed Jordan
Zehra Murtaza,Senior Regulatory Affairs Officer,2021-01-14,2021-01-14,1,Zehra Murtaza
Zekarias Kedida,Project Engineer,2018-08-14,2020-09-04,2,"Zekarias Kedida, Zekerias Kedida"
Zelmer Mark,Assistant Superintendent,2012-11-20,2014-12-11,3,Zelmer Mark
Zemmou Faitha,Executive Assistant,2022-09-27,2022-09-27,1,Zemmou Faitha
Zena Wright,Environment Assessment Analyst,2013-11-29,2013-11-29,1,Zena Wright
Zenia Miner,Staffer to Senator,2017-05-08,2019-04-25,8,Zenia Miner
Zepporah Toh,Senior Director,2022-09-08,2022-09-08,1,Zepporah Toh
Zhang Jessica,Executive Coordinator,2024-04-18,2024-04-18,1,Zhang Jessica
Zheng Qi,Officer,2021-07-22,2023-06-19,2,Zheng Qi
Zhenglin Liu,Parliamentary Intern,2021-03-31,2021-03-31,1,Zhenglin Liu
Zi Lin Qian,Associate Analyst | Economist,2024-11-21,2024-11-21,3,Zi Lin Qian
Zia Proulx,Director General,2020-12-14,2024-06-05,4,Zia Proulx
Ziad Aboultaif,Member of Parliament,2015-12-01,2025-06-10,423,"Zad Aboultaif, Zaid Aboultaif, Zaid Aboultailf , Zaid Aboutaid, Zaid Aboutaif, Zaid Alboultaif, Zaid Alboutaif, Ziad Abdoultaif, Ziad Aboulataif, Ziad Aboulatif, Ziad Aboultaid, Ziad Aboultaif, Ziad Aboultarf, Ziad Aboultiaf, Ziad Aboultiaff, Ziad Aboultif, Ziad Aboutaif, Ziad Aboutlaif, Ziad Abultaif, Ziad Abultif, Ziad Alboutaif, Ziad Aloutaif, Zlad Aboultaif"
Ziad Shadid,Director General,2021-01-29,2021-01-29,1,Ziad Shadid
Ziana Ahmed,Economist,2015-02-18,2015-02-18,1,Ziana Ahmed
Zifan Wu,Claims Verification Officer,2024-04-11,2024-04-11,1,Zifan Wu
Zimmer Bob,Member of Parliament,2013-11-22,2013-11-22,1,Zimmer Bob
Zita Astravas,Chief of Staff,2016-02-24,2023-06-05,67,"Zita ASTRAVAS, Zita Astravaas, Zita Astravas, Zita Astrvas, zita astravas"
Zita Astravas Astravas,Chief of Staff,2020-11-30,2020-11-30,1,Zita Astravas Astravas
Zithe Mabungu,Executive Assistant,2020-11-12,2020-11-12,1,Zithe Mabungu
Zivana Pavic,Senior Director,2016-07-27,2016-07-27,1,Zivana Pavic
Ziyad Rahme,"Vice President, Investments",2018-08-03,2018-08-03,1,Ziyad Rahme
Zoe Addington,Director of Policy,2008-07-03,2009-08-27,109,Zoe Addington
Zoe Beaulac,Senior Program Officer,2023-01-11,2025-03-10,11,"Zoe  Beaulac, Zoe Beaulac"
Zoe Caron,Chief of Staff,2016-01-19,2021-06-30,289,"ZOE CARON, Zoe Caon, Zoe Caron, Zoe Carpn, Zoe Carron, Zoé Caron, Zoë Caron, zoe Caron, zoe caron"
Zoe Gillespie,Senior Advisor,2023-10-13,2023-10-13,1,Zoe Gillespie
Zoe Gillipsie,Senior Advisor,2022-11-16,2022-11-16,1,Zoe Gillipsie
Zoe Hawa,Deputy Director,2017-11-22,2025-01-28,8,Zoe Hawa
Zoe Kahn,Director General,2018-11-02,2023-10-18,10,"Zoe  Khan, Zoe Kahn, Zoe Khan"
Zoe Marks,Director,2020-11-17,2024-12-11,23,Zoe Marks
Zoe Poirier Stephen,Parliamentary Assistant,2013-06-11,2013-06-11,1,Zoe Poirier Stephen
Zoe Poirier Stephens,Staffer,2013-05-07,2013-05-07,1,Zoe Poirier Stephens
Zoe Romeo,Legislative Assistant,2021-10-25,2025-01-09,39,"Zoe  Romeo, Zoe Romeo"
Zoe Romero,Parliamentary Assistant,2022-12-13,2023-10-04,2,Zoe Romero
Zoe Tupling,Policy Advisor,2022-12-13,2022-12-13,1,Zoe Tupling
Zoiey Cobb,"Director, Environmental Policy Analysis and Evaluation",2020-09-18,2024-08-01,15,"Zoeie cobb, Zoeiy Cobb, Zoiey  Cobb, Zoiey Cobb"
Zoeyetta Saliga-renaud,"Executive Assistant, Maritime Policy",2017-02-21,2017-02-21,1,Zoeyetta Saliga-Renaud
Zofia Taranu,Research Scientist,2021-06-22,2021-11-26,3,"Zofia Taranu, zofia Taranu"
Zohaib Khan,Trade Commissioner,2019-10-15,2019-10-21,2,Zohaib Khan
Zolinsky Doug,Director General,2022-02-24,2022-02-24,1,Zolinsky  Doug
Zoltan Tompa,"Director, Clean Technology Innovation and Adoption",2016-12-09,2016-12-09,1,Zoltan Tompa
Zorn Pink,Manager,2025-02-19,2025-02-19,1,Zorn Pink
Zoyer Claden,Senior Political Staff,2021-04-15,2022-12-08,5,"Zoyer Claden, Zoyer Clayden"
Zoyer Clayden Tabobondung,"Special Regional Assistant, Ontario and the Atlantic",2020-10-28,2022-09-06,13,"Zoyer Clayden Tabobondung, Zoyer Claydon Tabobondung, Zoyer ClaydonTabobondung"
Zoyer Clayden-tabobondung,Special Assistant,2023-04-25,2023-04-25,1,Zoyer Clayden-Tabobondung
Zoyer Claydentabobondug,Policy Advisor,2023-03-22,2023-03-22,2,"Zoyer Clayden Tabondug, Zoyer ClaydenTabobondug"
Zoyer Claydentabobondung,Ontario Desk,2020-10-06,2023-05-25,32,"Zoyer  ClaydenTabobondung, Zoyer  Claydentabobondung, Zoyer ClaydenTabobondung, Zoyer Claydentabobondung, zoyer  ClaydenTabobondung, zoyer ClaydenTabobondung"
Zoyer Claydentobobondung,"Assistant, Ontario Region",2021-07-07,2021-07-19,2,Zoyer Claydentobobondung
Zoyer Clayton-tabobondung,Senior Political Staff,2023-01-31,2023-01-31,1,Zoyer Clayton-Tabobondung
Zoyer Tabobondung,Senior Policy Advisor,2020-12-17,2020-12-17,1,Zoyer Tabobondung
Zuhur Daud,"Counsellor, Agriculture",2024-12-16,2025-01-17,2,Zuhur Daud
Zulfi Sadeque,Deputy Director,2014-04-24,2014-10-30,2,Zulfi Sadeque
Zuzanna Kochanowicz,Research and Analysis Officer,2023-12-06,2023-12-06,1,Zuzanna Kochanowicz
Zylstra Nik,"Policy Advisor, Office of the Leader of the Opposition",2018-03-28,2018-03-28,1,Zylstra Nik
