dpoh_id,comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
3735234123a042ab,538648,2022-07-05,Dr. Elton Toma ,Senior Engineer,1,Elton Toma,Senior Engineer,Elton Toma,Senior Engineer,Elton Toma,Senior Engineer
9639c79fdc244f58,516126,2021-11-22,Dr. Eric  Fournier ,"Director General, Innovation",1,Eric Fournier,"Director General, Innovation",Eric Fournier,Director General,Eric Fournier,Director General
5245bfe2508d41c3,439616,2018-10-23,Eaine Hood,Director General,1,Eaine Hood,Director General,Eaine Hood,Director General,Elaine Hood,Director
04ffc680541d43e1,567140,2023-05-30,eammon horan-lunney,Chief of Staff,1,Eammon Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,575460,2023-08-23,eammon horan-lunney,Chief of Staff,1,Eammon Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,573460,2023-07-24,Eammonn Horan-Lunney,Chief of Staff,1,Eammonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,379672,2016-05-31,Eamon Horan-Lunney,Chief of Staff,1,Eamon Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
f7759565979c4116,533297,2022-06-02,Eamon McGuinty,Policy Advisor,1,Eamon Mcguinty,Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
04ffc680541d43e1,547820,2022-10-12,eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,543777,2022-09-28,Eamonn  Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,567928,2023-05-30,Eamonn  Horan-Lunney ,Chief of Staff,1,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,373611,2016-03-24,Eamonn Horan-Lunney,Policy Advisor,1,Eamonn Horan-lunney,Policy Advisor,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,379099,2016-05-11,Eamonn Horan-Lunney,Member's Assistant,1,Eamonn Horan-lunney,Member's Assistant,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,379102,2016-05-13,Eamonn Horan-Lunney,Member's Assistant,1,Eamonn Horan-lunney,Member's Assistant,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,378320,2016-05-17,Eamonn Horan-Lunney,Advisor to Member of Parliament,1,Eamonn Horan-lunney,Advisor to Member of Parliament,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,380778,2016-06-06,Eamonn Horan-Lunney,Legislative Assistant,1,Eamonn Horan-lunney,Legislative Assistant,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,532821,2022-05-26,Eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,537617,2022-06-08,Eamonn Horan-Lunney,Parliamentary Assistant,1,Eamonn Horan-lunney,Parliamentary Assistant,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,536145,2022-06-22,Eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,555976,2023-01-18,Eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,555528,2023-02-07,Eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
04ffc680541d43e1,571899,2023-07-13,Eamonn Horan-Lunney,Chief of Staff,1,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff,Eamonn Horan-lunney,Chief of Staff
2930416d856d4eb6,377801,2016-05-04,Eamonn Horon-Lunney,Legislative Assistant,1,Eamonn Horon-lunney,Legislative Assistant,Eamonn Horon-lunney,Legislative Assistant,Eamonn Horon-lunney,Legislative Assistant
33ed82b554654a16,524185,2022-02-08,eamonn mcginty,Advisor to Minister of the Environment,1,Eamonn Mcginty,Advisor to Minister of the Environment,Eamonn Mcginty,Advisor to Minister of the Environment,Eamonn Mcginty,Advisor to Minister of the Environment
33ed82b554654a16,523638,2022-02-03,Eamonn McGinty,Senior Policy Advisor,1,Eamonn Mcginty,Senior Policy Advisor,Eamonn Mcginty,Advisor to Minister of the Environment,Eamonn Mcginty,Advisor to Minister of the Environment
f7759565979c4116,521997,2022-02-07,Eamonn  McGuinty,Policy Advisor,1,Eamonn Mcguinty,Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,530823,2022-05-04,Eamonn  McGuinty,Policy Advisor,1,Eamonn Mcguinty,Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,542503,2022-09-29,Eamonn  McGuinty,Policy Advisor,1,Eamonn Mcguinty,Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,557646,2023-02-21,Eamonn  McGuinty,Senior Policy Advisor,1,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,557376,2023-02-27,Eamonn  McGuinty,Senior Policy Advisor,1,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,560907,2023-03-31,Eamonn  McGuinty,Senior Policy Advisor,1,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,539173,2022-06-24,Eamonn  McGuinty ,Policy Advisor,1,Eamonn Mcguinty,Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,521473,2022-01-18,Eamonn McGuinty,Advisor to the Minister,1,Eamonn Mcguinty,Advisor to the Minister,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,521442,2022-01-19,Eamonn McGuinty,Policy Advisor,1,Eamonn Mcguinty,Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,520572,2022-01-24,Eamonn McGuinty,Advisor,1,Eamonn Mcguinty,Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,520929,2022-01-24,Eamonn McGuinty,Advisor,1,Eamonn Mcguinty,Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,520917,2022-02-01,Eamonn McGuinty,Advisor,1,Eamonn Mcguinty,Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,525483,2022-02-01,Eamonn McGuinty,Advisor,1,Eamonn Mcguinty,Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,521194,2022-02-01,Eamonn McGuinty,Policy Advisor,1,Eamonn Mcguinty,Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,521369,2022-02-01,Eamonn McGuinty,Senior Policy Advisor,1,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,526002,2022-02-01,Eamonn McGuinty,Senior Policy Advisor,1,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,524376,2022-02-03,Eamonn McGuinty,Policy Advisor,1,Eamonn Mcguinty,Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,525762,2022-02-04,Eamonn McGuinty,Advisor,1,Eamonn Mcguinty,Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,521146,2022-02-04,Eamonn McGuinty,Policy Advisor,1,Eamonn Mcguinty,Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,521623,2022-02-07,Eamonn McGuinty,Policy Advisor,1,Eamonn Mcguinty,Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,526353,2022-02-08,Eamonn McGuinty,Advisor,1,Eamonn Mcguinty,Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
f7759565979c4116,521626,2022-02-08,Eamonn McGuinty,Policy Advisor,1,Eamonn Mcguinty,Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor,Eamonn Mcguinty,Senior Policy Advisor
