dpoh_id,comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
7ac63a80d53a4a98,630963,2025-01-29,Dr. Geneviève Moineau,Chief Medical Workforce Advisor,1,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor
7ac63a80d53a4a98,630965,2025-01-29,Dr. Geneviève Moineau,Chief Medical Workforce Advisor,1,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor
7ac63a80d53a4a98,630967,2025-01-29,Dr. Geneviève Moineau,Chief Medical Workforce Advisor,1,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor,Genevieve Moineau,Chief Medical Workforce Advisor
7bea4139e8244dd1,425812,2018-04-25,Dr. Gilles Saindon,Associate Assistant Deputy Minister,1,Gilles Saindon,Associate Assistant Deputy Minister,Gilles Saindon,Assistant Deputy Minister,Gilles Saindon,Assistant Deputy Minister
f695d93354734980,313469,2014-01-14,Dr. Graham Howell,Director of Strategic Planning,1,Graham Howell,Director of Strategic Planning,Graham Howell,Policy Advisor,Graham Howell,Policy Advisor
f695d93354734980,320789,2014-04-01,Dr. Graham Howell,"Director, Strategic Planning to the Minister of Health",1,Graham Howell,"Director, Strategic Planning to the Minister of Health",Graham Howell,Policy Advisor,Graham Howell,Policy Advisor
b55eb810da9e4a08,340644,2014-12-02,Dr. Gregory Taylor,Chief Public Health Officer,1,Gregory Taylor,Chief Public Health Officer,Gregory Taylor,Chief Public Health Officer,Gregory Taylor,Chief Public Health Officer
b55eb810da9e4a08,349362,2015-02-10,Dr. Gregory Taylor,Chief Public Health Officer,1,Gregory Taylor,Chief Public Health Officer,Gregory Taylor,Chief Public Health Officer,Gregory Taylor,Chief Public Health Officer
a5cb131bcea24e45,381244,2016-06-15,Dr. Greg Taylor,Chief Public Health Officer,1,Greg Taylor,Chief Public Health Officer,Greg Taylor,Chief Public Health Officer,Greg Taylor,Chief Public Health Officer
a77466917a834012,555694,2023-02-01,Gabby Garwood,Policy Advisor,1,Gabby Garwood,Policy Advisor,Gabby Garwood,Policy Advisor,Gabby Garwood,Policy Advisor
72a8adff13214eca,433231,2018-08-29,Gabe Frost,Senior Policy Analyst,1,Gabe Frost,Senior Policy Analyst,Gabe Frost,Senior Policy Analyst,Gabe Frost,Senior Policy Analyst
815ab829cf55441b,595076,2024-02-02,Gabe Menard,Policy and Research Analyst,1,Gabe Menard,Policy and Research Analyst,Gabe Menard,Policy and Research Analyst,Gabe Menard,Policy and Research Analyst
731800564a9c4247,626549,2024-11-21,Gabrela DeJager,Director General,1,Gabrela Dejager,Director General,Gabrela Dejager,Director General,Gabrela Dejager,Director General
bec2a1cefd784eaf,625926,2024-11-28,Gabriela Dejager,Assistant Director,1,Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director
64d830eeade44ac7,609002,2024-06-17,Gabriela  De Jager,Director,1,Gabriela De Jager,Director,Gabriela De Jager,Director,Gabriela De Jager,Director
bec2a1cefd784eaf,609003,2024-06-18,Gabriela DeJager,Director,1,Gabriela Dejager,Director,Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director
bec2a1cefd784eaf,613147,2024-07-03,Gabriela DeJager,Assistant Director,1,Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director
bec2a1cefd784eaf,636474,2025-05-21,Gabriela DeJager,"Acting Director, Program Integrity and Outreach",1,Gabriela Dejager,"Acting Director, Program Integrity and Outreach",Gabriela Dejager,Assistant Director,Gabriela Dejager,Assistant Director
