dpoh_id,comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
b659f9406b044482,277033,2013-05-08,Dr. Harold Albrecht,Member of Parliament,1,Harold Albrecht,Member of Parliament,Harold Albrecht,Member of Parliament,Harold Albrecht,Member of Parliament
b659f9406b044482,160740,2010-11-23,"Dr. Harold Albrecht, M.P.","Member, Access to Information, Privacy and Ethics Committee",1,Harold Albrecht,"Member, Access to Information, Privacy and Ethics Committee",Harold Albrecht,Member of Parliament,Harold Albrecht,Member of Parliament
f5662e82455d46f5,553478,2023-01-12,Dr. Harpreet Kocchar,President,1,Harpreet Kocchar,President,Harpreet Kochar,Associate Deputy Minister,Harpreet Kochar,Associate Deputy Minister
7e674af161a745e8,536215,2022-06-01,Dr. Harpreet Kochhar,President,1,Harpreet Kochhar,President,Harpreet Kochhar,President,Harpreet Kochhar,President
7e674af161a745e8,600543,2024-03-22,Dr. Harpreet Kochhar,Deputy Minister,1,Harpreet Kochhar,Deputy Minister,Harpreet Kochhar,President,Harpreet Kochhar,President
f5662e82455d46f5,479968,2020-06-12,Dr. Harpreet S Kochhar,"Assistant Deputy Minister, Health Canada",1,Harpreet S Kochhar,"Assistant Deputy Minister, Health Canada",Harpreet Kochar,Associate Deputy Minister,Harpreet Kochar,Associate Deputy Minister
f5662e82455d46f5,596107,2024-03-11,Dr. Harpreet S Kochhar ,Deputy Minister,1,Harpreet S Kochhar,Deputy Minister,Harpreet Kochar,Associate Deputy Minister,Harpreet Kochar,Associate Deputy Minister
358eed033da44025,147753,2010-04-13,Dr. Hasan Hutchinson,"Director General, Office of Nutrition Policy",1,Hasan Hutchinson,"Director General, Office of Nutrition Policy",Hasan Hutchinson,Director General,Hasan Hutchison,Director General
358eed033da44025,147756,2010-04-15,Dr. Hasan Hutchinson,"Director General, Office of Nutrition Policy",1,Hasan Hutchinson,"Director General, Office of Nutrition Policy",Hasan Hutchinson,Director General,Hasan Hutchison,Director General
358eed033da44025,147751,2010-05-06,Dr. Hasan Hutchinson,"Director General, Office of Nutrition Policy",1,Hasan Hutchinson,"Director General, Office of Nutrition Policy",Hasan Hutchinson,Director General,Hasan Hutchison,Director General
358eed033da44025,165830,2011-01-26,Dr. Hasan Hutchinson,Director General,1,Hasan Hutchinson,Director General,Hasan Hutchinson,Director General,Hasan Hutchison,Director General
358eed033da44025,401192,2017-05-09,Dr. Hasan Hutchinson,Director General,1,Hasan Hutchinson,Director General,Hasan Hutchinson,Director General,Hasan Hutchison,Director General
aa5790229d684f58,259529,2013-02-05,Dr Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
aa5790229d684f58,159302,2010-10-20,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
aa5790229d684f58,225387,2012-06-04,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
aa5790229d684f58,327319,2014-05-01,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
aa5790229d684f58,355551,2015-05-14,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
aa5790229d684f58,356317,2015-05-14,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
aa5790229d684f58,376923,2016-04-16,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
aa5790229d684f58,381068,2016-06-24,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
aa5790229d684f58,383025,2016-07-13,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
aa5790229d684f58,386460,2016-10-31,Dr. Hedy Fry,Member of Parliament,1,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament,Hedy Fry,Member of Parliament
