dpoh_id,comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
8b20204723684a31,502301,2021-03-10,Hon. Omar Alghabra,"Minister, Transport",1,Omar Alghabra,"Minister, Transport",Omar Alghabra,"Minister, Transport",Omar Alghabra,"Minister, Transport"
8b20204723684a31,520296,2022-01-17,Hon. Omar Alghabra,"Minister, Transport",1,Omar Alghabra,"Minister, Transport",Omar Alghabra,"Minister, Transport",Omar Alghabra,"Minister, Transport"
8b20204723684a31,550491,2022-11-03,Hon. Omar Alghabra,"Minister, Transport",1,Omar Alghabra,"Minister, Transport",Omar Alghabra,"Minister, Transport",Omar Alghabra,"Minister, Transport"
a5110a9c267a49e8,514268,2021-08-17,Oana Tranca,Research and Evaluation Analyst,1,Oana Tranca,Research and Evaluation Analyst,Oana Tranca,Research and Evaluation Analyst,Oana Tranca,Research and Evaluation Analyst
4ef7585c984647e2,604508,2024-04-05,Oana  Vasuta,Policy Analyst,1,Oana Vasuta,Policy Analyst,Oana Vasuta,Policy Analyst,Oana Vasuta,Policy Analyst
8da5f626541048b1,540078,2022-07-15,Oba Harding,Senior Business Officer,1,Oba Harding,Senior Business Officer,Oba Harding,Business Officer,Oba Harding,Business Officer
8da5f626541048b1,540081,2022-07-27,Oba Harding,Senior Business Officer,1,Oba Harding,Senior Business Officer,Oba Harding,Business Officer,Oba Harding,Business Officer
8da5f626541048b1,551394,2022-11-07,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer,Oba Harding,Business Officer
8da5f626541048b1,559977,2023-02-07,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer,Oba Harding,Business Officer
8da5f626541048b1,560000,2023-02-22,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer,Oba Harding,Business Officer
8da5f626541048b1,568994,2023-05-04,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer,Oba Harding,Business Officer
8da5f626541048b1,569934,2023-05-30,Oba Harding,Prairies Economic Development Canada,1,Oba Harding,Prairies Economic Development Canada,Oba Harding,Business Officer,Oba Harding,Business Officer
8da5f626541048b1,571711,2023-06-15,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer,Oba Harding,Business Officer
8da5f626541048b1,597185,2024-02-27,Oba Harding,Senior Business Officer,1,Oba Harding,Senior Business Officer,Oba Harding,Business Officer,Oba Harding,Business Officer
8da5f626541048b1,597186,2024-02-28,Oba Harding,Business Officer,1,Oba Harding,Business Officer,Oba Harding,Business Officer,Oba Harding,Business Officer
8da5f626541048b1,633206,2025-02-18,Oba Harding,Senior Business Officer,1,Oba Harding,Senior Business Officer,Oba Harding,Business Officer,Oba Harding,Business Officer
51f7be6cf4f7470f,446969,2019-02-28,O'Brien Damien,Senior Policy Advisor,1,O'brien Damien,Senior Policy Advisor,Obrien Damien,Senior Policy Advisor,O'brien Damien,Senior Policy Advisor
b10805e341184864,416638,2017-11-08,O'Brien Stevie,"Director, Parliamentary Affairs",1,O'brien Stevie,"Director, Parliamentary Affairs",Obrien Stevie,"Director, Parliamentary Affairs",O'brien Stevie,"Director, Parliamentary Affairs"
fb4c6c579b1a414d,113913,2009-06-04,Oda Beverlee,Minister,1,Oda Beverlee,Minister,Oda Beverlee,Minister,Oda Beverlee,Minister
8d5e6010c8d54ecd,393134,2017-01-31,Odette Johnson,Director,1,Odette Johnson,Director,Odette Johnson,Director,Odette Johnson,Director
a371810ecd144335,513647,2021-09-01,Odile Joannette,Director,1,Odile Joannette,Director,Odile Joannette,Director,Odile Joannette,Director
c89d311a063e4798,564886,2023-04-27,Ogesanmola Omitayo,"Senior Advisor, Program Development",1,Ogesanmola Omitayo,"Senior Advisor, Program Development",Ogesanmola Omitayo,"Senior Advisor, Program Development",Ogesanmola Omitayo,"Senior Advisor, Program Development"
b4209182072641cb,277293,2013-05-30,Ogilvie Kelvin,Senator,1,Ogilvie Kelvin,Senator,Ogilvie Kelvin,Senator,Ogilvie Kelvin,Senator
b4209182072641cb,397785,2017-04-04,Ogilvie Kelvin,Senator,1,Ogilvie Kelvin,Senator,Ogilvie Kelvin,Senator,Ogilvie Kelvin,Senator
b4209182072641cb,403605,2017-06-06,Ogilvie Kelvin,Senator,1,Ogilvie Kelvin,Senator,Ogilvie Kelvin,Senator,Ogilvie Kelvin,Senator
94ce33dd285543ff,388784,2016-11-17,O'Halloran Mark,Special Assistant,1,O'halloran Mark,Special Assistant,Ohalloran Mark,Special Assistant,O'halloran Mark,Special Assistant
0029396c1d9d4bc8,265013,2013-02-28,Oh Victor,Senator,1,Oh Victor,Senator,Oh Victor,Senator,Oh Victor,Senator
4081ccd088664691,275214,2013-05-30,oilivier Hebert,Director of Policy,1,Oilivier Hebert,Director of Policy,Oilivier Hebert,Director of Policy,Olivier Hebert,Director of Policy
ed303d431bc54777,625905,2024-11-05,Olaf Andreas Kjelsen,Ambassador,1,Olaf Andreas Kjelsen,Ambassador,Olaf Andreas Kjelsen,Ambassador,Olaf Andreas Kjelsen,Ambassador
d8b4e90a3f63487b,551289,2022-11-30,Olaf  Jensen,Director,1,Olaf Jensen,Director,Olaf Jensen,Director,Olaf Jensen,Director
d8b4e90a3f63487b,138818,2010-01-14,Olaf Jensen,"Head, Protected Areas",1,Olaf Jensen,"Head, Protected Areas",Olaf Jensen,Director,Olaf Jensen,Director
d8b4e90a3f63487b,341856,2014-11-27,Olaf Jensen,"Manager, Protected Areas Coordination",1,Olaf Jensen,"Manager, Protected Areas Coordination",Olaf Jensen,Director,Olaf Jensen,Director
d8b4e90a3f63487b,453035,2019-05-08,Olaf Jensen,"Director, Protected Areas Strategy",1,Olaf Jensen,"Director, Protected Areas Strategy",Olaf Jensen,Director,Olaf Jensen,Director
d8b4e90a3f63487b,455775,2019-05-08,Olaf Jensen,Manager,1,Olaf Jensen,Manager,Olaf Jensen,Director,Olaf Jensen,Director
d8b4e90a3f63487b,511320,2021-06-28,Olaf Jensen,Director,1,Olaf Jensen,Director,Olaf Jensen,Director,Olaf Jensen,Director
d8b4e90a3f63487b,552089,2022-11-02,Olaf Jensen,Director,1,Olaf Jensen,Director,Olaf Jensen,Director,Olaf Jensen,Director
d8b4e90a3f63487b,561853,2023-03-29,Olaf Jensen,Director,1,Olaf Jensen,Director,Olaf Jensen,Director,Olaf Jensen,Director
d8b4e90a3f63487b,572346,2023-06-01,Olaf Jensen,Director,1,Olaf Jensen,Director,Olaf Jensen,Director,Olaf Jensen,Director
d8b4e90a3f63487b,572351,2023-06-02,Olaf Jensen,Director,1,Olaf Jensen,Director,Olaf Jensen,Director,Olaf Jensen,Director
d8b4e90a3f63487b,590885,2023-12-06,Olaf Jensen,"Director, Protected Areas Program",1,Olaf Jensen,"Director, Protected Areas Program",Olaf Jensen,Director,Olaf Jensen,Director
d8b4e90a3f63487b,592033,2024-01-19,Olaf Jensen,Director,1,Olaf Jensen,Director,Olaf Jensen,Director,Olaf Jensen,Director
a4cb100bd9904503,608520,2024-05-28,Olaf  Kjelsen,Ambassador of Switzerland to Canada,1,Olaf Kjelsen,Ambassador of Switzerland to Canada,Olaf Kjelsen,Ambassador of Switzerland to Canada,Olaf Kjelsen,Ambassador of Switzerland to Canada
4248701293564c7b,615531,2024-09-09,Olalekan  Edwards,Special Assistant,1,Olalekan Edwards,Special Assistant,Olalekan Edwards,Special Assistant,Olalekan Edwards,Special Assistant
bd6f0908727d4a9c,135829,2009-11-24,Old Hendrickson,Scientific Advisor,1,Old Hendrickson,Scientific Advisor,Old Hendrickson,Scientific Advisor,Old Hendrickson,Scientific Advisor
fdaa63b1cd2d4afc,636989,2025-05-27,Olesia Bissett,Policy Analyst,1,Olesia Bissett,Policy Analyst,Olesia Bissett,Policy Analyst,Olesia Bissett,Policy Analyst
8795b1ad3d1b44a4,579226,2023-09-27,Olga  Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,441781,2018-11-15,Olga Radchenko,"Director, Parliamentary Affairs",1,Olga Radchenko,"Director, Parliamentary Affairs",Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,442578,2018-12-03,Olga Radchenko,"Director, Parliamentary Affairs",1,Olga Radchenko,"Director, Parliamentary Affairs",Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,444486,2019-01-30,Olga Radchenko,"Director, Parliamentary Affairs",1,Olga Radchenko,"Director, Parliamentary Affairs",Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,451765,2019-05-02,Olga Radchenko,"Director, Parliamentary Affairs",1,Olga Radchenko,"Director, Parliamentary Affairs",Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,457430,2019-05-31,Olga Radchenko,Senior Advisor,1,Olga Radchenko,Senior Advisor,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,457685,2019-06-25,Olga Radchenko,"Director, Parliamentary Affairs",1,Olga Radchenko,"Director, Parliamentary Affairs",Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,474653,2020-02-07,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,467087,2020-02-21,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,469147,2020-03-20,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,469149,2020-03-21,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,469150,2020-03-23,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,469154,2020-03-25,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,469155,2020-03-26,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,470468,2020-03-26,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,488162,2020-03-30,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,472106,2020-04-03,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,472478,2020-04-04,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,472530,2020-04-04,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,472500,2020-04-24,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,475875,2020-05-11,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,474473,2020-05-25,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,474920,2020-05-25,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,474137,2020-05-28,Olga Radchenko,Policy Advisor,1,Olga Radchenko,Policy Advisor,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,474138,2020-05-28,Olga Radchenko,Policy Advisor,1,Olga Radchenko,Policy Advisor,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,474651,2020-05-29,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,476306,2020-06-05,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,477468,2020-06-05,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,477774,2020-06-11,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,477831,2020-06-15,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,476497,2020-06-22,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,476516,2020-06-22,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,477986,2020-06-22,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
8795b1ad3d1b44a4,476504,2020-06-30,Olga Radchenko,Director of Policy,1,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy,Olga Radchenko,Director of Policy
