dpoh_id,comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
edde11dd3b474fee,392003,2016-12-19,"Dr Tanya Ramsamy, PhD",Associate Director,1,Tanya Ramsamy,Associate Director,Tanya Ramsamy,"Director, PDD",Tanya Ramsamy,"Director, PDD"
92559a10fda049b2,460231,2019-09-23,Dr. Theresa tam,Chief Public Health Officer,1,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
92559a10fda049b2,409381,2017-10-11,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
92559a10fda049b2,427807,2018-06-07,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
92559a10fda049b2,429789,2018-06-08,Dr. Theresa Tam,Chief Health Officer,1,Theresa Tam,Chief Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
92559a10fda049b2,433024,2018-08-30,Dr. Theresa Tam,Senior Medical Director,1,Theresa Tam,Senior Medical Director,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
92559a10fda049b2,455833,2019-05-06,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
92559a10fda049b2,486166,2020-03-13,Dr. Theresa Tam,Chief Public Health Officer,1,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer,Theresa Tam,Chief Public Health Officer
2b09f161e6ac4a92,578975,2023-09-21,Dr. Timothy Berube,Commission Member,1,Timothy Berube,Commission Member,Timothy Berube,Commission Member,Timothy Berube,Commission Member
ecf54dac38994f54,377077,2016-04-27,Dr. Tom Wong,Chief Medical Officer of Health,1,Tom Wong,Chief Medical Officer of Health,Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health"
ecf54dac38994f54,392586,2016-12-06,Dr. Tom Wong,Chief Medical Officer of Public Health and Executive Director,1,Tom Wong,Chief Medical Officer of Public Health and Executive Director,Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health"
ecf54dac38994f54,485134,2020-09-11,Dr. Tom Wong,"Chief Medical Officer, Public Health",1,Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health"
ecf54dac38994f54,487472,2020-10-06,Dr. Tom Wong,"Chief Medical Officer, Public Health",1,Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health",Tom Wong,"Chief Medical Officer, Public Health"
8fd19967d9924cc6,614220,2024-09-10,Dr. Trevor Nightingale,Associate Vice President,1,Trevor Nightingale,Associate Vice President,Trevor Nightingale,Associate Vice President,Trevor Nightingale,Associate Vice President
c8848c9c897a4103,427532,2018-05-23,Honourable Terry Mercer,Senator,1,Terry Mercer,Senator,Terry Mercer,Senator,Terry Mercer,Senator
c8848c9c897a4103,237914,2012-06-20,Honourable Terry M. Mercer,Minister,1,Terry M. Mercer,Minister,Terry Mercer,Senator,Terry Mercer,Senator
433e203ec1b34ffe,91836,2008-12-22,Honourable Tony Clement,Minister,1,Tony Clement,Minister,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
433e203ec1b34ffe,109279,2009-05-28,Honourable Tony Clement,Minister,1,Tony Clement,Minister,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
4f36778ad3bb4c2d,193372,2011-10-18,Hon. Ted Menzies,"Minister of State, Finance",1,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
4f36778ad3bb4c2d,192484,2011-10-27,Hon. Ted Menzies,"Minister of State, Finance",1,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
4f36778ad3bb4c2d,197027,2011-11-01,Hon. Ted Menzies,Member of Parliament,1,Ted Menzies,Member of Parliament,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
4f36778ad3bb4c2d,197295,2011-12-01,Hon. Ted Menzies,"Minister of State, Finance",1,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
4f36778ad3bb4c2d,218651,2012-03-01,Hon. Ted Menzies,Minister of State,1,Ted Menzies,Minister of State,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
4f36778ad3bb4c2d,249169,2012-11-20,Hon. Ted Menzies,Member of Parliament,1,Ted Menzies,Member of Parliament,Ted Menzies,"Minister of State, Finance",Ted Menzies,"Minister of State, Finance"
e68f1c7109814d42,596427,2024-02-12,Hon. Terry Beech,Member of Parliament,1,Terry Beech,Member of Parliament,Terry Beech,Member of Parliament,Terry Beech,Member of Parliament
c8848c9c897a4103,430321,2018-06-04,Hon. Terry Mercer,Senate Liberal Leader,1,Terry Mercer,Senate Liberal Leader,Terry Mercer,Senator,Terry Mercer,Senator
c8848c9c897a4103,492553,2020-12-09,Hon. Terry Mercer,Senator,1,Terry Mercer,Senator,Terry Mercer,Senator,Terry Mercer,Senator
c8848c9c897a4103,197043,2011-11-03,"Hon. Terry Mercer, P.C.",Senator,1,Terry Mercer,Senator,Terry Mercer,Senator,Terry Mercer,Senator
1aeea4588f3445b8,266309,2012-11-07,Hon. Thomas Monclair,Leader of the Opposition,1,Thomas Monclair,Leader of the Opposition,Thomas Monclair,Leader of the Opposition,Thomas Monclair,Leader of the Opposition
09d707027b29400b,420020,2018-01-25,Hon Thomas Mulcair,Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
09d707027b29400b,420042,2018-01-25,Hon Thomas Mulcair,Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
09d707027b29400b,329858,2014-06-04,Hon. Thomas Mulcair,Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
09d707027b29400b,342260,2014-10-30,Hon. Thomas Mulcair,Leader of the Opposition,1,Thomas Mulcair,Leader of the Opposition,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
09d707027b29400b,339590,2014-11-03,Hon. Thomas Mulcair,Leader of the Opposition,1,Thomas Mulcair,Leader of the Opposition,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
09d707027b29400b,343506,2014-11-26,Hon. Thomas Mulcair,Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
09d707027b29400b,418768,2018-01-31,Hon. Thomas Mulcair,Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
09d707027b29400b,285391,2013-07-23,"Hon. Thomas Mulcair, P.C., M.P.",Member of Parliament,1,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament,Thomas Mulcair,Member of Parliament
09d707027b29400b,266271,2012-11-07,Hon. Thomas Mulclair,Leader of the Opposition,1,Thomas Mulclair,Leader of the Opposition,Thomas Mulclair,Member of Parliament,Thomas Mulcair,Member of Parliament
f10f2cd995ea4080,356365,2015-05-13,Hon. Tim Uppal,Member of Parliament,1,Tim Uppal,Member of Parliament,Tim Uppal,Member of Parliament,Tim Uppal,Member of Parliament
149b68d9b22b44af,390946,2016-11-23,Hon. Tobias Enverga,Senator,1,Tobias Enverga,Senator,Tobias Enverga,Senator,Tobias Enverga,Senator
433e203ec1b34ffe,160130,2010-11-16,Hon Tony Clement,"Minister, Industry",1,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
433e203ec1b34ffe,102499,2009-04-28,Hon. Tony Clement,"Minister, Industry",1,Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry",Tony Clement,"Minister, Industry"
