dpoh_id,comlog_id,dates,dpoh_name_raw,gpt_superclean_title,count,CleanName_version1,CleanTitle_version1,CleanName_version2,CleanTitle_version2,CleanName_version3,CleanTitle_version3
43f2926e54a046ab,589725,2023-12-18,Hon. Ya'ara Saks,Minister of Mental Health and Addictions | Associate Minister of Health,1,Ya'ara Saks,Minister of Mental Health and Addictions | Associate Minister of Health,Ya'ara Saks,Member of Parliament,Ya'ara Saks,Member of Parliament
9773370cc66043a9,328472,2014-06-19,Hon. Yonah Martin,Senator,1,Yonah Martin,Senator,Yonah Martin,Senator,Yonah Martin,Senator
9773370cc66043a9,468219,2020-02-19,Hon. Yonah Martin,Senator,1,Yonah Martin,Senator,Yonah Martin,Senator,Yonah Martin,Senator
43f2926e54a046ab,500121,2021-03-23,"Ms. Ya'ara Saks, M.P.",Member of Parliament,1,Ya'ara Saks,Member of Parliament,Ya'ara Saks,Member of Parliament,Ya'ara Saks,Member of Parliament
d93f13831bb5497a,483808,2020-10-09,Ms. Yanique Williams,Director of Policy,1,Yanique Williams,Director of Policy,Yanique Williams,Policy Advisor,Yanique Williams,Policy Advisor
236bd1cc83424490,160745,2010-11-23,Ms. Yaprak Baltacioglu,Deputy Minister,1,Yaprak Baltacioglu,Deputy Minister,Yaprak Baltacioglu,Deputy Minister,Yaprak Baltacioglu,Deputy Minister
9773370cc66043a9,436103,2018-09-18,SENATOR YONAH MARTIN,Conservative Party of Canada,1,Yonah Martin,Conservative Party of Canada,Yonah Martin,Senator,Yonah Martin,Senator
43f2926e54a046ab,616061,2024-09-26,The Honourable Ya'ara  Saks ,"Minister, Mental Health and Addictions",1,Ya'ara Saks,"Minister, Mental Health and Addictions",Ya'ara Saks,Member of Parliament,Ya'ara Saks,Member of Parliament
43f2926e54a046ab,625567,2024-12-10,"The Honourable Ya'ara  Saks, P.C., M.P. ","Minister, Mental Health and Addictions",1,Ya'ara Saks,"Minister, Mental Health and Addictions",Ya'ara Saks,Member of Parliament,Ya'ara Saks,Member of Parliament
43f2926e54a046ab,624175,2024-11-29,"The Honourable Ya'ara  Saks, P.C., M.P.  ","Minister, Addictions and Mental Health",1,Ya'ara Saks,"Minister, Addictions and Mental Health",Ya'ara Saks,Member of Parliament,Ya'ara Saks,Member of Parliament
